,model_var,model_cross,JS-native,JS-nonnative,acc-native,acc-nonnative,type,lang
0,w2v2-large_ctc_1_timit_decode_vowels,,0.1947091197337699,0.2571425544194013,0.61875,0.4810281517747858,ASR,EN
1,w2v2-large_max_class_2_timitEV_varHiddenRelu,,0.1556614271308636,0.2211598858976454,0.71875,0.5520195838433293,pseudo-sylls,EN
2,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,0.0,0.20746073477125707,0.3225113166525092,0.5625,0.36474908200734396,gold,EN
3,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,1.0,0.17206382393027217,0.30000291273886154,0.75,0.4773561811505508,gold,EN
4,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,2.0,0.317995937709433,0.32263074321395396,0.4375,0.38310893512851896,gold,EN
5,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,3.0,0.30134684594580685,0.3563494017226175,0.5625,0.3598531211750306,gold,EN
6,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,4.0,0.10625513643196291,0.2683365550692722,0.8125,0.47980416156670747,gold,EN
7,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,5.0,0.3057942756610258,0.3033488649209183,0.3125,0.3561811505507956,gold,EN
8,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,6.0,0.18931668256691672,0.2960677506505417,0.625,0.44430844553243576,gold,EN
9,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,7.0,0.24991402007789043,0.2917808220799216,0.6875,0.44063647490820074,gold,EN
10,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,8.0,0.10103398455729815,0.28087366443868456,0.9375,0.47613219094247244,gold,EN
11,w2v2-large_max_class_2_wvEN10Fold_varHiddenRelu,9.0,0.20963835588381452,0.3311211566000954,0.5,0.3659730722154223,gold,EN
12,w2v2fr-large_ctc_1_bl_decode_vowels,,0.27496698662397956,0.2895627883187115,0.5265700483091788,0.487012987012987,ASR,FR
13,w2v2fr-large_max_class_2_blEV_varHiddenRelu,,0.29010677702124504,0.335833682075582,0.47342995169082125,0.4090909090909091,pseudo-sylls,FR
14,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,0.0,0.21908212753360554,0.3005559306108112,0.5,0.412987012987013,gold,FR
15,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,1.0,0.22348680791732298,0.31918280113118425,0.6,0.3922077922077922,gold,FR
16,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,2.0,0.2106258946133927,0.3184387987125629,0.6,0.36753246753246754,gold,FR
17,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,3.0,0.29152676026758084,0.33490442503857853,0.42857142857142855,0.36363636363636365,gold,FR
18,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,4.0,0.27937395846865964,0.39636798693026043,0.5714285714285714,0.3207792207792208,gold,FR
19,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,5.0,0.18725347273647727,0.3358668813314929,0.6666666666666666,0.36493506493506495,gold,FR
20,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,6.0,0.2632621549907195,0.37987650122243155,0.6666666666666666,0.2935064935064935,gold,FR
21,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,7.0,0.23713049514551865,0.2911390524688635,0.47619047619047616,0.43896103896103894,gold,FR
22,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,8.0,0.2023650742039562,0.3114725001277431,0.6818181818181818,0.38051948051948054,gold,FR
23,w2v2fr-large_max_class_2_wvFR10Fold_varHiddenRelu,9.0,0.2046349261581899,0.3177942057527556,0.6,0.42987012987012985,gold,FR
