,language,vowel,file,classification,probabilities
1009,BR,i,BR132,i,1.6701144e-05
7009,BR,i,BR132,ɪ,0.9999666
9,BR,i,BR132,eɪ,1.0261537e-10
6009,BR,i,BR132,ɛ,5.6026095e-09
4009,BR,i,BR132,æ,1.0261537e-10
5009,BR,i,BR132,ɑ,1.0261537e-10
9009,BR,i,BR132,ʌ,2.0610849e-09
2009,BR,i,BR132,oʊ,1.0261537e-10
3009,BR,i,BR132,u,1.6701144e-05
8009,BR,i,BR132,ʊ,1.5229471e-08
1045,BR,i,BR329,i,1.6700664e-05
7045,BR,i,BR329,ɪ,0.9999379
45,BR,i,BR329,eɪ,1.0261242e-10
6045,BR,i,BR329,ɛ,5.6024483e-09
4045,BR,i,BR329,æ,1.0261242e-10
5045,BR,i,BR329,ɑ,1.0261242e-10
9045,BR,i,BR329,ʌ,2.0610256e-09
2045,BR,i,BR329,oʊ,1.0261242e-10
3045,BR,i,BR329,u,4.539711e-05
8045,BR,i,BR329,ʊ,5.6024483e-09
1058,BR,i,BR373,i,8.3152776e-07
7058,BR,i,BR373,ɪ,0.9999988
58,BR,i,BR373,eɪ,5.109083e-12
6058,BR,i,BR373,ɛ,2.7894648e-10
4058,BR,i,BR373,æ,5.109083e-12
5058,BR,i,BR373,ɑ,5.109083e-12
9058,BR,i,BR373,ʌ,3.77513e-11
2058,BR,i,BR373,oʊ,5.109083e-12
3058,BR,i,BR373,u,3.0590195e-07
8058,BR,i,BR373,ʊ,2.7894648e-10
1059,BR,i,BR374,i,8.3152776e-07
7059,BR,i,BR374,ɪ,0.9999988
59,BR,i,BR374,eɪ,5.109083e-12
6059,BR,i,BR374,ɛ,2.7894648e-10
4059,BR,i,BR374,æ,5.109083e-12
5059,BR,i,BR374,ɑ,5.109083e-12
9059,BR,i,BR374,ʌ,3.77513e-11
2059,BR,i,BR374,oʊ,5.109083e-12
3059,BR,i,BR374,u,3.0590195e-07
8059,BR,i,BR374,ʊ,2.7894648e-10
1060,BR,i,BR375,i,1.6701144e-05
7060,BR,i,BR375,ɪ,0.9999666
60,BR,i,BR375,eɪ,1.0261537e-10
6060,BR,i,BR375,ɛ,5.6026095e-09
4060,BR,i,BR375,æ,1.0261537e-10
5060,BR,i,BR375,ɑ,1.0261537e-10
9060,BR,i,BR375,ʌ,2.0610849e-09
2060,BR,i,BR375,oʊ,1.0261537e-10
3060,BR,i,BR375,u,1.6701144e-05
8060,BR,i,BR375,ʊ,1.5229471e-08
1074,BR,i,BR452,i,6.144173e-06
7074,BR,i,BR452,ɪ,0.99999356
74,BR,i,BR452,eɪ,5.109056e-12
6074,BR,i,BR452,ɛ,1.02618136e-10
4074,BR,i,BR452,æ,5.109056e-12
5074,BR,i,BR452,ɑ,5.109056e-12
9074,BR,i,BR452,ʌ,3.77511e-11
2074,BR,i,BR452,oʊ,5.109056e-12
3074,BR,i,BR452,u,3.0590036e-07
8074,BR,i,BR452,ʊ,1.02618136e-10
1075,BR,i,BR454,i,1.6700664e-05
7075,BR,i,BR454,ɪ,0.9999379
75,BR,i,BR454,eɪ,1.0261242e-10
6075,BR,i,BR454,ɛ,5.6024483e-09
4075,BR,i,BR454,æ,1.0261242e-10
5075,BR,i,BR454,ɑ,1.0261242e-10
9075,BR,i,BR454,ʌ,7.5820894e-10
2075,BR,i,BR454,oʊ,1.0261242e-10
3075,BR,i,BR454,u,4.539711e-05
8075,BR,i,BR454,ʊ,1.5229034e-08
1078,BR,i,BR46,i,0.00012339429
