,language,vowel,file,classification,probabilities
1009,BR,i,BR132,i,0.9932325
7009,BR,i,BR132,ɪ,1.6588672e-05
9,BR,i,BR132,eɪ,4.5092685e-05
6009,BR,i,BR132,ɛ,0.006692348
4009,BR,i,BR132,æ,2.2450326e-06
5009,BR,i,BR132,ɑ,2.2450326e-06
9009,BR,i,BR132,ʌ,2.2450326e-06
2009,BR,i,BR132,oʊ,2.2450326e-06
3009,BR,i,BR132,u,2.2450326e-06
8009,BR,i,BR132,ʊ,2.2450326e-06
1045,BR,i,BR329,i,0.9816108
7045,BR,i,BR329,ɪ,4.4565062e-05
45,BR,i,BR329,eɪ,0.00032929372
6045,BR,i,BR329,ɛ,0.017978828
4045,BR,i,BR329,æ,6.031225e-06
5045,BR,i,BR329,ɑ,6.031225e-06
9045,BR,i,BR329,ʌ,6.031225e-06
2045,BR,i,BR329,oʊ,6.031225e-06
3045,BR,i,BR329,u,6.031225e-06
8045,BR,i,BR329,ʊ,6.031225e-06
1058,BR,i,BR373,i,0.9932325
7058,BR,i,BR373,ɪ,1.6588672e-05
58,BR,i,BR373,eɪ,4.5092685e-05
6058,BR,i,BR373,ɛ,0.006692348
4058,BR,i,BR373,æ,2.2450326e-06
5058,BR,i,BR373,ɑ,2.2450326e-06
9058,BR,i,BR373,ʌ,2.2450326e-06
2058,BR,i,BR373,oʊ,2.2450326e-06
3058,BR,i,BR373,u,2.2450326e-06
8058,BR,i,BR373,ʊ,2.2450326e-06
1059,BR,i,BR374,i,0.9932325
7059,BR,i,BR374,ɪ,1.6588672e-05
59,BR,i,BR374,eɪ,4.5092685e-05
6059,BR,i,BR374,ɛ,0.006692348
4059,BR,i,BR374,æ,2.2450326e-06
5059,BR,i,BR374,ɑ,2.2450326e-06
9059,BR,i,BR374,ʌ,2.2450326e-06
2059,BR,i,BR374,oʊ,2.2450326e-06
3059,BR,i,BR374,u,2.2450326e-06
8059,BR,i,BR374,ʊ,2.2450326e-06
1060,BR,i,BR375,i,0.9932325
7060,BR,i,BR375,ɪ,1.6588672e-05
60,BR,i,BR375,eɪ,4.5092685e-05
6060,BR,i,BR375,ɛ,0.006692348
4060,BR,i,BR375,æ,2.2450326e-06
5060,BR,i,BR375,ɑ,2.2450326e-06
9060,BR,i,BR375,ʌ,2.2450326e-06
2060,BR,i,BR375,oʊ,2.2450326e-06
3060,BR,i,BR375,u,2.2450326e-06
8060,BR,i,BR375,ʊ,2.2450326e-06
1074,BR,i,BR452,i,0.9932325
7074,BR,i,BR452,ɪ,1.6588672e-05
74,BR,i,BR452,eɪ,4.5092685e-05
6074,BR,i,BR452,ɛ,0.006692348
4074,BR,i,BR452,æ,2.2450326e-06
5074,BR,i,BR452,ɑ,2.2450326e-06
9074,BR,i,BR452,ʌ,2.2450326e-06
2074,BR,i,BR452,oʊ,2.2450326e-06
3074,BR,i,BR452,u,2.2450326e-06
8074,BR,i,BR452,ʊ,2.2450326e-06
1075,BR,i,BR454,i,0.9932325
7075,BR,i,BR454,ɪ,1.6588672e-05
75,BR,i,BR454,eɪ,4.5092685e-05
6075,BR,i,BR454,ɛ,0.006692348
4075,BR,i,BR454,æ,2.2450326e-06
5075,BR,i,BR454,ɑ,2.2450326e-06
9075,BR,i,BR454,ʌ,2.2450326e-06
2075,BR,i,BR454,oʊ,2.2450326e-06
3075,BR,i,BR454,u,2.2450326e-06
8075,BR,i,BR454,ʊ,2.2450326e-06
1078,BR,i,BR46,i,0.9932325
7078,BR,i,BR46,ɪ,1.6588672e-05
78,BR,i,BR46,eɪ,4.5092685e-05
6078,BR,i,BR46,ɛ,0.006692348
4078,BR,i,BR46,æ,2.2450326e-06
5078,BR,i,BR46,ɑ,2.2450326e-06
9078,BR,i,BR46,ʌ,2.2450326e-06
2078,BR,i,BR46,oʊ,2.2450326e-06
3078,BR,i,BR46,u,2.2450326e-06
8078,BR,i,BR46,ʊ,2.2450326e-06
1082,BR,i,BR47,i,0.9932325
7082,BR,i,BR47,ɪ,1.6588672e-05
82,BR,i,BR47,eɪ,4.5092685e-05
6082,BR,i,BR47,ɛ,0.006692348
4082,BR,i,BR47,æ,2.2450326e-06
5082,BR,i,BR47,ɑ,2.2450326e-06
9082,BR,i,BR47,ʌ,2.2450326e-06
2082,BR,i,BR47,oʊ,2.2450326e-06
3082,BR,i,BR47,u,2.2450326e-06
8082,BR,i,BR47,ʊ,2.2450326e-06
1088,BR,i,BR496,i,0.9932325
7088,BR,i,BR496,ɪ,1.6588672e-05
88,BR,i,BR496,eɪ,4.5092685e-05
6088,BR,i,BR496,ɛ,0.006692348
4088,BR,i,BR496,æ,2.2450326e-06
5088,BR,i,BR496,ɑ,2.2450326e-06
9088,BR,i,BR496,ʌ,2.2450326e-06
2088,BR,i,BR496,oʊ,2.2450326e-06
3088,BR,i,BR496,u,2.2450326e-06
8088,BR,i,BR496,ʊ,2.2450326e-06
1135,BR,i,BR741,i,0.9932325
7135,BR,i,BR741,ɪ,1.6588672e-05
135,BR,i,BR741,eɪ,4.5092685e-05
6135,BR,i,BR741,ɛ,0.006692348
4135,BR,i,BR741,æ,2.2450326e-06
5135,BR,i,BR741,ɑ,2.2450326e-06
9135,BR,i,BR741,ʌ,2.2450326e-06
2135,BR,i,BR741,oʊ,2.2450326e-06
3135,BR,i,BR741,u,2.2450326e-06
8135,BR,i,BR741,ʊ,2.2450326e-06
1136,BR,i,BR742,i,0.9816108
7136,BR,i,BR742,ɪ,4.4565062e-05
136,BR,i,BR742,eɪ,0.00032929372
6136,BR,i,BR742,ɛ,0.017978828
4136,BR,i,BR742,æ,6.031225e-06
5136,BR,i,BR742,ɑ,6.031225e-06
9136,BR,i,BR742,ʌ,6.031225e-06
2136,BR,i,BR742,oʊ,6.031225e-06
3136,BR,i,BR742,u,6.031225e-06
8136,BR,i,BR742,ʊ,6.031225e-06
1141,BR,i,BR757,i,0.9816108
7141,BR,i,BR757,ɪ,4.4565062e-05
141,BR,i,BR757,eɪ,0.00032929372
6141,BR,i,BR757,ɛ,0.017978828
4141,BR,i,BR757,æ,6.031225e-06
5141,BR,i,BR757,ɑ,6.031225e-06
9141,BR,i,BR757,ʌ,6.031225e-06
2141,BR,i,BR757,oʊ,6.031225e-06
3141,BR,i,BR757,u,6.031225e-06
8141,BR,i,BR757,ʊ,6.031225e-06
1146,BR,i,BR796,i,0.9932325
7146,BR,i,BR796,ɪ,1.6588672e-05
146,BR,i,BR796,eɪ,4.5092685e-05
6146,BR,i,BR796,ɛ,0.006692348
4146,BR,i,BR796,æ,2.2450326e-06
5146,BR,i,BR796,ɑ,2.2450326e-06
9146,BR,i,BR796,ʌ,2.2450326e-06
2146,BR,i,BR796,oʊ,2.2450326e-06
3146,BR,i,BR796,u,2.2450326e-06
8146,BR,i,BR796,ʊ,2.2450326e-06
1189,BR,i,BR99,i,0.9816108
7189,BR,i,BR99,ɪ,4.4565062e-05
189,BR,i,BR99,eɪ,0.00032929372
6189,BR,i,BR99,ɛ,0.017978828
4189,BR,i,BR99,æ,6.031225e-06
5189,BR,i,BR99,ɑ,6.031225e-06
9189,BR,i,BR99,ʌ,6.031225e-06
2189,BR,i,BR99,oʊ,6.031225e-06
3189,BR,i,BR99,u,6.031225e-06
8189,BR,i,BR99,ʊ,6.031225e-06
1190,BR,i,BR992,i,0.9932325
7190,BR,i,BR992,ɪ,1.6588672e-05
190,BR,i,BR992,eɪ,4.5092685e-05
6190,BR,i,BR992,ɛ,0.006692348
4190,BR,i,BR992,æ,2.2450326e-06
5190,BR,i,BR992,ɑ,2.2450326e-06
9190,BR,i,BR992,ʌ,2.2450326e-06
2190,BR,i,BR992,oʊ,2.2450326e-06
3190,BR,i,BR992,u,2.2450326e-06
8190,BR,i,BR992,ʊ,2.2450326e-06
1004,BR,ĩ,BR1025,i,0.9932325
7004,BR,ĩ,BR1025,ɪ,1.6588672e-05
4,BR,ĩ,BR1025,eɪ,4.5092685e-05
6004,BR,ĩ,BR1025,ɛ,0.006692348
4004,BR,ĩ,BR1025,æ,2.2450326e-06
5004,BR,ĩ,BR1025,ɑ,2.2450326e-06
9004,BR,ĩ,BR1025,ʌ,2.2450326e-06
2004,BR,ĩ,BR1025,oʊ,2.2450326e-06
3004,BR,ĩ,BR1025,u,2.2450326e-06
8004,BR,ĩ,BR1025,ʊ,2.2450326e-06
1005,BR,ĩ,BR1029,i,0.9816108
7005,BR,ĩ,BR1029,ɪ,4.4565062e-05
5,BR,ĩ,BR1029,eɪ,0.00032929372
6005,BR,ĩ,BR1029,ɛ,0.017978828
4005,BR,ĩ,BR1029,æ,6.031225e-06
5005,BR,ĩ,BR1029,ɑ,6.031225e-06
9005,BR,ĩ,BR1029,ʌ,6.031225e-06
2005,BR,ĩ,BR1029,oʊ,6.031225e-06
3005,BR,ĩ,BR1029,u,6.031225e-06
8005,BR,ĩ,BR1029,ʊ,6.031225e-06
1013,BR,ĩ,BR154,i,0.9932325
7013,BR,ĩ,BR154,ɪ,1.6588672e-05
13,BR,ĩ,BR154,eɪ,4.5092685e-05
6013,BR,ĩ,BR154,ɛ,0.006692348
4013,BR,ĩ,BR154,æ,2.2450326e-06
5013,BR,ĩ,BR154,ɑ,2.2450326e-06
9013,BR,ĩ,BR154,ʌ,2.2450326e-06
2013,BR,ĩ,BR154,oʊ,2.2450326e-06
3013,BR,ĩ,BR154,u,2.2450326e-06
8013,BR,ĩ,BR154,ʊ,2.2450326e-06
1014,BR,ĩ,BR158,i,0.9932325
7014,BR,ĩ,BR158,ɪ,1.6588672e-05
