,language,vowel,file,classification,probabilities
2009,BR,i,BR132,i,1.0
5009,BR,i,BR132,y,7.58256e-10
1009,BR,i,BR132,e,2.5436657e-13
11009,BR,i,BR132,ɛ,2.5436657e-13
12009,BR,i,BR132,ɛ̃,1.2664166e-14
6009,BR,i,BR132,ø,3.442477e-14
7009,BR,i,BR132,œ,9.357623e-14
9,BR,i,BR132,a,1.2664166e-14
8009,BR,i,BR132,ɑ̃,1.2664166e-14
3009,BR,i,BR132,o,1.2664166e-14
9009,BR,i,BR132,ɔ,1.2664166e-14
10009,BR,i,BR132,ɔ̃,1.2664166e-14
4009,BR,i,BR132,u,6.9144e-13
2045,BR,i,BR329,i,1.0
5045,BR,i,BR329,y,1.5229979e-08
1045,BR,i,BR329,e,3.7751344e-11
11045,BR,i,BR329,ɛ,1.3887944e-11
12045,BR,i,BR329,ɛ̃,2.5436657e-13
6045,BR,i,BR329,ø,6.9144e-13
7045,BR,i,BR329,œ,1.8795289e-12
45,BR,i,BR329,a,2.5436657e-13
8045,BR,i,BR329,ɑ̃,2.5436657e-13
3045,BR,i,BR329,o,2.5436657e-13
9045,BR,i,BR329,ɔ,2.5436657e-13
10045,BR,i,BR329,ɔ̃,2.5436657e-13
4045,BR,i,BR329,u,1.3887944e-11
2058,BR,i,BR373,i,0.9999999
5058,BR,i,BR373,y,1.1253516e-07
1058,BR,i,BR373,e,7.582559e-10
11058,BR,i,BR373,ɛ,2.7894678e-10
12058,BR,i,BR373,ɛ̃,1.8795287e-12
6058,BR,i,BR373,ø,5.1090885e-12
7058,BR,i,BR373,œ,1.3887942e-11
58,BR,i,BR373,a,1.8795287e-12
8058,BR,i,BR373,ɑ̃,1.8795287e-12
3058,BR,i,BR373,o,1.8795287e-12
9058,BR,i,BR373,ɔ,1.8795287e-12
10058,BR,i,BR373,ɔ̃,1.8795287e-12
4058,BR,i,BR373,u,1.0261878e-10
2059,BR,i,BR374,i,0.9999999
5059,BR,i,BR374,y,1.1253516e-07
1059,BR,i,BR374,e,7.582559e-10
11059,BR,i,BR374,ɛ,2.7894678e-10
12059,BR,i,BR374,ɛ̃,1.8795287e-12
6059,BR,i,BR374,ø,5.1090885e-12
7059,BR,i,BR374,œ,1.3887942e-11
59,BR,i,BR374,a,1.8795287e-12
8059,BR,i,BR374,ɑ̃,1.8795287e-12
3059,BR,i,BR374,o,1.8795287e-12
9059,BR,i,BR374,ɔ,1.8795287e-12
10059,BR,i,BR374,ɔ̃,1.8795287e-12
4059,BR,i,BR374,u,1.0261878e-10
2060,BR,i,BR375,i,0.9999999
5060,BR,i,BR375,y,1.1253516e-07
1060,BR,i,BR375,e,7.582559e-10
11060,BR,i,BR375,ɛ,2.7894678e-10
12060,BR,i,BR375,ɛ̃,1.8795287e-12
6060,BR,i,BR375,ø,5.1090885e-12
7060,BR,i,BR375,œ,1.3887942e-11
60,BR,i,BR375,a,1.8795287e-12
8060,BR,i,BR375,ɑ̃,1.8795287e-12
3060,BR,i,BR375,o,1.8795287e-12
9060,BR,i,BR375,ɔ,1.8795287e-12
10060,BR,i,BR375,ɔ̃,1.8795287e-12
4060,BR,i,BR375,u,1.0261878e-10
2074,BR,i,BR452,i,0.9999546
5074,BR,i,BR452,y,4.539787e-05
1074,BR,i,BR452,e,5.602542e-09
11074,BR,i,BR452,ɛ,7.582216e-10
12074,BR,i,BR452,ɛ̃,1.3887313e-11
6074,BR,i,BR452,ø,3.774963e-11
7074,BR,i,BR452,œ,3.774963e-11
74,BR,i,BR452,a,1.3887313e-11
8074,BR,i,BR452,ɑ̃,1.3887313e-11
3074,BR,i,BR452,o,1.3887313e-11
9074,BR,i,BR452,ɔ,1.3887313e-11
10074,BR,i,BR452,ɔ̃,1.3887313e-11
4074,BR,i,BR452,u,7.582216e-10
2075,BR,i,BR454,i,1.0
5075,BR,i,BR454,y,1.5229979e-08
1075,BR,i,BR454,e,3.7751344e-11
11075,BR,i,BR454,ɛ,1.3887944e-11
12075,BR,i,BR454,ɛ̃,2.5436657e-13
6075,BR,i,BR454,ø,6.9144e-13
