,language,vowel,file,classification,probabilities
2009,BR,i,BR132,i,3.7751243e-11
5009,BR,i,BR132,y,2.2603235e-06
1009,BR,i,BR132,e,3.7751243e-11
11009,BR,i,BR132,ɛ,3.7751243e-11
12009,BR,i,BR132,ɛ̃,3.7751243e-11
6009,BR,i,BR132,ø,0.9999974
7009,BR,i,BR132,œ,3.0590152e-07
9,BR,i,BR132,a,3.7751243e-11
8009,BR,i,BR132,ɑ̃,3.7751243e-11
3009,BR,i,BR132,o,3.7751243e-11
9009,BR,i,BR132,ɔ,3.7751243e-11
10009,BR,i,BR132,ɔ̃,3.7751243e-11
4009,BR,i,BR132,u,1.02618525e-10
2045,BR,i,BR329,i,2.7894334e-10
5045,BR,i,BR329,y,6.144136e-06
1045,BR,i,BR329,e,2.7894334e-10
11045,BR,i,BR329,ɛ,2.7894334e-10
12045,BR,i,BR329,ɛ̃,2.7894334e-10
6045,BR,i,BR329,ø,0.9999876
7045,BR,i,BR329,œ,6.144136e-06
45,BR,i,BR329,a,2.7894334e-10
8045,BR,i,BR329,ɑ̃,2.7894334e-10
3045,BR,i,BR329,o,2.7894334e-10
9045,BR,i,BR329,ɔ,7.5824663e-10
10045,BR,i,BR329,ɔ̃,2.7894334e-10
4045,BR,i,BR329,u,2.0611282e-09
2058,BR,i,BR373,i,2.789324e-10
5058,BR,i,BR373,y,4.5397588e-05
1058,BR,i,BR373,e,2.789324e-10
11058,BR,i,BR373,ɛ,2.789324e-10
12058,BR,i,BR373,ɛ̃,2.789324e-10
6058,BR,i,BR373,ø,0.9999484
7058,BR,i,BR373,œ,6.1438955e-06
58,BR,i,BR373,a,2.789324e-10
8058,BR,i,BR373,ɑ̃,2.789324e-10
3058,BR,i,BR373,o,2.789324e-10
9058,BR,i,BR373,ɔ,7.582169e-10
10058,BR,i,BR373,ɔ̃,2.789324e-10
4058,BR,i,BR373,u,2.789324e-10
2059,BR,i,BR374,i,3.77513e-11
5059,BR,i,BR374,y,8.3152776e-07
1059,BR,i,BR374,e,3.77513e-11
11059,BR,i,BR374,ɛ,3.77513e-11
12059,BR,i,BR374,ɛ̃,3.77513e-11
6059,BR,i,BR374,ø,0.9999988
7059,BR,i,BR374,œ,3.0590195e-07
59,BR,i,BR374,a,3.77513e-11
8059,BR,i,BR374,ɑ̃,3.77513e-11
3059,BR,i,BR374,o,3.77513e-11
9059,BR,i,BR374,ɔ,3.77513e-11
10059,BR,i,BR374,ɔ̃,3.77513e-11
4059,BR,i,BR374,u,2.7894648e-10
2060,BR,i,BR375,i,3.77513e-11
5060,BR,i,BR375,y,8.3152776e-07
1060,BR,i,BR375,e,3.77513e-11
11060,BR,i,BR375,ɛ,3.77513e-11
12060,BR,i,BR375,ɛ̃,3.77513e-11
6060,BR,i,BR375,ø,0.9999988
7060,BR,i,BR375,œ,3.0590195e-07
60,BR,i,BR375,a,3.77513e-11
8060,BR,i,BR375,ɑ̃,3.77513e-11
3060,BR,i,BR375,o,3.77513e-11
9060,BR,i,BR375,ɔ,1.0261867e-10
10060,BR,i,BR375,ɔ̃,3.77513e-11
4060,BR,i,BR375,u,1.0261867e-10
2074,BR,i,BR452,i,5.109089e-12
5074,BR,i,BR452,y,5.6027964e-09
1074,BR,i,BR452,e,5.109089e-12
11074,BR,i,BR452,ɛ,5.109089e-12
12074,BR,i,BR452,ɛ̃,5.109089e-12
6074,BR,i,BR452,ø,1.0
7074,BR,i,BR452,œ,4.1399375e-08
74,BR,i,BR452,a,5.109089e-12
8074,BR,i,BR452,ɑ̃,5.109089e-12
3074,BR,i,BR452,o,5.109089e-12
9074,BR,i,BR452,ɔ,1.3887944e-11
10074,BR,i,BR452,ɔ̃,5.109089e-12
4074,BR,i,BR452,u,3.7751344e-11
2075,BR,i,BR454,i,1.02617e-10
5075,BR,i,BR454,y,1.6701408e-05
1075,BR,i,BR454,e,1.02617e-10
11075,BR,i,BR454,ɛ,1.02617e-10
12075,BR,i,BR454,ɛ̃,1.02617e-10
6075,BR,i,BR454,ø,0.9999825
7075,BR,i,BR454,œ,8.3151417e-07
75,BR,i,BR454,a,1.02617e-10
8075,BR,i,BR454,ɑ̃,1.02617e-10
3075,BR,i,BR454,o,1.02617e-10
9075,BR,i,BR454,ɔ,1.02617e-10
10075,BR,i,BR454,ɔ̃,1.02617e-10
4075,BR,i,BR454,u,2.7894193e-10
2078,BR,i,BR46,i,5.1090885e-12
5078,BR,i,BR46,y,1.1253516e-07
1078,BR,i,BR46,e,5.1090885e-12
11078,BR,i,BR46,ɛ,5.1090885e-12
12078,BR,i,BR46,ɛ̃,5.1090885e-12
6078,BR,i,BR46,ø,0.9999999
7078,BR,i,BR46,œ,4.139937e-08
78,BR,i,BR46,a,5.1090885e-12
8078,BR,i,BR46,ɑ̃,5.1090885e-12
3078,BR,i,BR46,o,5.1090885e-12
9078,BR,i,BR46,ɔ,5.1090885e-12
10078,BR,i,BR46,ɔ̃,5.1090885e-12
4078,BR,i,BR46,u,5.1090885e-12
2082,BR,i,BR47,i,5.1090885e-12
5082,BR,i,BR47,y,1.5229977e-08
1082,BR,i,BR47,e,5.1090885e-12
11082,BR,i,BR47,ɛ,5.1090885e-12
12082,BR,i,BR47,ɛ̃,5.1090885e-12
6082,BR,i,BR47,ø,0.9999999
7082,BR,i,BR47,œ,1.1253516e-07
82,BR,i,BR47,a,5.1090885e-12
8082,BR,i,BR47,ɑ̃,5.1090885e-12
3082,BR,i,BR47,o,5.1090885e-12
9082,BR,i,BR47,ɔ,5.1090885e-12
10082,BR,i,BR47,ɔ̃,5.1090885e-12
4082,BR,i,BR47,u,1.3887942e-11
2088,BR,i,BR496,i,2.7894334e-10
5088,BR,i,BR496,y,6.144136e-06
1088,BR,i,BR496,e,2.7894334e-10
11088,BR,i,BR496,ɛ,2.7894334e-10
12088,BR,i,BR496,ɛ̃,2.7894334e-10
6088,BR,i,BR496,ø,0.9999876
7088,BR,i,BR496,œ,6.144136e-06
88,BR,i,BR496,a,2.7894334e-10
8088,BR,i,BR496,ɑ̃,2.7894334e-10
3088,BR,i,BR496,o,2.7894334e-10
9088,BR,i,BR496,ɔ,7.5824663e-10
10088,BR,i,BR496,ɔ̃,2.7894334e-10
4088,BR,i,BR496,u,2.0611282e-09
2135,BR,i,BR741,i,3.77513e-11
5135,BR,i,BR741,y,8.3152776e-07
1135,BR,i,BR741,e,3.77513e-11
11135,BR,i,BR741,ɛ,3.77513e-11
12135,BR,i,BR741,ɛ̃,3.77513e-11
6135,BR,i,BR741,ø,0.9999988
7135,BR,i,BR741,œ,3.0590195e-07
135,BR,i,BR741,a,3.77513e-11
8135,BR,i,BR741,ɑ̃,3.77513e-11
3135,BR,i,BR741,o,3.77513e-11
9135,BR,i,BR741,ɔ,1.0261867e-10
10135,BR,i,BR741,ɔ̃,3.77513e-11
4135,BR,i,BR741,u,1.0261867e-10
2136,BR,i,BR742,i,3.77513e-11
5136,BR,i,BR742,y,8.3152776e-07
1136,BR,i,BR742,e,3.77513e-11
11136,BR,i,BR742,ɛ,3.77513e-11
12136,BR,i,BR742,ɛ̃,3.77513e-11
6136,BR,i,BR742,ø,0.9999988
7136,BR,i,BR742,œ,3.0590195e-07
136,BR,i,BR742,a,3.77513e-11
