,probabilities,classification,language,vowel,file
91,0.7548074126243591,i,BR,i,BR132
97,0.05646524578332901,ɪ,BR,i,BR132
90,0.0034798707347363234,eɪ,BR,i,BR132
96,0.00996361393481493,ɛ,BR,i,BR132
94,1.2962152140971739e-05,æ,BR,i,BR132
95,4.178605195193086e-06,ɑ,BR,i,BR132
99,0.007179331965744495,ʌ,BR,i,BR132
92,0.0027975495904684067,oʊ,BR,i,BR132
93,0.12552359700202942,u,BR,i,BR132
98,0.03976627066731453,ʊ,BR,i,BR132
451,0.38592442870140076,i,BR,i,BR329
457,0.13166536390781403,ɪ,BR,i,BR329
450,0.01142736803740263,eɪ,BR,i,BR329
456,0.049055978655815125,ɛ,BR,i,BR329
454,0.004086734261363745,æ,BR,i,BR329
455,0.007494150660932064,ɑ,BR,i,BR329
459,0.06509453803300858,ʌ,BR,i,BR329
452,0.04747198149561882,oʊ,BR,i,BR329
453,0.17803393304347992,u,BR,i,BR329
458,0.1197454035282135,ʊ,BR,i,BR329
581,0.08679646998643875,i,BR,i,BR373
587,0.13462191820144653,ɪ,BR,i,BR373
580,0.02151455357670784,eɪ,BR,i,BR373
586,0.07559597492218018,ɛ,BR,i,BR373
584,0.04434027895331383,æ,BR,i,BR373
585,0.09105616807937622,ɑ,BR,i,BR373
589,0.1321762204170227,ʌ,BR,i,BR373
582,0.08391912281513214,oʊ,BR,i,BR373
583,0.17218759655952454,u,BR,i,BR373
588,0.15779173374176025,ʊ,BR,i,BR373
591,0.019795162603259087,i,BR,i,BR374
597,0.04595835506916046,ɪ,BR,i,BR374
590,0.03750503808259964,eɪ,BR,i,BR374
596,0.08348578959703445,ɛ,BR,i,BR374
594,0.09990783780813217,æ,BR,i,BR374
595,0.15828905999660492,ɑ,BR,i,BR374
599,0.2016325145959854,ʌ,BR,i,BR374
592,0.171894833445549,oʊ,BR,i,BR374
593,0.06526108831167221,u,BR,i,BR374
598,0.11627033352851868,ʊ,BR,i,BR374
601,0.020526859909296036,i,BR,i,BR375
607,0.07811888307332993,ɪ,BR,i,BR375
600,0.050147779285907745,eɪ,BR,i,BR375
606,0.10723334550857544,ɛ,BR,i,BR375
604,0.11876720190048218,æ,BR,i,BR375
605,0.16068269312381744,ɑ,BR,i,BR375
609,0.1820804625749588,ʌ,BR,i,BR375
602,0.10268053412437439,oʊ,BR,i,BR375
603,0.07115054875612259,u,BR,i,BR375
608,0.10861161351203918,ʊ,BR,i,BR375
741,0.3281947672367096,i,BR,i,BR452
747,0.1827763468027115,ɪ,BR,i,BR452
740,0.030776361003518105,eɪ,BR,i,BR452
746,0.0947333350777626,ɛ,BR,i,BR452
744,0.00214523752219975,æ,BR,i,BR452
745,0.0004208127793390304,ɑ,BR,i,BR452
749,0.05752957612276077,ʌ,BR,i,BR452
742,0.01619403064250946,oʊ,BR,i,BR452
743,0.1749039888381958,u,BR,i,BR452
748,0.11232549697160721,ʊ,BR,i,BR452
751,0.15881797671318054,i,BR,i,BR454
757,0.2232464849948883,ɪ,BR,i,BR454
750,0.01650713011622429,eɪ,BR,i,BR454
756,0.07235230505466461,ɛ,BR,i,BR454
754,0.017795782536268234,æ,BR,i,BR454
755,0.037695128470659256,ɑ,BR,i,BR454
759,0.09244803339242935,ʌ,BR,i,BR454
752,0.04188579320907593,oʊ,BR,i,BR454
753,0.20105010271072388,u,BR,i,BR454
