,probabilities,classification,language,vowel,file
91,0.637208104133606,i,BR,i,BR132
97,0.10550177842378616,ɪ,BR,i,BR132
90,0.17138178646564484,eɪ,BR,i,BR132
96,0.0353497676551342,ɛ,BR,i,BR132
94,0.00023941091785673052,æ,BR,i,BR132
95,1.367596269119531e-06,ɑ,BR,i,BR132
99,0.001390839577652514,ʌ,BR,i,BR132
92,3.5962361835117918e-06,oʊ,BR,i,BR132
93,0.043465904891490936,u,BR,i,BR132
98,0.0054573011584579945,ʊ,BR,i,BR132
451,0.6592186689376831,i,BR,i,BR329
457,0.04341977834701538,ɪ,BR,i,BR329
450,0.2629013955593109,eɪ,BR,i,BR329
456,0.012839015573263168,ɛ,BR,i,BR329
454,0.00019957449694629759,æ,BR,i,BR329
455,7.376204393949592e-07,ɑ,BR,i,BR329
459,0.0004314827674534172,ʌ,BR,i,BR329
452,2.44315151576302e-06,oʊ,BR,i,BR329
453,0.017617730423808098,u,BR,i,BR329
458,0.003369230078533292,ʊ,BR,i,BR329
581,0.7213172912597656,i,BR,i,BR373
587,0.076581671833992,ɪ,BR,i,BR373
580,0.08917159587144852,eɪ,BR,i,BR373
586,0.036774005740880966,ɛ,BR,i,BR373
584,0.002162089105695486,æ,BR,i,BR373
585,1.648549186938908e-05,ɑ,BR,i,BR373
589,0.003933934029191732,ʌ,BR,i,BR373
582,8.859479748934973e-06,oʊ,BR,i,BR373
583,0.05643778294324875,u,BR,i,BR373
588,0.013596226461231709,ʊ,BR,i,BR373
591,0.0005413396283984184,i,BR,i,BR374
597,0.004009087570011616,ɪ,BR,i,BR374
590,0.0003166253154631704,eɪ,BR,i,BR374
596,0.00936830509454012,ɛ,BR,i,BR374
594,0.0007100722286850214,æ,BR,i,BR374
595,0.12081537395715714,ɑ,BR,i,BR374
599,0.1641419380903244,ʌ,BR,i,BR374
592,0.28954017162323,oʊ,BR,i,BR374
593,0.22794930636882782,u,BR,i,BR374
598,0.1826077550649643,ʊ,BR,i,BR374
601,0.09030325710773468,i,BR,i,BR375
607,0.0931665226817131,ɪ,BR,i,BR375
