,probabilities,classification,language,vowel,file
119,0.7441785335540771,i,BR,i,BR132
122,0.14052461087703705,y,BR,i,BR132
118,0.0188142042607069,e,BR,i,BR132
128,0.00553215853869915,ɛ,BR,i,BR132
129,0.0006671109586022794,ɛ̃,BR,i,BR132
123,0.03862910717725754,ø,BR,i,BR132
124,0.005948937963694334,œ,BR,i,BR132
117,1.0068368965221453e-06,a,BR,i,BR132
125,3.602065771701746e-05,ɑ̃,BR,i,BR132
120,0.0012340936809778214,o,BR,i,BR132
126,0.00013311048678588122,ɔ,BR,i,BR132
127,0.002292514080181718,ɔ̃,BR,i,BR132
121,0.042008690536022186,u,BR,i,BR132
587,0.3155621886253357,i,BR,i,BR329
590,0.00641618762165308,y,BR,i,BR329
586,0.12187521904706955,e,BR,i,BR329
596,0.24152924120426178,ɛ,BR,i,BR329
597,0.04177387058734894,ɛ̃,BR,i,BR329
591,0.008463296107947826,ø,BR,i,BR329
592,0.010694476775825024,œ,BR,i,BR329
585,0.02497611939907074,a,BR,i,BR329
593,0.001956966472789645,ɑ̃,BR,i,BR329
588,0.12235023826360703,o,BR,i,BR329
594,0.015361535362899303,ɔ,BR,i,BR329
595,0.017258983105421066,ɔ̃,BR,i,BR329
589,0.07178162783384323,u,BR,i,BR329
756,0.19876372814178467,i,BR,i,BR373
759,0.04557076469063759,y,BR,i,BR373
755,0.06369414925575256,e,BR,i,BR373
765,0.06515271961688995,ɛ,BR,i,BR373
766,0.005942253395915031,ɛ̃,BR,i,BR373
760,0.07757996022701263,ø,BR,i,BR373
761,0.06601006537675858,œ,BR,i,BR373
754,0.15426671504974365,a,BR,i,BR373
762,0.004062762018293142,ɑ̃,BR,i,BR373
757,0.0884847491979599,o,BR,i,BR373
763,0.07285308092832565,ɔ,BR,i,BR373
764,0.019385024905204773,ɔ̃,BR,i,BR373
758,0.13823392987251282,u,BR,i,BR373
769,0.013327733613550663,i,BR,i,BR374
772,0.0033801146782934666,y,BR,i,BR374
768,0.011821012012660503,e,BR,i,BR374
778,0.061085622757673264,ɛ,BR,i,BR374
779,0.02777501940727234,ɛ̃,BR,i,BR374
773,0.07424331456422806,ø,BR,i,BR374
774,0.09843088686466217,œ,BR,i,BR374
767,0.16914789378643036,a,BR,i,BR374
775,0.053755082190036774,ɑ̃,BR,i,BR374
770,0.0617140494287014,o,BR,i,BR374
776,0.2872741222381592,ɔ,BR,i,BR374
777,0.0832483246922493,ɔ̃,BR,i,BR374
771,0.054796766489744186,u,BR,i,BR374
782,0.008651184849441051,i,BR,i,BR375
785,0.0014607955235987902,y,BR,i,BR375
781,0.014540289528667927,e,BR,i,BR375
791,0.07586061209440231,ɛ,BR,i,BR375
792,0.040651820600032806,ɛ̃,BR,i,BR375
786,0.03126131743192673,ø,BR,i,BR375
787,0.05767204239964485,œ,BR,i,BR375
780,0.3525725305080414,a,BR,i,BR375
788,0.04250088334083557,ɑ̃,BR,i,BR375
783,0.05118649825453758,o,BR,i,BR375
789,0.24644964933395386,ɔ,BR,i,BR375
790,0.04939073696732521,ɔ̃,BR,i,BR375
784,0.027801647782325745,u,BR,i,BR375
964,0.38163694739341736,i,BR,i,BR452
967,0.14786438643932343,y,BR,i,BR452
963,0.10689706355333328,e,BR,i,BR452
973,0.0854109451174736,ɛ,BR,i,BR452
974,0.018896298483014107,ɛ̃,BR,i,BR452
968,0.07102109491825104,ø,BR,i,BR452
969,0.041154611855745316,œ,BR,i,BR452
962,0.0005964783485978842,a,BR,i,BR452
970,0.0018668216653168201,ɑ̃,BR,i,BR452
965,0.01530715636909008,o,BR,i,BR452
971,0.004547795280814171,ɔ,BR,i,BR452
972,0.017690051347017288,ɔ̃,BR,i,BR452
966,0.10711043328046799,u,BR,i,BR452
977,0.26813894510269165,i,BR,i,BR454
980,0.0604768767952919,y,BR,i,BR454
976,0.011613977141678333,e,BR,i,BR454
986,0.003415209474042058,ɛ,BR,i,BR454
987,7.493595330743119e-05,ɛ̃,BR,i,BR454
981,0.16892290115356445,ø,BR,i,BR454
982,0.06038642302155495,œ,BR,i,BR454
975,0.09287382662296295,a,BR,i,BR454
983,0.000292145210551098,ɑ̃,BR,i,BR454
978,0.05160701647400856,o,BR,i,BR454
984,0.07798491418361664,ɔ,BR,i,BR454
985,0.003921799827367067,ɔ̃,BR,i,BR454
979,0.20029106736183167,u,BR,i,BR454
1016,0.7493904232978821,i,BR,i,BR46
1019,0.09575515985488892,y,BR,i,BR46
1015,0.035780683159828186,e,BR,i,BR46
1025,0.01710611954331398,ɛ,BR,i,BR46
1026,0.0024581511970609426,ɛ̃,BR,i,BR46
1020,0.032145388424396515,ø,BR,i,BR46
1021,0.007401399780064821,œ,BR,i,BR46
1014,7.662560165044852e-06,a,BR,i,BR46
1022,0.00011574241943890229,ɑ̃,BR,i,BR46
1017,0.003679663874208927,o,BR,i,BR46
1023,0.00035065587144345045,ɔ,BR,i,BR46
1024,0.0043282341212034225,ɔ̃,BR,i,BR46
1018,0.051480747759342194,u,BR,i,BR46
1068,0.9689948558807373,i,BR,i,BR47
1071,0.006521276198327541,y,BR,i,BR47
1067,0.008719277568161488,e,BR,i,BR47
1077,0.005904356949031353,ɛ,BR,i,BR47
1078,0.00028994656167924404,ɛ̃,BR,i,BR47
1072,0.0011269941460341215,ø,BR,i,BR47
1073,0.00015141813491936773,œ,BR,i,BR47
1066,9.678609558250173e-08,a,BR,i,BR47
1074,1.7439941757402266e-06,ɑ̃,BR,i,BR47
1069,0.0009216214530169964,o,BR,i,BR47
1075,5.665952812705655e-06,ɔ,BR,i,BR47
1076,0.000347601919202134,ɔ̃,BR,i,BR47
1070,0.007015249226242304,u,BR,i,BR47
1146,0.45037466287612915,i,BR,i,BR496
1149,0.0789361521601677,y,BR,i,BR496
1145,0.12636291980743408,e,BR,i,BR496
1155,0.13126449286937714,ɛ,BR,i,BR496
1156,0.024579809978604317,ɛ̃,BR,i,BR496
