,probabilities,classification,language,vowel,file
119,0.7682486772537231,i,BR,i,BR132
122,0.1293780654668808,y,BR,i,BR132
118,0.03124309331178665,e,BR,i,BR132
128,0.020663978531956673,ɛ,BR,i,BR132
129,2.5375618861289695e-05,ɛ̃,BR,i,BR132
123,0.02870546653866768,ø,BR,i,BR132
124,0.019676750525832176,œ,BR,i,BR132
117,0.0001172887859866023,a,BR,i,BR132
125,2.6406580218463205e-05,ɑ̃,BR,i,BR132
120,3.055642810068093e-05,o,BR,i,BR132
126,0.001067314762622118,ɔ,BR,i,BR132
127,9.79622927843593e-05,ɔ̃,BR,i,BR132
121,0.0007190581527538598,u,BR,i,BR132
587,0.7965561151504517,i,BR,i,BR329
590,0.14232482016086578,y,BR,i,BR329
586,0.0292194951325655,e,BR,i,BR329
596,0.013401571661233902,ɛ,BR,i,BR329
597,2.5083947548409924e-05,ɛ̃,BR,i,BR329
591,0.009731781668961048,ø,BR,i,BR329
592,0.007326110731810331,œ,BR,i,BR329
585,9.350380423711613e-05,a,BR,i,BR329
593,2.0007386410725303e-05,ɑ̃,BR,i,BR329
588,1.6216015865211375e-05,o,BR,i,BR329
594,0.0008255070424638689,ɔ,BR,i,BR329
595,5.0866863603005186e-05,ɔ̃,BR,i,BR329
589,0.0004089533176738769,u,BR,i,BR329
756,0.5817888975143433,i,BR,i,BR373
759,0.17420989274978638,y,BR,i,BR373
755,0.0611664317548275,e,BR,i,BR373
765,0.045790355652570724,ɛ,BR,i,BR373
766,0.000886235386133194,ɛ̃,BR,i,BR373
760,0.051842186599969864,ø,BR,i,BR373
761,0.05005631223320961,œ,BR,i,BR373
754,0.0027726306580007076,a,BR,i,BR373
762,0.0009614335722289979,ɑ̃,BR,i,BR373
757,0.0006824880838394165,o,BR,i,BR373
763,0.018322570249438286,ɔ,BR,i,BR373
764,0.001220878679305315,ɔ̃,BR,i,BR373
758,0.010299661196768284,u,BR,i,BR373
769,0.004114994313567877,i,BR,i,BR374
772,0.005257821176201105,y,BR,i,BR374
768,0.013529169373214245,e,BR,i,BR374
778,0.03873538225889206,ɛ,BR,i,BR374
779,0.02854752726852894,ɛ̃,BR,i,BR374
773,0.09286397695541382,ø,BR,i,BR374
774,0.1864449679851532,œ,BR,i,BR374
767,0.06345076113939285,a,BR,i,BR374
775,0.05142509564757347,ɑ̃,BR,i,BR374
770,0.086602583527565,o,BR,i,BR374
776,0.17546507716178894,ɔ,BR,i,BR374
777,0.06578875333070755,ɔ̃,BR,i,BR374
771,0.18777382373809814,u,BR,i,BR374
782,0.04466243088245392,i,BR,i,BR375
785,0.02937675267457962,y,BR,i,BR375
781,0.04399864375591278,e,BR,i,BR375
791,0.09703405201435089,ɛ,BR,i,BR375
792,0.011028013192117214,ɛ̃,BR,i,BR375
786,0.128653421998024,ø,BR,i,BR375
787,0.2677004039287567,œ,BR,i,BR375
780,0.03495427966117859,a,BR,i,BR375
788,0.020358344539999962,ɑ̃,BR,i,BR375
783,0.03185451403260231,o,BR,i,BR375
789,0.14053656160831451,ɔ,BR,i,BR375
790,0.03190163895487785,ɔ̃,BR,i,BR375
784,0.11794096231460571,u,BR,i,BR375
964,0.4826686978340149,i,BR,i,BR452
967,0.1661171317100525,y,BR,i,BR452
963,0.08227235078811646,e,BR,i,BR452
973,0.08580665290355682,ɛ,BR,i,BR452
974,0.0006450297660194337,ɛ̃,BR,i,BR452
968,0.07404445111751556,ø,BR,i,BR452
969,0.07647239416837692,œ,BR,i,BR452
962,0.002237043110653758,a,BR,i,BR452
970,0.0007194379577413201,ɑ̃,BR,i,BR452
965,0.0007455320446752012,o,BR,i,BR452
971,0.016294224187731743,ɔ,BR,i,BR452
972,0.0015570269897580147,ɔ̃,BR,i,BR452
966,0.01041998527944088,u,BR,i,BR452
977,0.14460740983486176,i,BR,i,BR454
980,0.05621286854147911,y,BR,i,BR454
976,0.03012918308377266,e,BR,i,BR454
986,0.02979772537946701,ɛ,BR,i,BR454
987,0.009371351450681686,ɛ̃,BR,i,BR454
981,0.1290224939584732,ø,BR,i,BR454
982,0.1881076991558075,œ,BR,i,BR454
