,probabilities,classification,language,vowel,file
91,0.49201980233192444,i,BR,i,BR132
97,0.1787465214729309,ɪ,BR,i,BR132
90,0.011915836483240128,eɪ,BR,i,BR132
96,0.05038595572113991,ɛ,BR,i,BR132
94,0.002197292633354664,æ,BR,i,BR132
95,0.003699198365211487,ɑ,BR,i,BR132
99,0.03159036487340927,ʌ,BR,i,BR132
92,0.0028311919886618853,oʊ,BR,i,BR132
93,0.1461283266544342,u,BR,i,BR132
98,0.08048549294471741,ʊ,BR,i,BR132
451,0.2660941779613495,i,BR,i,BR329
457,0.1769605278968811,ɪ,BR,i,BR329
450,0.024764131754636765,eɪ,BR,i,BR329
456,0.0756492167711258,ɛ,BR,i,BR329
454,0.014292529784142971,æ,BR,i,BR329
455,0.022167092189192772,ɑ,BR,i,BR329
459,0.07600479573011398,ʌ,BR,i,BR329
452,0.015002509579062462,oʊ,BR,i,BR329
453,0.19667768478393555,u,BR,i,BR329
458,0.13238736987113953,ʊ,BR,i,BR329
581,0.10321575403213501,i,BR,i,BR373
587,0.1252516806125641,ɪ,BR,i,BR373
580,0.02948767878115177,eɪ,BR,i,BR373
586,0.0755801573395729,ɛ,BR,i,BR373
584,0.05436788871884346,æ,BR,i,BR373
585,0.07712198793888092,ɑ,BR,i,BR373
589,0.1280614137649536,ʌ,BR,i,BR373
582,0.04719136282801628,oʊ,BR,i,BR373
583,0.20353132486343384,u,BR,i,BR373
588,0.15619081258773804,ʊ,BR,i,BR373
591,0.10402947664260864,i,BR,i,BR374
597,0.10373197495937347,ɪ,BR,i,BR374
590,0.02483016811311245,eɪ,BR,i,BR374
596,0.06325868517160416,ɛ,BR,i,BR374
594,0.04887612536549568,æ,BR,i,BR374
595,0.08236930519342422,ɑ,BR,i,BR374
599,0.1263386756181717,ʌ,BR,i,BR374
592,0.06101072207093239,oʊ,BR,i,BR374
593,0.21865110099315643,u,BR,i,BR374
598,0.16690370440483093,ʊ,BR,i,BR374
601,0.03389633074402809,i,BR,i,BR375
607,0.06385350972414017,ɪ,BR,i,BR375
600,0.021516581997275352,eɪ,BR,i,BR375
606,0.049657825380563736,ɛ,BR,i,BR375
604,0.11534358561038971,æ,BR,i,BR375
605,0.19185689091682434,ɑ,BR,i,BR375
609,0.140354186296463,ʌ,BR,i,BR375
602,0.09296407550573349,oʊ,BR,i,BR375
603,0.15331700444221497,u,BR,i,BR375
608,0.13724005222320557,ʊ,BR,i,BR375
741,0.13688717782497406,i,BR,i,BR452
747,0.19729012250900269,ɪ,BR,i,BR452
740,0.02691103331744671,eɪ,BR,i,BR452
