,probabilities,classification,language,vowel,file
91,0.9051696062088013,i,BR,i,BR132
97,0.032445769757032394,ɪ,BR,i,BR132
90,0.05942397937178612,eɪ,BR,i,BR132
96,0.002208482474088669,ɛ,BR,i,BR132
94,3.879348241753178e-06,æ,BR,i,BR132
95,6.332490087856968e-10,ɑ,BR,i,BR132
99,1.662346039665863e-05,ʌ,BR,i,BR132
92,8.358289704801791e-08,oʊ,BR,i,BR132
93,0.0005584451137110591,u,BR,i,BR132
98,0.00017313916760031134,ʊ,BR,i,BR132
451,0.5106568336486816,i,BR,i,BR329
457,0.1974286139011383,ɪ,BR,i,BR329
450,0.19626133143901825,eɪ,BR,i,BR329
456,0.04952431470155716,ɛ,BR,i,BR329
454,0.002896685851737857,æ,BR,i,BR329
455,1.2594975487445481e-05,ɑ,BR,i,BR329
459,0.0039100502617657185,ʌ,BR,i,BR329
452,0.00023328178212977946,oʊ,BR,i,BR329
453,0.026066387072205544,u,BR,i,BR329
458,0.013009868562221527,ʊ,BR,i,BR329
581,0.03726036474108696,i,BR,i,BR373
587,0.0728766992688179,ɪ,BR,i,BR373
580,0.01110599935054779,eɪ,BR,i,BR373
586,0.04236043617129326,ɛ,BR,i,BR373
584,0.006553204730153084,æ,BR,i,BR373
585,0.004970847629010677,ɑ,BR,i,BR373
589,0.13631808757781982,ʌ,BR,i,BR373
582,0.04440874606370926,oʊ,BR,i,BR373
583,0.43008869886398315,u,BR,i,BR373
588,0.21405699849128723,ʊ,BR,i,BR373
591,0.015056089498102665,i,BR,i,BR374
597,0.03578142449259758,ɪ,BR,i,BR374
590,0.003977516200393438,eɪ,BR,i,BR374
596,0.01771937869489193,ɛ,BR,i,BR374
594,0.0036761409137398005,æ,BR,i,BR374
595,0.010079230181872845,ɑ,BR,i,BR374
599,0.12854887545108795,ʌ,BR,i,BR374
592,0.10600558668375015,oʊ,BR,i,BR374
593,0.4559462070465088,u,BR,i,BR374
598,0.22320953011512756,ʊ,BR,i,BR374
601,0.0008462231489829719,i,BR,i,BR375
607,0.006876023486256599,ɪ,BR,i,BR375
600,0.0004096229968126863,eɪ,BR,i,BR375
606,0.007870660163462162,ɛ,BR,i,BR375
604,0.007878299802541733,æ,BR,i,BR375
605,0.05521102622151375,ɑ,BR,i,BR375
609,0.18719501793384552,ʌ,BR,i,BR375
602,0.23906409740447998,oʊ,BR,i,BR375
603,0.3157789707183838,u,BR,i,BR375
608,0.17887000739574432,ʊ,BR,i,BR375
741,0.3442355692386627,i,BR,i,BR452
747,0.2323744297027588,ɪ,BR,i,BR452
740,0.11037162691354752,eɪ,BR,i,BR452
746,0.17539344727993011,ɛ,BR,i,BR452
744,0.020946741104125977,æ,BR,i,BR452
745,9.435589163331315e-06,ɑ,BR,i,BR452
749,0.015275215730071068,ʌ,BR,i,BR452
742,9.82539786491543e-05,oʊ,BR,i,BR452
743,0.06886830180883408,u,BR,i,BR452
748,0.03242700174450874,ʊ,BR,i,BR452
751,0.640244722366333,i,BR,i,BR454
757,0.15404373407363892,ɪ,BR,i,BR454
750,0.06255214661359787,eɪ,BR,i,BR454
756,0.03978761285543442,ɛ,BR,i,BR454
754,0.0016372234094887972,æ,BR,i,BR454
755,1.8549144442658871e-06,ɑ,BR,i,BR454
759,0.005093658342957497,ʌ,BR,i,BR454
752,7.193907367764041e-05,oʊ,BR,i,BR454
753,0.07051368057727814,u,BR,i,BR454
758,0.02605346404016018,ʊ,BR,i,BR454
781,0.9455592036247253,i,BR,i,BR46
787,0.011506154201924801,ɪ,BR,i,BR46
780,0.042332425713539124,eɪ,BR,i,BR46
786,0.0005520923295989633,ɛ,BR,i,BR46
784,1.9386564531487238e-07,æ,BR,i,BR46
785,4.3966471088841e-12,ɑ,BR,i,BR46
789,7.950424105729326e-07,ʌ,BR,i,BR46
782,8.846803289941363e-10,oʊ,BR,i,BR46
783,3.829786510323174e-05,u,BR,i,BR46
788,1.0688538168324158e-05,ʊ,BR,i,BR46
821,0.9030693769454956,i,BR,i,BR47
827,0.03150999918580055,ɪ,BR,i,BR47
820,0.06222283095121384,eɪ,BR,i,BR47
826,0.0027533392421901226,ɛ,BR,i,BR47
824,2.7135374693898484e-06,æ,BR,i,BR47
825,1.902298180089801e-10,ɑ,BR,i,BR47
829,1.1943459867325146e-05,ʌ,BR,i,BR47
822,2.1249842774295757e-08,oʊ,BR,i,BR47
823,0.000330103823216632,u,BR,i,BR47
828,9.970616520149633e-05,ʊ,BR,i,BR47
881,0.20234152674674988,i,BR,i,BR496
887,0.22137698531150818,ɪ,BR,i,BR496
880,0.07003752142190933,eɪ,BR,i,BR496
886,0.16690343618392944,ɛ,BR,i,BR496
884,0.036495134234428406,æ,BR,i,BR496
885,8.46600960358046e-05,ɑ,BR,i,BR496
