,probabilities,classification,language,vowel,file
119,0.8464276194572449,i,BR,i,BR132
122,0.06737808883190155,y,BR,i,BR132
118,0.02740250714123249,e,BR,i,BR132
128,0.018684282898902893,ɛ,BR,i,BR132
129,0.004438619129359722,ɛ̃,BR,i,BR132
123,0.022800656035542488,ø,BR,i,BR132
124,0.005184723064303398,œ,BR,i,BR132
117,1.851356864790432e-05,a,BR,i,BR132
125,2.6530846298555844e-05,ɑ̃,BR,i,BR132
120,1.807521766750142e-05,o,BR,i,BR132
126,1.615224846318597e-06,ɔ,BR,i,BR132
127,1.4792623233006452e-06,ɔ̃,BR,i,BR132
121,0.007617360912263393,u,BR,i,BR132
587,0.502236008644104,i,BR,i,BR329
590,0.07578320056200027,y,BR,i,BR329
586,0.0684535875916481,e,BR,i,BR329
596,0.0857706293463707,ɛ,BR,i,BR329
597,0.026705725118517876,ɛ̃,BR,i,BR329
591,0.09517215937376022,ø,BR,i,BR329
592,0.04340681806206703,œ,BR,i,BR329
585,0.005692829843610525,a,BR,i,BR329
593,0.0016496141906827688,ɑ̃,BR,i,BR329
588,0.0030073539819568396,o,BR,i,BR329
594,0.0011900902027264237,ɔ,BR,i,BR329
595,0.00032085247221402824,ɔ̃,BR,i,BR329
589,0.09061118215322495,u,BR,i,BR329
756,0.1580357551574707,i,BR,i,BR373
759,0.027613714337348938,y,BR,i,BR373
755,0.04213208332657814,e,BR,i,BR373
765,0.07019580155611038,ɛ,BR,i,BR373
766,0.038572367280721664,ɛ̃,BR,i,BR373
760,0.10365409404039383,ø,BR,i,BR373
761,0.0649232268333435,œ,BR,i,BR373
754,0.08090135455131531,a,BR,i,BR373
762,0.014459694735705853,ɑ̃,BR,i,BR373
757,0.059486206620931625,o,BR,i,BR373
763,0.062329381704330444,ɔ,BR,i,BR373
764,0.012892401777207851,ɔ̃,BR,i,BR373
758,0.2648039758205414,u,BR,i,BR373
769,0.0896989181637764,i,BR,i,BR374
772,0.009925669990479946,y,BR,i,BR374
768,0.023010296747088432,e,BR,i,BR374
778,0.03852903097867966,ɛ,BR,i,BR374
779,0.028766246512532234,ɛ̃,BR,i,BR374
773,0.06718985736370087,ø,BR,i,BR374
774,0.040251944214105606,œ,BR,i,BR374
767,0.0987761840224266,a,BR,i,BR374
775,0.01603514328598976,ɑ̃,BR,i,BR374
770,0.12015916407108307,o,BR,i,BR374
