,probabilities,classification,language,vowel,file
119,0.7320595979690552,i,BR,i,BR132
122,0.1468311846256256,y,BR,i,BR132
118,0.03177567571401596,e,BR,i,BR132
128,0.015210875310003757,ɛ,BR,i,BR132
129,1.0294606909155846e-05,ɛ̃,BR,i,BR132
123,0.05385695397853851,ø,BR,i,BR132
124,0.015986371785402298,œ,BR,i,BR132
117,0.00017477289657108486,a,BR,i,BR132
125,2.942573473774246e-06,ɑ̃,BR,i,BR132
120,6.44889150862582e-05,o,BR,i,BR132
126,0.0032244196627289057,ɔ,BR,i,BR132
127,2.3120801415643655e-05,ɔ̃,BR,i,BR132
121,0.0007793717668391764,u,BR,i,BR132
587,0.448404997587204,i,BR,i,BR329
590,0.04699499532580376,y,BR,i,BR329
586,0.10303439199924469,e,BR,i,BR329
596,0.07857879251241684,ɛ,BR,i,BR329
597,0.0012203188380226493,ɛ̃,BR,i,BR329
591,0.15223926305770874,ø,BR,i,BR329
592,0.0959877297282219,œ,BR,i,BR329
585,0.008923640474677086,a,BR,i,BR329
593,0.00042067261529155076,ɑ̃,BR,i,BR329
588,0.0018733006436377764,o,BR,i,BR329
594,0.038495369255542755,ɔ,BR,i,BR329
595,0.00159120571333915,ɔ̃,BR,i,BR329
589,0.022235220298171043,u,BR,i,BR329
756,0.0015659324126318097,i,BR,i,BR373
759,0.010657964274287224,y,BR,i,BR373
755,0.009590944275259972,e,BR,i,BR373
765,0.09413131326436996,ɛ,BR,i,BR373
766,0.022751707583665848,ɛ̃,BR,i,BR373
760,0.16446411609649658,ø,BR,i,BR373
761,0.1713680773973465,œ,BR,i,BR373
754,0.05229261890053749,a,BR,i,BR373
762,0.020964795723557472,ɑ̃,BR,i,BR373
757,0.048790305852890015,o,BR,i,BR373
763,0.17161205410957336,ɔ,BR,i,BR373
764,0.044472627341747284,ɔ̃,BR,i,BR373
758,0.18733744323253632,u,BR,i,BR373
769,0.0001394999271724373,i,BR,i,BR374
772,0.0031289036851376295,y,BR,i,BR374
768,0.0022238504607230425,e,BR,i,BR374
778,0.04529076814651489,ɛ,BR,i,BR374
779,0.025030460208654404,ɛ̃,BR,i,BR374
773,0.10115354508161545,ø,BR,i,BR374
774,0.09534258395433426,œ,BR,i,BR374
767,0.05362071841955185,a,BR,i,BR374
775,0.04527885094285011,ɑ̃,BR,i,BR374
770,0.09085047245025635,o,BR,i,BR374
776,0.173553466796875,ɔ,BR,i,BR374
777,0.0822821781039238,ɔ̃,BR,i,BR374
771,0.28210482001304626,u,BR,i,BR374
782,7.813040610926691e-06,i,BR,i,BR375
785,0.0004723372985608876,y,BR,i,BR375
781,0.00037808282650075853,e,BR,i,BR375
791,0.017148973420262337,ɛ,BR,i,BR375
792,0.038615643978118896,ɛ̃,BR,i,BR375
786,0.03880077227950096,ø,BR,i,BR375
787,0.05780763179063797,œ,BR,i,BR375
780,0.04876580834388733,a,BR,i,BR375
788,0.0941021591424942,ɑ̃,BR,i,BR375
783,0.11114320158958435,o,BR,i,BR375
789,0.18445494771003723,ɔ,BR,i,BR375
790,0.10988018661737442,ɔ̃,BR,i,BR375
784,0.2984224855899811,u,BR,i,BR375
964,0.2070908099412918,i,BR,i,BR452
967,0.10514207929372787,y,BR,i,BR452
963,0.04476715251803398,e,BR,i,BR452
973,0.06257648020982742,ɛ,BR,i,BR452
974,0.0007716085528954864,ɛ̃,BR,i,BR452
968,0.19919557869434357,ø,BR,i,BR452
969,0.22845019400119781,œ,BR,i,BR452
962,0.0036588143557310104,a,BR,i,BR452
970,0.00024966118508018553,ɑ̃,BR,i,BR452
965,0.0014369674026966095,o,BR,i,BR452
971,0.12895147502422333,ɔ,BR,i,BR452
972,0.0006330173928290606,ɔ̃,BR,i,BR452
966,0.01707625389099121,u,BR,i,BR452
977,0.452992707490921,i,BR,i,BR454
980,0.07801025360822678,y,BR,i,BR454
976,0.05854811519384384,e,BR,i,BR454
986,0.049507103860378265,ɛ,BR,i,BR454
987,0.0002983124286402017,ɛ̃,BR,i,BR454
981,0.16544277966022491,ø,BR,i,BR454
982,0.12354174256324768,œ,BR,i,BR454
975,0.0024859521072357893,a,BR,i,BR454
983,9.424382005818188e-05,ɑ̃,BR,i,BR454
978,0.0006801837007515132,o,BR,i,BR454
984,0.056641679257154465,ɔ,BR,i,BR454
985,0.00034365293686278164,ɔ̃,BR,i,BR454
979,0.011413279920816422,u,BR,i,BR454
1016,0.4407905042171478,i,BR,i,BR46
1019,0.4946940541267395,y,BR,i,BR46
1015,0.012361944653093815,e,BR,i,BR46
1025,0.007091738749295473,ɛ,BR,i,BR46
1026,1.4744952068213024e-06,ɛ̃,BR,i,BR46
1020,0.03627654165029526,ø,BR,i,BR46
1021,0.007237951271235943,œ,BR,i,BR46
1014,2.8155594918644056e-05,a,BR,i,BR46
1022,5.455408995658217e-07,ɑ̃,BR,i,BR46
1017,2.7541114832274616e-05,o,BR,i,BR46
1023,0.0012982687912881374,ɔ,BR,i,BR46
1024,5.108771802042611e-06,ɔ̃,BR,i,BR46
1018,0.00018616441229823977,u,BR,i,BR46
1068,0.6295859217643738,i,BR,i,BR47
1071,0.26161399483680725,y,BR,i,BR47
1067,0.025539370253682137,e,BR,i,BR47
1077,0.014756457880139351,ɛ,BR,i,BR47
1078,6.16015495324973e-06,ɛ̃,BR,i,BR47
1072,0.049637313932180405,ø,BR,i,BR47
1073,0.015929343178868294,œ,BR,i,BR47
1066,8.967217581812292e-05,a,BR,i,BR47
1074,1.4109298263065284e-06,ɑ̃,BR,i,BR47
1069,4.1622093704063445e-05,o,BR,i,BR47
1075,0.0023904258850961924,ɔ,BR,i,BR47
1076,1.1944835932808928e-05,ɔ̃,BR,i,BR47
1070,0.0003962443151976913,u,BR,i,BR47
1146,0.26689857244491577,i,BR,i,BR496
1149,0.032580263912677765,y,BR,i,BR496
1145,0.06746121495962143,e,BR,i,BR496
1155,0.07261445373296738,ɛ,BR,i,BR496
1156,0.0015757681103423238,ɛ̃,BR,i,BR496
1150,0.17087464034557343,ø,BR,i,BR496
1151,0.23016014695167542,œ,BR,i,BR496
1144,0.007753318641334772,a,BR,i,BR496
1152,0.00039881878183223307,ɑ̃,BR,i,BR496
1147,0.001410581637173891,o,BR,i,BR496
1153,0.12150046229362488,ɔ,BR,i,BR496
1154,0.0010139673249796033,ɔ̃,BR,i,BR496
1148,0.025757862254977226,u,BR,i,BR496
1757,0.4726771116256714,i,BR,i,BR741
1760,0.14583812654018402,y,BR,i,BR741
1756,0.11647839844226837,e,BR,i,BR741
1766,0.16467329859733582,ɛ,BR,i,BR741
1767,0.0001819719618652016,ɛ̃,BR,i,BR741
1761,0.03208334743976593,ø,BR,i,BR741
1762,0.06700926274061203,œ,BR,i,BR741
1755,0.0003353497595526278,a,BR,i,BR741
1763,1.8972936004502117e-06,ɑ̃,BR,i,BR741
1758,2.2685308067593724e-05,o,BR,i,BR741
1764,0.0005731774144805968,ɔ,BR,i,BR741
1765,2.103730003000237e-05,ɔ̃,BR,i,BR741
1759,0.00010434195428388193,u,BR,i,BR741
1770,0.7287440299987793,i,BR,i,BR742
1773,0.07767011225223541,y,BR,i,BR742
1769,0.07616990804672241,e,BR,i,BR742
1779,0.051663096994161606,ɛ,BR,i,BR742
1780,6.816547102062032e-05,ɛ̃,BR,i,BR742
1774,0.02947879582643509,ø,BR,i,BR742
1775,0.03450998663902283,œ,BR,i,BR742
1768,0.00028847131761722267,a,BR,i,BR742
1776,2.3184293240774423e-06,ɑ̃,BR,i,BR742
1771,2.543050686654169e-05,o,BR,i,BR742
1777,0.0011374447494745255,ɔ,BR,i,BR742
1778,1.920577051350847e-05,ɔ̃,BR,i,BR742
1772,0.00022305709717329592,u,BR,i,BR742
1835,0.530450701713562,i,BR,i,BR757
1838,0.07735628634691238,y,BR,i,BR757
1834,0.11596503108739853,e,BR,i,BR757
1844,0.12101765722036362,ɛ,BR,i,BR757
1845,0.00035776526783593,ɛ̃,BR,i,BR757
1839,0.06293313205242157,ø,BR,i,BR757
1840,0.08596537262201309,œ,BR,i,BR757
1833,0.001237033517099917,a,BR,i,BR757
1841,1.4238961739465594e-05,ɑ̃,BR,i,BR757
1836,0.0001126630450016819,o,BR,i,BR757
1842,0.0035396104212850332,ɔ,BR,i,BR757
1843,0.00010325328184990212,ɔ̃,BR,i,BR757
1837,0.0009472863748669624,u,BR,i,BR757
1900,0.43218958377838135,i,BR,i,BR796
1903,0.12769389152526855,y,BR,i,BR796
1899,0.12023454904556274,e,BR,i,BR796
1909,0.16299262642860413,ɛ,BR,i,BR796
1910,0.00033678172621876,ɛ̃,BR,i,BR796
1904,0.07037185877561569,ø,BR,i,BR796
1905,0.08172346651554108,œ,BR,i,BR796
1898,0.001125841517932713,a,BR,i,BR796
1906,1.227188386110356e-05,ɑ̃,BR,i,BR796
1901,0.00012780963152181357,o,BR,i,BR796
1907,0.002318641636520624,ɔ,BR,i,BR796
1908,0.0001130720556830056,ɔ̃,BR,i,BR796
1902,0.0007595879724249244,u,BR,i,BR796
2459,0.7445077896118164,i,BR,i,BR99
2462,0.1413104385137558,y,BR,i,BR99
2458,0.03026154451072216,e,BR,i,BR99
2468,0.013213741593062878,ɛ,BR,i,BR99
2469,9.313408554589842e-06,ɛ̃,BR,i,BR99
2463,0.05303915590047836,ø,BR,i,BR99
2464,0.013284835033118725,œ,BR,i,BR99
2457,0.00018140854081138968,a,BR,i,BR99
2465,3.357146397320321e-06,ɑ̃,BR,i,BR99
2460,7.411201659124345e-05,o,BR,i,BR99
2466,0.0031947109382599592,ɔ,BR,i,BR99
2467,2.6216255719191395e-05,ɔ̃,BR,i,BR99
2461,0.0008933444623835385,u,BR,i,BR99
2472,0.4435562789440155,i,BR,i,BR992
2475,0.05498022586107254,y,BR,i,BR992
2471,0.0698147714138031,e,BR,i,BR992
2481,0.054532747715711594,ɛ,BR,i,BR992
2482,0.0005948128527961671,ɛ̃,BR,i,BR992
2476,0.16272664070129395,ø,BR,i,BR992
2477,0.12306733429431915,œ,BR,i,BR992
2470,0.004616439808160067,a,BR,i,BR992
2478,0.00021226127864792943,ɑ̃,BR,i,BR992
2473,0.0011205226182937622,o,BR,i,BR992
2479,0.06590307503938675,ɔ,BR,i,BR992
2480,0.0006886742194183171,ɔ̃,BR,i,BR992
2474,0.01818624697625637,u,BR,i,BR992
54,0.00046645099064335227,i,BR,ĩ,BR1025
57,0.02679484896361828,y,BR,ĩ,BR1025
53,0.006924697197973728,e,BR,ĩ,BR1025
63,0.19869183003902435,ɛ,BR,ĩ,BR1025
64,0.02961980551481247,ɛ̃,BR,ĩ,BR1025
58,0.16945727169513702,ø,BR,ĩ,BR1025
59,0.29512089490890503,œ,BR,ĩ,BR1025
52,0.030252255499362946,a,BR,ĩ,BR1025
60,0.010989360511302948,ɑ̃,BR,ĩ,BR1025
55,0.03825437277555466,o,BR,ĩ,BR1025
61,0.0963720753788948,ɔ,BR,ĩ,BR1025
62,0.0299383532255888,ɔ̃,BR,ĩ,BR1025
56,0.06711786240339279,u,BR,ĩ,BR1025
67,3.333946551720146e-06,i,BR,ĩ,BR1029
70,0.0001586594298714772,y,BR,ĩ,BR1029
66,0.00014455091150011867,e,BR,ĩ,BR1029
76,0.00644440995529294,ɛ,BR,ĩ,BR1029
77,0.014462947845458984,ɛ̃,BR,ĩ,BR1029
71,0.029821839183568954,ø,BR,ĩ,BR1029
72,0.0317397266626358,œ,BR,ĩ,BR1029
65,0.032212287187576294,a,BR,ĩ,BR1029
73,0.07275942713022232,ɑ̃,BR,ĩ,BR1029
68,0.09164545685052872,o,BR,ĩ,BR1029
74,0.2248649001121521,ɔ,BR,ĩ,BR1029
75,0.08107707649469376,ɔ̃,BR,ĩ,BR1029
69,0.41466543078422546,u,BR,ĩ,BR1029
171,0.8251931071281433,i,BR,ĩ,BR154
174,0.0376068651676178,y,BR,ĩ,BR154
170,0.05667534098029137,e,BR,ĩ,BR154
180,0.024400576949119568,ɛ,BR,ĩ,BR154
181,3.490776362014003e-05,ɛ̃,BR,ĩ,BR154
175,0.03403939679265022,ø,BR,ĩ,BR154
176,0.019079824909567833,œ,BR,ĩ,BR154
169,0.0003692028112709522,a,BR,ĩ,BR154
177,3.7299557789083337e-06,ɑ̃,BR,ĩ,BR154
172,4.129395529162139e-05,o,BR,ĩ,BR154
178,0.0018825005972757936,ɔ,BR,ĩ,BR154
179,2.9910061130067334e-05,ɔ̃,BR,ĩ,BR154
173,0.0006433870294131339,u,BR,ĩ,BR154
184,0.44349825382232666,i,BR,ĩ,BR158
187,0.021826958283782005,y,BR,ĩ,BR158
183,0.11090665310621262,e,BR,ĩ,BR158
193,0.08918467909097672,ɛ,BR,ĩ,BR158
194,0.0009643923840485513,ɛ̃,BR,ĩ,BR158
188,0.15973247587680817,ø,BR,ĩ,BR158
189,0.10721602290868759,œ,BR,ĩ,BR158
182,0.008956949226558208,a,BR,ĩ,BR158
190,0.00023711688118055463,ɑ̃,BR,ĩ,BR158
185,0.0011034253984689713,o,BR,ĩ,BR158
191,0.032829102128744125,ɔ,BR,ĩ,BR158
192,0.0011725086951628327,ɔ̃,BR,ĩ,BR158
186,0.022371409460902214,u,BR,ĩ,BR158
197,0.29496604204177856,i,BR,ĩ,BR159
200,0.027469301596283913,y,BR,ĩ,BR159
196,0.10072553902864456,e,BR,ĩ,BR159
206,0.11373060196638107,ɛ,BR,ĩ,BR159
207,0.001483147032558918,ɛ̃,BR,ĩ,BR159
201,0.20432314276695251,ø,BR,ĩ,BR159
202,0.1605702042579651,œ,BR,ĩ,BR159
195,0.011217385530471802,a,BR,ĩ,BR159
203,0.00036836942308582366,ɑ̃,BR,ĩ,BR159
198,0.001693440368399024,o,BR,ĩ,BR159
204,0.0517665334045887,ɔ,BR,ĩ,BR159
205,0.0016643464332446456,ɔ̃,BR,ĩ,BR159
199,0.030021943151950836,u,BR,ĩ,BR159
431,6.738457886967808e-05,i,BR,ĩ,BR264
434,0.0035138654056936502,y,BR,ĩ,BR264
430,0.00198319461196661,e,BR,ĩ,BR264
440,0.06620178371667862,ɛ,BR,ĩ,BR264
441,0.041265957057476044,ɛ̃,BR,ĩ,BR264
435,0.09598125517368317,ø,BR,ĩ,BR264
436,0.10907132923603058,œ,BR,ĩ,BR264
429,0.05982029810547829,a,BR,ĩ,BR264
437,0.05379876121878624,ɑ̃,BR,ĩ,BR264
432,0.1101786196231842,o,BR,ĩ,BR264
438,0.12468773871660233,ɔ,BR,ĩ,BR264
439,0.10803437232971191,ɔ̃,BR,ĩ,BR264
433,0.22539539635181427,u,BR,ĩ,BR264
873,0.00012052150850649923,i,BR,ĩ,BR411
876,0.004056285135447979,y,BR,ĩ,BR411
872,0.003486720845103264,e,BR,ĩ,BR411
882,0.10325279086828232,ɛ,BR,ĩ,BR411
883,0.07148125022649765,ɛ̃,BR,ĩ,BR411
877,0.09195790439844131,ø,BR,ĩ,BR411
878,0.15086357295513153,œ,BR,ĩ,BR411
871,0.07270016521215439,a,BR,ĩ,BR411
879,0.050313521176576614,ɑ̃,BR,ĩ,BR411
874,0.08474504947662354,o,BR,ĩ,BR411
880,0.10462652891874313,ɔ,BR,ĩ,BR411
881,0.0994955375790596,ɔ̃,BR,ĩ,BR411
875,0.16290007531642914,u,BR,ĩ,BR411
886,0.0015745462151244283,i,BR,ĩ,BR417
889,0.007119241636246443,y,BR,ĩ,BR417
885,0.010733246803283691,e,BR,ĩ,BR417
895,0.10323870182037354,ɛ,BR,ĩ,BR417
896,0.037970516830682755,ɛ̃,BR,ĩ,BR417
890,0.1309426724910736,ø,BR,ĩ,BR417
891,0.213804230093956,œ,BR,ĩ,BR417
884,0.06060049682855606,a,BR,ĩ,BR417
892,0.022601734846830368,ɑ̃,BR,ĩ,BR417
887,0.03781289979815483,o,BR,ĩ,BR417
893,0.17721278965473175,ɔ,BR,ĩ,BR417
894,0.04073907062411308,ɔ̃,BR,ĩ,BR417
888,0.1556498408317566,u,BR,ĩ,BR417
1172,0.6842702031135559,i,BR,ĩ,BR504
1175,0.07866687327623367,y,BR,ĩ,BR504
1171,0.09524005651473999,e,BR,ĩ,BR504
1181,0.06987015902996063,ɛ,BR,ĩ,BR504
1182,0.00011889238521689549,ɛ̃,BR,ĩ,BR504
1176,0.033924706280231476,ø,BR,ĩ,BR504
1177,0.035893674939870834,œ,BR,ĩ,BR504
1170,0.00048805648111738265,a,BR,ĩ,BR504
1178,4.348081347416155e-06,ɑ̃,BR,ĩ,BR504
1173,4.358221485745162e-05,o,BR,ĩ,BR504
1179,0.0011186928022652864,ɔ,BR,ĩ,BR504
1180,3.798684701905586e-05,ɔ̃,BR,ĩ,BR504
1174,0.00032281523454003036,u,BR,ĩ,BR504
1185,0.14458554983139038,i,BR,ĩ,BR510
1188,0.036919981241226196,y,BR,ĩ,BR510
1184,0.0802752897143364,e,BR,ĩ,BR510
1194,0.1453743427991867,ɛ,BR,ĩ,BR510
1195,0.003849972505122423,ɛ̃,BR,ĩ,BR510
1189,0.1815779060125351,ø,BR,ĩ,BR510
1190,0.2866613268852234,œ,BR,ĩ,BR510
1183,0.012447529472410679,a,BR,ĩ,BR510
1191,0.0006357845850288868,ɑ̃,BR,ĩ,BR510
1186,0.002174933673813939,o,BR,ĩ,BR510
1192,0.07916847616434097,ɔ,BR,ĩ,BR510
1193,0.0019582395907491446,ɔ̃,BR,ĩ,BR510
1187,0.024370655417442322,u,BR,ĩ,BR510
1302,0.008170387707650661,i,BR,ĩ,BR559
1305,0.015380672179162502,y,BR,ĩ,BR559
1301,0.019821573048830032,e,BR,ĩ,BR559
1311,0.12142675369977951,ɛ,BR,ĩ,BR559
1312,0.008537610992789268,ɛ̃,BR,ĩ,BR559
1306,0.21811728179454803,ø,BR,ĩ,BR559
1307,0.2932100296020508,œ,BR,ĩ,BR559
1300,0.025497684255242348,a,BR,ĩ,BR559
1308,0.0035537215881049633,ɑ̃,BR,ĩ,BR559
1303,0.011284985579550266,o,BR,ĩ,BR559
1309,0.1731293648481369,ɔ,BR,ĩ,BR559
1310,0.009624363854527473,ɔ̃,BR,ĩ,BR559
1304,0.09224558621644974,u,BR,ĩ,BR559
1510,9.942763199433102e-07,i,BR,ĩ,BR648
1513,9.90736298263073e-05,y,BR,ĩ,BR648
1509,0.00017188281344715506,e,BR,ĩ,BR648
1519,0.017003463581204414,ɛ,BR,ĩ,BR648
1520,0.06009254977107048,ɛ̃,BR,ĩ,BR648
1514,0.022753873839974403,ø,BR,ĩ,BR648
1515,0.034516591578722,œ,BR,ĩ,BR648
1508,0.06498142331838608,a,BR,ĩ,BR648
1516,0.12176546454429626,ɑ̃,BR,ĩ,BR648
1511,0.12540899217128754,o,BR,ĩ,BR648
1517,0.07157864421606064,ɔ,BR,ĩ,BR648
1518,0.19498535990715027,ɔ̃,BR,ĩ,BR648
1512,0.28664177656173706,u,BR,ĩ,BR648
1575,1.1775705410776993e-10,i,BR,ĩ,BR687
1578,4.4849682012682024e-07,y,BR,ĩ,BR687
1574,5.536617777579522e-07,e,BR,ĩ,BR687
1584,0.000598028302192688,ɛ,BR,ĩ,BR687
1585,0.049399442970752716,ɛ̃,BR,ĩ,BR687
1579,0.0008058816893026233,ø,BR,ĩ,BR687
1580,0.0018404879374429584,œ,BR,ĩ,BR687
1573,0.019421933218836784,a,BR,ĩ,BR687
1581,0.34828951954841614,ɑ̃,BR,ĩ,BR687
1576,0.14880028367042542,o,BR,ĩ,BR687
1582,0.0131914634257555,ɔ,BR,ĩ,BR687
1583,0.2856111228466034,ɔ̃,BR,ĩ,BR687
1577,0.13204078376293182,u,BR,ĩ,BR687
2082,3.762290035069782e-08,i,BR,ĩ,BR848
2085,2.7108699214295484e-05,y,BR,ĩ,BR848
2081,2.242051050416194e-05,e,BR,ĩ,BR848
2091,0.006297530606389046,ɛ,BR,ĩ,BR848
2092,0.04900200664997101,ɛ̃,BR,ĩ,BR848
2086,0.009307426400482655,ø,BR,ĩ,BR848
2087,0.013574213720858097,œ,BR,ĩ,BR848
2080,0.03961868956685066,a,BR,ĩ,BR848
2088,0.17750242352485657,ɑ̃,BR,ĩ,BR848
2083,0.17639800906181335,o,BR,ĩ,BR848
2089,0.04178439825773239,ɔ,BR,ĩ,BR848
2090,0.25191888213157654,ɔ̃,BR,ĩ,BR848
2084,0.23454682528972626,u,BR,ĩ,BR848
