,language,vowel,file,classification,probabilities
1009,BR,i,BR132,i,0.99999905
7009,BR,i,BR132,ɪ,7.582553e-10
9,BR,i,BR132,eɪ,3.775131e-11
6009,BR,i,BR132,ɛ,1.026187e-10
4009,BR,i,BR132,æ,1.026187e-10
5009,BR,i,BR132,ɑ,1.026187e-10
9009,BR,i,BR132,ʌ,1.5229965e-08
2009,BR,i,BR132,oʊ,1.1253507e-07
3009,BR,i,BR132,u,8.315279e-07
8009,BR,i,BR132,ʊ,5.602791e-09
1045,BR,i,BR329,i,0.9762338
7045,BR,i,BR329,ɪ,0.0024198417
45,BR,i,BR329,eɪ,2.20661e-06
6045,BR,i,BR329,ɛ,8.117664e-07
4045,BR,i,BR329,æ,1.6304764e-05
5045,BR,i,BR329,ɑ,1.6304764e-05
9045,BR,i,BR329,ʌ,0.00012047682
2045,BR,i,BR329,oʊ,0.00089021
3045,BR,i,BR329,u,0.0024198417
8045,BR,i,BR329,ʊ,0.017880347
1058,BR,i,BR373,i,0.047410082
7058,BR,i,BR373,ɪ,0.952257
58,BR,i,BR373,eɪ,2.9129762e-07
6058,BR,i,BR373,ɛ,7.9182905e-07
4058,BR,i,BR373,æ,3.9422844e-08
5058,BR,i,BR373,ɑ,5.850869e-06
9058,BR,i,BR373,ʌ,2.9129762e-07
2058,BR,i,BR373,oʊ,2.9129762e-07
3058,BR,i,BR373,u,5.850869e-06
8058,BR,i,BR373,ʊ,0.0003194466
1059,BR,i,BR374,i,0.93617404
7059,BR,i,BR374,ɪ,0.04660936
59,BR,i,BR374,eɪ,5.752052e-06
6059,BR,i,BR374,ɛ,2.1160618e-06
4059,BR,i,BR374,æ,5.752052e-06
5059,BR,i,BR374,ɑ,2.1160618e-06
9059,BR,i,BR374,ʌ,5.752052e-06
2059,BR,i,BR374,oʊ,5.752052e-06
3059,BR,i,BR374,u,4.2502237e-05
8059,BR,i,BR374,ʊ,0.017146626
1060,BR,i,BR375,i,0.95147055
7060,BR,i,BR375,ɪ,0.00086762884
60,BR,i,BR375,eɪ,7.9117507e-07
6060,BR,i,BR375,ɛ,2.9105703e-07
4060,BR,i,BR375,æ,5.8460373e-06
5060,BR,i,BR375,ɑ,5.8460373e-06
9060,BR,i,BR375,ʌ,4.31967e-05
2060,BR,i,BR375,oʊ,0.000117420794
3060,BR,i,BR375,u,0.000117420794
8060,BR,i,BR375,ʊ,0.04737093
1074,BR,i,BR452,i,0.9981706
7074,BR,i,BR452,ɪ,0.0009102138
74,BR,i,BR452,eɪ,1.5202117e-08
6074,BR,i,BR452,ɛ,4.1323638e-08
4074,BR,i,BR452,æ,2.2561944e-06
5074,BR,i,BR452,ɑ,6.1329724e-06
9074,BR,i,BR452,ʌ,1.123293e-07
2074,BR,i,BR452,oʊ,1.123293e-07
3074,BR,i,BR452,u,0.0009102138
8074,BR,i,BR452,ʊ,3.053427e-07
1075,BR,i,BR454,i,0.006692835
7075,BR,i,BR454,ɪ,2.2451961e-06
75,BR,i,BR454,eɪ,7.5317935e-10
6075,BR,i,BR454,ɛ,1.1178173e-07
4075,BR,i,BR454,æ,2.0473538e-09
5075,BR,i,BR454,ɑ,5.5652847e-09
9075,BR,i,BR454,ʌ,2.0473538e-09
2075,BR,i,BR454,oʊ,2.0473538e-09
3075,BR,i,BR454,u,0.9933048
8075,BR,i,BR454,ʊ,4.1122195e-08
1078,BR,i,BR46,i,1.0
7078,BR,i,BR46,ɪ,6.9144e-13
78,BR,i,BR46,eɪ,3.442477e-14
6078,BR,i,BR46,ɛ,9.357623e-14
4078,BR,i,BR46,æ,9.357623e-14
5078,BR,i,BR46,ɑ,3.442477e-14
9078,BR,i,BR46,ʌ,9.357623e-14
2078,BR,i,BR46,oʊ,1.02618795e-10
3078,BR,i,BR46,u,1.02618795e-10
8078,BR,i,BR46,ʊ,1.3887944e-11
1082,BR,i,BR47,i,0.9866969
7082,BR,i,BR47,ɪ,1.1103811e-07
82,BR,i,BR47,eɪ,2.23026e-06
6082,BR,i,BR47,ɛ,3.0183287e-07
4082,BR,i,BR47,æ,3.0183287e-07
5082,BR,i,BR47,ɑ,2.23026e-06
9082,BR,i,BR47,ʌ,3.0183287e-07
2082,BR,i,BR47,oʊ,0.0066483114
3082,BR,i,BR47,u,0.0066483114
8082,BR,i,BR47,ʊ,8.204668e-07
1088,BR,i,BR496,i,0.04738453
7088,BR,i,BR496,ɪ,0.00086787797
88,BR,i,BR496,eɪ,1.4495038e-08
6088,BR,i,BR496,ɛ,1.4495038e-08
4088,BR,i,BR496,æ,7.914023e-07
