,language,vowel,file,classification,probabilities
1009,BR,i,BR132,i,0.00011793019
7009,BR,i,BR132,ɪ,0.0023686914
9,BR,i,BR132,eɪ,0.017502392
6009,BR,i,BR132,ɛ,0.017502392
4009,BR,i,BR132,æ,0.00011793019
5009,BR,i,BR132,ɑ,0.0064387703
9009,BR,i,BR132,ʌ,0.00011793019
2009,BR,i,BR132,oʊ,0.00011793019
3009,BR,i,BR132,u,0.95559824
8009,BR,i,BR132,ʊ,0.00011793019
1045,BR,i,BR329,i,0.48614523
7045,BR,i,BR329,ɪ,0.00044330707
45,BR,i,BR329,eɪ,0.00016308355
6045,BR,i,BR329,ɛ,0.00016308355
4045,BR,i,BR329,æ,0.024203746
5045,BR,i,BR329,ɑ,0.00016308355
9045,BR,i,BR329,ʌ,0.00016308355
2045,BR,i,BR329,oʊ,0.0012050336
3045,BR,i,BR329,u,0.48614523
8045,BR,i,BR329,ʊ,0.0012050336
1058,BR,i,BR373,i,8.9780166e-05
7058,BR,i,BR373,ɪ,8.9780166e-05
58,BR,i,BR373,eɪ,8.9780166e-05
6058,BR,i,BR373,ɛ,0.0018032829
4058,BR,i,BR373,æ,0.00024404778
5058,BR,i,BR373,ɑ,0.0006633907
9058,BR,i,BR373,ʌ,8.9780166e-05
2058,BR,i,BR373,oʊ,0.7274962
3058,BR,i,BR373,u,0.2676309
8058,BR,i,BR373,ʊ,0.0018032829
1059,BR,i,BR374,i,1.5897496e-05
7059,BR,i,BR374,ɪ,1.5897496e-05
59,BR,i,BR374,eɪ,1.5897496e-05
6059,BR,i,BR374,ɛ,1.5897496e-05
4059,BR,i,BR374,æ,0.00031930977
5059,BR,i,BR374,ɑ,4.3213877e-05
9059,BR,i,BR374,ʌ,1.5897496e-05
2059,BR,i,BR374,oʊ,0.951849
3059,BR,i,BR374,u,0.047389768
8059,BR,i,BR374,ʊ,0.00031930977
1060,BR,i,BR375,i,0.11896692
7060,BR,i,BR375,ɪ,0.00010848379
60,BR,i,BR375,eɪ,3.990896e-05
6060,BR,i,BR375,ɛ,3.990896e-05
4060,BR,i,BR375,æ,3.990896e-05
5060,BR,i,BR375,ɑ,0.00010848379
9060,BR,i,BR375,ʌ,3.990896e-05
2060,BR,i,BR375,oʊ,0.8790533
3060,BR,i,BR375,u,0.00080159283
8060,BR,i,BR375,ʊ,0.00080159283
1074,BR,i,BR452,i,0.0064387703
7074,BR,i,BR452,ɪ,0.0023686914
74,BR,i,BR452,eɪ,0.00011793019
6074,BR,i,BR452,ɛ,0.00011793019
4074,BR,i,BR452,æ,0.017502392
5074,BR,i,BR452,ɑ,0.017502392
9074,BR,i,BR452,ʌ,0.00011793019
2074,BR,i,BR452,oʊ,0.00011793019
3074,BR,i,BR452,u,0.95559824
8074,BR,i,BR452,ʊ,0.00011793019
1075,BR,i,BR454,i,0.00033497787
7075,BR,i,BR454,ɪ,0.00012323147
75,BR,i,BR454,eɪ,0.0009105643
6075,BR,i,BR454,ɛ,6.135334e-06
4075,BR,i,BR454,æ,6.135334e-06
