,language,vowel,file,classification,probabilities
2009,BR,i,BR132,i,1.0
5009,BR,i,BR132,y,9.357623e-14
1009,BR,i,BR132,e,9.357623e-14
11009,BR,i,BR132,ɛ,6.9144e-13
12009,BR,i,BR132,ɛ̃,6.9144e-13
6009,BR,i,BR132,ø,9.357623e-14
7009,BR,i,BR132,œ,2.5436657e-13
9,BR,i,BR132,a,6.9144e-13
8009,BR,i,BR132,ɑ̃,6.9144e-13
3009,BR,i,BR132,o,9.357623e-14
9009,BR,i,BR132,ɔ,2.5436657e-13
10009,BR,i,BR132,ɔ̃,2.789468e-10
4009,BR,i,BR132,u,2.789468e-10
2045,BR,i,BR329,i,0.98111236
5045,BR,i,BR329,y,4.0617437e-08
1045,BR,i,BR329,e,4.0617437e-08
11045,BR,i,BR329,ɛ,1.1040965e-07
12045,BR,i,BR329,ɛ̃,3.0012455e-07
6045,BR,i,BR329,ø,1.1040965e-07
7045,BR,i,BR329,œ,4.0617437e-08
45,BR,i,BR329,a,4.0617437e-08
8045,BR,i,BR329,ɑ̃,1.1040965e-07
3045,BR,i,BR329,o,6.0281627e-06
9045,BR,i,BR329,ɔ,1.6386244e-05
10045,BR,i,BR329,ɔ̃,0.0179697
4045,BR,i,BR329,u,0.0008946587
2058,BR,i,BR373,i,0.9999938
5058,BR,i,BR373,y,2.789451e-10
1058,BR,i,BR373,e,5.602762e-09
11058,BR,i,BR373,ɛ,6.144174e-06
12058,BR,i,BR373,ɛ̃,2.789451e-10
6058,BR,i,BR373,ø,2.789451e-10
7058,BR,i,BR373,œ,2.789451e-10
58,BR,i,BR373,a,5.602762e-09
8058,BR,i,BR373,ɑ̃,2.0611408e-09
3058,BR,i,BR373,o,1.5229885e-08
9058,BR,i,BR373,ɔ,2.0611408e-09
10058,BR,i,BR373,ɔ̃,4.139912e-08
4058,BR,i,BR373,u,4.139912e-08
2059,BR,i,BR374,i,0.9998754
5059,BR,i,BR374,y,7.5816153e-10
1059,BR,i,BR374,e,5.6020983e-09
