,language,vowel,file,classification,probabilities
2009,BR,i,BR132,i,0.9999918
5009,BR,i,BR132,y,6.144162e-06
1009,BR,i,BR132,e,8.315219e-07
11009,BR,i,BR132,ɛ,2.0611368e-09
12009,BR,i,BR132,ɛ̃,2.0611368e-09
6009,BR,i,BR132,ø,3.058998e-07
7009,BR,i,BR132,œ,2.0611368e-09
9,BR,i,BR132,a,2.0611368e-09
8009,BR,i,BR132,ɑ̃,2.0611368e-09
3009,BR,i,BR132,o,2.0611368e-09
9009,BR,i,BR132,ɔ,2.0611368e-09
10009,BR,i,BR132,ɔ̃,8.315219e-07
4009,BR,i,BR132,u,2.0611368e-09
2045,BR,i,BR329,i,6.1660634e-05
5045,BR,i,BR329,y,0.49964133
1045,BR,i,BR329,e,1.129354e-06
11045,BR,i,BR329,ɛ,1.129354e-06
12045,BR,i,BR329,ɛ̃,1.129354e-06
6045,BR,i,BR329,ø,0.000167611
7045,BR,i,BR329,œ,1.129354e-06
45,BR,i,BR329,a,0.00045561392
8045,BR,i,BR329,ɑ̃,1.129354e-06
3045,BR,i,BR329,o,1.129354e-06
9045,BR,i,BR329,ɔ,2.2683682e-05
10045,BR,i,BR329,ɔ̃,0.49964133
4045,BR,i,BR329,u,3.0699025e-06
2058,BR,i,BR373,i,0.0020693457
5058,BR,i,BR373,y,0.11298244
1058,BR,i,BR373,e,0.0020693457
11058,BR,i,BR373,ɛ,0.0056250645
12058,BR,i,BR373,ɛ̃,0.00010302664
6058,BR,i,BR373,ø,0.0056250645
7058,BR,i,BR373,œ,0.00010302664
58,BR,i,BR373,a,0.015290511
8058,BR,i,BR373,ɑ̃,0.0056250645
3058,BR,i,BR373,o,0.00028005545
9058,BR,i,BR373,ɔ,0.00010302664
10058,BR,i,BR373,ɔ̃,0.83483356
4058,BR,i,BR373,u,0.015290511
2059,BR,i,BR374,i,1.6700526e-05
5059,BR,i,BR374,y,4.5396737e-05
1059,BR,i,BR374,e,1.1252726e-07
11059,BR,i,BR374,ɛ,3.058808e-07
12059,BR,i,BR374,ɛ̃,4.139646e-08
6059,BR,i,BR374,ø,4.139646e-08
7059,BR,i,BR374,œ,4.139646e-08
59,BR,i,BR374,a,6.1437804e-06
8059,BR,i,BR374,ɑ̃,3.058808e-07
