,probabilities,classification,language,vowel,file
91,0.9777957201004028,i,BR,i,BR132
97,0.01591363362967968,ɪ,BR,i,BR132
90,0.002078600460663438,eɪ,BR,i,BR132
96,0.0037162750959396362,ɛ,BR,i,BR132
94,6.704420574266123e-09,æ,BR,i,BR132
95,8.757424438954331e-07,ɑ,BR,i,BR132
99,7.361470488831401e-05,ʌ,BR,i,BR132
92,8.831406739773229e-05,oʊ,BR,i,BR132
93,0.00014314541476778686,u,BR,i,BR132
98,0.00018960215675178915,ʊ,BR,i,BR132
451,0.7347065210342407,i,BR,i,BR329
457,0.10243407636880875,ɪ,BR,i,BR329
450,0.12264988571405411,eɪ,BR,i,BR329
456,0.01059295330196619,ɛ,BR,i,BR329
454,0.0003772299678530544,æ,BR,i,BR329
455,0.0008208301151171327,ɑ,BR,i,BR329
459,0.007000803481787443,ʌ,BR,i,BR329
452,0.0017649224027991295,oʊ,BR,i,BR329
453,0.008443248458206654,u,BR,i,BR329
458,0.011209502816200256,ʊ,BR,i,BR329
581,0.6506813168525696,i,BR,i,BR373
587,0.1946200430393219,ɪ,BR,i,BR373
580,0.09722574055194855,eɪ,BR,i,BR373
586,0.0020261926110833883,ɛ,BR,i,BR373
584,4.397844895720482e-05,æ,BR,i,BR373
585,0.0010507544502615929,ɑ,BR,i,BR373
589,0.0037574239540845156,ʌ,BR,i,BR373
582,0.006913837976753712,oʊ,BR,i,BR373
583,0.014209425076842308,u,BR,i,BR373
588,0.0294713843613863,ʊ,BR,i,BR373
591,0.22820156812667847,i,BR,i,BR374
597,0.3829208016395569,ɪ,BR,i,BR374
590,0.22396303713321686,eɪ,BR,i,BR374
596,0.02773653343319893,ɛ,BR,i,BR374
594,0.0005502171698026359,æ,BR,i,BR374
595,0.0009880875004455447,ɑ,BR,i,BR374
599,0.010837978683412075,ʌ,BR,i,BR374
592,0.01594911515712738,oʊ,BR,i,BR374
593,0.03709309548139572,u,BR,i,BR374
598,0.07175946235656738,ʊ,BR,i,BR374
601,0.2624857723712921,i,BR,i,BR375
607,0.3973537087440491,ɪ,BR,i,BR375
600,0.32074445486068726,eɪ,BR,i,BR375
606,0.012966680340468884,ɛ,BR,i,BR375
604,0.0019362018210813403,æ,BR,i,BR375
605,0.0005661951727233827,ɑ,BR,i,BR375
609,0.00033953881938941777,ʌ,BR,i,BR375
602,0.0009531686664558947,oʊ,BR,i,BR375
603,0.0002654688141774386,u,BR,i,BR375
608,0.002388759283348918,ʊ,BR,i,BR375
741,0.7878901958465576,i,BR,i,BR452
747,0.18887799978256226,ɪ,BR,i,BR452
740,0.0008470212342217565,eɪ,BR,i,BR452
746,0.011468769982457161,ɛ,BR,i,BR452
744,1.853550486430322e-07,æ,BR,i,BR452
745,1.9433946363278665e-06,ɑ,BR,i,BR452
749,0.0015926415799185634,ʌ,BR,i,BR452
742,0.0007013680296950042,oʊ,BR,i,BR452
743,0.005072884261608124,u,BR,i,BR452
748,0.0035469005815684795,ʊ,BR,i,BR452
751,0.0034323446452617645,i,BR,i,BR454
757,0.9452375769615173,ɪ,BR,i,BR454
750,0.0017140860436484218,eɪ,BR,i,BR454
756,0.04704247787594795,ɛ,BR,i,BR454
754,0.0001366421056445688,æ,BR,i,BR454
755,2.3354995932670488e-15,ɑ,BR,i,BR454
759,0.0013702543219551444,ʌ,BR,i,BR454
752,1.3242428487103552e-08,oʊ,BR,i,BR454
753,0.0010336226550862193,u,BR,i,BR454
758,3.298999945400283e-05,ʊ,BR,i,BR454
781,0.8450645804405212,i,BR,i,BR46
787,0.03400440141558647,ɪ,BR,i,BR46
780,0.0113214747980237,eɪ,BR,i,BR46
786,0.0916159451007843,ɛ,BR,i,BR46
