,probabilities,classification,language,vowel,file
91,0.954012930393219,i,BR,i,BR132
97,0.0031370799988508224,ɪ,BR,i,BR132
90,0.04257433861494064,eɪ,BR,i,BR132
96,2.1312620447133668e-05,ɛ,BR,i,BR132
94,1.5178760804701596e-05,æ,BR,i,BR132
95,9.302684844669784e-09,ɑ,BR,i,BR132
99,1.2848295227740891e-05,ʌ,BR,i,BR132
92,7.87054614193039e-06,oʊ,BR,i,BR132
93,0.00021556146384682506,u,BR,i,BR132
98,3.0333646918734303e-06,ʊ,BR,i,BR132
451,0.014810454100370407,i,BR,i,BR329
457,0.00204374804161489,ɪ,BR,i,BR329
450,0.980885922908783,eɪ,BR,i,BR329
456,1.6570897059864365e-05,ɛ,BR,i,BR329
454,0.0005381773808039725,æ,BR,i,BR329
455,8.761080607655458e-07,ɑ,BR,i,BR329
459,9.817182217375375e-06,ʌ,BR,i,BR329
452,0.0007350294035859406,oʊ,BR,i,BR329
453,0.0009266678243875504,u,BR,i,BR329
458,3.279817246948369e-05,ʊ,BR,i,BR329
581,0.010373137891292572,i,BR,i,BR373
587,0.08853892236948013,ɪ,BR,i,BR373
580,0.1152704730629921,eɪ,BR,i,BR373
586,0.006758447736501694,ɛ,BR,i,BR373
584,0.007398590911179781,æ,BR,i,BR373
585,0.03528612107038498,ɑ,BR,i,BR373
589,0.013752525672316551,ʌ,BR,i,BR373
582,0.3775162994861603,oʊ,BR,i,BR373
583,0.08180698752403259,u,BR,i,BR373
588,0.2632984519004822,ʊ,BR,i,BR373
591,0.004258356988430023,i,BR,i,BR374
597,0.012929856777191162,ɪ,BR,i,BR374
590,0.42591550946235657,eɪ,BR,i,BR374
596,0.00022980918583925813,ɛ,BR,i,BR374
594,0.006422786973416805,æ,BR,i,BR374
595,0.0016329335048794746,ɑ,BR,i,BR374
599,0.003653700230643153,ʌ,BR,i,BR374
592,0.5386356711387634,oʊ,BR,i,BR374
593,0.0027844675350934267,u,BR,i,BR374
598,0.003536921925842762,ʊ,BR,i,BR374
601,0.03435267508029938,i,BR,i,BR375
607,0.04186931625008583,ɪ,BR,i,BR375
600,0.8939607739448547,eɪ,BR,i,BR375
606,0.0006644881796091795,ɛ,BR,i,BR375
604,0.004152278881520033,æ,BR,i,BR375
605,2.929589754785411e-05,ɑ,BR,i,BR375
609,0.0008605465409345925,ʌ,BR,i,BR375
602,0.02100588008761406,oʊ,BR,i,BR375
603,0.0028934881556779146,u,BR,i,BR375
608,0.0002112136862706393,ʊ,BR,i,BR375
741,0.7797068357467651,i,BR,i,BR452
747,0.01184730976819992,ɪ,BR,i,BR452
740,0.203290656208992,eɪ,BR,i,BR452
746,4.983246253686957e-05,ɛ,BR,i,BR452
744,0.00022160446678753942,æ,BR,i,BR452
745,6.354564874300195e-08,ɑ,BR,i,BR452
749,2.119211058015935e-05,ʌ,BR,i,BR452
742,5.665258868248202e-05,oʊ,BR,i,BR452
743,0.004775012377649546,u,BR,i,BR452
748,3.073357947869226e-05,ʊ,BR,i,BR452
751,0.26131269335746765,i,BR,i,BR454
757,0.43972980976104736,ɪ,BR,i,BR454
750,0.00030123829492367804,eɪ,BR,i,BR454
756,0.293897807598114,ɛ,BR,i,BR454
754,3.52352908521425e-05,æ,BR,i,BR454
755,6.995222065597773e-05,ɑ,BR,i,BR454
759,0.00411322433501482,ʌ,BR,i,BR454
752,0.00044440579949878156,oʊ,BR,i,BR454
753,7.77758177719079e-05,u,BR,i,BR454
758,1.79149501491338e-05,ʊ,BR,i,BR454
