,probabilities,classification,language,vowel,file
119,0.9773808717727661,i,BR,i,BR132
122,0.00032875832403078675,y,BR,i,BR132
118,0.012903617694973946,e,BR,i,BR132
128,0.0074457391165196896,ɛ,BR,i,BR132
129,0.0011873829644173384,ɛ̃,BR,i,BR132
123,7.836383701942395e-06,ø,BR,i,BR132
124,4.827825250686146e-07,œ,BR,i,BR132
117,7.764233345142202e-08,a,BR,i,BR132
125,9.311020932045722e-08,ɑ̃,BR,i,BR132
120,1.235302306668018e-06,o,BR,i,BR132
126,1.3280357791245478e-07,ɔ,BR,i,BR132
127,9.005422725749668e-06,ɔ̃,BR,i,BR132
121,0.0007347079226747155,u,BR,i,BR132
587,0.9791727066040039,i,BR,i,BR329
590,0.00043735027429647744,y,BR,i,BR329
586,0.006164216902107,e,BR,i,BR329
596,0.00988710019737482,ɛ,BR,i,BR329
597,0.0017141499556601048,ɛ̃,BR,i,BR329
591,5.272757698548958e-05,ø,BR,i,BR329
592,1.1162976079504006e-05,œ,BR,i,BR329
585,2.115713868988678e-05,a,BR,i,BR329
593,3.916404239134863e-05,ɑ̃,BR,i,BR329
588,1.0143509143745177e-06,o,BR,i,BR329
594,2.1558627850026824e-05,ɔ,BR,i,BR329
595,2.1770463717984967e-05,ɔ̃,BR,i,BR329
589,0.002455703914165497,u,BR,i,BR329
756,0.9512988924980164,i,BR,i,BR373
759,0.0028861924074590206,y,BR,i,BR373
755,0.0053072040900588036,e,BR,i,BR373
765,0.001801217789761722,ɛ,BR,i,BR373
766,0.0015540089225396514,ɛ̃,BR,i,BR373
760,0.0003577211173251271,ø,BR,i,BR373
761,8.009088924154639e-05,œ,BR,i,BR373
754,8.314540173159912e-05,a,BR,i,BR373
762,0.00030322387465275824,ɑ̃,BR,i,BR373
757,0.0002865004644263536,o,BR,i,BR373
763,0.0004453161673154682,ɔ,BR,i,BR373
764,0.0007694237865507603,ɔ̃,BR,i,BR373
758,0.03482722491025925,u,BR,i,BR373
769,0.9507791996002197,i,BR,i,BR374
772,7.533543248428032e-05,y,BR,i,BR374
768,0.04092814400792122,e,BR,i,BR374
778,0.004152193199843168,ɛ,BR,i,BR374
779,0.00039078082772903144,ɛ̃,BR,i,BR374
773,1.6405841961386614e-05,ø,BR,i,BR374
774,4.909784365736414e-06,œ,BR,i,BR374
767,5.4318588809110224e-06,a,BR,i,BR374
775,0.00016408791998401284,ɑ̃,BR,i,BR374
770,6.147526437416673e-05,o,BR,i,BR374
776,0.0006401163409464061,ɔ,BR,i,BR374
777,2.255065737699624e-05,ɔ̃,BR,i,BR374
771,0.0027592622209340334,u,BR,i,BR374
782,0.9523640275001526,i,BR,i,BR375
785,0.00039408376323990524,y,BR,i,BR375
781,0.023682160302996635,e,BR,i,BR375
791,0.0068630981259047985,ɛ,BR,i,BR375
792,0.0055720023810863495,ɛ̃,BR,i,BR375
786,1.5656318282708526e-05,ø,BR,i,BR375
787,3.7315223835321376e-06,œ,BR,i,BR375
780,2.624288754304871e-05,a,BR,i,BR375
788,0.0004233380313962698,ɑ̃,BR,i,BR375
783,0.00011309040564810857,o,BR,i,BR375
789,0.0013438030146062374,ɔ,BR,i,BR375
790,0.00010527441918384284,ɔ̃,BR,i,BR375
784,0.009093541651964188,u,BR,i,BR375
964,0.8604326844215393,i,BR,i,BR452
967,0.09709867835044861,y,BR,i,BR452
963,0.015708163380622864,e,BR,i,BR452
973,0.015154738910496235,ɛ,BR,i,BR452
974,0.003145036520436406,ɛ̃,BR,i,BR452
968,0.0025514899753034115,ø,BR,i,BR452
969,5.275301373330876e-05,œ,BR,i,BR452
962,1.7005697827698896e-07,a,BR,i,BR452
970,4.763561207710154e-07,ɑ̃,BR,i,BR452
965,8.872618195709947e-08,o,BR,i,BR452
971,1.7045201161636214e-07,ɔ,BR,i,BR452
972,3.6040689792571357e-06,ɔ̃,BR,i,BR452
966,0.005851895548403263,u,BR,i,BR452
977,0.9252076745033264,i,BR,i,BR454
980,0.0006966600776650012,y,BR,i,BR454
976,0.02477402240037918,e,BR,i,BR454
986,0.005382563453167677,ɛ,BR,i,BR454
987,0.039635609835386276,ɛ̃,BR,i,BR454
981,0.0032628425396978855,ø,BR,i,BR454
982,0.0007655263179913163,œ,BR,i,BR454
975,8.465303267257696e-07,a,BR,i,BR454
983,8.112721843644977e-05,ɑ̃,BR,i,BR454
978,1.0566458513494581e-05,o,BR,i,BR454
984,4.147249637753703e-05,ɔ,BR,i,BR454
985,2.170073003071593e-06,ɔ̃,BR,i,BR454
979,0.00013902368664275855,u,BR,i,BR454
1016,0.961753785610199,i,BR,i,BR46
1019,0.002512217266485095,y,BR,i,BR46
1015,0.020344410091638565,e,BR,i,BR46
1025,0.007957486435770988,ɛ,BR,i,BR46
1026,0.0032105054706335068,ɛ̃,BR,i,BR46
1020,8.31662691780366e-05,ø,BR,i,BR46
1021,4.39407358499011e-06,œ,BR,i,BR46
1014,9.693636826568763e-08,a,BR,i,BR46
1022,5.202159059081168e-07,ɑ̃,BR,i,BR46
1017,8.904887494054492e-08,o,BR,i,BR46
1023,6.938335417316921e-08,ɔ,BR,i,BR46
1024,5.8945570344803855e-06,ɔ̃,BR,i,BR46
1018,0.004127234686166048,u,BR,i,BR46
1068,0.9760782718658447,i,BR,i,BR47
1071,0.003692758735269308,y,BR,i,BR47
1067,0.0036219924222677946,e,BR,i,BR47
1077,0.005032526794821024,ɛ,BR,i,BR47
1078,0.0003790781775023788,ɛ̃,BR,i,BR47
1072,2.3015361875877716e-05,ø,BR,i,BR47
1073,1.1674674169626087e-06,œ,BR,i,BR47
1066,1.4504384182600916e-07,a,BR,i,BR47
1074,6.286429510282687e-08,ɑ̃,BR,i,BR47
1069,3.0865512599120848e-06,o,BR,i,BR47
1075,1.0574396469564817e-07,ɔ,BR,i,BR47
1076,2.6270336093148217e-05,ɔ̃,BR,i,BR47
1070,0.011141307651996613,u,BR,i,BR47
1146,0.9892849326133728,i,BR,i,BR496
1149,0.007666427176445723,y,BR,i,BR496
1145,0.0013192452024668455,e,BR,i,BR496
1155,0.0006329294410534203,ɛ,BR,i,BR496
1156,0.0008772216970100999,ɛ̃,BR,i,BR496
1150,1.8851969798561186e-05,ø,BR,i,BR496
1151,9.86912382927585e-08,œ,BR,i,BR496
1144,1.7803363228097169e-09,a,BR,i,BR496
1152,6.640235916677284e-09,ɑ̃,BR,i,BR496
1147,8.663255113283697e-10,o,BR,i,BR496
1153,6.057346846333189e-10,ɔ,BR,i,BR496
1154,3.2883812650652544e-07,ɔ̃,BR,i,BR496
1148,0.00019992489251308143,u,BR,i,BR496
1757,0.959808349609375,i,BR,i,BR741
