,probabilities,classification,language,vowel,file
119,0.9141585826873779,i,BR,i,BR132
122,0.06776861846446991,y,BR,i,BR132
118,0.01806354895234108,e,BR,i,BR132
128,3.132971414743224e-06,ɛ,BR,i,BR132
129,2.952421845980407e-18,ɛ̃,BR,i,BR132
123,2.9517302664316958e-06,ø,BR,i,BR132
124,1.3480757843353786e-06,œ,BR,i,BR132
117,3.2134428451513486e-10,a,BR,i,BR132
125,2.5161570715477427e-18,ɑ̃,BR,i,BR132
120,8.987667554638534e-11,o,BR,i,BR132
126,1.449064201963779e-10,ɔ,BR,i,BR132
127,1.9831278817456638e-13,ɔ̃,BR,i,BR132
121,1.8471104112904868e-06,u,BR,i,BR132
587,0.030732354149222374,i,BR,i,BR329
590,0.4257785975933075,y,BR,i,BR329
586,0.0008047696319408715,e,BR,i,BR329
596,0.3540591895580292,ɛ,BR,i,BR329
597,8.72167227328191e-09,ɛ̃,BR,i,BR329
591,0.00411248067393899,ø,BR,i,BR329
592,5.877929288544692e-05,œ,BR,i,BR329
585,8.100588456727564e-05,a,BR,i,BR329
593,0.18433254957199097,ɑ̃,BR,i,BR329
588,1.3313563613337465e-05,o,BR,i,BR329
594,2.700800177990459e-05,ɔ,BR,i,BR329
595,9.274787049484701e-10,ɔ̃,BR,i,BR329
589,7.512212518712147e-10,u,BR,i,BR329
756,3.2479715628142003e-07,i,BR,i,BR373
759,0.9998687505722046,y,BR,i,BR373
755,3.005533289979212e-05,e,BR,i,BR373
765,7.977077621035278e-05,ɛ,BR,i,BR373
766,6.437435029482685e-10,ɛ̃,BR,i,BR373
760,1.0435745025461074e-05,ø,BR,i,BR373
761,9.579985999152996e-06,œ,BR,i,BR373
754,2.2095113239029018e-10,a,BR,i,BR373
762,6.895912747495458e-07,ɑ̃,BR,i,BR373
757,3.716395724495669e-07,o,BR,i,BR373
763,3.5574807100147154e-08,ɔ,BR,i,BR373
764,9.504053775328072e-16,ɔ̃,BR,i,BR373
758,2.7681950156600854e-13,u,BR,i,BR373
769,1.027527673613804e-06,i,BR,i,BR374
772,0.996483325958252,y,BR,i,BR374
768,1.3952590052213054e-06,e,BR,i,BR374
778,9.745784336701035e-05,ɛ,BR,i,BR374
779,3.5382675522138696e-12,ɛ̃,BR,i,BR374
773,0.0030546856578439474,ø,BR,i,BR374
774,0.0003550324763637036,œ,BR,i,BR374
767,8.238625059941995e-11,a,BR,i,BR374
775,6.196566573635209e-06,ɑ̃,BR,i,BR374
770,5.982163884254987e-07,o,BR,i,BR374
776,3.7226908489174093e-07,ɔ,BR,i,BR374
777,3.123343814484536e-12,ɔ̃,BR,i,BR374
771,7.28610574651789e-12,u,BR,i,BR374
782,2.6885314582614228e-05,i,BR,i,BR375
785,0.9556612372398376,y,BR,i,BR375
781,6.158136966405436e-05,e,BR,i,BR375
791,0.04249332845211029,ɛ,BR,i,BR375
792,3.7531069918550486e-10,ɛ̃,BR,i,BR375
786,0.0009207008988596499,ø,BR,i,BR375
787,0.00012419366976246238,œ,BR,i,BR375
780,2.248026930828928e-06,a,BR,i,BR375
788,0.0007098580244928598,ɑ̃,BR,i,BR375
783,1.8834894532915314e-08,o,BR,i,BR375
789,1.3279836785784482e-08,ɔ,BR,i,BR375
790,2.516397666955071e-14,ɔ̃,BR,i,BR375
784,3.786669684546296e-15,u,BR,i,BR375
964,0.03549541160464287,i,BR,i,BR452
967,0.9240036606788635,y,BR,i,BR452
963,0.03878489136695862,e,BR,i,BR452
973,0.00015537466970272362,ɛ,BR,i,BR452
974,5.182444710459706e-14,ɛ̃,BR,i,BR452
968,0.0012713376199826598,ø,BR,i,BR452
969,0.00028736231615766883,œ,BR,i,BR452
962,6.126154694641173e-09,a,BR,i,BR452
970,5.171632165481416e-14,ɑ̃,BR,i,BR452
965,4.780527529391065e-09,o,BR,i,BR452
971,2.397675871179672e-07,ɔ,BR,i,BR452
972,3.8771600947146156e-13,ɔ̃,BR,i,BR452
966,1.585417862770555e-06,u,BR,i,BR452
977,0.916282057762146,i,BR,i,BR454
980,0.020689131692051888,y,BR,i,BR454
976,0.062312282621860504,e,BR,i,BR454
986,0.0005083241267129779,ɛ,BR,i,BR454
987,4.560148166189674e-22,ɛ̃,BR,i,BR454
981,0.00018983268819283694,ø,BR,i,BR454
982,1.832305315474514e-05,œ,BR,i,BR454
975,1.8837403858995572e-10,a,BR,i,BR454
983,4.183046375510471e-15,ɑ̃,BR,i,BR454
978,6.949822051183219e-09,o,BR,i,BR454
984,2.049433156514624e-08,ɔ,BR,i,BR454
985,1.473934986482951e-26,ɔ̃,BR,i,BR454
979,2.426110334852183e-08,u,BR,i,BR454
1016,0.8733993172645569,i,BR,i,BR46
1019,0.087580606341362,y,BR,i,BR46
1015,0.03887980058789253,e,BR,i,BR46
1025,0.00011534731311257929,ɛ,BR,i,BR46
1026,1.010015956470539e-15,ɛ̃,BR,i,BR46
1020,1.8183101929025725e-05,ø,BR,i,BR46
1021,6.690210284432396e-06,œ,BR,i,BR46
1014,4.559379540580721e-09,a,BR,i,BR46
1022,3.624715545075263e-14,ɑ̃,BR,i,BR46
1017,9.093049230246564e-11,o,BR,i,BR46
1023,1.8856821659696266e-10,ɔ,BR,i,BR46
1024,2.1820757277902364e-13,ɔ̃,BR,i,BR46
1018,1.3759255068634957e-07,u,BR,i,BR46
1068,0.37703171372413635,i,BR,i,BR47
1071,0.598464846611023,y,BR,i,BR47
1067,0.023005185648798943,e,BR,i,BR47
1077,4.9640002544038e-06,ɛ,BR,i,BR47
1078,8.860706443853319e-17,ɛ̃,BR,i,BR47
1072,8.288188837468624e-05,ø,BR,i,BR47
1073,0.00011580407590372488,œ,BR,i,BR47
1066,1.9038602638854485e-10,a,BR,i,BR47
1074,3.109227397590206e-16,ɑ̃,BR,i,BR47
1069,9.684843860213732e-08,o,BR,i,BR47
1075,3.074780963174817e-08,ɔ,BR,i,BR47
1076,7.0990210238042195e-12,ɔ̃,BR,i,BR47
1070,0.0012944918125867844,u,BR,i,BR47
1146,0.3178460896015167,i,BR,i,BR496
1149,0.024493232369422913,y,BR,i,BR496
1145,0.6567803621292114,e,BR,i,BR496
1155,0.0008728538523428142,ɛ,BR,i,BR496
1156,1.7140761690080827e-19,ɛ̃,BR,i,BR496
1150,6.5604249357420485e-06,ø,BR,i,BR496
1151,8.898625765141333e-07,œ,BR,i,BR496
1144,1.063347854213248e-09,a,BR,i,BR496
1152,9.34891947928021e-15,ɑ̃,BR,i,BR496
1147,2.8284990669091847e-11,o,BR,i,BR496
1153,8.574638776792654e-10,ɔ,BR,i,BR496
1154,3.597558127751394e-22,ɔ̃,BR,i,BR496
1148,6.634414684292267e-10,u,BR,i,BR496
1757,0.8232069611549377,i,BR,i,BR741
1760,2.3498294467572123e-05,y,BR,i,BR741
1756,0.17633937299251556,e,BR,i,BR741
1766,0.00010571999882813543,ɛ,BR,i,BR741
1767,6.846868538748377e-16,ɛ̃,BR,i,BR741
1761,4.456608075997792e-05,ø,BR,i,BR741
1762,0.00010245873272651806,œ,BR,i,BR741
1755,2.4794775121961266e-09,a,BR,i,BR741
1763,2.525347755888939e-14,ɑ̃,BR,i,BR741
1758,2.2808846551924944e-05,o,BR,i,BR741
1764,1.9908804461010732e-05,ɔ,BR,i,BR741
1765,2.4066734933061995e-13,ɔ̃,BR,i,BR741
1759,0.0001347997458651662,u,BR,i,BR741
1770,0.8136718273162842,i,BR,i,BR742
1773,0.0007106510456651449,y,BR,i,BR742
1769,0.14936089515686035,e,BR,i,BR742
1779,0.02000655233860016,ɛ,BR,i,BR742
1780,1.7027650123235816e-10,ɛ̃,BR,i,BR742
1774,0.002755820518359542,ø,BR,i,BR742
1775,0.0011483209673315287,œ,BR,i,BR742
1768,2.1948038920527324e-05,a,BR,i,BR742
1776,6.272967567610976e-08,ɑ̃,BR,i,BR742
1771,0.005887247156351805,o,BR,i,BR742
1777,0.006283443886786699,ɔ,BR,i,BR742
1778,1.5525915841863025e-06,ɔ̃,BR,i,BR742
1772,0.00015158162568695843,u,BR,i,BR742
1835,0.9690364003181458,i,BR,i,BR757
1838,2.8539567210827954e-05,y,BR,i,BR757
1834,0.029850484803318977,e,BR,i,BR757
1844,7.408307283185422e-05,ɛ,BR,i,BR757
1845,5.174726292134441e-15,ɛ̃,BR,i,BR757
1839,9.422617586096749e-05,ø,BR,i,BR757
1840,4.976966738468036e-05,œ,BR,i,BR757
1833,8.07448508055586e-09,a,BR,i,BR757
1841,5.368516503741205e-13,ɑ̃,BR,i,BR757
1836,0.00013112823944538832,o,BR,i,BR757
1842,0.00013522167864721268,ɔ,BR,i,BR757
1843,2.1464066635168422e-11,ɔ̃,BR,i,BR757
1837,0.000600172788836062,u,BR,i,BR757
1900,0.973724365234375,i,BR,i,BR796
1903,0.003812699345871806,y,BR,i,BR796
1899,0.021331246942281723,e,BR,i,BR796
1909,0.00017223575559910387,ɛ,BR,i,BR796
1910,4.264443615939473e-14,ɛ̃,BR,i,BR796
1904,0.0008210676605813205,ø,BR,i,BR796
1905,8.810920553514734e-05,œ,BR,i,BR796
1898,3.703159023871194e-08,a,BR,i,BR796
1906,4.181134334157316e-13,ɑ̃,BR,i,BR796
1901,1.6532231938981568e-06,o,BR,i,BR796
1907,2.4133921669999836e-06,ɔ,BR,i,BR796
1908,8.42768344000433e-09,ɔ̃,BR,i,BR796
1902,4.629256000043824e-05,u,BR,i,BR796
2459,0.1339644342660904,i,BR,i,BR99
2462,0.8611351847648621,y,BR,i,BR99
2458,0.004804755561053753,e,BR,i,BR99
2468,4.33468449045904e-06,ɛ,BR,i,BR99
2469,2.3160093651507273e-15,ɛ̃,BR,i,BR99
2463,3.937284418498166e-05,ø,BR,i,BR99
2464,3.9971830119611695e-05,œ,BR,i,BR99
2457,1.4127185643530993e-08,a,BR,i,BR99
2465,3.0212431736831454e-16,ɑ̃,BR,i,BR99
2460,4.7580885897957614e-09,o,BR,i,BR99
2466,5.459027008214434e-09,ɔ,BR,i,BR99
2467,3.19767129441928e-10,ɔ̃,BR,i,BR99
2461,1.19680598800187e-05,u,BR,i,BR99
2472,0.21476693451404572,i,BR,i,BR992
2475,0.7784662246704102,y,BR,i,BR992
2471,0.006677944678813219,e,BR,i,BR992
2481,8.680384780745953e-05,ɛ,BR,i,BR992
2482,2.852518693909009e-18,ɛ̃,BR,i,BR992
2476,1.8961745809065178e-06,ø,BR,i,BR992
2477,3.216214281565044e-07,œ,BR,i,BR992
2470,5.4382187641977e-09,a,BR,i,BR992
2478,1.9876680122242647e-14,ɑ̃,BR,i,BR992
2473,8.00905782666339e-12,o,BR,i,BR992
2479,1.296979277448651e-11,ɔ,BR,i,BR992
2480,6.163926585979773e-18,ɔ̃,BR,i,BR992
2474,1.9629221859052137e-11,u,BR,i,BR992
54,0.9873243570327759,i,BR,ĩ,BR1025
57,0.00357692944817245,y,BR,ĩ,BR1025
53,0.009048660285770893,e,BR,ĩ,BR1025
63,4.821305628865957e-05,ɛ,BR,ĩ,BR1025
64,5.95621074773252e-16,ɛ̃,BR,ĩ,BR1025
58,1.004603973342455e-06,ø,BR,ĩ,BR1025
59,1.7949241737369448e-07,œ,BR,ĩ,BR1025
52,3.3082033640274844e-11,a,BR,ĩ,BR1025
60,1.2168317560368853e-15,ɑ̃,BR,ĩ,BR1025
55,6.941136554416971e-11,o,BR,ĩ,BR1025
61,2.0363385977439918e-10,ɔ,BR,ĩ,BR1025
62,1.0164695751768704e-09,ɔ̃,BR,ĩ,BR1025
56,5.165333050172194e-07,u,BR,ĩ,BR1025
67,0.9935165643692017,i,BR,ĩ,BR1029
70,0.0001710577926132828,y,BR,ĩ,BR1029
66,0.0023799072951078415,e,BR,ĩ,BR1029
76,0.003577877301722765,ɛ,BR,ĩ,BR1029
77,7.441465754709498e-08,ɛ̃,BR,ĩ,BR1029
71,0.0001223160797962919,ø,BR,ĩ,BR1029
72,5.581376899499446e-05,œ,BR,ĩ,BR1029
65,4.773306045535719e-06,a,BR,ĩ,BR1029
73,2.504920530554955e-06,ɑ̃,BR,ĩ,BR1029
68,2.2378360881702974e-05,o,BR,ĩ,BR1029
74,4.017255923827179e-05,ɔ,BR,ĩ,BR1029
75,1.6574975234107114e-05,ɔ̃,BR,ĩ,BR1029
69,9.002960723591968e-05,u,BR,ĩ,BR1029
171,0.34194710850715637,i,BR,ĩ,BR154
174,0.14709457755088806,y,BR,ĩ,BR154
170,0.31732913851737976,e,BR,ĩ,BR154
180,0.017657380551099777,ɛ,BR,ĩ,BR154
181,8.720140165507928e-09,ɛ̃,BR,ĩ,BR154
175,0.006792402360588312,ø,BR,ĩ,BR154
176,0.057422906160354614,œ,BR,ĩ,BR154
169,0.00484345993027091,a,BR,ĩ,BR154
177,7.454428047060091e-11,ɑ̃,BR,ĩ,BR154
172,0.00014728835958521813,o,BR,ĩ,BR154
178,0.00020407380361575633,ɔ,BR,ĩ,BR154
179,0.05081058666110039,ɔ̃,BR,ĩ,BR154
173,0.05575118213891983,u,BR,ĩ,BR154
184,0.1532232165336609,i,BR,ĩ,BR158
187,0.113123819231987,y,BR,ĩ,BR158
183,0.023986220359802246,e,BR,ĩ,BR158
193,0.12643827497959137,ɛ,BR,ĩ,BR158
194,4.213018378607103e-09,ɛ̃,BR,ĩ,BR158
188,0.0020079389214515686,ø,BR,ĩ,BR158
189,0.002310548210516572,œ,BR,ĩ,BR158
182,0.003667492186650634,a,BR,ĩ,BR158
190,5.317090864820351e-11,ɑ̃,BR,ĩ,BR158
185,0.0001896716421470046,o,BR,ĩ,BR158
191,7.979510701261461e-05,ɔ,BR,ĩ,BR158
192,0.5468934774398804,ɔ̃,BR,ĩ,BR158
186,0.028079582378268242,u,BR,ĩ,BR158
197,0.6094856262207031,i,BR,ĩ,BR159
200,0.1490788757801056,y,BR,ĩ,BR159
196,0.18682101368904114,e,BR,ĩ,BR159
206,0.04325991868972778,ɛ,BR,ĩ,BR159
207,1.2393996939863428e-10,ɛ̃,BR,ĩ,BR159
201,0.0026968875899910927,ø,BR,ĩ,BR159
202,0.005503261461853981,œ,BR,ĩ,BR159
195,0.0002784868120215833,a,BR,ĩ,BR159
203,3.725553123379993e-13,ɑ̃,BR,ĩ,BR159
198,4.339052793511655e-06,o,BR,ĩ,BR159
204,3.5654552448249888e-06,ɔ,BR,ĩ,BR159
205,0.002344609936699271,ɔ̃,BR,ĩ,BR159
199,0.0005232449620962143,u,BR,ĩ,BR159
431,0.001218453049659729,i,BR,ĩ,BR264
434,0.9024344086647034,y,BR,ĩ,BR264
430,0.00030472397338598967,e,BR,ĩ,BR264
440,0.012760757468640804,ɛ,BR,ĩ,BR264
441,1.5094477703314624e-06,ɛ̃,BR,ĩ,BR264
435,0.05931927263736725,ø,BR,ĩ,BR264
436,0.0015204643132165074,œ,BR,ĩ,BR264
429,0.0001279168063774705,a,BR,ĩ,BR264
437,0.01639590784907341,ɑ̃,BR,ĩ,BR264
432,0.0021952830720692873,o,BR,ĩ,BR264
438,0.003716750768944621,ɔ,BR,ĩ,BR264
439,3.7121895957170636e-07,ɔ̃,BR,ĩ,BR264
433,4.185998477623798e-06,u,BR,ĩ,BR264
873,4.934324806527002e-06,i,BR,ĩ,BR411
876,0.13801267743110657,y,BR,ĩ,BR411
872,6.420461886591511e-06,e,BR,ĩ,BR411
882,0.0001138885781983845,ɛ,BR,ĩ,BR411
883,2.9147031455067918e-09,ɛ̃,BR,ĩ,BR411
877,0.844994843006134,ø,BR,ĩ,BR411
878,0.012370808981359005,œ,BR,ĩ,BR411
871,4.1328284794417414e-08,a,BR,ĩ,BR411
879,5.956835229881108e-05,ɑ̃,BR,ĩ,BR411
874,0.0010270775528624654,o,BR,ĩ,BR411
880,0.003409633180126548,ɔ,BR,ĩ,BR411
881,4.4718482250516445e-09,ɔ̃,BR,ĩ,BR411
875,2.0209681039773386e-08,u,BR,ĩ,BR411
886,1.7847412436822196e-06,i,BR,ĩ,BR417
889,0.5293229222297668,y,BR,ĩ,BR417
885,2.9185478069848614e-06,e,BR,ĩ,BR417
895,0.0009816564852371812,ɛ,BR,ĩ,BR417
896,3.048266989935655e-07,ɛ̃,BR,ĩ,BR417
890,0.44666150212287903,ø,BR,ĩ,BR417
891,0.005226888228207827,œ,BR,ĩ,BR417
884,0.00023857348423916847,a,BR,ĩ,BR417
892,0.016825513914227486,ɑ̃,BR,ĩ,BR417
887,8.016253559617326e-05,o,BR,ĩ,BR417
893,0.0006575444131158292,ɔ,BR,ĩ,BR417
894,2.1516419224099081e-07,ɔ̃,BR,ĩ,BR417
888,9.039261072985028e-08,u,BR,ĩ,BR417
1172,0.959466278553009,i,BR,ĩ,BR504
1175,0.0010534143075346947,y,BR,ĩ,BR504
1171,0.039471667259931564,e,BR,ĩ,BR504
1181,3.4937954751512734e-06,ɛ,BR,ĩ,BR504
1182,3.625041809448644e-20,ɛ̃,BR,ĩ,BR504
1176,1.3244502383713552e-07,ø,BR,ĩ,BR504
1177,9.130391021017203e-08,œ,BR,ĩ,BR504
1170,7.656686049073436e-12,a,BR,ĩ,BR504
1178,8.386113180403214e-19,ɑ̃,BR,ĩ,BR504
1173,2.419518196905557e-10,o,BR,ĩ,BR504
1179,1.3366410755999425e-10,ɔ,BR,ĩ,BR504
1180,1.7193163437129454e-16,ɔ̃,BR,ĩ,BR504
1174,4.780432846018812e-06,u,BR,ĩ,BR504
1185,0.6517367959022522,i,BR,ĩ,BR510
1188,0.31716546416282654,y,BR,ĩ,BR510
1184,0.022568050771951675,e,BR,ĩ,BR510
1194,2.0482698346313555e-06,ɛ,BR,ĩ,BR510
1195,1.1637132875931636e-16,ɛ̃,BR,ĩ,BR510
1189,3.879938958561979e-05,ø,BR,ĩ,BR510
1190,2.0790139387827367e-06,œ,BR,ĩ,BR510
