,probabilities,classification,language,vowel,file
91,0.9707683324813843,i,BR,i,BR132
97,0.017761725932359695,ɪ,BR,i,BR132
90,0.0018193010473623872,eɪ,BR,i,BR132
96,0.007563577964901924,ɛ,BR,i,BR132
94,9.83906356850639e-05,æ,BR,i,BR132
95,5.460599822981749e-06,ɑ,BR,i,BR132
99,4.977167918696068e-05,ʌ,BR,i,BR132
92,0.00026359365438111126,oʊ,BR,i,BR132
93,0.001232299255207181,u,BR,i,BR132
98,0.00043755388469435275,ʊ,BR,i,BR132
451,0.8563452363014221,i,BR,i,BR329
457,0.07009927928447723,ɪ,BR,i,BR329
450,0.04698963090777397,eɪ,BR,i,BR329
456,0.007659110240638256,ɛ,BR,i,BR329
454,8.903510752134025e-05,æ,BR,i,BR329
455,0.00036105295293964446,ɑ,BR,i,BR329
459,0.004245132673531771,ʌ,BR,i,BR329
452,0.00017983750149141997,oʊ,BR,i,BR329
453,0.004208408761769533,u,BR,i,BR329
458,0.009823234751820564,ʊ,BR,i,BR329
581,0.5118066072463989,i,BR,i,BR373
587,0.39192575216293335,ɪ,BR,i,BR373
580,0.04628028720617294,eɪ,BR,i,BR373
586,0.03433102369308472,ɛ,BR,i,BR373
584,1.6205638530664146e-05,æ,BR,i,BR373
585,7.164494309108704e-05,ɑ,BR,i,BR373
589,0.0024466048926115036,ʌ,BR,i,BR373
582,0.0001925711694639176,oʊ,BR,i,BR373
583,0.004049584269523621,u,BR,i,BR373
588,0.008879750035703182,ʊ,BR,i,BR373
591,0.5258446335792542,i,BR,i,BR374
597,0.20994623005390167,ɪ,BR,i,BR374
590,0.017528144642710686,eɪ,BR,i,BR374
596,0.08876635134220123,ɛ,BR,i,BR374
594,0.000711534870788455,æ,BR,i,BR374
595,0.0034733028151094913,ɑ,BR,i,BR374
599,0.03018801286816597,ʌ,BR,i,BR374
592,0.0044566309079527855,oʊ,BR,i,BR374
593,0.038488760590553284,u,BR,i,BR374
598,0.08059646934270859,ʊ,BR,i,BR374
601,0.19971796870231628,i,BR,i,BR375
607,0.5472316145896912,ɪ,BR,i,BR375
600,0.041072625666856766,eɪ,BR,i,BR375
606,0.033035051077604294,ɛ,BR,i,BR375
604,0.0013428768143057823,æ,BR,i,BR375
605,0.002885037800297141,ɑ,BR,i,BR375
609,0.020857451483607292,ʌ,BR,i,BR375
602,0.006288114469498396,oʊ,BR,i,BR375
603,0.04428894445300102,u,BR,i,BR375
608,0.10328034311532974,ʊ,BR,i,BR375
741,0.0014726726803928614,i,BR,i,BR452
747,0.7528713941574097,ɪ,BR,i,BR452
740,9.199106716550887e-05,eɪ,BR,i,BR452
746,0.006719122175127268,ɛ,BR,i,BR452
744,1.4228425566659847e-13,æ,BR,i,BR452
745,4.301512217166209e-13,ɑ,BR,i,BR452
749,0.021355891600251198,ʌ,BR,i,BR452
742,4.400447505759075e-05,oʊ,BR,i,BR452
743,0.12253232300281525,u,BR,i,BR452
748,0.09491262584924698,ʊ,BR,i,BR452
751,0.009437181986868382,i,BR,i,BR454
757,0.9454270601272583,ɪ,BR,i,BR454
750,7.442286005243659e-05,eɪ,BR,i,BR454
756,0.026351412758231163,ɛ,BR,i,BR454
754,3.6713894147055726e-09,æ,BR,i,BR454
755,4.962427357924071e-09,ɑ,BR,i,BR454
759,0.0003462953900452703,ʌ,BR,i,BR454
752,8.600405863035121e-07,oʊ,BR,i,BR454
753,0.010078378021717072,u,BR,i,BR454
758,0.008284279145300388,ʊ,BR,i,BR454
781,0.9618013501167297,i,BR,i,BR46
787,0.013794501312077045,ɪ,BR,i,BR46
780,0.0004447217797860503,eɪ,BR,i,BR46
786,0.023572584614157677,ɛ,BR,i,BR46
784,6.00962664520921e-07,æ,BR,i,BR46
785,1.7345993796880066e-07,ɑ,BR,i,BR46
789,2.1353545889724046e-05,ʌ,BR,i,BR46
782,8.452101610600948e-06,oʊ,BR,i,BR46
783,0.0002593297103885561,u,BR,i,BR46
788,9.68968597589992e-05,ʊ,BR,i,BR46
821,0.9667893648147583,i,BR,i,BR47
827,0.012741687707602978,ɪ,BR,i,BR47
820,0.0011688198428601027,eɪ,BR,i,BR47
826,0.016621241346001625,ɛ,BR,i,BR47
824,7.645036816938955e-07,æ,BR,i,BR47
825,8.612794317741646e-07,ɑ,BR,i,BR47
829,0.00020779839542228729,ʌ,BR,i,BR47
822,0.00019437834271229804,oʊ,BR,i,BR47
823,0.0011274307034909725,u,BR,i,BR47
828,0.001147547154687345,ʊ,BR,i,BR47
881,0.03865522891283035,i,BR,i,BR496
887,0.3826473653316498,ɪ,BR,i,BR496
880,8.372983575100079e-05,eɪ,BR,i,BR496
886,0.017950430512428284,ɛ,BR,i,BR496
884,1.5997987656835022e-11,æ,BR,i,BR496
885,1.7886174485948203e-10,ɑ,BR,i,BR496
889,0.023362450301647186,ʌ,BR,i,BR496
882,5.947626050328836e-05,oʊ,BR,i,BR496
883,0.3480411469936371,u,BR,i,BR496
888,0.18920017778873444,ʊ,BR,i,BR496
1351,0.3773757815361023,i,BR,i,BR741
1357,0.43199440836906433,ɪ,BR,i,BR741
1350,0.007740126457065344,eɪ,BR,i,BR741
1356,0.1810988336801529,ɛ,BR,i,BR741
1354,0.00024403039424214512,æ,BR,i,BR741
1355,4.294643804314546e-05,ɑ,BR,i,BR741
1359,0.0003718021616805345,ʌ,BR,i,BR741
1352,0.0010152992326766253,oʊ,BR,i,BR741
1353,5.780817082268186e-05,u,BR,i,BR741
1358,5.897167284274474e-05,ʊ,BR,i,BR741
1361,0.20133082568645477,i,BR,i,BR742
1367,0.4227445423603058,ɪ,BR,i,BR742
1360,0.09836303442716599,eɪ,BR,i,BR742
1366,0.23522605001926422,ɛ,BR,i,BR742
1364,0.011160801164805889,æ,BR,i,BR742
1365,0.006442489102482796,ɑ,BR,i,BR742
1369,0.01554542314261198,ʌ,BR,i,BR742
1362,0.006746219005435705,oʊ,BR,i,BR742
1363,0.0010145436972379684,u,BR,i,BR742
1368,0.0014259807066991925,ʊ,BR,i,BR742
1411,0.5794662833213806,i,BR,i,BR757
1417,0.16831712424755096,ɪ,BR,i,BR757
1410,0.003752646502107382,eɪ,BR,i,BR757
1416,0.18082526326179504,ɛ,BR,i,BR757
1414,0.0004267827025614679,æ,BR,i,BR757
1415,0.0015742641407996416,ɑ,BR,i,BR757
1419,0.03598688915371895,ʌ,BR,i,BR757
1412,0.01885976828634739,oʊ,BR,i,BR757
1413,0.00454443646594882,u,BR,i,BR757
1418,0.006246575154364109,ʊ,BR,i,BR757
1461,0.4495818018913269,i,BR,i,BR796
1467,0.5309134721755981,ɪ,BR,i,BR796
1460,0.0029199374839663506,eɪ,BR,i,BR796
1466,0.01299530453979969,ɛ,BR,i,BR796
1464,4.5859345846110955e-05,æ,BR,i,BR796
1465,1.1178915883647278e-05,ɑ,BR,i,BR796
1469,6.137846503406763e-05,ʌ,BR,i,BR796
1462,0.0010077113984152675,oʊ,BR,i,BR796
1463,0.0014591545332223177,u,BR,i,BR796
1468,0.0010041666682809591,ʊ,BR,i,BR796
1891,0.9809751510620117,i,BR,i,BR99
1897,0.012904762290418148,ɪ,BR,i,BR99
1890,0.00013044469233136624,eɪ,BR,i,BR99
1896,0.0038666059263050556,ɛ,BR,i,BR99
1894,1.8376343859927147e-06,æ,BR,i,BR99
1895,8.572150704821979e-07,ɑ,BR,i,BR99
1899,2.3944347049109638e-05,ʌ,BR,i,BR99
1892,4.896310929325409e-05,oʊ,BR,i,BR99
1893,0.001615168759599328,u,BR,i,BR99
1898,0.00043234421173110604,ʊ,BR,i,BR99
1901,0.7469168305397034,i,BR,i,BR992
1907,0.15922199189662933,ɪ,BR,i,BR992
1900,0.038043126463890076,eɪ,BR,i,BR992
1906,0.008168267086148262,ɛ,BR,i,BR992
1904,0.003233168972656131,æ,BR,i,BR992
