,probabilities,classification,language,vowel,file
91,0.9158645868301392,i,BR,i,BR132
97,0.0833582729101181,ɪ,BR,i,BR132
90,0.00018745171837508678,eɪ,BR,i,BR132
96,5.2478288125712425e-05,ɛ,BR,i,BR132
94,1.4629214092565235e-05,æ,BR,i,BR132
95,8.549329066909195e-08,ɑ,BR,i,BR132
99,2.65398711007947e-07,ʌ,BR,i,BR132
92,3.1794764598913616e-09,oʊ,BR,i,BR132
93,0.0003287069848738611,u,BR,i,BR132
98,0.00019344800966791809,ʊ,BR,i,BR132
451,4.760835281558684e-08,i,BR,i,BR329
457,1.2573442287333592e-09,ɪ,BR,i,BR329
450,1.3803372667098301e-06,eɪ,BR,i,BR329
456,4.995451209806323e-13,ɛ,BR,i,BR329
454,3.131356507424243e-08,æ,BR,i,BR329
455,1.8484536817853225e-12,ɑ,BR,i,BR329
459,5.800675051403914e-09,ʌ,BR,i,BR329
452,2.6802438242157223e-06,oʊ,BR,i,BR329
453,0.4985900819301605,u,BR,i,BR329
458,0.5014057755470276,ʊ,BR,i,BR329
581,7.164509430168664e-09,i,BR,i,BR373
587,1.7198101831539248e-09,ɪ,BR,i,BR373
580,1.2141001093368686e-08,eɪ,BR,i,BR373
586,1.0930511053566794e-12,ɛ,BR,i,BR373
584,6.326602353112776e-09,æ,BR,i,BR373
585,1.0466646299667204e-10,ɑ,BR,i,BR373
589,6.143281994219763e-10,ʌ,BR,i,BR373
582,2.223073533969e-05,oʊ,BR,i,BR373
583,0.9970815777778625,u,BR,i,BR373
588,0.002896125428378582,ʊ,BR,i,BR373
591,9.751726093298885e-10,i,BR,i,BR374
597,2.307881247221033e-10,ɪ,BR,i,BR374
590,1.954767547829306e-08,eɪ,BR,i,BR374
596,1.3970399002135453e-14,ɛ,BR,i,BR374
594,1.868103449709224e-09,æ,BR,i,BR374
595,1.8198841739147653e-11,ɑ,BR,i,BR374
599,1.2124603543384183e-09,ʌ,BR,i,BR374
592,0.00019527555559761822,oʊ,BR,i,BR374
593,0.9412862062454224,u,BR,i,BR374
598,0.05851859971880913,ʊ,BR,i,BR374
601,7.506568699966465e-10,i,BR,i,BR375
607,6.376650318884458e-10,ɪ,BR,i,BR375
600,1.0109206414199434e-06,eɪ,BR,i,BR375
606,4.759026506206965e-12,ɛ,BR,i,BR375
604,2.24432639583938e-07,æ,BR,i,BR375
605,1.728987231164325e-10,ɑ,BR,i,BR375
609,3.955401339794662e-08,ʌ,BR,i,BR375
602,0.0060692448168993,oʊ,BR,i,BR375
603,0.641493558883667,u,BR,i,BR375
608,0.3524358868598938,ʊ,BR,i,BR375
741,6.749233580194414e-05,i,BR,i,BR452
747,0.0003513552073854953,ɪ,BR,i,BR452
740,1.2757070635416312e-06,eɪ,BR,i,BR452
746,1.781109494913835e-05,ɛ,BR,i,BR452
744,0.00040082421037368476,æ,BR,i,BR452
745,6.156916754207487e-08,ɑ,BR,i,BR452
749,0.005193995777517557,ʌ,BR,i,BR452
