,probabilities,classification,language,vowel,file
119,0.9722160696983337,i,BR,i,BR132
122,6.679562829958741e-06,y,BR,i,BR132
118,0.0176930483430624,e,BR,i,BR132
128,0.0030314039904624224,ɛ,BR,i,BR132
129,0.004801347851753235,ɛ̃,BR,i,BR132
123,1.0915733582805842e-05,ø,BR,i,BR132
124,1.398282347508939e-05,œ,BR,i,BR132
117,5.480937037560807e-09,a,BR,i,BR132
125,6.721372301399242e-06,ɑ̃,BR,i,BR132
120,1.8945822375826538e-05,o,BR,i,BR132
126,2.4759301595622674e-06,ɔ,BR,i,BR132
127,7.303812708414625e-06,ɔ̃,BR,i,BR132
121,0.0021910457871854305,u,BR,i,BR132
587,0.997393012046814,i,BR,i,BR329
590,5.670021437254036e-06,y,BR,i,BR329
586,0.0004771580279339105,e,BR,i,BR329
596,0.00025806116173043847,ɛ,BR,i,BR329
597,0.0010271279606968164,ɛ̃,BR,i,BR329
591,1.8690589058678597e-05,ø,BR,i,BR329
592,6.040600965206977e-06,œ,BR,i,BR329
585,8.7671862274874e-05,a,BR,i,BR329
593,4.432797504705377e-05,ɑ̃,BR,i,BR329
588,1.6540088743077774e-10,o,BR,i,BR329
594,4.184589215583401e-06,ɔ,BR,i,BR329
595,8.12272773487166e-08,ɔ̃,BR,i,BR329
589,0.0006778368842788041,u,BR,i,BR329
756,0.8854206204414368,i,BR,i,BR373
759,0.002258439315482974,y,BR,i,BR373
755,0.0440937876701355,e,BR,i,BR373
765,0.05965476110577583,ɛ,BR,i,BR373
766,0.0007073089946061373,ɛ̃,BR,i,BR373
760,0.00022370835358742625,ø,BR,i,BR373
761,0.00015077806892804801,œ,BR,i,BR373
754,1.9359225916559808e-05,a,BR,i,BR373
762,2.202349241997581e-05,ɑ̃,BR,i,BR373
757,3.849786480714101e-06,o,BR,i,BR373
763,7.242421816044953e-06,ɔ,BR,i,BR373
764,3.3082417303376133e-06,ɔ̃,BR,i,BR373
758,0.0074348291382193565,u,BR,i,BR373
769,0.9499103426933289,i,BR,i,BR374
772,5.701864211005159e-06,y,BR,i,BR374
768,0.00472267484292388,e,BR,i,BR374
778,0.005501789506524801,ɛ,BR,i,BR374
779,0.0013334540417417884,ɛ̃,BR,i,BR374
773,0.0003760287072509527,ø,BR,i,BR374
774,0.00019726231403183192,œ,BR,i,BR374
767,3.029583240277134e-06,a,BR,i,BR374
775,0.00015192106366157532,ɑ̃,BR,i,BR374
770,4.0220809751190245e-05,o,BR,i,BR374
776,0.005446431692689657,ɔ,BR,i,BR374
777,0.007011323235929012,ɔ̃,BR,i,BR374
771,0.02529975213110447,u,BR,i,BR374
782,0.9394788146018982,i,BR,i,BR375
785,1.3287384717841633e-05,y,BR,i,BR375
781,0.02762339822947979,e,BR,i,BR375
791,0.02686118148267269,ɛ,BR,i,BR375
792,0.0014615622349083424,ɛ̃,BR,i,BR375
786,1.5896639524726197e-05,ø,BR,i,BR375
787,1.962944952538237e-05,œ,BR,i,BR375
780,3.937321707780939e-06,a,BR,i,BR375
788,4.9266323912888765e-05,ɑ̃,BR,i,BR375
783,3.9993046812014654e-05,o,BR,i,BR375
789,0.0006624850793741643,ɔ,BR,i,BR375
790,3.388092227396555e-05,ɔ̃,BR,i,BR375
784,0.0037365821190178394,u,BR,i,BR375
964,0.9972032308578491,i,BR,i,BR452
967,0.0005632779793813825,y,BR,i,BR452
963,0.002090273192152381,e,BR,i,BR452
973,4.9142723582917824e-05,ɛ,BR,i,BR452
974,8.168307431333233e-06,ɛ̃,BR,i,BR452
968,8.805532729638799e-07,ø,BR,i,BR452
969,4.234559582982911e-06,œ,BR,i,BR452
962,1.4732688669027993e-06,a,BR,i,BR452
970,2.075172090211218e-16,ɑ̃,BR,i,BR452
965,6.874194696138147e-06,o,BR,i,BR452
971,1.0282062312683138e-08,ɔ,BR,i,BR452
972,3.1167188373899505e-19,ɔ̃,BR,i,BR452
966,7.249834743561223e-05,u,BR,i,BR452
977,0.9659166932106018,i,BR,i,BR454
980,0.0007533712196163833,y,BR,i,BR454
976,0.031900208443403244,e,BR,i,BR454
986,0.0008857373613864183,ɛ,BR,i,BR454
987,3.494256816338748e-05,ɛ̃,BR,i,BR454
981,2.7097434212919325e-05,ø,BR,i,BR454
982,0.00033399733365513384,œ,BR,i,BR454
