,probabilities,classification,language,vowel,file
119,0.9782525897026062,i,BR,i,BR132
122,0.006115206517279148,y,BR,i,BR132
118,0.015146415680646896,e,BR,i,BR132
128,0.00036826010909862816,ɛ,BR,i,BR132
129,1.051403894503089e-10,ɛ̃,BR,i,BR132
123,2.603840039228089e-05,ø,BR,i,BR132
124,8.296392479678616e-05,œ,BR,i,BR132
117,2.3120748547590837e-14,a,BR,i,BR132
125,3.680988348332692e-15,ɑ̃,BR,i,BR132
120,2.920916175597199e-09,o,BR,i,BR132
126,8.762945036266956e-09,ɔ,BR,i,BR132
127,8.719732401407665e-12,ɔ̃,BR,i,BR132
121,8.583868293499108e-06,u,BR,i,BR132
587,3.1726401020226724e-12,i,BR,i,BR329
590,8.652554242871702e-06,y,BR,i,BR329
586,3.774233258823506e-13,e,BR,i,BR329
596,9.551523634521164e-12,ɛ,BR,i,BR329
597,0.014482427388429642,ɛ̃,BR,i,BR329
591,0.003648267826065421,ø,BR,i,BR329
592,1.7522465611818916e-07,œ,BR,i,BR329
585,0.9816787838935852,a,BR,i,BR329
593,0.0001568243751535192,ɑ̃,BR,i,BR329
588,1.3778143511444796e-05,o,BR,i,BR329
594,7.055815132162024e-08,ɔ,BR,i,BR329
595,8.08572985988576e-06,ɔ̃,BR,i,BR329
589,2.916722905865754e-06,u,BR,i,BR329
756,2.8016705622135873e-10,i,BR,i,BR373
759,0.0006166001548990607,y,BR,i,BR373
755,4.273291998035944e-10,e,BR,i,BR373
765,1.0343148559854853e-09,ɛ,BR,i,BR373
766,0.012280873954296112,ɛ̃,BR,i,BR373
760,0.8154160380363464,ø,BR,i,BR373
761,5.047795184509596e-06,œ,BR,i,BR373
754,0.17164722084999084,a,BR,i,BR373
762,2.9888278731959872e-05,ɑ̃,BR,i,BR373
757,3.4618658446561312e-06,o,BR,i,BR373
763,2.5543933634963878e-09,ɔ,BR,i,BR373
764,4.1134651951324486e-07,ɔ̃,BR,i,BR373
758,4.911243536298571e-07,u,BR,i,BR373
769,3.2523511661608495e-11,i,BR,i,BR374
772,5.898882022847829e-07,y,BR,i,BR374
768,7.07819844403268e-11,e,BR,i,BR374
778,1.0386070892209887e-09,ɛ,BR,i,BR374
779,0.07242117077112198,ɛ̃,BR,i,BR374
773,0.002360341837629676,ø,BR,i,BR374
774,1.1495730944943716e-07,œ,BR,i,BR374
767,0.9232321381568909,a,BR,i,BR374
775,0.001844211365096271,ɑ̃,BR,i,BR374
770,3.907493464794243e-06,o,BR,i,BR374
776,4.360781069578934e-09,ɔ,BR,i,BR374
777,0.00013761075388174504,ɔ̃,BR,i,BR374
771,5.043981232688566e-08,u,BR,i,BR374
782,2.956125899622464e-10,i,BR,i,BR375
785,0.0009819548577070236,y,BR,i,BR375
781,1.7457760931316457e-11,e,BR,i,BR375
791,5.442532535759881e-10,ɛ,BR,i,BR375
792,0.002928916597738862,ɛ̃,BR,i,BR375
786,0.7797368168830872,ø,BR,i,BR375
787,1.1248716873524245e-05,œ,BR,i,BR375
780,0.2163190096616745,a,BR,i,BR375
788,8.105044798867311e-06,ɑ̃,BR,i,BR375
783,1.3022769053350203e-05,o,BR,i,BR375
789,8.680000007643685e-08,ɔ,BR,i,BR375
790,3.810272346527199e-07,ɔ̃,BR,i,BR375
784,5.31681962456787e-07,u,BR,i,BR375
964,0.07390465587377548,i,BR,i,BR452
967,0.9250442385673523,y,BR,i,BR452
963,0.000334075913997367,e,BR,i,BR452
973,0.00030027105822227895,ɛ,BR,i,BR452
974,2.5619286692091237e-09,ɛ̃,BR,i,BR452
968,4.578497100737877e-05,ø,BR,i,BR452
969,4.095712210983038e-05,œ,BR,i,BR452
962,1.3268820486800337e-09,a,BR,i,BR452
970,1.475985306198524e-11,ɑ̃,BR,i,BR452
965,2.9179830107750604e-06,o,BR,i,BR452
971,0.00031987138208933175,ɔ,BR,i,BR452
972,1.0984901356592136e-11,ɔ̃,BR,i,BR452
966,7.285957508429419e-06,u,BR,i,BR452
977,0.046464208513498306,i,BR,i,BR454
980,0.9482440948486328,y,BR,i,BR454
976,0.0009296213393099606,e,BR,i,BR454
986,5.239668098511174e-05,ɛ,BR,i,BR454
987,5.4118671349856484e-11,ɛ̃,BR,i,BR454
981,0.0028472726698964834,ø,BR,i,BR454
982,0.0014542265562340617,œ,BR,i,BR454
975,2.866836203651267e-14,a,BR,i,BR454
983,1.6887253517761623e-16,ɑ̃,BR,i,BR454
978,5.2267537853367685e-08,o,BR,i,BR454
984,8.122056897263974e-06,ɔ,BR,i,BR454
985,2.7341585615680414e-16,ɔ̃,BR,i,BR454
979,1.55446961969119e-08,u,BR,i,BR454
1016,0.9539010524749756,i,BR,i,BR46
1019,0.03498709574341774,y,BR,i,BR46
1015,0.010764950886368752,e,BR,i,BR46
1025,3.0518847779603675e-05,ɛ,BR,i,BR46
1026,1.450074921249822e-10,ɛ̃,BR,i,BR46
1020,0.00010619514068821445,ø,BR,i,BR46
1021,0.00015365822764579207,œ,BR,i,BR46
1014,1.4597059599260839e-15,a,BR,i,BR46
1022,1.629599408033158e-16,ɑ̃,BR,i,BR46
1017,1.067563926149262e-09,o,BR,i,BR46
1023,3.6986060880650484e-09,ɔ,BR,i,BR46
1024,1.6593598023417755e-11,ɔ̃,BR,i,BR46
1018,5.652026447933167e-05,u,BR,i,BR46
1068,0.9021884799003601,i,BR,i,BR47
1071,0.06749268621206284,y,BR,i,BR47
1067,0.02801997773349285,e,BR,i,BR47
1077,8.17421023384668e-05,ɛ,BR,i,BR47
1078,3.677843099514355e-11,ɛ̃,BR,i,BR47
1072,0.0010451230918988585,ø,BR,i,BR47
1073,0.001124513684771955,œ,BR,i,BR47
1066,4.693250638660891e-19,a,BR,i,BR47
1074,9.748064909190723e-16,ɑ̃,BR,i,BR47
1069,7.761747866652513e-08,o,BR,i,BR47
1075,2.9422946568047337e-07,ɔ,BR,i,BR47
1076,1.3104739461557852e-13,ɔ̃,BR,i,BR47
1070,4.699993587564677e-05,u,BR,i,BR47
1146,0.006605243310332298,i,BR,i,BR496
1149,0.9910464882850647,y,BR,i,BR496
1145,0.0005256021395325661,e,BR,i,BR496
1155,0.0005547829205170274,ɛ,BR,i,BR496
