,language,vowel,file,classification,probabilities
1009,BR,i,BR132,i,4.53503e-05
7009,BR,i,BR132,ɪ,0.00012327489
9,BR,i,BR132,eɪ,6.137496e-06
6009,BR,i,BR132,ɛ,0.00091088517
4009,BR,i,BR132,æ,8.3061974e-07
5009,BR,i,BR132,ɑ,0.99890685
9009,BR,i,BR132,ʌ,4.135412e-08
2009,BR,i,BR132,oʊ,6.137496e-06
3009,BR,i,BR132,u,3.055679e-07
8009,BR,i,BR132,ʊ,3.055679e-07
1045,BR,i,BR329,i,0.01587151
7045,BR,i,BR329,ɪ,0.00029069683
45,BR,i,BR329,eɪ,9.7517926e-08
6045,BR,i,BR329,ɛ,2.6508118e-07
4045,BR,i,BR329,æ,9.7517926e-08
5045,BR,i,BR329,ɑ,7.205654e-07
9045,BR,i,BR329,ʌ,7.205654e-07
2045,BR,i,BR329,oʊ,5.3242984e-06
3045,BR,i,BR329,u,0.86655504
8045,BR,i,BR329,ʊ,0.11727547
1058,BR,i,BR373,i,0.119195536
7058,BR,i,BR373,ɪ,0.8807425
58,BR,i,BR373,eɪ,9.911451e-08
6058,BR,i,BR373,ɛ,2.6942118e-07
4058,BR,i,BR373,æ,3.646219e-08
5058,BR,i,BR373,ɑ,7.3236265e-07
9058,BR,i,BR373,ʌ,7.3236265e-07
2058,BR,i,BR373,oʊ,5.411469e-06
3058,BR,i,BR373,u,3.9985647e-05
8058,BR,i,BR373,ʊ,1.4709897e-05
1059,BR,i,BR374,i,0.49988464
7059,BR,i,BR374,ɪ,0.49988464
59,BR,i,BR374,eɪ,2.069491e-08
6059,BR,i,BR374,ɛ,1.5291587e-07
4059,BR,i,BR374,æ,2.069491e-08
5059,BR,i,BR374,ɑ,5.6254606e-08
9059,BR,i,BR374,ʌ,5.6254606e-08
2059,BR,i,BR374,oʊ,1.1299039e-06
3059,BR,i,BR374,u,0.00016769262
8059,BR,i,BR374,ʊ,6.169066e-05
1060,BR,i,BR375,i,0.035057165
7060,BR,i,BR375,ɪ,0.0017453937
60,BR,i,BR375,eɪ,2.1539869e-07
6060,BR,i,BR375,ɛ,5.8551433e-07
4060,BR,i,BR375,æ,2.1539869e-07
5060,BR,i,BR375,ɑ,1.591593e-06
9060,BR,i,BR375,ʌ,1.591593e-06
2060,BR,i,BR375,oʊ,1.17603695e-05
3060,BR,i,BR375,u,0.70414203
8060,BR,i,BR375,ʊ,0.25903937
1074,BR,i,BR452,i,0.00033503564
7074,BR,i,BR452,ɪ,0.99872714
74,BR,i,BR452,eɪ,3.0551294e-07
6074,BR,i,BR452,ɛ,1.6680442e-05
4074,BR,i,BR452,æ,2.2574523e-06
5074,BR,i,BR452,ɑ,4.134668e-08
9074,BR,i,BR452,ʌ,0.00091072125
2074,BR,i,BR452,oʊ,8.304703e-07
3074,BR,i,BR452,u,6.1363917e-06
8074,BR,i,BR452,ʊ,8.304703e-07
1075,BR,i,BR454,i,0.047104154
7075,BR,i,BR454,ɪ,0.0003173853
75,BR,i,BR454,eɪ,4.295343e-05
6075,BR,i,BR454,ɛ,0.0063748546
4075,BR,i,BR454,æ,7.867195e-07
5075,BR,i,BR454,ɑ,0.9461123
9075,BR,i,BR454,ʌ,2.8941793e-07
2075,BR,i,BR454,oʊ,4.295343e-05
3075,BR,i,BR454,u,2.1385254e-06
