,language,vowel,file,classification,probabilities
1009,BR,i,BR132,i,0.0024703185
7009,BR,i,BR132,ɪ,1.6644875e-05
9,BR,i,BR132,eɪ,1.6644875e-05
6009,BR,i,BR132,ɛ,0.0001229899
4009,BR,i,BR132,æ,4.5245462e-05
5009,BR,i,BR132,ɑ,0.00033432123
9009,BR,i,BR132,ʌ,0.9965976
2009,BR,i,BR132,oʊ,0.00033432123
3009,BR,i,BR132,u,4.5245462e-05
8009,BR,i,BR132,ʊ,1.6644875e-05
1045,BR,i,BR329,i,0.00056732073
7045,BR,i,BR329,ɪ,0.030974662
45,BR,i,BR329,eɪ,0.00056732073
6045,BR,i,BR329,ɛ,0.030974662
4045,BR,i,BR329,æ,0.62214273
5045,BR,i,BR329,ɑ,0.00056732073
9045,BR,i,BR329,ʌ,0.22887352
2045,BR,i,BR329,oʊ,0.00056732073
3045,BR,i,BR329,u,0.084197864
8045,BR,i,BR329,ʊ,0.00056732073
1058,BR,i,BR373,i,0.22600277
7058,BR,i,BR373,ɪ,0.22600277
58,BR,i,BR373,eɪ,0.0015227947
6058,BR,i,BR373,ɛ,0.22600277
4058,BR,i,BR373,æ,0.004139385
5058,BR,i,BR373,ɑ,0.0015227947
9058,BR,i,BR373,ʌ,0.083141774
2058,BR,i,BR373,oʊ,0.0015227947
3058,BR,i,BR373,u,0.22600277
8058,BR,i,BR373,ʊ,0.004139385
1059,BR,i,BR374,i,0.017818803
7059,BR,i,BR374,ɪ,0.9728737
59,BR,i,BR374,eɪ,4.41684e-05
6059,BR,i,BR374,ɛ,4.41684e-05
4059,BR,i,BR374,æ,4.41684e-05
5059,BR,i,BR374,ɑ,4.41684e-05
9059,BR,i,BR374,ʌ,0.002411513
2059,BR,i,BR374,oʊ,4.41684e-05
3059,BR,i,BR374,u,0.006555171
8059,BR,i,BR374,ʊ,0.00012006215
1060,BR,i,BR375,i,0.0010989197
7060,BR,i,BR375,ɪ,0.16309415
60,BR,i,BR375,eɪ,0.0010989197
6060,BR,i,BR375,ɛ,0.16309415
4060,BR,i,BR375,æ,0.44333583
5060,BR,i,BR375,ɑ,0.0010989197
9060,BR,i,BR375,ʌ,0.059998978
2060,BR,i,BR375,oʊ,0.0010989197
3060,BR,i,BR375,u,0.16309415
8060,BR,i,BR375,ʊ,0.0029871734
1074,BR,i,BR452,i,0.0010989197
7074,BR,i,BR452,ɪ,0.16309415
74,BR,i,BR452,eɪ,0.0010989197
6074,BR,i,BR452,ɛ,0.16309415
