,probabilities,classification,language,vowel,file
91,0.9434600472450256,i,BR,i,BR132
97,0.0434553362429142,ɪ,BR,i,BR132
90,0.005781595129519701,eɪ,BR,i,BR132
96,0.003010004526004195,ɛ,BR,i,BR132
94,0.0004457939066924155,æ,BR,i,BR132
95,4.0055499994196e-05,ɑ,BR,i,BR132
99,0.00026143991271965206,ʌ,BR,i,BR132
92,0.0007882906938903034,oʊ,BR,i,BR132
93,0.0019833697006106377,u,BR,i,BR132
98,0.00077402638271451,ʊ,BR,i,BR132
451,0.019933465868234634,i,BR,i,BR329
457,0.7499917149543762,ɪ,BR,i,BR329
450,0.021328900009393692,eɪ,BR,i,BR329
456,0.125568687915802,ɛ,BR,i,BR329
454,0.048830460757017136,æ,BR,i,BR329
455,0.0004027140967082232,ɑ,BR,i,BR329
459,0.023876067250967026,ʌ,BR,i,BR329
452,0.0003799941041506827,oʊ,BR,i,BR329
453,0.0017041298560798168,u,BR,i,BR329
458,0.00798382144421339,ʊ,BR,i,BR329
581,0.306110680103302,i,BR,i,BR373
587,0.6600865721702576,ɪ,BR,i,BR373
580,0.008875609375536442,eɪ,BR,i,BR373
586,0.008217805065214634,ɛ,BR,i,BR373
584,0.0008264110656455159,æ,BR,i,BR373
585,0.00010748033673735335,ɑ,BR,i,BR373
589,0.004063114523887634,ʌ,BR,i,BR373
582,0.0008674174314364791,oʊ,BR,i,BR373
583,0.00399029953405261,u,BR,i,BR373
588,0.006854606792330742,ʊ,BR,i,BR373
591,0.0658041387796402,i,BR,i,BR374
597,0.8714908361434937,ɪ,BR,i,BR374
590,0.0023845848627388477,eɪ,BR,i,BR374
596,0.04743054136633873,ɛ,BR,i,BR374
594,0.0008840972441248596,æ,BR,i,BR374
595,8.015206549316645e-05,ɑ,BR,i,BR374
599,0.001306268386542797,ʌ,BR,i,BR374
592,0.0005483347340486944,oʊ,BR,i,BR374
593,0.0012205465463921428,u,BR,i,BR374
598,0.008850433863699436,ʊ,BR,i,BR374
601,0.099257692694664,i,BR,i,BR375
