,probabilities,classification,language,vowel,file
91,0.46515780687332153,i,BR,i,BR132
97,0.4937802255153656,ɪ,BR,i,BR132
90,0.0278474111109972,eɪ,BR,i,BR132
96,0.007450701668858528,ɛ,BR,i,BR132
94,0.0013802029425278306,æ,BR,i,BR132
95,8.095321391010657e-06,ɑ,BR,i,BR132
99,0.0004914427408948541,ʌ,BR,i,BR132
92,3.929845479433425e-05,oʊ,BR,i,BR132
93,0.0010961676016449928,u,BR,i,BR132
98,0.0027487201150506735,ʊ,BR,i,BR132
451,0.9111709594726562,i,BR,i,BR329
457,0.06822841614484787,ɪ,BR,i,BR329
450,1.8249216964250081e-06,eɪ,BR,i,BR329
456,0.01800883375108242,ɛ,BR,i,BR329
454,0.0018924081232398748,æ,BR,i,BR329
455,1.8351172457187204e-06,ɑ,BR,i,BR329
459,0.00035205550375394523,ʌ,BR,i,BR329
452,3.362431743880734e-05,oʊ,BR,i,BR329
453,3.39430698659271e-06,u,BR,i,BR329
458,0.00030662232893519104,ʊ,BR,i,BR329
581,0.9906536936759949,i,BR,i,BR373
587,0.00889085978269577,ɪ,BR,i,BR373
580,2.2567521227756515e-05,eɪ,BR,i,BR373
586,0.00018527236534282565,ɛ,BR,i,BR373
584,0.00013599811063613743,æ,BR,i,BR373
585,4.3470214450280764e-07,ɑ,BR,i,BR373
589,3.664149699034169e-05,ʌ,BR,i,BR373
582,9.295231961914396e-07,oʊ,BR,i,BR373
583,5.648691058013355e-06,u,BR,i,BR373
588,6.772920460207388e-05,ʊ,BR,i,BR373
591,0.44776758551597595,i,BR,i,BR374
597,0.5442081093788147,ɪ,BR,i,BR374
590,1.7894533812068403e-05,eɪ,BR,i,BR374
596,0.00764844287186861,ɛ,BR,i,BR374
594,0.0002949726185761392,æ,BR,i,BR374
595,4.948661853632075e-07,ɑ,BR,i,BR374
599,3.259447476011701e-05,ʌ,BR,i,BR374
592,2.671248182650743e-07,oʊ,BR,i,BR374
593,2.506382088540704e-07,u,BR,i,BR374
598,2.9449965950334445e-05,ʊ,BR,i,BR374
601,0.9246498346328735,i,BR,i,BR375
607,0.0685403123497963,ɪ,BR,i,BR375
600,6.982425111345947e-05,eɪ,BR,i,BR375
606,0.00400113221257925,ɛ,BR,i,BR375
604,0.001388206030242145,æ,BR,i,BR375
605,4.448429081094218e-06,ɑ,BR,i,BR375
609,0.0010602506808936596,ʌ,BR,i,BR375
602,2.1220163034740835e-05,oʊ,BR,i,BR375
603,3.9957153603609186e-06,u,BR,i,BR375
608,0.00026086976868100464,ʊ,BR,i,BR375
741,0.7605381608009338,i,BR,i,BR452
747,0.13168561458587646,ɪ,BR,i,BR452
740,0.005935465916991234,eɪ,BR,i,BR452
746,0.003233277937397361,ɛ,BR,i,BR452
744,0.0017889017472043633,æ,BR,i,BR452
745,7.639123941771686e-05,ɑ,BR,i,BR452
749,0.0022411057725548744,ʌ,BR,i,BR452
742,9.445806790608913e-05,oʊ,BR,i,BR452
743,0.04156690090894699,u,BR,i,BR452
748,0.05283965915441513,ʊ,BR,i,BR452
751,0.19957996904850006,i,BR,i,BR454
757,0.6502676606178284,ɪ,BR,i,BR454
750,1.1976881069131196e-06,eɪ,BR,i,BR454
756,0.05752094089984894,ɛ,BR,i,BR454
754,0.00036031563649885356,æ,BR,i,BR454
755,5.023824269301258e-05,ɑ,BR,i,BR454
759,0.0011220823507755995,ʌ,BR,i,BR454
752,0.0004905283567495644,oʊ,BR,i,BR454
753,0.031309179961681366,u,BR,i,BR454
758,0.05929797142744064,ʊ,BR,i,BR454
781,0.5287187695503235,i,BR,i,BR46
787,0.026313191279768944,ɪ,BR,i,BR46
780,0.36129069328308105,eɪ,BR,i,BR46
786,0.018995320424437523,ɛ,BR,i,BR46
784,0.02693338319659233,æ,BR,i,BR46
785,4.3256019125692546e-05,ɑ,BR,i,BR46
789,0.016833769157528877,ʌ,BR,i,BR46
782,6.912700337124988e-05,oʊ,BR,i,BR46
783,0.008580012246966362,u,BR,i,BR46
788,0.012222439981997013,ʊ,BR,i,BR46
821,0.800632894039154,i,BR,i,BR47
827,0.059023141860961914,ɪ,BR,i,BR47
820,0.12827830016613007,eɪ,BR,i,BR47
826,0.0019137391354888678,ɛ,BR,i,BR47
824,0.004958909936249256,æ,BR,i,BR47
825,1.4788327462156303e-05,ɑ,BR,i,BR47
829,0.002249445766210556,ʌ,BR,i,BR47
822,1.4311334780359175e-05,oʊ,BR,i,BR47
823,0.001962802605703473,u,BR,i,BR47
828,0.000951679889112711,ʊ,BR,i,BR47
881,0.3747369945049286,i,BR,i,BR496
887,0.5946953892707825,ɪ,BR,i,BR496
880,4.140014425502159e-05,eɪ,BR,i,BR496
886,0.002086412627249956,ɛ,BR,i,BR496
884,0.00014807733532506973,æ,BR,i,BR496
885,5.998436336085433e-06,ɑ,BR,i,BR496
889,0.0011030561290681362,ʌ,BR,i,BR496
882,3.2582433959760237e-06,oʊ,BR,i,BR496
883,0.009936058893799782,u,BR,i,BR496
888,0.017243342474102974,ʊ,BR,i,BR496
1351,0.8912962675094604,i,BR,i,BR741
1357,0.10413766652345657,ɪ,BR,i,BR741
1350,0.0006777818198315799,eɪ,BR,i,BR741
1356,0.000690221379045397,ɛ,BR,i,BR741
1354,0.0019930778071284294,æ,BR,i,BR741
1355,1.3839846815244528e-06,ɑ,BR,i,BR741
1359,0.0001494611642556265,ʌ,BR,i,BR741
1352,1.3704461707675364e-06,oʊ,BR,i,BR741
1353,0.0005161529406905174,u,BR,i,BR741
1358,0.0005365667166188359,ʊ,BR,i,BR741
1361,0.8618835806846619,i,BR,i,BR742
1367,0.13523243367671967,ɪ,BR,i,BR742
1360,0.0015829583862796426,eɪ,BR,i,BR742
1366,0.00017746875528246164,ɛ,BR,i,BR742
1364,0.0009148830431513488,æ,BR,i,BR742
1365,2.8209271363266453e-07,ɑ,BR,i,BR742
1369,2.578641942818649e-05,ʌ,BR,i,BR742
1362,4.2539827518339735e-06,oʊ,BR,i,BR742
1363,6.892194505780935e-05,u,BR,i,BR742
1368,0.00010942785593215376,ʊ,BR,i,BR742
1411,0.9754911065101624,i,BR,i,BR757
1417,0.018530113622546196,ɪ,BR,i,BR757
1410,0.00011547247413545847,eɪ,BR,i,BR757
1416,0.0008754988084547222,ɛ,BR,i,BR757
1414,0.0010845852084457874,æ,BR,i,BR757
1415,1.7768754332792014e-05,ɑ,BR,i,BR757
1419,0.00041412014979869127,ʌ,BR,i,BR757
1412,0.0002031394251389429,oʊ,BR,i,BR757
1413,0.0016409695381298661,u,BR,i,BR757
1418,0.0016271569766104221,ʊ,BR,i,BR757
1461,0.9930734038352966,i,BR,i,BR796
1467,0.006630396470427513,ɪ,BR,i,BR796
1460,4.04814863941283e-06,eɪ,BR,i,BR796
1466,9.342878183815628e-05,ɛ,BR,i,BR796
1464,5.883556877961382e-05,æ,BR,i,BR796
1465,4.1951432194764493e-07,ɑ,BR,i,BR796
