,probabilities,classification,language,vowel,file
91,0.9743162989616394,i,BR,i,BR132
97,0.013280536979436874,ɪ,BR,i,BR132
90,0.000747568323276937,eɪ,BR,i,BR132
96,0.011395680718123913,ɛ,BR,i,BR132
94,1.0668605682440102e-05,æ,BR,i,BR132
95,2.114178641932085e-06,ɑ,BR,i,BR132
99,2.016710459429305e-05,ʌ,BR,i,BR132
92,7.183509296737611e-06,oʊ,BR,i,BR132
93,0.00016660249093547463,u,BR,i,BR132
98,5.324666199157946e-05,ʊ,BR,i,BR132
451,0.06044449284672737,i,BR,i,BR329
457,0.7733389139175415,ɪ,BR,i,BR329
450,0.013201652094721794,eɪ,BR,i,BR329
456,0.08134003728628159,ɛ,BR,i,BR329
454,0.031954459846019745,æ,BR,i,BR329
455,0.0009229708812199533,ɑ,BR,i,BR329
459,0.005667437333613634,ʌ,BR,i,BR329
452,0.0004938373458571732,oʊ,BR,i,BR329
453,0.0012394455261528492,u,BR,i,BR329
458,0.03139675036072731,ʊ,BR,i,BR329
581,0.44487643241882324,i,BR,i,BR373
587,0.5248055458068848,ɪ,BR,i,BR373
580,0.0006780285038985312,eɪ,BR,i,BR373
586,0.013057563453912735,ɛ,BR,i,BR373
584,7.068875129334629e-05,æ,BR,i,BR373
585,5.497774691320956e-05,ɑ,BR,i,BR373
589,0.002137020230293274,ʌ,BR,i,BR373
582,0.00011747066309908405,oʊ,BR,i,BR373
583,0.007959356531500816,u,BR,i,BR373
588,0.006242921110242605,ʊ,BR,i,BR373
591,0.05950048565864563,i,BR,i,BR374
597,0.9060484766960144,ɪ,BR,i,BR374
590,0.00011947720486205071,eɪ,BR,i,BR374
596,0.019860221073031425,ɛ,BR,i,BR374
594,0.0005600646836683154,æ,BR,i,BR374
595,4.0856075429474e-06,ɑ,BR,i,BR374
599,0.0008834289037622511,ʌ,BR,i,BR374
592,1.6824797057779506e-05,oʊ,BR,i,BR374
593,0.000725498772226274,u,BR,i,BR374
598,0.012281429953873158,ʊ,BR,i,BR374
601,0.09402338415384293,i,BR,i,BR375
607,0.8521140813827515,ɪ,BR,i,BR375
600,0.0042743198573589325,eɪ,BR,i,BR375
606,0.03341619297862053,ɛ,BR,i,BR375
604,0.0003275583148933947,æ,BR,i,BR375
605,2.868014416890219e-05,ɑ,BR,i,BR375
609,0.0008884411654435098,ʌ,BR,i,BR375
602,0.00038400664925575256,oʊ,BR,i,BR375
603,0.001134329941123724,u,BR,i,BR375
608,0.013409054838120937,ʊ,BR,i,BR375
741,0.938981294631958,i,BR,i,BR452
747,0.05671818181872368,ɪ,BR,i,BR452
740,0.0001888919941848144,eɪ,BR,i,BR452
746,0.004055667668581009,ɛ,BR,i,BR452
744,7.159534902712039e-07,æ,BR,i,BR452
745,3.738775546935358e-07,ɑ,BR,i,BR452
749,9.725305972096976e-06,ʌ,BR,i,BR452
742,8.862384248686794e-08,oʊ,BR,i,BR452
743,3.1545350793749094e-05,u,BR,i,BR452
748,1.355326094198972e-05,ʊ,BR,i,BR452
751,0.12738415598869324,i,BR,i,BR454
757,0.7580754160881042,ɪ,BR,i,BR454
750,0.0004701646976172924,eɪ,BR,i,BR454
756,0.07676786929368973,ɛ,BR,i,BR454
754,7.07670415067696e-06,æ,BR,i,BR454
755,3.836621999653289e-06,ɑ,BR,i,BR454
759,0.001575909205712378,ʌ,BR,i,BR454
752,0.000385378603823483,oʊ,BR,i,BR454
753,0.027561625465750694,u,BR,i,BR454
758,0.007768656592816114,ʊ,BR,i,BR454
781,0.7912949323654175,i,BR,i,BR46
787,0.052617233246564865,ɪ,BR,i,BR46
780,0.008274276740849018,eɪ,BR,i,BR46
786,0.14665141701698303,ɛ,BR,i,BR46
784,0.00045977497939020395,æ,BR,i,BR46
785,1.8555003407527693e-05,ɑ,BR,i,BR46
789,0.000154639856191352,ʌ,BR,i,BR46
782,1.196733683173079e-05,oʊ,BR,i,BR46
783,0.0002002185065066442,u,BR,i,BR46
788,0.0003169503470417112,ʊ,BR,i,BR46
821,0.9839403629302979,i,BR,i,BR47
827,0.005127874203026295,ɪ,BR,i,BR47
820,0.0028402169700711966,eɪ,BR,i,BR47
826,0.00791894644498825,ɛ,BR,i,BR47
824,1.883106779132504e-05,æ,BR,i,BR47
825,4.180599262326723e-06,ɑ,BR,i,BR47
829,6.032611781847663e-05,ʌ,BR,i,BR47
822,7.799899321980774e-06,oʊ,BR,i,BR47
823,4.028666080557741e-05,u,BR,i,BR47
828,4.1286188206868246e-05,ʊ,BR,i,BR47
881,0.29597628116607666,i,BR,i,BR496
887,0.608607292175293,ɪ,BR,i,BR496
880,0.004750850610435009,eɪ,BR,i,BR496
886,0.0868716835975647,ɛ,BR,i,BR496
884,6.562322596437298e-06,æ,BR,i,BR496
885,7.452641511918046e-06,ɑ,BR,i,BR496
889,0.0014067314332351089,ʌ,BR,i,BR496
882,1.4218849173630588e-05,oʊ,BR,i,BR496
883,0.0005808024434372783,u,BR,i,BR496
888,0.001778059871867299,ʊ,BR,i,BR496
1351,0.7156323790550232,i,BR,i,BR741
1357,0.19274719059467316,ɪ,BR,i,BR741
1350,0.0007266641478054225,eɪ,BR,i,BR741
1356,0.08780507743358612,ɛ,BR,i,BR741
