,probabilities,classification,language,vowel,file
91,0.6851798295974731,i,BR,i,BR132
97,0.09018487483263016,ɪ,BR,i,BR132
90,0.000623484083916992,eɪ,BR,i,BR132
96,0.16793616116046906,ɛ,BR,i,BR132
94,0.04936390370130539,æ,BR,i,BR132
95,0.003618944901973009,ɑ,BR,i,BR132
99,0.0009770055767148733,ʌ,BR,i,BR132
92,0.0004977646167390049,oʊ,BR,i,BR132
93,9.431443322682753e-05,u,BR,i,BR132
98,0.0015237292973324656,ʊ,BR,i,BR132
451,0.011379871517419815,i,BR,i,BR329
457,0.70295649766922,ɪ,BR,i,BR329
450,0.0007337062270380557,eɪ,BR,i,BR329
456,0.2845696806907654,ɛ,BR,i,BR329
454,0.00029178138356655836,æ,BR,i,BR329
455,5.86733513046056e-05,ɑ,BR,i,BR329
459,1.957220547410543e-06,ʌ,BR,i,BR329
452,2.5666940928203985e-06,oʊ,BR,i,BR329
453,4.733152763947146e-06,u,BR,i,BR329
458,4.744982788906782e-07,ʊ,BR,i,BR329
581,0.8857542276382446,i,BR,i,BR373
587,0.09476663917303085,ɪ,BR,i,BR373
580,0.001412894926033914,eɪ,BR,i,BR373
586,0.01076520886272192,ɛ,BR,i,BR373
584,0.004166121128946543,æ,BR,i,BR373
585,0.0030292558949440718,ɑ,BR,i,BR373
589,1.566768332850188e-05,ʌ,BR,i,BR373
582,4.0487087971996516e-05,oʊ,BR,i,BR373
583,3.653311068774201e-05,u,BR,i,BR373
588,1.303223234572215e-05,ʊ,BR,i,BR373
591,0.045504119247198105,i,BR,i,BR374
597,0.4804128408432007,ɪ,BR,i,BR374
590,0.0007528348360210657,eɪ,BR,i,BR374
596,0.47295570373535156,ɛ,BR,i,BR374
594,0.0002033725322689861,æ,BR,i,BR374
595,0.00017098471289500594,ɑ,BR,i,BR374
599,2.2740026750511788e-08,ʌ,BR,i,BR374
592,5.5460070313984033e-08,oʊ,BR,i,BR374
593,2.8234373061764018e-08,u,BR,i,BR374
598,4.699909794680934e-08,ʊ,BR,i,BR374
601,0.0685003250837326,i,BR,i,BR375
607,0.8594123721122742,ɪ,BR,i,BR375
600,0.004360201768577099,eɪ,BR,i,BR375
606,0.06688760966062546,ɛ,BR,i,BR375
604,0.000585967383813113,æ,BR,i,BR375
605,0.00023186279577203095,ɑ,BR,i,BR375
609,7.727506272203755e-06,ʌ,BR,i,BR375
602,9.384418262925465e-06,oʊ,BR,i,BR375
603,1.1249059070905787e-06,u,BR,i,BR375
608,3.4426554975652834e-06,ʊ,BR,i,BR375
741,0.9462703466415405,i,BR,i,BR452
747,0.01707904413342476,ɪ,BR,i,BR452
740,0.002981370547786355,eɪ,BR,i,BR452
746,0.00023881839297246188,ɛ,BR,i,BR452
744,0.0003045792691409588,æ,BR,i,BR452
745,0.0004572206235025078,ɑ,BR,i,BR452
749,0.000502543116454035,ʌ,BR,i,BR452
742,0.0002117812109645456,oʊ,BR,i,BR452
743,0.03121875412762165,u,BR,i,BR452
748,0.0007355622365139425,ʊ,BR,i,BR452
751,0.02610592730343342,i,BR,i,BR454
757,0.25439777970314026,ɪ,BR,i,BR454
750,0.00015856881509535015,eɪ,BR,i,BR454
756,0.007677678484469652,ɛ,BR,i,BR454
754,0.0019348841160535812,æ,BR,i,BR454
755,0.0016238064272329211,ɑ,BR,i,BR454
759,0.0030589508824050426,ʌ,BR,i,BR454
752,0.0096095846965909,oʊ,BR,i,BR454
753,0.6405220627784729,u,BR,i,BR454
758,0.054910726845264435,ʊ,BR,i,BR454
781,0.2600153684616089,i,BR,i,BR46
787,0.036181993782520294,ɪ,BR,i,BR46
780,7.405102951452136e-05,eɪ,BR,i,BR46
786,0.6396591067314148,ɛ,BR,i,BR46
784,0.060898274183273315,æ,BR,i,BR46
785,0.0014223263133317232,ɑ,BR,i,BR46
789,0.001012912718579173,ʌ,BR,i,BR46
782,3.242023740313016e-05,oʊ,BR,i,BR46
783,3.8741931348340586e-05,u,BR,i,BR46
788,0.0006647901027463377,ʊ,BR,i,BR46
821,0.6077961921691895,i,BR,i,BR47
827,0.05406041815876961,ɪ,BR,i,BR47
820,4.865907976636663e-05,eɪ,BR,i,BR47
826,0.2560104429721832,ɛ,BR,i,BR47
824,0.06287446618080139,æ,BR,i,BR47
825,0.0052063423208892345,ɑ,BR,i,BR47
829,0.0093991719186306,ʌ,BR,i,BR47
822,3.5670433135237545e-05,oʊ,BR,i,BR47
823,9.07777066458948e-05,u,BR,i,BR47
828,0.004477829206734896,ʊ,BR,i,BR47
881,0.3820093274116516,i,BR,i,BR496
887,0.5861653089523315,ɪ,BR,i,BR496
880,3.2033108254836407e-06,eɪ,BR,i,BR496
886,0.011696132831275463,ɛ,BR,i,BR496
884,0.0009045039769262075,æ,BR,i,BR496
885,0.000682309502735734,ɑ,BR,i,BR496
889,0.001613866537809372,ʌ,BR,i,BR496
882,6.278842920437455e-05,oʊ,BR,i,BR496
883,0.013701518066227436,u,BR,i,BR496
888,0.003161075059324503,ʊ,BR,i,BR496
1351,0.976398229598999,i,BR,i,BR741
1357,0.021022237837314606,ɪ,BR,i,BR741
1350,5.306640741764568e-05,eɪ,BR,i,BR741
1356,0.0015440688002854586,ɛ,BR,i,BR741
1354,0.000806263298727572,æ,BR,i,BR741
1355,0.00010561529779806733,ɑ,BR,i,BR741
1359,9.604407750885002e-06,ʌ,BR,i,BR741
1352,1.7575031279193354e-06,oʊ,BR,i,BR741
1353,5.33511811227072e-05,u,BR,i,BR741
1358,5.857349151483504e-06,ʊ,BR,i,BR741
1361,0.9946541786193848,i,BR,i,BR742
1367,0.0025115155149251223,ɪ,BR,i,BR742
1360,0.0007846634252928197,eɪ,BR,i,BR742
1366,0.0005562425358220935,ɛ,BR,i,BR742
1364,0.0010791067034006119,æ,BR,i,BR742
1365,0.00024292836314998567,ɑ,BR,i,BR742
1369,0.00012881604197900742,ʌ,BR,i,BR742
1362,2.0219304133206606e-05,oʊ,BR,i,BR742
1363,1.2037145097565372e-05,u,BR,i,BR742
1368,1.0152391041629016e-05,ʊ,BR,i,BR742
1411,0.5833259224891663,i,BR,i,BR757
1417,0.16220809519290924,ɪ,BR,i,BR757
1410,0.001133855665102601,eɪ,BR,i,BR757
1416,0.1391940861940384,ɛ,BR,i,BR757
1414,0.04535461962223053,æ,BR,i,BR757
1415,0.009988151490688324,ɑ,BR,i,BR757
1419,0.04732060059905052,ʌ,BR,i,BR757
1412,0.0040632011368870735,oʊ,BR,i,BR757
