,language,vowel,file,classification,probabilities
2009,BR,i,BR132,i,1.0
5009,BR,i,BR132,y,7.781132e-20
1009,BR,i,BR132,e,5.7495225e-19
11009,BR,i,BR132,ɛ,7.781132e-20
12009,BR,i,BR132,ɛ̃,7.781132e-20
6009,BR,i,BR132,ø,7.781132e-20
7009,BR,i,BR132,œ,7.781132e-20
9,BR,i,BR132,a,7.781132e-20
8009,BR,i,BR132,ɑ̃,7.781132e-20
3009,BR,i,BR132,o,7.781132e-20
9009,BR,i,BR132,ɔ,7.781132e-20
10009,BR,i,BR132,ɔ̃,7.781132e-20
4009,BR,i,BR132,u,7.781132e-20
2045,BR,i,BR329,i,0.046547126
5045,BR,i,BR329,y,0.0008525404
1045,BR,i,BR329,e,0.00031363207
11045,BR,i,BR329,ɛ,0.93492407
12045,BR,i,BR329,ɛ̃,5.744372e-06
6045,BR,i,BR329,ø,4.244549e-05
7045,BR,i,BR329,œ,1.5614822e-05
45,BR,i,BR329,a,5.744372e-06
8045,BR,i,BR329,ɑ̃,0.000115378796
3045,BR,i,BR329,o,5.744372e-06
9045,BR,i,BR329,ɔ,5.744372e-06
10045,BR,i,BR329,ɔ̃,4.244549e-05
4045,BR,i,BR329,u,0.017123733
2058,BR,i,BR373,i,6.13852e-06
5058,BR,i,BR373,y,0.00091103715
1058,BR,i,BR373,e,3.056189e-07
11058,BR,i,BR373,ɛ,2.2582353e-06
12058,BR,i,BR373,ɛ̃,4.136102e-08
6058,BR,i,BR373,ø,0.9990735
7058,BR,i,BR373,œ,6.13852e-06
58,BR,i,BR373,a,4.136102e-08
8058,BR,i,BR373,ɑ̃,4.136102e-08
3058,BR,i,BR373,o,4.136102e-08
9058,BR,i,BR373,ɔ,3.056189e-07
10058,BR,i,BR373,ɔ̃,4.136102e-08
4058,BR,i,BR373,u,1.1243091e-07
2059,BR,i,BR374,i,0.44537666
5059,BR,i,BR374,y,5.4963846e-05
1059,BR,i,BR374,e,0.022173997
11059,BR,i,BR374,ɛ,0.44537666
12059,BR,i,BR374,ɛ̃,0.00014940722
6059,BR,i,BR374,ø,0.00014940722
7059,BR,i,BR374,œ,0.0011039784
59,BR,i,BR374,a,5.4963846e-05
8059,BR,i,BR374,ɑ̃,5.4963846e-05
3059,BR,i,BR374,o,0.060275175
9059,BR,i,BR374,ɔ,0.0030009244
10059,BR,i,BR374,ɔ̃,5.4963846e-05
4059,BR,i,BR374,u,0.022173997
2060,BR,i,BR375,i,0.994885
5060,BR,i,BR375,y,8.2727547e-07
1060,BR,i,BR375,e,1.6616272e-05
11060,BR,i,BR375,ɛ,0.0024660735
12060,BR,i,BR375,ɛ̃,8.2727547e-07
6060,BR,i,BR375,ø,0.00012277857
7060,BR,i,BR375,œ,8.2727547e-07
60,BR,i,BR375,a,8.2727547e-07
8060,BR,i,BR375,ɑ̃,8.2727547e-07
3060,BR,i,BR375,o,6.112785e-06
9060,BR,i,BR375,ɔ,1.6616272e-05
10060,BR,i,BR375,ɔ̃,1.6616272e-05
4060,BR,i,BR375,u,0.0024660735
2074,BR,i,BR452,i,0.9999999
5074,BR,i,BR452,y,1.1253516e-07
1074,BR,i,BR452,e,3.4424767e-14
11074,BR,i,BR452,ɛ,3.4424767e-14
12074,BR,i,BR452,ɛ̃,3.4424767e-14
6074,BR,i,BR452,ø,3.4424767e-14
7074,BR,i,BR452,œ,3.4424767e-14
74,BR,i,BR452,a,3.4424767e-14
8074,BR,i,BR452,ɑ̃,3.4424767e-14
3074,BR,i,BR452,o,3.4424767e-14
9074,BR,i,BR452,ɔ,3.4424767e-14
10074,BR,i,BR452,ɔ̃,3.4424767e-14
4074,BR,i,BR452,u,3.4424767e-14
2075,BR,i,BR454,i,1.1548224e-17
5075,BR,i,BR454,y,1.0
1075,BR,i,BR454,e,1.1548224e-17
11075,BR,i,BR454,ɛ,1.1548224e-17
12075,BR,i,BR454,ɛ̃,1.1548224e-17
6075,BR,i,BR454,ø,4.658886e-15
7075,BR,i,BR454,œ,3.139133e-17
75,BR,i,BR454,a,1.1548224e-17
8075,BR,i,BR454,ɑ̃,1.1548224e-17
3075,BR,i,BR454,o,1.1548224e-17
9075,BR,i,BR454,ɔ,1.1548224e-17
10075,BR,i,BR454,ɔ̃,1.1548224e-17
4075,BR,i,BR454,u,1.1548224e-17
2078,BR,i,BR46,i,1.0
5078,BR,i,BR46,y,6.9144e-13
1078,BR,i,BR46,e,5.6027964e-09
11078,BR,i,BR46,ɛ,2.0611537e-09
12078,BR,i,BR46,ɛ̃,6.9144e-13
6078,BR,i,BR46,ø,1.8795289e-12
7078,BR,i,BR46,œ,6.9144e-13
78,BR,i,BR46,a,6.9144e-13
8078,BR,i,BR46,ɑ̃,6.9144e-13
3078,BR,i,BR46,o,6.9144e-13
9078,BR,i,BR46,ɔ,6.9144e-13
10078,BR,i,BR46,ɔ̃,6.9144e-13
4078,BR,i,BR46,u,6.9144e-13
2082,BR,i,BR47,i,1.0
5082,BR,i,BR47,y,7.781132e-20
1082,BR,i,BR47,e,5.7495225e-19
11082,BR,i,BR47,ɛ,7.781132e-20
12082,BR,i,BR47,ɛ̃,7.781132e-20
6082,BR,i,BR47,ø,7.781132e-20
7082,BR,i,BR47,œ,7.781132e-20
82,BR,i,BR47,a,7.781132e-20
8082,BR,i,BR47,ɑ̃,7.781132e-20
3082,BR,i,BR47,o,7.781132e-20
9082,BR,i,BR47,ɔ,7.781132e-20
10082,BR,i,BR47,ɔ̃,7.781132e-20
4082,BR,i,BR47,u,7.781132e-20
2088,BR,i,BR496,i,1.7139084e-15
5088,BR,i,BR496,y,1.0
1088,BR,i,BR496,e,8.5330476e-17
11088,BR,i,BR496,ɛ,8.5330476e-17
12088,BR,i,BR496,ɛ̃,8.5330476e-17
6088,BR,i,BR496,ø,4.658886e-15
7088,BR,i,BR496,œ,6.305117e-16
88,BR,i,BR496,a,8.5330476e-17
8088,BR,i,BR496,ɑ̃,8.5330476e-17
3088,BR,i,BR496,o,8.5330476e-17
9088,BR,i,BR496,ɔ,8.5330476e-17
10088,BR,i,BR496,ɔ̃,8.5330476e-17
4088,BR,i,BR496,u,8.5330476e-17
2135,BR,i,BR741,i,0.99966455
5135,BR,i,BR741,y,2.7885325e-10
1135,BR,i,BR741,e,1.12497425e-07
11135,BR,i,BR741,ɛ,2.7885325e-10
12135,BR,i,BR741,ɛ̃,2.7885325e-10
6135,BR,i,BR741,ø,1.522487e-08
7135,BR,i,BR741,œ,0.00033535008
135,BR,i,BR741,a,2.7885325e-10
8135,BR,i,BR741,ɑ̃,2.7885325e-10
3135,BR,i,BR741,o,2.7885325e-10
9135,BR,i,BR741,ɔ,2.7885325e-10
10135,BR,i,BR741,ɔ̃,2.7885325e-10
4135,BR,i,BR741,u,2.7885325e-10
2136,BR,i,BR742,i,2.5436657e-13
5136,BR,i,BR742,y,2.5436657e-13
1136,BR,i,BR742,e,2.5436657e-13
11136,BR,i,BR742,ɛ,2.789468e-10
