,probabilities,classification,language,vowel,file
119,0.9929277300834656,i,BR,i,BR132
122,0.0008137720869854093,y,BR,i,BR132
118,0.0020485648419708014,e,BR,i,BR132
128,0.0008740992634557188,ɛ,BR,i,BR132
129,0.0022554274182766676,ɛ̃,BR,i,BR132
123,9.395705274073407e-05,ø,BR,i,BR132
124,4.009288750239648e-05,œ,BR,i,BR132
117,7.780370651744306e-06,a,BR,i,BR132
125,3.206895780749619e-05,ɑ̃,BR,i,BR132
120,8.197889656003099e-06,o,BR,i,BR132
126,3.4334575502725784e-06,ɔ,BR,i,BR132
127,3.138625970677822e-06,ɔ̃,BR,i,BR132
121,0.0008915042853914201,u,BR,i,BR132
587,0.8810313940048218,i,BR,i,BR329
590,0.014619636349380016,y,BR,i,BR329
586,0.05425355210900307,e,BR,i,BR329
596,0.031122179701924324,ɛ,BR,i,BR329
597,0.008189798332750797,ɛ̃,BR,i,BR329
591,0.0009770028991624713,ø,BR,i,BR329
592,0.00025675821234472096,œ,BR,i,BR329
585,4.963842366123572e-05,a,BR,i,BR329
593,0.0005313425208441913,ɑ̃,BR,i,BR329
588,0.00011407558486098424,o,BR,i,BR329
594,4.3635845941025764e-05,ɔ,BR,i,BR329
595,0.0005715448642149568,ɔ̃,BR,i,BR329
589,0.008239437825977802,u,BR,i,BR329
756,0.9876669645309448,i,BR,i,BR373
759,0.0017429458675906062,y,BR,i,BR373
755,0.006225876975804567,e,BR,i,BR373
765,0.001483679050579667,ɛ,BR,i,BR373
766,0.0003029772196896374,ɛ̃,BR,i,BR373
760,0.0006419756100513041,ø,BR,i,BR373
761,5.4408854339271784e-05,œ,BR,i,BR373
754,5.917693215451436e-06,a,BR,i,BR373
762,3.033277425856795e-05,ɑ̃,BR,i,BR373
757,3.553763235686347e-05,o,BR,i,BR373
763,3.2732634736021282e-06,ɔ,BR,i,BR373
764,1.0839492460945621e-05,ɔ̃,BR,i,BR373
758,0.0017953254282474518,u,BR,i,BR373
769,0.9720684885978699,i,BR,i,BR374
772,0.0029519936069846153,y,BR,i,BR374
768,0.010777439922094345,e,BR,i,BR374
778,0.0051603964529931545,ɛ,BR,i,BR374
779,0.0026874104514718056,ɛ̃,BR,i,BR374
773,0.001515676500275731,ø,BR,i,BR374
774,0.0002264728827867657,œ,BR,i,BR374
767,3.0013741252332693e-06,a,BR,i,BR374
775,0.00019327076734043658,ɑ̃,BR,i,BR374
770,0.0001882605574792251,o,BR,i,BR374
776,2.755007881205529e-05,ɔ,BR,i,BR374
777,0.00015022199659142643,ɔ̃,BR,i,BR374
771,0.0040499125607311726,u,BR,i,BR374
782,0.974373459815979,i,BR,i,BR375
785,0.0021748363506048918,y,BR,i,BR375
781,0.009634285233914852,e,BR,i,BR375
791,0.008275222033262253,ɛ,BR,i,BR375
792,0.0012220442295074463,ɛ̃,BR,i,BR375
786,0.00044304714538156986,ø,BR,i,BR375
787,0.00025332634686492383,œ,BR,i,BR375
780,3.630493893069797e-06,a,BR,i,BR375
788,0.00012684613466262817,ɑ̃,BR,i,BR375
783,0.00036181925679557025,o,BR,i,BR375
789,3.3845491998363286e-05,ɔ,BR,i,BR375
790,9.123384370468557e-05,ɔ̃,BR,i,BR375
784,0.0030064936727285385,u,BR,i,BR375
964,0.98869788646698,i,BR,i,BR452
967,0.006759877782315016,y,BR,i,BR452
963,0.0019084702944383025,e,BR,i,BR452
973,0.0006772040505893528,ɛ,BR,i,BR452
974,0.0003562274796422571,ɛ̃,BR,i,BR452
968,0.00015063567843753844,ø,BR,i,BR452
969,0.00013897578173782676,œ,BR,i,BR452
962,5.1492952479748055e-06,a,BR,i,BR452
970,5.847938155056909e-05,ɑ̃,BR,i,BR452
965,2.6344499929109588e-05,o,BR,i,BR452
971,8.798638191365171e-06,ɔ,BR,i,BR452
972,9.86075792752672e-06,ɔ̃,BR,i,BR452
966,0.0012020849389955401,u,BR,i,BR452
977,0.8055872917175293,i,BR,i,BR454
980,0.10581762343645096,y,BR,i,BR454
976,0.04921470209956169,e,BR,i,BR454
986,0.011430223472416401,ɛ,BR,i,BR454
