,probabilities,classification,language,vowel,file
119,0.5350104570388794,i,BR,i,BR132
122,0.16840806603431702,y,BR,i,BR132
118,0.07642091065645218,e,BR,i,BR132
128,0.007986249402165413,ɛ,BR,i,BR132
129,8.8348395365756e-05,ɛ̃,BR,i,BR132
123,0.03516044095158577,ø,BR,i,BR132
124,0.02265547402203083,œ,BR,i,BR132
117,0.0002838422078639269,a,BR,i,BR132
125,2.071215567411855e-05,ɑ̃,BR,i,BR132
120,0.00701072858646512,o,BR,i,BR132
126,0.0077407085336744785,ɔ,BR,i,BR132
127,0.005099005997180939,ɔ̃,BR,i,BR132
121,0.13411493599414825,u,BR,i,BR132
587,0.14201945066452026,i,BR,i,BR329
590,0.0494769923388958,y,BR,i,BR329
586,0.3785155713558197,e,BR,i,BR329
596,0.4151950478553772,ɛ,BR,i,BR329
597,0.0003540126490406692,ɛ̃,BR,i,BR329
591,0.001983826281502843,ø,BR,i,BR329
592,0.0006652677548117936,œ,BR,i,BR329
585,0.0003392805519979447,a,BR,i,BR329
593,0.0005692730192095041,ɑ̃,BR,i,BR329
588,0.0002750488929450512,o,BR,i,BR329
594,2.6971223633154295e-05,ɔ,BR,i,BR329
595,0.0006069865194149315,ɔ̃,BR,i,BR329
589,0.009972295723855495,u,BR,i,BR329
756,0.4885084927082062,i,BR,i,BR373
759,0.09876664727926254,y,BR,i,BR373
755,0.24553468823432922,e,BR,i,BR373
765,0.10899289697408676,ɛ,BR,i,BR373
766,0.0014892606995999813,ɛ̃,BR,i,BR373
760,0.018947402015328407,ø,BR,i,BR373
761,0.011344303376972675,œ,BR,i,BR373
754,0.0017215918051078916,a,BR,i,BR373
762,0.00026720218011178076,ɑ̃,BR,i,BR373
757,0.0012388447066769004,o,BR,i,BR373
763,0.0005901908734813333,ɔ,BR,i,BR373
764,0.0015801831614226103,ɔ̃,BR,i,BR373
758,0.021018365398049355,u,BR,i,BR373
769,0.06349928677082062,i,BR,i,BR374
772,0.1972813755273819,y,BR,i,BR374
768,0.1438857465982437,e,BR,i,BR374
778,0.11538049578666687,ɛ,BR,i,BR374
779,0.00029793300200253725,ɛ̃,BR,i,BR374
773,0.03346589580178261,ø,BR,i,BR374
774,0.002364127431064844,œ,BR,i,BR374
767,0.0005963801522739232,a,BR,i,BR374
775,0.00017366514657624066,ɑ̃,BR,i,BR374
770,0.0050240871496498585,o,BR,i,BR374
776,0.0038334985729306936,ɔ,BR,i,BR374
777,0.000872948847245425,ɔ̃,BR,i,BR374
771,0.4333244264125824,u,BR,i,BR374
782,0.19822341203689575,i,BR,i,BR375
785,0.20298545062541962,y,BR,i,BR375
781,0.09682970494031906,e,BR,i,BR375
791,0.20409147441387177,ɛ,BR,i,BR375
792,0.00255148415453732,ɛ̃,BR,i,BR375
786,0.0500946044921875,ø,BR,i,BR375
787,0.020046250894665718,œ,BR,i,BR375
780,0.0008004613919183612,a,BR,i,BR375
788,9.224234236171469e-05,ɑ̃,BR,i,BR375
783,0.011461949907243252,o,BR,i,BR375
789,0.005513844545930624,ɔ,BR,i,BR375
790,0.0009325417340733111,ɔ̃,BR,i,BR375
784,0.20637646317481995,u,BR,i,BR375
964,0.20642800629138947,i,BR,i,BR452
967,0.035952042788267136,y,BR,i,BR452
963,0.007262768689543009,e,BR,i,BR452
973,0.0009729535668157041,ɛ,BR,i,BR452
974,0.0002511915226932615,ɛ̃,BR,i,BR452
968,0.0011436661006882787,ø,BR,i,BR452
969,0.0011392306769266725,œ,BR,i,BR452
962,0.0004825147334486246,a,BR,i,BR452
970,9.668579878052697e-05,ɑ̃,BR,i,BR452
965,0.03731886297464371,o,BR,i,BR452
971,0.015188443474471569,ɔ,BR,i,BR452
972,0.3211267292499542,ɔ̃,BR,i,BR452
966,0.3726368844509125,u,BR,i,BR452
977,0.4506894648075104,i,BR,i,BR454
980,0.36348339915275574,y,BR,i,BR454
976,0.04042861983180046,e,BR,i,BR454
986,0.0004494796448852867,ɛ,BR,i,BR454
987,7.349002544287941e-07,ɛ̃,BR,i,BR454
981,0.03832937777042389,ø,BR,i,BR454
982,0.013824015855789185,œ,BR,i,BR454
975,5.751026037614793e-06,a,BR,i,BR454
983,8.044654350669589e-06,ɑ̃,BR,i,BR454
978,0.012849463149905205,o,BR,i,BR454
984,0.04755318909883499,ɔ,BR,i,BR454
985,0.002505428157746792,ɔ̃,BR,i,BR454
979,0.029872963204979897,u,BR,i,BR454
1016,0.10524675995111465,i,BR,i,BR46
1019,0.6030899286270142,y,BR,i,BR46
1015,0.034558702260255814,e,BR,i,BR46
1025,0.052072059363126755,ɛ,BR,i,BR46
1026,0.00010754295362858102,ɛ̃,BR,i,BR46
1020,0.11351194977760315,ø,BR,i,BR46
1021,0.033760637044906616,œ,BR,i,BR46
1014,0.000708895968273282,a,BR,i,BR46
1022,2.3448121282854117e-05,ɑ̃,BR,i,BR46
1017,0.002308815950527787,o,BR,i,BR46
1023,0.013704514130949974,ɔ,BR,i,BR46
1024,0.0010909445118159056,ɔ̃,BR,i,BR46
1018,0.03981580585241318,u,BR,i,BR46
1068,0.6439016461372375,i,BR,i,BR47
1071,0.00409788079559803,y,BR,i,BR47
1067,0.12208637595176697,e,BR,i,BR47
1077,0.18770326673984528,ɛ,BR,i,BR47
1078,0.01379428431391716,ɛ̃,BR,i,BR47
1072,0.004522240255028009,ø,BR,i,BR47
1073,0.007897863164544106,œ,BR,i,BR47
1066,0.0018321098759770393,a,BR,i,BR47
1074,0.00022729147167410702,ɑ̃,BR,i,BR47
1069,0.0006280750967562199,o,BR,i,BR47
1075,0.0014988939510658383,ɔ,BR,i,BR47
