,probabilities,classification,language,vowel,file
119,0.9969915151596069,i,BR,i,BR132
122,0.000561726454179734,y,BR,i,BR132
118,0.0014938215026631951,e,BR,i,BR132
128,6.459998985519633e-05,ɛ,BR,i,BR132
129,0.00012740470992866904,ɛ̃,BR,i,BR132
123,8.365338726434857e-05,ø,BR,i,BR132
124,1.553743459226098e-05,œ,BR,i,BR132
117,9.336126254311239e-07,a,BR,i,BR132
125,1.3522736480808817e-05,ɑ̃,BR,i,BR132
120,2.9434831958496943e-05,o,BR,i,BR132
126,1.440363234905817e-06,ɔ,BR,i,BR132
127,2.8110050607210724e-06,ɔ̃,BR,i,BR132
121,0.0006133918068371713,u,BR,i,BR132
587,0.960364043712616,i,BR,i,BR329
590,0.0003820927522610873,y,BR,i,BR329
586,0.01574353314936161,e,BR,i,BR329
596,0.022248176857829094,ɛ,BR,i,BR329
597,0.00046849416685290635,ɛ̃,BR,i,BR329
591,0.00048058899119496346,ø,BR,i,BR329
592,5.287512976792641e-05,œ,BR,i,BR329
585,3.609978739405051e-05,a,BR,i,BR329
593,7.088170968927443e-05,ɑ̃,BR,i,BR329
588,1.041422274283832e-05,o,BR,i,BR329
594,3.2135598303284496e-05,ɔ,BR,i,BR329
595,3.8202204450499266e-05,ɔ̃,BR,i,BR329
589,7.23722914699465e-05,u,BR,i,BR329
756,0.9986565113067627,i,BR,i,BR373
759,0.000645190360955894,y,BR,i,BR373
755,0.00030830592731945217,e,BR,i,BR373
765,0.00016645487630739808,ɛ,BR,i,BR373
766,3.146790186292492e-05,ɛ̃,BR,i,BR373
760,9.540238534100354e-05,ø,BR,i,BR373
761,8.961254934547469e-06,œ,BR,i,BR373
754,3.6629135138355196e-06,a,BR,i,BR373
762,2.9752096452284604e-05,ɑ̃,BR,i,BR373
757,9.506720743956976e-06,o,BR,i,BR373
763,1.5474441852347809e-06,ɔ,BR,i,BR373
764,2.3278521439351607e-06,ɔ̃,BR,i,BR373
758,4.0782888390822336e-05,u,BR,i,BR373
769,0.9601971507072449,i,BR,i,BR374
