,probabilities,classification,language,vowel,file
119,0.36904004216194153,i,BR,i,BR132
122,0.013100316748023033,y,BR,i,BR132
118,0.1306631714105606,e,BR,i,BR132
128,0.173959881067276,ɛ,BR,i,BR132
129,0.0014631194062530994,ɛ̃,BR,i,BR132
123,0.0753002017736435,ø,BR,i,BR132
124,0.1494465321302414,œ,BR,i,BR132
117,0.007092186715453863,a,BR,i,BR132
125,0.000518490094691515,ɑ̃,BR,i,BR132
120,0.023068945854902267,o,BR,i,BR132
126,0.046580225229263306,ɔ,BR,i,BR132
127,2.5074299628613517e-05,ɔ̃,BR,i,BR132
121,0.009741764515638351,u,BR,i,BR132
587,0.03898428753018379,i,BR,i,BR329
590,0.043976396322250366,y,BR,i,BR329
586,0.28568193316459656,e,BR,i,BR329
596,0.587691605091095,ɛ,BR,i,BR329
597,0.0004454729496501386,ɛ̃,BR,i,BR329
591,0.010072293691337109,ø,BR,i,BR329
592,0.02107580006122589,œ,BR,i,BR329
585,0.00039138225838541985,a,BR,i,BR329
593,0.0013211785117164254,ɑ̃,BR,i,BR329
588,0.0009892905363813043,o,BR,i,BR329
594,0.0009620467317290604,ɔ,BR,i,BR329
595,3.2683394238119945e-05,ɔ̃,BR,i,BR329
589,0.008375611156225204,u,BR,i,BR329
756,0.0344494991004467,i,BR,i,BR373
759,0.056647345423698425,y,BR,i,BR373
755,0.13610418140888214,e,BR,i,BR373
765,0.1881607323884964,ɛ,BR,i,BR373
766,0.0005895197973586619,ɛ̃,BR,i,BR373
760,0.30326396226882935,ø,BR,i,BR373
761,0.25382325053215027,œ,BR,i,BR373
754,0.0005139554268680513,a,BR,i,BR373
762,3.007464147231076e-05,ɑ̃,BR,i,BR373
757,0.002033220836892724,o,BR,i,BR373
763,0.005770647898316383,ɔ,BR,i,BR373
764,6.177280056363088e-07,ɔ̃,BR,i,BR373
758,0.018612969666719437,u,BR,i,BR373
769,0.3589801788330078,i,BR,i,BR374
772,0.04198746755719185,y,BR,i,BR374
768,0.18520943820476532,e,BR,i,BR374
778,0.13240669667720795,ɛ,BR,i,BR374
779,3.560707045835443e-05,ɛ̃,BR,i,BR374
773,0.005505016073584557,ø,BR,i,BR374
774,0.015163546428084373,œ,BR,i,BR374
767,0.0005320197669789195,a,BR,i,BR374
775,1.763915497576818e-05,ɑ̃,BR,i,BR374
770,0.02109077014029026,o,BR,i,BR374
776,0.0028477427549660206,ɔ,BR,i,BR374
777,3.07128721033223e-05,ɔ̃,BR,i,BR374
771,0.2361932098865509,u,BR,i,BR374
782,0.01734033040702343,i,BR,i,BR375
785,0.28189605474472046,y,BR,i,BR375
781,0.058455292135477066,e,BR,i,BR375
791,0.05054512247443199,ɛ,BR,i,BR375
792,0.002771589905023575,ɛ̃,BR,i,BR375
786,0.23393023014068604,ø,BR,i,BR375
787,0.3196640610694885,œ,BR,i,BR375
780,0.0008377626072615385,a,BR,i,BR375
788,0.00020952777413185686,ɑ̃,BR,i,BR375
783,0.00604103971272707,o,BR,i,BR375
789,0.004142397549003363,ɔ,BR,i,BR375
790,8.012461330508813e-05,ɔ̃,BR,i,BR375
784,0.024086639285087585,u,BR,i,BR375
964,0.305277943611145,i,BR,i,BR452
967,0.016187654808163643,y,BR,i,BR452
963,0.01511403638869524,e,BR,i,BR452
973,0.03216012939810753,ɛ,BR,i,BR452
974,0.0006363072316162288,ɛ̃,BR,i,BR452
968,0.002730497857555747,ø,BR,i,BR452
969,0.01595890335738659,œ,BR,i,BR452
962,0.004398780409246683,a,BR,i,BR452
970,0.0005128912744112313,ɑ̃,BR,i,BR452
965,0.08700847625732422,o,BR,i,BR452
971,0.29540199041366577,ɔ,BR,i,BR452
972,0.06520561873912811,ɔ̃,BR,i,BR452
966,0.15940675139427185,u,BR,i,BR452
977,0.024429572746157646,i,BR,i,BR454
980,0.08144158124923706,y,BR,i,BR454
976,0.058681193739175797,e,BR,i,BR454
986,0.006223645526915789,ɛ,BR,i,BR454
987,0.00010058795305667445,ɛ̃,BR,i,BR454
981,0.22193261981010437,ø,BR,i,BR454
982,0.0453692190349102,œ,BR,i,BR454
975,8.256080764112994e-05,a,BR,i,BR454
983,0.00043412885861471295,ɑ̃,BR,i,BR454
978,0.10458339750766754,o,BR,i,BR454
984,0.3168598711490631,ɔ,BR,i,BR454
985,0.003870241343975067,ɔ̃,BR,i,BR454
979,0.13599132001399994,u,BR,i,BR454
1016,0.6264049410820007,i,BR,i,BR46
1019,0.004823086783289909,y,BR,i,BR46
1015,0.09156259149312973,e,BR,i,BR46
1025,0.14395225048065186,ɛ,BR,i,BR46
1026,0.0005065189325250685,ɛ̃,BR,i,BR46
1020,0.03656282275915146,ø,BR,i,BR46
1021,0.08886827528476715,œ,BR,i,BR46
1014,0.0015807892195880413,a,BR,i,BR46
1022,0.0005482116248458624,ɑ̃,BR,i,BR46
1017,0.0004479758790694177,o,BR,i,BR46
1023,0.0034600854851305485,ɔ,BR,i,BR46
1024,3.4818278891179943e-06,ɔ̃,BR,i,BR46
1018,0.0012790869222953916,u,BR,i,BR46
1068,0.8949953317642212,i,BR,i,BR47
1071,0.0008933596545830369,y,BR,i,BR47
1067,0.01979144476354122,e,BR,i,BR47
1077,0.021050626412034035,ɛ,BR,i,BR47
1078,0.04252725839614868,ɛ̃,BR,i,BR47
1072,0.0036208252422511578,ø,BR,i,BR47
1073,0.014724518172442913,œ,BR,i,BR47
1066,0.0004903107765130699,a,BR,i,BR47
1074,0.0011409829603508115,ɑ̃,BR,i,BR47
1069,0.00012464183964766562,o,BR,i,BR47
1075,0.0004323786706663668,ɔ,BR,i,BR47
1076,2.4415921870968305e-05,ɔ̃,BR,i,BR47
1070,0.00018393134814687073,u,BR,i,BR47
1146,0.3159821033477783,i,BR,i,BR496
1149,0.2787006199359894,y,BR,i,BR496
1145,0.06940723955631256,e,BR,i,BR496
1155,0.019141554832458496,ɛ,BR,i,BR496
1156,0.0005553734372369945,ɛ̃,BR,i,BR496
1150,0.07598111778497696,ø,BR,i,BR496
1151,0.044065333902835846,œ,BR,i,BR496
1144,0.0013001728802919388,a,BR,i,BR496
1152,0.00021767235011793673,ɑ̃,BR,i,BR496
1147,0.022074652835726738,o,BR,i,BR496
1153,0.049175962805747986,ɔ,BR,i,BR496
1154,0.0020806167740374804,ɔ̃,BR,i,BR496
1148,0.12131768465042114,u,BR,i,BR496
1757,0.6182248592376709,i,BR,i,BR741
1760,0.001453658565878868,y,BR,i,BR741
1756,0.03974492847919464,e,BR,i,BR741
1766,0.09879400581121445,ɛ,BR,i,BR741
1767,0.00107027986086905,ɛ̃,BR,i,BR741
1761,0.08739662170410156,ø,BR,i,BR741
1762,0.1517339050769806,œ,BR,i,BR741
1755,0.0007493661832995713,a,BR,i,BR741
1763,0.00037345397868193686,ɑ̃,BR,i,BR741
1758,1.2102562322979793e-05,o,BR,i,BR741
1764,0.000376351410523057,ɔ,BR,i,BR741
1765,3.098251227129367e-06,ɔ̃,BR,i,BR741
1759,6.746604776708409e-05,u,BR,i,BR741
1770,0.4441101849079132,i,BR,i,BR742
1773,0.0010521585354581475,y,BR,i,BR742
1769,0.015267837792634964,e,BR,i,BR742
1779,0.1213533952832222,ɛ,BR,i,BR742
1780,0.161243736743927,ɛ̃,BR,i,BR742
1774,0.1277024745941162,ø,BR,i,BR742
1775,0.10820194333791733,œ,BR,i,BR742
1768,0.005220858380198479,a,BR,i,BR742
1776,0.0027472819201648235,ɑ̃,BR,i,BR742
1771,0.001797797391191125,o,BR,i,BR742
1777,0.008563656359910965,ɔ,BR,i,BR742
1778,0.0006646038964390755,ɔ̃,BR,i,BR742
1772,0.002074154792353511,u,BR,i,BR742
1835,0.0033742219675332308,i,BR,i,BR757
1838,0.0003885665209963918,y,BR,i,BR757
1834,0.0531299002468586,e,BR,i,BR757
1844,0.3157764971256256,ɛ,BR,i,BR757
1845,0.00051390245789662,ɛ̃,BR,i,BR757
1839,0.12367179244756699,ø,BR,i,BR757
1840,0.48320895433425903,œ,BR,i,BR757
1833,0.002013568300753832,a,BR,i,BR757
1841,6.849103374406695e-05,ɑ̃,BR,i,BR757
1836,0.0027275802567601204,o,BR,i,BR757
1842,0.01430607121437788,ɔ,BR,i,BR757
1843,3.675090056276531e-06,ɔ̃,BR,i,BR757
1837,0.0008167420164681971,u,BR,i,BR757
1900,0.693687915802002,i,BR,i,BR796
1903,0.000828208401799202,y,BR,i,BR796
1899,0.2149387151002884,e,BR,i,BR796
1909,0.0765724927186966,ɛ,BR,i,BR796
1910,4.457972681848332e-05,ɛ̃,BR,i,BR796
1904,0.004090439062565565,ø,BR,i,BR796
1905,0.008724076673388481,œ,BR,i,BR796
1898,0.0005489647737704217,a,BR,i,BR796
1906,4.361345054348931e-05,ɑ̃,BR,i,BR796
1901,0.0001375418360112235,o,BR,i,BR796
1907,0.0003541921032592654,ɔ,BR,i,BR796
1908,8.354750207217876e-06,ɔ̃,BR,i,BR796
1902,2.09395384445088e-05,u,BR,i,BR796
2459,0.7740481495857239,i,BR,i,BR99
2462,0.01062412653118372,y,BR,i,BR99
2458,0.1134839877486229,e,BR,i,BR99
2468,0.03205515071749687,ɛ,BR,i,BR99
2469,0.002788758371025324,ɛ̃,BR,i,BR99
2463,0.011206530034542084,ø,BR,i,BR99
2464,0.02497158944606781,œ,BR,i,BR99
2457,0.005729800555855036,a,BR,i,BR99
2465,0.001575683825649321,ɑ̃,BR,i,BR99
2460,0.004442145116627216,o,BR,i,BR99
2466,0.014246804639697075,ɔ,BR,i,BR99
2467,4.5291060814633965e-05,ɔ̃,BR,i,BR99
2461,0.00478198379278183,u,BR,i,BR99
2472,0.4327024221420288,i,BR,i,BR992
2475,0.019010206684470177,y,BR,i,BR992
2471,0.34339234232902527,e,BR,i,BR992
2481,0.07012701034545898,ɛ,BR,i,BR992
2482,0.00015451942454092205,ɛ̃,BR,i,BR992
2476,0.032037749886512756,ø,BR,i,BR992
2477,0.06299327313899994,œ,BR,i,BR992
2470,0.00012116044672438875,a,BR,i,BR992
2478,5.716052692150697e-05,ɑ̃,BR,i,BR992
2473,0.005280856043100357,o,BR,i,BR992
2479,0.026083413511514664,ɔ,BR,i,BR992
2480,4.491478466661647e-05,ɔ̃,BR,i,BR992
2474,0.00799490511417389,u,BR,i,BR992
54,0.0015283868415281177,i,BR,ĩ,BR1025
57,7.185439608292654e-05,y,BR,ĩ,BR1025
53,0.0002270169643452391,e,BR,ĩ,BR1025
63,0.017345942556858063,ɛ,BR,ĩ,BR1025
64,0.00010123955871677026,ɛ̃,BR,ĩ,BR1025
58,9.673889871919528e-05,ø,BR,ĩ,BR1025
59,6.496810965472832e-05,œ,BR,ĩ,BR1025
52,0.0003303422126919031,a,BR,ĩ,BR1025
60,0.0020558827091008425,ɑ̃,BR,ĩ,BR1025
55,1.730035182845313e-05,o,BR,ĩ,BR1025
61,0.0004958728677593172,ɔ,BR,ĩ,BR1025
62,0.9776169061660767,ɔ̃,BR,ĩ,BR1025
56,4.752243694383651e-05,u,BR,ĩ,BR1025
67,0.09761588275432587,i,BR,ĩ,BR1029
70,0.031067634001374245,y,BR,ĩ,BR1029
66,0.10271207988262177,e,BR,ĩ,BR1029
76,0.3382270336151123,ɛ,BR,ĩ,BR1029
77,0.009007962420582771,ɛ̃,BR,ĩ,BR1029
71,0.03688514232635498,ø,BR,ĩ,BR1029
72,0.0759270191192627,œ,BR,ĩ,BR1029
65,0.008863703347742558,a,BR,ĩ,BR1029
73,0.00232732854783535,ɑ̃,BR,ĩ,BR1029
68,0.03157665580511093,o,BR,ĩ,BR1029
74,0.05014995485544205,ɔ,BR,ĩ,BR1029
75,0.1512746512889862,ɔ̃,BR,ĩ,BR1029
69,0.064364954829216,u,BR,ĩ,BR1029
171,0.023818282410502434,i,BR,ĩ,BR154
174,0.0001497896300861612,y,BR,ĩ,BR154
170,0.0664035826921463,e,BR,ĩ,BR154
180,0.8585706353187561,ɛ,BR,ĩ,BR154
181,0.0022844341583549976,ɛ̃,BR,ĩ,BR154
175,0.001735029392875731,ø,BR,ĩ,BR154
176,0.01043209619820118,œ,BR,ĩ,BR154
169,0.013611681759357452,a,BR,ĩ,BR154
177,0.01358606293797493,ɑ̃,BR,ĩ,BR154
172,0.0032461590599268675,o,BR,ĩ,BR154
178,0.004317184444516897,ɔ,BR,ĩ,BR154
179,0.0013843931956216693,ɔ̃,BR,ĩ,BR154
173,0.0004606006550602615,u,BR,ĩ,BR154
184,0.08422307670116425,i,BR,ĩ,BR158
187,0.0005126773030497134,y,BR,ĩ,BR158
183,0.13900882005691528,e,BR,ĩ,BR158
193,0.5854381322860718,ɛ,BR,ĩ,BR158
194,0.0118241673335433,ɛ̃,BR,ĩ,BR158
188,0.0010436353040859103,ø,BR,ĩ,BR158
189,0.0031344641465693712,œ,BR,ĩ,BR158
182,0.15492311120033264,a,BR,ĩ,BR158
190,0.014361866749823093,ɑ̃,BR,ĩ,BR158
185,0.002315723104402423,o,BR,ĩ,BR158
191,0.0013390968088060617,ɔ,BR,ĩ,BR158
192,0.0003644145908765495,ɔ̃,BR,ĩ,BR158
186,0.0015108785592019558,u,BR,ĩ,BR158
197,0.08965824544429779,i,BR,ĩ,BR159
200,0.00035113547346554697,y,BR,ĩ,BR159
196,0.14463801681995392,e,BR,ĩ,BR159
206,0.653072714805603,ɛ,BR,ĩ,BR159
207,0.0056039923802018166,ɛ̃,BR,ĩ,BR159
201,0.007316645234823227,ø,BR,ĩ,BR159
202,0.02443186566233635,œ,BR,ĩ,BR159
195,0.04667409136891365,a,BR,ĩ,BR159
203,0.012619135901331902,ɑ̃,BR,ĩ,BR159
198,0.0027647337410598993,o,BR,ĩ,BR159
204,0.006820757407695055,ɔ,BR,ĩ,BR159
205,0.005076997447758913,ɔ̃,BR,ĩ,BR159
199,0.0009717464563436806,u,BR,ĩ,BR159
431,0.004001305438578129,i,BR,ĩ,BR264
434,0.16939017176628113,y,BR,ĩ,BR264
430,0.008446045219898224,e,BR,ĩ,BR264
440,0.028350168839097023,ɛ,BR,ĩ,BR264
441,0.07143103331327438,ɛ̃,BR,ĩ,BR264
435,0.02680799923837185,ø,BR,ĩ,BR264
436,0.04564477503299713,œ,BR,ĩ,BR264
429,0.0333716906607151,a,BR,ĩ,BR264
437,0.09513358026742935,ɑ̃,BR,ĩ,BR264
432,0.07542943954467773,o,BR,ĩ,BR264
438,0.026309784501791,ɔ,BR,ĩ,BR264
439,0.019079869613051414,ɔ̃,BR,ĩ,BR264
433,0.3966042399406433,u,BR,ĩ,BR264
873,6.076249701436609e-05,i,BR,ĩ,BR411
876,0.01720806211233139,y,BR,ĩ,BR411
872,0.0021361797116696835,e,BR,ĩ,BR411
882,0.10648366063833237,ɛ,BR,ĩ,BR411
883,0.0006601297645829618,ɛ̃,BR,ĩ,BR411
877,0.14564597606658936,ø,BR,ĩ,BR411
878,0.05221698060631752,œ,BR,ĩ,BR411
871,0.27242162823677063,a,BR,ĩ,BR411
879,0.03517349436879158,ɑ̃,BR,ĩ,BR411
874,0.107814259827137,o,BR,ĩ,BR411
880,0.14107073843479156,ɔ,BR,ĩ,BR411
881,0.00024608272360637784,ɔ̃,BR,ĩ,BR411
875,0.11886203289031982,u,BR,ĩ,BR411
886,9.840342681854963e-05,i,BR,ĩ,BR417
889,0.12022287398576736,y,BR,ĩ,BR417
885,0.001880216645076871,e,BR,ĩ,BR417
895,0.006863994058221579,ɛ,BR,ĩ,BR417
