,probabilities,classification,language,vowel,file
91,0.5630847215652466,i,BR,i,BR132
97,0.19717544317245483,ɪ,BR,i,BR132
90,0.1639360934495926,eɪ,BR,i,BR132
96,0.06858138740062714,ɛ,BR,i,BR132
94,0.0012857216643169522,æ,BR,i,BR132
95,7.846861990401521e-05,ɑ,BR,i,BR132
99,0.001150766620412469,ʌ,BR,i,BR132
92,0.0006640857900492847,oʊ,BR,i,BR132
93,0.0016907327808439732,u,BR,i,BR132
98,0.0023525021970272064,ʊ,BR,i,BR132
451,0.049810707569122314,i,BR,i,BR329
457,0.574332594871521,ɪ,BR,i,BR329
450,0.23212620615959167,eɪ,BR,i,BR329
456,0.07937132567167282,ɛ,BR,i,BR329
454,0.032213158905506134,æ,BR,i,BR329
455,0.0004814866406377405,ɑ,BR,i,BR329
459,0.00751131447032094,ʌ,BR,i,BR329
452,0.0010661943815648556,oʊ,BR,i,BR329
453,0.0045851138420403,u,BR,i,BR329
458,0.01850193552672863,ʊ,BR,i,BR329
581,0.9278507828712463,i,BR,i,BR373
587,0.05797857791185379,ɪ,BR,i,BR373
580,0.009560507722198963,eɪ,BR,i,BR373
586,0.0005167606868781149,ɛ,BR,i,BR373
584,7.04252379364334e-05,æ,BR,i,BR373
585,8.75789100973634e-06,ɑ,BR,i,BR373
589,6.779895920772105e-05,ʌ,BR,i,BR373
582,0.00010494171147001907,oʊ,BR,i,BR373
583,0.002431704895570874,u,BR,i,BR373
588,0.0014095866354182363,ʊ,BR,i,BR373
591,0.21620315313339233,i,BR,i,BR374
597,0.5100100636482239,ɪ,BR,i,BR374
590,0.1231544241309166,eɪ,BR,i,BR374
596,0.09414362907409668,ɛ,BR,i,BR374
594,0.017017776146531105,æ,BR,i,BR374
595,0.0010143055114895105,ɑ,BR,i,BR374
599,0.004266988951712847,ʌ,BR,i,BR374
592,0.004933922551572323,oʊ,BR,i,BR374
593,0.010199381038546562,u,BR,i,BR374
598,0.019056320190429688,ʊ,BR,i,BR374
601,0.21264876425266266,i,BR,i,BR375
607,0.5006029009819031,ɪ,BR,i,BR375
600,0.21853302419185638,eɪ,BR,i,BR375
606,0.04750034958124161,ɛ,BR,i,BR375
604,0.004748559556901455,æ,BR,i,BR375
605,0.0002565089089330286,ɑ,BR,i,BR375
609,0.0012868419289588928,ʌ,BR,i,BR375
602,0.0010273834923282266,oʊ,BR,i,BR375
603,0.0029601443093270063,u,BR,i,BR375
608,0.010435445234179497,ʊ,BR,i,BR375
741,0.13858817517757416,i,BR,i,BR452
747,0.6503487229347229,ɪ,BR,i,BR452
740,0.011989870108664036,eɪ,BR,i,BR452
746,0.07320304960012436,ɛ,BR,i,BR452
744,0.00018974234990309924,æ,BR,i,BR452
745,0.0001435005251551047,ɑ,BR,i,BR452
749,0.04329871013760567,ʌ,BR,i,BR452
742,0.001834039343520999,oʊ,BR,i,BR452
743,0.0508810356259346,u,BR,i,BR452
748,0.02952323481440544,ʊ,BR,i,BR452
751,0.031057382002472878,i,BR,i,BR454
757,0.8274598717689514,ɪ,BR,i,BR454
750,0.004372810013592243,eɪ,BR,i,BR454
756,0.1077304407954216,ɛ,BR,i,BR454
754,7.305065082618967e-05,æ,BR,i,BR454
755,2.4088720238069072e-05,ɑ,BR,i,BR454
759,0.00869691465049982,ʌ,BR,i,BR454
752,0.000560751068405807,oʊ,BR,i,BR454
753,0.009700661525130272,u,BR,i,BR454
758,0.010324089787900448,ʊ,BR,i,BR454
781,0.4113316237926483,i,BR,i,BR46
787,0.2931739091873169,ɪ,BR,i,BR46
780,0.10163096338510513,eɪ,BR,i,BR46
786,0.17092762887477875,ɛ,BR,i,BR46
784,0.005391108803451061,æ,BR,i,BR46
785,0.0004312194068916142,ɑ,BR,i,BR46
789,0.005170070566236973,ʌ,BR,i,BR46
782,0.0021870096679776907,oʊ,BR,i,BR46
783,0.004599219653755426,u,BR,i,BR46
788,0.005157392006367445,ʊ,BR,i,BR46
821,0.8999250531196594,i,BR,i,BR47
827,0.06642692536115646,ɪ,BR,i,BR47
820,0.02446672134101391,eɪ,BR,i,BR47
826,0.004511314444243908,ɛ,BR,i,BR47
824,0.00020712401601485908,æ,BR,i,BR47
825,4.582016117637977e-05,ɑ,BR,i,BR47
829,0.0006759666721336544,ʌ,BR,i,BR47
822,0.0006276126368902624,oʊ,BR,i,BR47
823,0.0017342596547678113,u,BR,i,BR47
828,0.0013792823301628232,ʊ,BR,i,BR47
881,0.1406353861093521,i,BR,i,BR496
887,0.6447809934616089,ɪ,BR,i,BR496
880,0.00781253818422556,eɪ,BR,i,BR496
886,0.10635548084974289,ɛ,BR,i,BR496
884,0.00033446773886680603,æ,BR,i,BR496
885,0.00018619421462062746,ɑ,BR,i,BR496
889,0.029178515076637268,ʌ,BR,i,BR496
882,0.002227255841717124,oʊ,BR,i,BR496
883,0.029102347791194916,u,BR,i,BR496
888,0.039386771619319916,ʊ,BR,i,BR496
1351,0.29462119936943054,i,BR,i,BR741
1357,0.33048081398010254,ɪ,BR,i,BR741
1350,0.04383644089102745,eɪ,BR,i,BR741
1356,0.2958987355232239,ɛ,BR,i,BR741
1354,0.0011868897126987576,æ,BR,i,BR741
1355,0.00029749568784609437,ɑ,BR,i,BR741
1359,0.006843628361821175,ʌ,BR,i,BR741
1352,0.004285819828510284,oʊ,BR,i,BR741
1353,0.012751484289765358,u,BR,i,BR741
1358,0.00979746226221323,ʊ,BR,i,BR741
1361,0.8629568219184875,i,BR,i,BR742
1367,0.07903370261192322,ɪ,BR,i,BR742
1360,0.04398852214217186,eɪ,BR,i,BR742
1366,0.008901551365852356,ɛ,BR,i,BR742
1364,0.00010803277109516785,æ,BR,i,BR742
1365,3.221151200705208e-05,ɑ,BR,i,BR742
1369,0.0006771677872166038,ʌ,BR,i,BR742
1362,0.0005333913723006845,oʊ,BR,i,BR742
1363,0.0018320061499252915,u,BR,i,BR742
1368,0.0019365838961675763,ʊ,BR,i,BR742
1411,0.8821744322776794,i,BR,i,BR757
1417,0.08549857139587402,ɪ,BR,i,BR757
1410,0.023991933092474937,eɪ,BR,i,BR757
1416,0.007081598974764347,ɛ,BR,i,BR757
1414,7.68001118558459e-05,æ,BR,i,BR757
1415,2.0709361706394702e-05,ɑ,BR,i,BR757
1419,0.00019592435273807496,ʌ,BR,i,BR757
1412,0.0001744026958476752,oʊ,BR,i,BR757
1413,0.00029540108516812325,u,BR,i,BR757
1418,0.0004902862128801644,ʊ,BR,i,BR757
1461,0.2816199064254761,i,BR,i,BR796
1467,0.49639183282852173,ɪ,BR,i,BR796
1460,0.11777050793170929,eɪ,BR,i,BR796
1466,0.07921919226646423,ɛ,BR,i,BR796
1464,0.0007088989950716496,æ,BR,i,BR796
1465,0.00010889632540056482,ɑ,BR,i,BR796
1469,0.002637961646541953,ʌ,BR,i,BR796
1462,0.002419060096144676,oʊ,BR,i,BR796
1463,0.0064233276061713696,u,BR,i,BR796
1468,0.012700272724032402,ʊ,BR,i,BR796
1891,0.7650393843650818,i,BR,i,BR99
1897,0.14935843646526337,ɪ,BR,i,BR99
1890,0.054821666330099106,eɪ,BR,i,BR99
1896,0.02705857902765274,ɛ,BR,i,BR99
1894,0.0007183148409239948,æ,BR,i,BR99
1895,3.875030597555451e-05,ɑ,BR,i,BR99
1899,0.0005402057431638241,ʌ,BR,i,BR99
1892,0.00032740880851633847,oʊ,BR,i,BR99
1893,0.0010119135258719325,u,BR,i,BR99
1898,0.0010852686828002334,ʊ,BR,i,BR99
1901,0.6358063817024231,i,BR,i,BR992
1907,0.324901282787323,ɪ,BR,i,BR992
1900,0.007370342500507832,eɪ,BR,i,BR992
1906,0.02036750502884388,ɛ,BR,i,BR992
1904,0.0003780727565754205,æ,BR,i,BR992
1905,5.735016384278424e-05,ɑ,BR,i,BR992
1909,0.0016695683589205146,ʌ,BR,i,BR992
1902,0.00022252801863942295,oʊ,BR,i,BR992
1903,0.006826790049672127,u,BR,i,BR992
1908,0.0024000697303563356,ʊ,BR,i,BR992
41,0.20199234783649445,i,BR,ĩ,BR1025
47,0.6699874401092529,ɪ,BR,ĩ,BR1025
40,0.039557430893182755,eɪ,BR,ĩ,BR1025
46,0.07939799875020981,ɛ,BR,ĩ,BR1025
44,0.0011286699445918202,æ,BR,ĩ,BR1025
45,0.000924451625905931,ɑ,BR,ĩ,BR1025
49,0.004170057829469442,ʌ,BR,ĩ,BR1025
42,0.0007982852985151112,oʊ,BR,ĩ,BR1025
43,0.0010643042623996735,u,BR,ĩ,BR1025
48,0.0009790449403226376,ʊ,BR,ĩ,BR1025
51,0.39309680461883545,i,BR,ĩ,BR1029
57,0.5373162627220154,ɪ,BR,ĩ,BR1029
50,0.024209825322031975,eɪ,BR,ĩ,BR1029
56,0.03461676463484764,ɛ,BR,ĩ,BR1029
54,0.001668970799073577,æ,BR,ĩ,BR1029
55,0.0006457674317061901,ɑ,BR,ĩ,BR1029
59,0.0038267606869339943,ʌ,BR,ĩ,BR1029
52,0.0006011005025357008,oʊ,BR,ĩ,BR1029
53,0.00298199150711298,u,BR,ĩ,BR1029
58,0.0010356513084843755,ʊ,BR,ĩ,BR1029
131,0.8651286363601685,i,BR,ĩ,BR154
137,0.06230830028653145,ɪ,BR,ĩ,BR154
130,0.05307093635201454,eɪ,BR,ĩ,BR154
136,0.008858946152031422,ɛ,BR,ĩ,BR154
134,0.0018243107479065657,æ,BR,ĩ,BR154
135,0.0002173605898860842,ɑ,BR,ĩ,BR154
139,0.0011242522159591317,ʌ,BR,ĩ,BR154
132,0.0018108736258000135,oʊ,BR,ĩ,BR154
133,0.0035265095066279173,u,BR,ĩ,BR154
