,probabilities,classification,language,vowel,file
119,0.8751728534698486,i,BR,i,BR132
122,0.0165461003780365,y,BR,i,BR132
118,0.06592632830142975,e,BR,i,BR132
128,0.022077472880482674,ɛ,BR,i,BR132
129,0.002901026513427496,ɛ̃,BR,i,BR132
123,0.006146424449980259,ø,BR,i,BR132
124,0.00362928444519639,œ,BR,i,BR132
117,0.002985872095450759,a,BR,i,BR132
125,0.0005794407916255295,ɑ̃,BR,i,BR132
120,0.0005030825268477201,o,BR,i,BR132
126,0.0006691876333206892,ɔ,BR,i,BR132
127,1.008920753520215e-05,ɔ̃,BR,i,BR132
121,0.002852784935384989,u,BR,i,BR132
587,0.7350272536277771,i,BR,i,BR329
590,0.0100178187713027,y,BR,i,BR329
586,0.04731268063187599,e,BR,i,BR329
596,0.12604303658008575,ɛ,BR,i,BR329
597,0.002717487746849656,ɛ̃,BR,i,BR329
591,0.029435820877552032,ø,BR,i,BR329
592,0.0038292380049824715,œ,BR,i,BR329
585,0.01363169215619564,a,BR,i,BR329
593,0.000776936300098896,ɑ̃,BR,i,BR329
588,0.0037174979224801064,o,BR,i,BR329
594,0.0035061973612755537,ɔ,BR,i,BR329
595,2.7770456654252484e-05,ɔ̃,BR,i,BR329
589,0.02395637333393097,u,BR,i,BR329
756,0.784882128238678,i,BR,i,BR373
759,0.030687110498547554,y,BR,i,BR373
755,0.0694919303059578,e,BR,i,BR373
765,0.02277519181370735,ɛ,BR,i,BR373
766,0.0019485640805214643,ɛ̃,BR,i,BR373
760,0.030560757964849472,ø,BR,i,BR373
761,0.014776875264942646,œ,BR,i,BR373
754,0.011914822272956371,a,BR,i,BR373
762,0.0013704070588573813,ɑ̃,BR,i,BR373
757,0.007387001998722553,o,BR,i,BR373
763,0.0066171083599328995,ɔ,BR,i,BR373
764,0.0001552180910948664,ɔ̃,BR,i,BR373
758,0.017432857304811478,u,BR,i,BR373
769,0.9847291111946106,i,BR,i,BR374
772,0.0009528891532681882,y,BR,i,BR374
768,0.01005385722965002,e,BR,i,BR374
778,0.0011315655428916216,ɛ,BR,i,BR374
779,0.00018200851627625525,ɛ̃,BR,i,BR374
773,0.0018681073561310768,ø,BR,i,BR374
774,8.971721399575472e-05,œ,BR,i,BR374
767,1.7307693269685842e-05,a,BR,i,BR374
775,2.4160006432794034e-05,ɑ̃,BR,i,BR374
770,7.389155507553369e-05,o,BR,i,BR374
776,4.7775723942322657e-05,ɔ,BR,i,BR374
777,1.2697768397629261e-05,ɔ̃,BR,i,BR374
771,0.0008170996443368495,u,BR,i,BR374
782,0.8553766012191772,i,BR,i,BR375
785,0.011468678712844849,y,BR,i,BR375
781,0.058824725449085236,e,BR,i,BR375
791,0.01589537039399147,ɛ,BR,i,BR375
792,0.0005741450586356223,ɛ̃,BR,i,BR375
786,0.022244561463594437,ø,BR,i,BR375
787,0.005613254848867655,œ,BR,i,BR375
780,0.0026561631821095943,a,BR,i,BR375
788,0.0004391746479086578,ɑ̃,BR,i,BR375
783,0.005256580654531717,o,BR,i,BR375
789,0.0032071329187601805,ɔ,BR,i,BR375
790,4.0177113987738267e-05,ɔ̃,BR,i,BR375
784,0.018403377383947372,u,BR,i,BR375
964,0.7862420082092285,i,BR,i,BR452
967,0.08761732280254364,y,BR,i,BR452
963,0.0272354818880558,e,BR,i,BR452
973,0.01095417607575655,ɛ,BR,i,BR452
974,0.0007087922422215343,ɛ̃,BR,i,BR452
968,0.027724536135792732,ø,BR,i,BR452
969,0.016852224245667458,œ,BR,i,BR452
962,0.0015813400968909264,a,BR,i,BR452
970,0.00014425691915675998,ɑ̃,BR,i,BR452
965,0.0026756939478218555,o,BR,i,BR452
971,0.0018104598857462406,ɔ,BR,i,BR452
972,2.7190922992303967e-05,ɔ̃,BR,i,BR452
966,0.03642638772726059,u,BR,i,BR452
977,0.8643385767936707,i,BR,i,BR454
980,0.1054232120513916,y,BR,i,BR454
976,0.005011207889765501,e,BR,i,BR454
986,0.00015724741388112307,ɛ,BR,i,BR454
987,0.0008492081542499363,ɛ̃,BR,i,BR454
981,0.00747687416151166,ø,BR,i,BR454
982,0.005539804231375456,œ,BR,i,BR454
975,5.956969175713311e-07,a,BR,i,BR454
983,3.37336928168952e-06,ɑ̃,BR,i,BR454
978,0.0004085905384272337,o,BR,i,BR454
984,3.21416009683162e-05,ɔ,BR,i,BR454
985,7.649366011719394e-07,ɔ̃,BR,i,BR454
979,0.010758436284959316,u,BR,i,BR454
1016,0.8597379922866821,i,BR,i,BR46
1019,0.06282741576433182,y,BR,i,BR46
1015,0.034634415060281754,e,BR,i,BR46
1025,0.014881937764585018,ɛ,BR,i,BR46
1026,0.015717627480626106,ɛ̃,BR,i,BR46
1020,0.0053522707894444466,ø,BR,i,BR46
1021,0.0016557939816266298,œ,BR,i,BR46
1014,8.824944961816072e-05,a,BR,i,BR46
1022,0.00039106750045903027,ɑ̃,BR,i,BR46
1017,3.1573381420457736e-05,o,BR,i,BR46
1023,4.9322025006404147e-05,ɔ,BR,i,BR46
1024,8.183581456933098e-08,ɔ̃,BR,i,BR46
1018,0.004632061347365379,u,BR,i,BR46
1068,0.8818476796150208,i,BR,i,BR47
1071,0.014999368228018284,y,BR,i,BR47
1067,0.05482780933380127,e,BR,i,BR47
1077,0.018737848848104477,ɛ,BR,i,BR47
1078,0.0022186937276273966,ɛ̃,BR,i,BR47
1072,0.006794270593672991,ø,BR,i,BR47
1073,0.005294273141771555,œ,BR,i,BR47
1066,0.006586630828678608,a,BR,i,BR47
1074,0.0006762917619198561,ɑ̃,BR,i,BR47
1069,0.0011634900001809,o,BR,i,BR47
1075,0.0014102585846558213,ɔ,BR,i,BR47
1076,1.9180914023309015e-05,ɔ̃,BR,i,BR47
1070,0.005424309056252241,u,BR,i,BR47
1146,0.5806418061256409,i,BR,i,BR496
1149,0.3953211307525635,y,BR,i,BR496
1145,0.0006821929127909243,e,BR,i,BR496
1155,3.2987940357998013e-05,ɛ,BR,i,BR496
1156,6.310980097623542e-05,ɛ̃,BR,i,BR496
1150,0.00417396379634738,ø,BR,i,BR496
1151,0.0013629799941554666,œ,BR,i,BR496
1144,7.317524364225392e-08,a,BR,i,BR496
1152,6.457652830249572e-07,ɑ̃,BR,i,BR496
1147,1.542737845738884e-05,o,BR,i,BR496
1153,4.389951755001675e-06,ɔ,BR,i,BR496
1154,2.850530336218071e-06,ɔ̃,BR,i,BR496
1148,0.017698490992188454,u,BR,i,BR496
1757,0.9915357828140259,i,BR,i,BR741
1760,0.0027507811319082975,y,BR,i,BR741
1756,0.0009427321492694318,e,BR,i,BR741
1766,0.0005203605396673083,ɛ,BR,i,BR741
1767,3.626079342211597e-05,ɛ̃,BR,i,BR741
1761,0.0007204627618193626,ø,BR,i,BR741
1762,0.0004841005429625511,œ,BR,i,BR741
1755,8.513739885529503e-06,a,BR,i,BR741
1763,8.97660447662929e-06,ɑ̃,BR,i,BR741
1758,0.00016459997277706861,o,BR,i,BR741
1764,0.00013000692706555128,ɔ,BR,i,BR741
1765,1.6069166122179013e-06,ɔ̃,BR,i,BR741
1759,0.0026956922374665737,u,BR,i,BR741
