,probabilities,classification,language,vowel,file
119,0.09717987477779388,i,BR,i,BR132
122,0.00012114609853597358,y,BR,i,BR132
118,0.8370868563652039,e,BR,i,BR132
128,0.06450234353542328,ɛ,BR,i,BR132
129,1.4418725413634093e-07,ɛ̃,BR,i,BR132
123,0.00011444958363426849,ø,BR,i,BR132
124,0.00027041652356274426,œ,BR,i,BR132
117,0.0006764433928765357,a,BR,i,BR132
125,1.1950450016229297e-06,ɑ̃,BR,i,BR132
120,6.779002433177084e-06,o,BR,i,BR132
126,3.986072988482192e-05,ɔ,BR,i,BR132
127,3.384705848930025e-08,ɔ̃,BR,i,BR132
121,6.333557394100353e-07,u,BR,i,BR132
587,0.079227514564991,i,BR,i,BR329
590,0.4539206922054291,y,BR,i,BR329
586,0.16070669889450073,e,BR,i,BR329
596,0.10718341916799545,ɛ,BR,i,BR329
597,0.002399722347036004,ɛ̃,BR,i,BR329
591,0.028995150700211525,ø,BR,i,BR329
592,0.00691248569637537,œ,BR,i,BR329
585,0.14849349856376648,a,BR,i,BR329
593,0.001652087434194982,ɑ̃,BR,i,BR329
588,0.001460618106648326,o,BR,i,BR329
594,0.0030176374129951,ɔ,BR,i,BR329
595,0.0023463459219783545,ɔ̃,BR,i,BR329
589,0.003684133291244507,u,BR,i,BR329
756,0.3786506652832031,i,BR,i,BR373
759,0.3387983739376068,y,BR,i,BR373
755,0.12985490262508392,e,BR,i,BR373
765,0.11482887715101242,ɛ,BR,i,BR373
766,0.0003865558246616274,ɛ̃,BR,i,BR373
760,0.014815058559179306,ø,BR,i,BR373
761,0.009681293740868568,œ,BR,i,BR373
754,0.00567129161208868,a,BR,i,BR373
762,0.0001026564568746835,ɑ̃,BR,i,BR373
757,0.0019713123328983784,o,BR,i,BR373
763,0.002560312394052744,ɔ,BR,i,BR373
764,0.00024538443540222943,ɔ̃,BR,i,BR373
758,0.0024333407636731863,u,BR,i,BR373
769,0.25244954228401184,i,BR,i,BR374
772,0.21552270650863647,y,BR,i,BR374
768,0.328530877828598,e,BR,i,BR374
778,0.12909385561943054,ɛ,BR,i,BR374
779,0.00048373089521192014,ɛ̃,BR,i,BR374
773,0.01244555227458477,ø,BR,i,BR374
774,0.007110433652997017,œ,BR,i,BR374
767,0.043677542358636856,a,BR,i,BR374
775,0.0009083939366973937,ɑ̃,BR,i,BR374
770,0.0006834673695266247,o,BR,i,BR374
