,probabilities,classification,language,vowel,file
91,0.20317727327346802,i,BR,i,BR132
97,0.08618272840976715,ɪ,BR,i,BR132
90,0.440436452627182,eɪ,BR,i,BR132
96,0.08037599176168442,ɛ,BR,i,BR132
94,0.07592078298330307,æ,BR,i,BR132
95,0.02300572581589222,ɑ,BR,i,BR132
99,0.02094133384525776,ʌ,BR,i,BR132
92,0.009159309789538383,oʊ,BR,i,BR132
93,0.04389996454119682,u,BR,i,BR132
98,0.016900423914194107,ʊ,BR,i,BR132
451,0.02317681908607483,i,BR,i,BR329
457,0.1258803904056549,ɪ,BR,i,BR329
450,0.40170276165008545,eɪ,BR,i,BR329
456,0.1435127854347229,ɛ,BR,i,BR329
454,0.0051174890249967575,æ,BR,i,BR329
455,0.008335004560649395,ɑ,BR,i,BR329
459,0.04811852052807808,ʌ,BR,i,BR329
452,0.002834934974089265,oʊ,BR,i,BR329
453,0.22102202475070953,u,BR,i,BR329
458,0.020299095660448074,ʊ,BR,i,BR329
581,0.19414381682872772,i,BR,i,BR373
587,0.08659134060144424,ɪ,BR,i,BR373
580,0.26370182633399963,eɪ,BR,i,BR373
586,0.11277215927839279,ɛ,BR,i,BR373
584,0.05250835046172142,æ,BR,i,BR373
585,0.04383976384997368,ɑ,BR,i,BR373
589,0.04189639911055565,ʌ,BR,i,BR373
582,0.023049788549542427,oʊ,BR,i,BR373
583,0.14974883198738098,u,BR,i,BR373
588,0.03174770995974541,ʊ,BR,i,BR373
591,0.19298745691776276,i,BR,i,BR374
597,0.02256571501493454,ɪ,BR,i,BR374
590,0.6662085056304932,eɪ,BR,i,BR374
596,0.002232585335150361,ɛ,BR,i,BR374
594,0.0008875653147697449,æ,BR,i,BR374
595,0.009817929938435555,ɑ,BR,i,BR374
599,0.0033940309658646584,ʌ,BR,i,BR374
592,0.000817559368442744,oʊ,BR,i,BR374
593,0.09753409773111343,u,BR,i,BR374
598,0.0035545011050999165,ʊ,BR,i,BR374
601,0.06388942897319794,i,BR,i,BR375
607,0.06102273240685463,ɪ,BR,i,BR375
600,0.5441795587539673,eɪ,BR,i,BR375
606,0.08330775052309036,ɛ,BR,i,BR375
604,0.030675780028104782,æ,BR,i,BR375
605,0.021639414131641388,ɑ,BR,i,BR375
609,0.01808658055961132,ʌ,BR,i,BR375
602,0.010881504975259304,oʊ,BR,i,BR375
603,0.14306943118572235,u,BR,i,BR375
608,0.023247843608260155,ʊ,BR,i,BR375
741,0.2697426378726959,i,BR,i,BR452
747,0.043659910559654236,ɪ,BR,i,BR452
740,0.0813361331820488,eɪ,BR,i,BR452
746,0.04376917704939842,ɛ,BR,i,BR452
744,0.016989219933748245,æ,BR,i,BR452
745,0.019562935456633568,ɑ,BR,i,BR452
749,0.017284154891967773,ʌ,BR,i,BR452
742,0.022546185180544853,oʊ,BR,i,BR452
743,0.42163538932800293,u,BR,i,BR452
748,0.06347420066595078,ʊ,BR,i,BR452
751,0.039257634431123734,i,BR,i,BR454
757,0.08217336237430573,ɪ,BR,i,BR454
750,0.002164113102480769,eɪ,BR,i,BR454
756,0.0004962901002727449,ɛ,BR,i,BR454
754,0.000106134066300001,æ,BR,i,BR454
755,0.0002770044666249305,ɑ,BR,i,BR454
759,0.0004913143930025399,ʌ,BR,i,BR454
752,0.002839315915480256,oʊ,BR,i,BR454
753,0.8461270928382874,u,BR,i,BR454
758,0.02606780454516411,ʊ,BR,i,BR454
781,0.428935170173645,i,BR,i,BR46
787,0.06464529037475586,ɪ,BR,i,BR46
780,0.3283316493034363,eɪ,BR,i,BR46
786,0.006829151883721352,ɛ,BR,i,BR46
784,0.010837786830961704,æ,BR,i,BR46
785,0.0028366053011268377,ɑ,BR,i,BR46
789,0.013668023981153965,ʌ,BR,i,BR46
782,0.0010802309261634946,oʊ,BR,i,BR46
783,0.13389761745929718,u,BR,i,BR46
788,0.00893856305629015,ʊ,BR,i,BR46
821,0.217935711145401,i,BR,i,BR47
827,0.090811587870121,ɪ,BR,i,BR47
820,0.30179235339164734,eɪ,BR,i,BR47
826,0.12008313089609146,ɛ,BR,i,BR47
824,0.08704344928264618,æ,BR,i,BR47
825,0.03501134365797043,ɑ,BR,i,BR47
829,0.03082549385726452,ʌ,BR,i,BR47
822,0.0088543351739645,oʊ,BR,i,BR47
823,0.0883466824889183,u,BR,i,BR47
828,0.019295884296298027,ʊ,BR,i,BR47
881,0.21138706803321838,i,BR,i,BR496
887,0.04037686437368393,ɪ,BR,i,BR496
880,0.001331768580712378,eɪ,BR,i,BR496
886,0.00022485396766569465,ɛ,BR,i,BR496
884,4.090351649210788e-05,æ,BR,i,BR496
885,8.026396972127259e-05,ɑ,BR,i,BR496
889,0.00017986379680223763,ʌ,BR,i,BR496
882,0.00017956386727746576,oʊ,BR,i,BR496
883,0.7418321371078491,u,BR,i,BR496
888,0.004366659559309483,ʊ,BR,i,BR496
1351,0.9025651216506958,i,BR,i,BR741
1357,0.023208145052194595,ɪ,BR,i,BR741
1350,0.010172495618462563,eɪ,BR,i,BR741
1356,0.00039853734779171646,ɛ,BR,i,BR741
1354,0.0010949569987133145,æ,BR,i,BR741
1355,0.0021780908573418856,ɑ,BR,i,BR741
1359,0.001789192552678287,ʌ,BR,i,BR741
1352,0.00018153077689930797,oʊ,BR,i,BR741
1353,0.05693742260336876,u,BR,i,BR741
1358,0.0014744751388207078,ʊ,BR,i,BR741
1361,0.6796296834945679,i,BR,i,BR742
1367,0.02771790139377117,ɪ,BR,i,BR742
1360,0.11870944499969482,eɪ,BR,i,BR742
1366,0.0071711488999426365,ɛ,BR,i,BR742
1364,0.002462665783241391,æ,BR,i,BR742
1365,0.0012179012410342693,ɑ,BR,i,BR742
1369,0.0065970947034657,ʌ,BR,i,BR742
1362,0.0006873816018924117,oʊ,BR,i,BR742
1363,0.14765119552612305,u,BR,i,BR742
1368,0.008155726827681065,ʊ,BR,i,BR742
1411,0.32490524649620056,i,BR,i,BR757
1417,0.1821397840976715,ɪ,BR,i,BR757
1410,0.29299482703208923,eɪ,BR,i,BR757
1416,0.01928739808499813,ɛ,BR,i,BR757
1414,0.024485383182764053,æ,BR,i,BR757
1415,0.010324868373572826,ɑ,BR,i,BR757
1419,0.00977474544197321,ʌ,BR,i,BR757
1412,0.003370955353602767,oʊ,BR,i,BR757
1413,0.12010045349597931,u,BR,i,BR757
1418,0.01261650025844574,ʊ,BR,i,BR757
1461,0.39147764444351196,i,BR,i,BR796
1467,0.21738822758197784,ɪ,BR,i,BR796
1460,0.20609530806541443,eɪ,BR,i,BR796
1466,0.0015241645742207766,ɛ,BR,i,BR796
1464,0.0013012512354180217,æ,BR,i,BR796
1465,0.0010830862447619438,ɑ,BR,i,BR796
1469,0.001384163973852992,ʌ,BR,i,BR796
1462,0.000812978483736515,oʊ,BR,i,BR796
1463,0.173007994890213,u,BR,i,BR796
1468,0.005925130099058151,ʊ,BR,i,BR796
1891,0.3475498557090759,i,BR,i,BR99
1897,0.03858675807714462,ɪ,BR,i,BR99
1890,0.5631991624832153,eɪ,BR,i,BR99
1896,0.0012734868796542287,ɛ,BR,i,BR99
1894,0.0034343984443694353,æ,BR,i,BR99
1895,0.000564482354093343,ɑ,BR,i,BR99
1899,0.003877455834299326,ʌ,BR,i,BR99
1892,0.0012762327678501606,oʊ,BR,i,BR99
1893,0.031790345907211304,u,BR,i,BR99
1898,0.00844774954020977,ʊ,BR,i,BR99
1901,0.5699001550674438,i,BR,i,BR992
1907,0.02863759547472,ɪ,BR,i,BR992
1900,0.11550331860780716,eɪ,BR,i,BR992
1906,0.0009044862235896289,ɛ,BR,i,BR992
1904,0.0012044166214764118,æ,BR,i,BR992
1905,0.0012826721649616957,ɑ,BR,i,BR992
1909,0.008361246436834335,ʌ,BR,i,BR992
1902,0.006106330547481775,oʊ,BR,i,BR992
1903,0.24338285624980927,u,BR,i,BR992
1908,0.024716898798942566,ʊ,BR,i,BR992
41,0.2035031020641327,i,BR,ĩ,BR1025
47,0.03711576759815216,ɪ,BR,ĩ,BR1025
40,0.054070960730314255,eɪ,BR,ĩ,BR1025
46,0.008387057110667229,ɛ,BR,ĩ,BR1025
44,0.003150362055748701,æ,BR,ĩ,BR1025
45,0.022740790620446205,ɑ,BR,ĩ,BR1025
49,0.01333529781550169,ʌ,BR,ĩ,BR1025
42,0.018975747749209404,oʊ,BR,ĩ,BR1025
43,0.5651605129241943,u,BR,ĩ,BR1025
48,0.07356038689613342,ʊ,BR,ĩ,BR1025
51,0.6197402477264404,i,BR,ĩ,BR1029
57,0.0790795385837555,ɪ,BR,ĩ,BR1029
50,0.03466210514307022,eɪ,BR,ĩ,BR1029
56,0.0016262484714388847,ɛ,BR,ĩ,BR1029
54,0.0014977117534726858,æ,BR,ĩ,BR1029
55,0.004249021876603365,ɑ,BR,ĩ,BR1029
59,0.01099824532866478,ʌ,BR,ĩ,BR1029
52,0.006303533911705017,oʊ,BR,ĩ,BR1029
53,0.13831432163715363,u,BR,ĩ,BR1029
58,0.10352904349565506,ʊ,BR,ĩ,BR1029
131,0.16034860908985138,i,BR,ĩ,BR154
137,0.09712527692317963,ɪ,BR,ĩ,BR154
130,0.26590245962142944,eɪ,BR,ĩ,BR154
136,0.14294861257076263,ɛ,BR,ĩ,BR154
134,0.11890269815921783,æ,BR,ĩ,BR154
135,0.05404815822839737,ɑ,BR,ĩ,BR154
139,0.03719748184084892,ʌ,BR,ĩ,BR154
132,0.01939457096159458,oʊ,BR,ĩ,BR154
133,0.0827445238828659,u,BR,ĩ,BR154
138,0.02138766087591648,ʊ,BR,ĩ,BR154
141,0.181995689868927,i,BR,ĩ,BR158
147,0.11120223999023438,ɪ,BR,ĩ,BR158
140,0.18630453944206238,eɪ,BR,ĩ,BR158
146,0.1884811818599701,ɛ,BR,ĩ,BR158
144,0.12291066348552704,æ,BR,ĩ,BR158
145,0.0702664703130722,ɑ,BR,ĩ,BR158
149,0.0480499230325222,ʌ,BR,ĩ,BR158
142,0.009057493880391121,oʊ,BR,ĩ,BR158
143,0.06548690050840378,u,BR,ĩ,BR158
148,0.016244975849986076,ʊ,BR,ĩ,BR158
151,0.32642698287963867,i,BR,ĩ,BR159
157,0.10245005786418915,ɪ,BR,ĩ,BR159
150,0.25014081597328186,eɪ,BR,ĩ,BR159
156,0.006924824323505163,ɛ,BR,ĩ,BR159
154,0.04378208890557289,æ,BR,ĩ,BR159
155,0.018752142786979675,ɑ,BR,ĩ,BR159
159,0.0317232720553875,ʌ,BR,ĩ,BR159
152,0.002234400250017643,oʊ,BR,ĩ,BR159
153,0.19464930891990662,u,BR,ĩ,BR159
158,0.022916028276085854,ʊ,BR,ĩ,BR159
331,0.01876670867204666,i,BR,ĩ,BR264
337,0.0022005310747772455,ɪ,BR,ĩ,BR264
330,0.008411383256316185,eɪ,BR,ĩ,BR264
336,0.0019387125503271818,ɛ,BR,ĩ,BR264
334,0.0027200065087527037,æ,BR,ĩ,BR264
335,0.23067672550678253,ɑ,BR,ĩ,BR264
339,0.021931862458586693,ʌ,BR,ĩ,BR264
332,0.0055403923615813255,oʊ,BR,ĩ,BR264
333,0.6974159479141235,u,BR,ĩ,BR264
338,0.010397820733487606,ʊ,BR,ĩ,BR264
671,0.008894411846995354,i,BR,ĩ,BR411
677,0.0007901575299911201,ɪ,BR,ĩ,BR411
670,0.07392392307519913,eɪ,BR,ĩ,BR411
676,0.000514156767167151,ɛ,BR,ĩ,BR411
674,0.0012984301429241896,æ,BR,ĩ,BR411
675,0.14000174403190613,ɑ,BR,ĩ,BR411
679,0.008160889148712158,ʌ,BR,ĩ,BR411
672,0.024960214272141457,oʊ,BR,ĩ,BR411
673,0.7273468375205994,u,BR,ĩ,BR411
678,0.014109252952039242,ʊ,BR,ĩ,BR411
681,0.042393457144498825,i,BR,ĩ,BR417
687,0.04344136267900467,ɪ,BR,ĩ,BR417
680,0.06389734148979187,eɪ,BR,ĩ,BR417
686,0.139082133769989,ɛ,BR,ĩ,BR417
684,0.1030186340212822,æ,BR,ĩ,BR417
685,0.11109350621700287,ɑ,BR,ĩ,BR417
689,0.10733812302350998,ʌ,BR,ĩ,BR417
682,0.05667490512132645,oʊ,BR,ĩ,BR417
683,0.2788996398448944,u,BR,ĩ,BR417
688,0.05416097491979599,ʊ,BR,ĩ,BR417
901,0.004334910307079554,i,BR,ĩ,BR504
907,0.0006344339344650507,ɪ,BR,ĩ,BR504
900,8.792410517344251e-05,eɪ,BR,ĩ,BR504
906,6.672023300779983e-05,ɛ,BR,ĩ,BR504
904,1.8892927982960828e-05,æ,BR,ĩ,BR504
905,0.001764765358529985,ɑ,BR,ĩ,BR504
909,0.000830120756290853,ʌ,BR,ĩ,BR504
902,0.005745959468185902,oʊ,BR,ĩ,BR504
903,0.9802070260047913,u,BR,ĩ,BR504
908,0.006309293210506439,ʊ,BR,ĩ,BR504
911,0.042270634323358536,i,BR,ĩ,BR510
917,0.01455576904118061,ɪ,BR,ĩ,BR510
910,0.008500512689352036,eɪ,BR,ĩ,BR510
916,0.000500208348967135,ɛ,BR,ĩ,BR510
