,probabilities,classification,language,vowel,file
119,0.7866175770759583,i,BR,i,BR132
122,0.005631862673908472,y,BR,i,BR132
118,0.09968369454145432,e,BR,i,BR132
128,0.05563398823142052,ɛ,BR,i,BR132
129,0.012097623199224472,ɛ̃,BR,i,BR132
123,0.004499802365899086,ø,BR,i,BR132
124,0.004160297568887472,œ,BR,i,BR132
117,0.012487060390412807,a,BR,i,BR132
125,0.00310303270816803,ɑ̃,BR,i,BR132
120,0.004265042953193188,o,BR,i,BR132
126,0.0029493109323084354,ɔ,BR,i,BR132
127,0.0003626413526944816,ɔ̃,BR,i,BR132
121,0.008508048951625824,u,BR,i,BR132
587,0.9153810739517212,i,BR,i,BR329
590,0.005246839951723814,y,BR,i,BR329
586,0.010735498741269112,e,BR,i,BR329
596,0.025162339210510254,ɛ,BR,i,BR329
597,0.0006711030728183687,ɛ̃,BR,i,BR329
591,0.010492994450032711,ø,BR,i,BR329
592,0.0030516120605170727,œ,BR,i,BR329
585,0.006630185525864363,a,BR,i,BR329
593,0.0007895657909102738,ɑ̃,BR,i,BR329
588,0.002040836261585355,o,BR,i,BR329
594,0.002307191025465727,ɔ,BR,i,BR329
595,0.00017249131633434445,ɔ̃,BR,i,BR329
589,0.01731836050748825,u,BR,i,BR329
756,0.7810555696487427,i,BR,i,BR373
759,0.007435192819684744,y,BR,i,BR373
755,0.06082676351070404,e,BR,i,BR373
765,0.037618327885866165,ɛ,BR,i,BR373
766,0.004578911699354649,ɛ̃,BR,i,BR373
760,0.012186547741293907,ø,BR,i,BR373
761,0.006710695568472147,œ,BR,i,BR373
754,0.01421645563095808,a,BR,i,BR373
762,0.002281193621456623,ɑ̃,BR,i,BR373
757,0.020143158733844757,o,BR,i,BR373
763,0.007804806809872389,ɔ,BR,i,BR373
764,0.0013766945339739323,ɔ̃,BR,i,BR373
758,0.04376576095819473,u,BR,i,BR373
769,0.9758775234222412,i,BR,i,BR374
772,0.0010782700264826417,y,BR,i,BR374
768,0.015592864714562893,e,BR,i,BR374
778,0.0034761852584779263,ɛ,BR,i,BR374
779,0.0002628892834763974,ɛ̃,BR,i,BR374
773,0.001072969869710505,ø,BR,i,BR374
774,0.00022399835870601237,œ,BR,i,BR374
767,7.049537089187652e-05,a,BR,i,BR374
775,3.594094596337527e-05,ɑ̃,BR,i,BR374
770,0.0001781803002813831,o,BR,i,BR374
776,0.00010583052790025249,ɔ,BR,i,BR374
777,4.3155509047210217e-05,ɔ̃,BR,i,BR374
771,0.001981656067073345,u,BR,i,BR374
782,0.8638437390327454,i,BR,i,BR375
785,0.0022415590938180685,y,BR,i,BR375
781,0.040456220507621765,e,BR,i,BR375
791,0.028266482055187225,ɛ,BR,i,BR375
792,0.0013611777685582638,ɛ̃,BR,i,BR375
786,0.00669377576559782,ø,BR,i,BR375
787,0.0023753775749355555,œ,BR,i,BR375
780,0.0031566808465868235,a,BR,i,BR375
788,0.0005904532736167312,ɑ̃,BR,i,BR375
783,0.014036336913704872,o,BR,i,BR375
789,0.0030912708025425673,ɔ,BR,i,BR375
790,0.0006753353518433869,ɔ̃,BR,i,BR375
784,0.03321145847439766,u,BR,i,BR375
964,0.49865269660949707,i,BR,i,BR452
967,0.037077538669109344,y,BR,i,BR452
963,0.04122424125671387,e,BR,i,BR452
973,0.020049234852194786,ɛ,BR,i,BR452
974,0.005243449937552214,ɛ̃,BR,i,BR452
968,0.052947551012039185,ø,BR,i,BR452
969,0.025074046105146408,œ,BR,i,BR452
962,0.018248410895466805,a,BR,i,BR452
970,0.0030722476076334715,ɑ̃,BR,i,BR452
965,0.047099821269512177,o,BR,i,BR452
971,0.013998519629240036,ɔ,BR,i,BR452
972,0.0024511816445738077,ɔ̃,BR,i,BR452
966,0.23486104607582092,u,BR,i,BR452
977,0.5457532405853271,i,BR,i,BR454
980,0.2654922306537628,y,BR,i,BR454
976,0.035036422312259674,e,BR,i,BR454
986,0.004212571308016777,ɛ,BR,i,BR454
987,0.0007594916387461126,ɛ̃,BR,i,BR454
981,0.03132205829024315,ø,BR,i,BR454
982,0.014952532947063446,œ,BR,i,BR454
975,2.4010541892494075e-05,a,BR,i,BR454
983,4.561064997687936e-05,ɑ̃,BR,i,BR454
978,0.0018736523343250155,o,BR,i,BR454
984,0.0005507644964382052,ɔ,BR,i,BR454
985,2.1657506295014173e-05,ɔ̃,BR,i,BR454
979,0.0999557226896286,u,BR,i,BR454
1016,0.7245423793792725,i,BR,i,BR46
1019,0.022142859175801277,y,BR,i,BR46
1015,0.14420080184936523,e,BR,i,BR46
1025,0.04279351979494095,ɛ,BR,i,BR46
1026,0.03665846586227417,ɛ̃,BR,i,BR46
1020,0.009933365508913994,ø,BR,i,BR46
1021,0.0089797368273139,œ,BR,i,BR46
1014,0.0013943355297669768,a,BR,i,BR46
1022,0.003278856398537755,ɑ̃,BR,i,BR46
1017,0.0003258000360801816,o,BR,i,BR46
1023,0.0003863081510644406,ɔ,BR,i,BR46
1024,1.0306974218110554e-05,ɔ̃,BR,i,BR46
1018,0.005353170912712812,u,BR,i,BR46
1068,0.7412053346633911,i,BR,i,BR47
1071,0.00527177844196558,y,BR,i,BR47
1067,0.09012632071971893,e,BR,i,BR47
1077,0.05074925348162651,ɛ,BR,i,BR47
1078,0.014422194100916386,ɛ̃,BR,i,BR47
1072,0.00966638419777155,ø,BR,i,BR47
1073,0.010433582589030266,œ,BR,i,BR47
1066,0.03195515275001526,a,BR,i,BR47
1074,0.0051779369823634624,ɑ̃,BR,i,BR47
1069,0.011307615786790848,o,BR,i,BR47
1075,0.007412957493215799,ɔ,BR,i,BR47
1076,0.0008468612213619053,ɔ̃,BR,i,BR47
1070,0.02142474427819252,u,BR,i,BR47
1146,0.7078414559364319,i,BR,i,BR496
1149,0.19416393339633942,y,BR,i,BR496
1145,0.021620919927954674,e,BR,i,BR496
1155,0.0017387110274285078,ɛ,BR,i,BR496
1156,0.0005850734887644649,ɛ̃,BR,i,BR496
1150,0.015362373553216457,ø,BR,i,BR496
1151,0.004600849002599716,œ,BR,i,BR496
1144,1.1199216714885551e-05,a,BR,i,BR496
1152,3.7200297811068594e-05,ɑ̃,BR,i,BR496
1147,0.00020663275790866464,o,BR,i,BR496
1153,6.774526264052838e-05,ɔ,BR,i,BR496
1154,1.889014856715221e-05,ɔ̃,BR,i,BR496
1148,0.053744856268167496,u,BR,i,BR496
1757,0.9741807579994202,i,BR,i,BR741
1760,0.001704144524410367,y,BR,i,BR741
1756,0.0128864087164402,e,BR,i,BR741
1766,0.004572490230202675,ɛ,BR,i,BR741
1767,0.0007086024270392954,ɛ̃,BR,i,BR741
1761,0.0008321332279592752,ø,BR,i,BR741
1762,0.0006799512193538249,œ,BR,i,BR741
1755,0.00013042181672062725,a,BR,i,BR741
1763,0.00019122341473121196,ɑ̃,BR,i,BR741
1758,0.00014261198521126062,o,BR,i,BR741
1764,8.172096568159759e-05,ɔ,BR,i,BR741
1765,8.266150871349964e-06,ɔ̃,BR,i,BR741
1759,0.003881321754306555,u,BR,i,BR741
1770,0.9298862218856812,i,BR,i,BR742
1773,0.001669790013693273,y,BR,i,BR742
1769,0.033683352172374725,e,BR,i,BR742
1779,0.018729722127318382,ɛ,BR,i,BR742
1780,0.003438142128288746,ɛ̃,BR,i,BR742
1774,0.002175892237573862,ø,BR,i,BR742
1775,0.0022827950306236744,œ,BR,i,BR742
1768,0.0004107579297851771,a,BR,i,BR742
1776,0.0005969639751128852,ɑ̃,BR,i,BR742
1771,0.0006846657488495111,o,BR,i,BR742
1777,0.00012781070836354047,ɔ,BR,i,BR742
1778,3.7193403841229156e-05,ɔ̃,BR,i,BR742
1772,0.006276758387684822,u,BR,i,BR742
1835,0.9052513837814331,i,BR,i,BR757
1838,0.0008683772175572813,y,BR,i,BR757
1834,0.059080570936203,e,BR,i,BR757
1844,0.022063974291086197,ɛ,BR,i,BR757
1845,0.006175863090902567,ɛ̃,BR,i,BR757
1839,0.0009212004952132702,ø,BR,i,BR757
1840,0.0007690879283472896,œ,BR,i,BR757
1833,0.00014030597230885178,a,BR,i,BR757
1841,0.0006935644778423011,ɑ̃,BR,i,BR757
1836,0.0005246878135949373,o,BR,i,BR757
1842,0.0001057956469594501,ɔ,BR,i,BR757
1843,2.73977766482858e-05,ɔ̃,BR,i,BR757
1837,0.0033778578508645296,u,BR,i,BR757
1900,0.9607763886451721,i,BR,i,BR796
1903,0.0008228036458604038,y,BR,i,BR796
1899,0.035353079438209534,e,BR,i,BR796
1909,0.0019983367528766394,ɛ,BR,i,BR796
1910,0.00028884390485472977,ɛ̃,BR,i,BR796
1904,0.00031511145061813295,ø,BR,i,BR796
1905,0.0001293720561079681,œ,BR,i,BR796
1898,5.287134854370379e-07,a,BR,i,BR796
1906,1.5679366697440855e-05,ɑ̃,BR,i,BR796
1901,7.922028089524247e-06,o,BR,i,BR796
1907,3.151414830426802e-06,ɔ,BR,i,BR796
