,probabilities,classification,language,vowel,file
119,0.0788581594824791,i,BR,i,BR132
122,0.036665476858615875,y,BR,i,BR132
118,0.18674227595329285,e,BR,i,BR132
128,0.47985604405403137,ɛ,BR,i,BR132
129,0.00640478590503335,ɛ̃,BR,i,BR132
123,0.05555690452456474,ø,BR,i,BR132
124,0.0871862918138504,œ,BR,i,BR132
117,0.03643073886632919,a,BR,i,BR132
125,0.0037576002068817616,ɑ̃,BR,i,BR132
120,0.007211300078779459,o,BR,i,BR132
126,0.007506865542382002,ɔ,BR,i,BR132
127,0.004273399710655212,ɔ̃,BR,i,BR132
121,0.009550203569233418,u,BR,i,BR132
587,0.03215277940034866,i,BR,i,BR329
590,0.18163838982582092,y,BR,i,BR329
586,0.040662702172994614,e,BR,i,BR329
596,0.053736913949251175,ɛ,BR,i,BR329
597,0.02266637049615383,ɛ̃,BR,i,BR329
591,0.13214655220508575,ø,BR,i,BR329
592,0.07228999584913254,œ,BR,i,BR329
585,0.12103713303804398,a,BR,i,BR329
593,0.01293039321899414,ɑ̃,BR,i,BR329
588,0.04639314487576485,o,BR,i,BR329
594,0.09813734889030457,ɔ,BR,i,BR329
595,0.040281858295202255,ɔ̃,BR,i,BR329
589,0.14592643082141876,u,BR,i,BR329
756,0.054913852363824844,i,BR,i,BR373
759,0.07868911325931549,y,BR,i,BR373
755,0.1506720334291458,e,BR,i,BR373
765,0.3569955825805664,ɛ,BR,i,BR373
766,0.01364594791084528,ɛ̃,BR,i,BR373
760,0.09010621905326843,ø,BR,i,BR373
761,0.10830068588256836,œ,BR,i,BR373
754,0.05757450312376022,a,BR,i,BR373
762,0.00657153083011508,ɑ̃,BR,i,BR373
757,0.021371733397245407,o,BR,i,BR373
763,0.01860858127474785,ɔ,BR,i,BR373
764,0.014963477849960327,ɔ̃,BR,i,BR373
758,0.027586691081523895,u,BR,i,BR373
769,0.15109780430793762,i,BR,i,BR374
772,0.08204537630081177,y,BR,i,BR374
768,0.30544155836105347,e,BR,i,BR374
778,0.1582224816083908,ɛ,BR,i,BR374
779,0.03591163828969002,ɛ̃,BR,i,BR374
773,0.038129691034555435,ø,BR,i,BR374
774,0.028831936419010162,œ,BR,i,BR374
767,0.07894563674926758,a,BR,i,BR374
775,0.02844952419400215,ɑ̃,BR,i,BR374
770,0.013308301568031311,o,BR,i,BR374
776,0.02340228296816349,ɔ,BR,i,BR374
777,0.03647608682513237,ɔ̃,BR,i,BR374
771,0.019737737253308296,u,BR,i,BR374
782,0.03487623855471611,i,BR,i,BR375
785,0.07803767174482346,y,BR,i,BR375
781,0.17545804381370544,e,BR,i,BR375
