,probabilities,classification,language,vowel,file
91,0.28506237268447876,i,BR,i,BR132
97,0.6986145377159119,ɪ,BR,i,BR132
90,0.002661819336935878,eɪ,BR,i,BR132
96,0.00786394253373146,ɛ,BR,i,BR132
94,0.00011591716611292213,æ,BR,i,BR132
95,4.1179238905897364e-05,ɑ,BR,i,BR132
99,3.001776167366188e-05,ʌ,BR,i,BR132
92,0.005556426011025906,oʊ,BR,i,BR132
93,1.738448190735653e-05,u,BR,i,BR132
98,3.636624023783952e-05,ʊ,BR,i,BR132
451,0.04532177373766899,i,BR,i,BR329
457,0.9276062846183777,ɪ,BR,i,BR329
450,0.005434806924313307,eɪ,BR,i,BR329
456,0.0029830581042915583,ɛ,BR,i,BR329
454,0.0002426036080578342,æ,BR,i,BR329
455,2.1917649064562283e-05,ɑ,BR,i,BR329
459,0.015805749222636223,ʌ,BR,i,BR329
452,0.001847322448156774,oʊ,BR,i,BR329
453,0.0004806420474778861,u,BR,i,BR329
458,0.00025572293088771403,ʊ,BR,i,BR329
581,0.9566373229026794,i,BR,i,BR373
587,0.01005601417273283,ɪ,BR,i,BR373
580,0.017701057717204094,eɪ,BR,i,BR373
586,0.0011259838938713074,ɛ,BR,i,BR373
584,0.0072590382769703865,æ,BR,i,BR373
585,5.521173807210289e-05,ɑ,BR,i,BR373
589,0.0014186452608555555,ʌ,BR,i,BR373
582,0.0036491446662694216,oʊ,BR,i,BR373
583,0.0005968375480733812,u,BR,i,BR373
588,0.0015006976900622249,ʊ,BR,i,BR373
591,0.010590541176497936,i,BR,i,BR374
597,0.8351420164108276,ɪ,BR,i,BR374
590,0.0351070873439312,eɪ,BR,i,BR374
596,0.02934279292821884,ɛ,BR,i,BR374
594,0.0010556346969678998,æ,BR,i,BR374
595,0.00013407452206593007,ɑ,BR,i,BR374
599,0.05094428360462189,ʌ,BR,i,BR374
592,0.0011188117787241936,oʊ,BR,i,BR374
593,0.015812570229172707,u,BR,i,BR374
598,0.02075216732919216,ʊ,BR,i,BR374
601,0.3936785161495209,i,BR,i,BR375
607,0.3966118395328522,ɪ,BR,i,BR375
600,0.16158461570739746,eɪ,BR,i,BR375
606,0.017680823802947998,ɛ,BR,i,BR375
604,0.0009885417530313134,æ,BR,i,BR375
605,0.00029336221632547677,ɑ,BR,i,BR375
609,0.004227067809551954,ʌ,BR,i,BR375
602,0.011269444599747658,oʊ,BR,i,BR375
603,0.0022611927706748247,u,BR,i,BR375
608,0.011404512450098991,ʊ,BR,i,BR375
741,0.7264499664306641,i,BR,i,BR452
747,0.2660544812679291,ɪ,BR,i,BR452
740,0.00594470975920558,eɪ,BR,i,BR452
746,5.210114613873884e-05,ɛ,BR,i,BR452
744,2.404930637567304e-05,æ,BR,i,BR452
745,4.122382790683332e-08,ɑ,BR,i,BR452
749,2.4440432753181085e-06,ʌ,BR,i,BR452
742,0.0013681956334039569,oʊ,BR,i,BR452
743,8.188139872800093e-06,u,BR,i,BR452
748,9.580509504303336e-05,ʊ,BR,i,BR452
751,0.18927304446697235,i,BR,i,BR454
757,0.40875422954559326,ɪ,BR,i,BR454
750,4.134332630201243e-05,eɪ,BR,i,BR454
756,0.37269270420074463,ɛ,BR,i,BR454
754,8.18591161078075e-06,æ,BR,i,BR454
755,0.00014825380640104413,ɑ,BR,i,BR454
759,0.001256300020031631,ʌ,BR,i,BR454
752,0.024244356900453568,oʊ,BR,i,BR454
753,0.0003071185783483088,u,BR,i,BR454
758,0.00327449943870306,ʊ,BR,i,BR454
781,0.05960884690284729,i,BR,i,BR46
787,0.4703633785247803,ɪ,BR,i,BR46
780,0.4687812328338623,eɪ,BR,i,BR46
786,0.00038722832687199116,ɛ,BR,i,BR46
784,0.00023367258836515248,æ,BR,i,BR46
785,1.9223050458094804e-06,ɑ,BR,i,BR46
789,3.2039606594480574e-05,ʌ,BR,i,BR46
782,0.0002314760204171762,oʊ,BR,i,BR46
783,0.00024134066188707948,u,BR,i,BR46
788,0.00011900447134394199,ʊ,BR,i,BR46
821,0.19629506766796112,i,BR,i,BR47
827,0.6989938020706177,ɪ,BR,i,BR47
820,0.10365056991577148,eɪ,BR,i,BR47
826,0.0005388992140069604,ɛ,BR,i,BR47
824,0.00011816410551546142,æ,BR,i,BR47
825,2.062624417931147e-07,ɑ,BR,i,BR47
829,9.954605047823861e-06,ʌ,BR,i,BR47
822,4.956683551426977e-05,oʊ,BR,i,BR47
823,0.0003224867978133261,u,BR,i,BR47
828,2.1353995180106722e-05,ʊ,BR,i,BR47
881,0.6833349466323853,i,BR,i,BR496
887,0.30263710021972656,ɪ,BR,i,BR496
880,0.007297442760318518,eɪ,BR,i,BR496
886,0.0013699973933398724,ɛ,BR,i,BR496
884,0.0007096141926012933,æ,BR,i,BR496
885,7.008197258073778e-07,ɑ,BR,i,BR496
889,0.00027772769681178033,ʌ,BR,i,BR496
882,0.000642303260974586,oʊ,BR,i,BR496
883,0.0021357659716159105,u,BR,i,BR496
888,0.0015943830367177725,ʊ,BR,i,BR496
1351,0.0918867290019989,i,BR,i,BR741
1357,0.8928462862968445,ɪ,BR,i,BR741
1350,0.0062442803755402565,eɪ,BR,i,BR741
1356,0.006393118295818567,ɛ,BR,i,BR741
1354,2.6114123102161102e-05,æ,BR,i,BR741
1355,6.193565127432521e-07,ɑ,BR,i,BR741
1359,0.00017322361236438155,ʌ,BR,i,BR741
1352,3.4986621813004604e-06,oʊ,BR,i,BR741
1353,0.0022066819947212934,u,BR,i,BR741
1358,0.00021947399363853037,ʊ,BR,i,BR741
1361,0.3950953781604767,i,BR,i,BR742
1367,0.5034850835800171,ɪ,BR,i,BR742
1360,0.10134939849376678,eɪ,BR,i,BR742
1366,1.4140186067379545e-05,ɛ,BR,i,BR742
1364,9.433130799152423e-06,æ,BR,i,BR742
1365,6.863327239869932e-09,ɑ,BR,i,BR742
1369,1.7272546983804205e-06,ʌ,BR,i,BR742
1362,3.231456139474176e-05,oʊ,BR,i,BR742
1363,1.0890299563470762e-05,u,BR,i,BR742
1368,1.5818077372387052e-06,ʊ,BR,i,BR742
1411,0.9801914691925049,i,BR,i,BR757
1417,0.01722533628344536,ɪ,BR,i,BR757
1410,2.0379116904223338e-05,eɪ,BR,i,BR757
1416,0.00016244605649262667,ɛ,BR,i,BR757
1414,1.4061133697396144e-06,æ,BR,i,BR757
1415,2.073647493716635e-07,ɑ,BR,i,BR757
1419,1.5427031030412763e-06,ʌ,BR,i,BR757
1412,0.0022151987068355083,oʊ,BR,i,BR757
1413,0.00017239288717973977,u,BR,i,BR757
1418,9.729636985866819e-06,ʊ,BR,i,BR757
1461,0.5115004777908325,i,BR,i,BR796
1467,0.4842791259288788,ɪ,BR,i,BR796
1460,2.7334319383953698e-05,eɪ,BR,i,BR796
1466,0.00292179430834949,ɛ,BR,i,BR796
1464,5.816100383526646e-06,æ,BR,i,BR796
1465,1.5286419738913537e-06,ɑ,BR,i,BR796
1469,4.835309937334387e-06,ʌ,BR,i,BR796
1462,0.0010899128392338753,oʊ,BR,i,BR796
1463,0.00014997403195593506,u,BR,i,BR796
1468,1.9185474229743704e-05,ʊ,BR,i,BR796
1891,0.16394855082035065,i,BR,i,BR99
1897,0.8010784983634949,ɪ,BR,i,BR99
1890,0.0019900770857930183,eɪ,BR,i,BR99
1896,0.0010428684763610363,ɛ,BR,i,BR99
1894,2.2762944354326464e-05,æ,BR,i,BR99
1895,1.6708132534404285e-05,ɑ,BR,i,BR99
1899,8.751942914386746e-06,ʌ,BR,i,BR99
1892,0.031845998018980026,oʊ,BR,i,BR99
1893,2.3650627554161474e-05,u,BR,i,BR99
1898,2.2078220354160294e-05,ʊ,BR,i,BR99
1901,0.34653976559638977,i,BR,i,BR992
1907,0.6280969381332397,ɪ,BR,i,BR992
1900,0.00013863094500266016,eɪ,BR,i,BR992
1906,0.007679137866944075,ɛ,BR,i,BR992
1904,2.2801286831963807e-05,æ,BR,i,BR992
1905,0.0003170861746184528,ɑ,BR,i,BR992
1909,0.00012155833974247798,ʌ,BR,i,BR992
1902,0.011525031179189682,oʊ,BR,i,BR992
