,probabilities,classification,language,vowel,file
91,0.9954960346221924,i,BR,i,BR132
97,0.0015281866071745753,ɪ,BR,i,BR132
90,0.0003120041801594198,eɪ,BR,i,BR132
96,0.002441329648718238,ɛ,BR,i,BR132
94,1.0862922863452695e-05,æ,BR,i,BR132
95,9.848062290984672e-06,ɑ,BR,i,BR132
99,2.5196304704877548e-05,ʌ,BR,i,BR132
92,4.704435195890255e-05,oʊ,BR,i,BR132
93,8.825342956697568e-05,u,BR,i,BR132
98,4.127063584746793e-05,ʊ,BR,i,BR132
451,0.5440970659255981,i,BR,i,BR329
457,0.3325585722923279,ɪ,BR,i,BR329
450,0.03263719379901886,eɪ,BR,i,BR329
456,0.07554010301828384,ɛ,BR,i,BR329
454,0.001398277934640646,æ,BR,i,BR329
455,1.5596111779814237e-06,ɑ,BR,i,BR329
459,0.0003601938660722226,ʌ,BR,i,BR329
452,0.0003462961467448622,oʊ,BR,i,BR329
453,0.006296032574027777,u,BR,i,BR329
458,0.006764755118638277,ʊ,BR,i,BR329
581,0.9774922728538513,i,BR,i,BR373
587,0.02034517005085945,ɪ,BR,i,BR373
580,0.00030968530336394906,eɪ,BR,i,BR373
586,0.00014387852570507675,ɛ,BR,i,BR373
584,3.2018990623328136e-06,æ,BR,i,BR373
585,2.469856497100409e-07,ɑ,BR,i,BR373
589,3.0758608318137703e-06,ʌ,BR,i,BR373
582,9.137476808973588e-06,oʊ,BR,i,BR373
583,0.0010002095950767398,u,BR,i,BR373
588,0.0006931573152542114,ʊ,BR,i,BR373
591,0.5600193738937378,i,BR,i,BR374
597,0.3874424993991852,ɪ,BR,i,BR374
590,0.007225198671221733,eɪ,BR,i,BR374
596,0.039930012077093124,ɛ,BR,i,BR374
594,0.00028106255922466516,æ,BR,i,BR374
595,6.1073756114637945e-06,ɑ,BR,i,BR374
599,0.0001816704752855003,ʌ,BR,i,BR374
592,0.00013192353071644902,oʊ,BR,i,BR374
593,0.0028806438203901052,u,BR,i,BR374
598,0.001901601324789226,ʊ,BR,i,BR374
601,0.6738611459732056,i,BR,i,BR375
607,0.3010843098163605,ɪ,BR,i,BR375
600,0.011141428723931313,eɪ,BR,i,BR375
606,0.0020239579025655985,ɛ,BR,i,BR375
604,4.150334279984236e-05,æ,BR,i,BR375
605,2.903813538068789e-06,ɑ,BR,i,BR375
609,8.339074702234939e-05,ʌ,BR,i,BR375
602,0.0003244217950850725,oʊ,BR,i,BR375
603,0.003601587377488613,u,BR,i,BR375
608,0.007835278287529945,ʊ,BR,i,BR375
741,0.9874914884567261,i,BR,i,BR452
747,0.01216463278979063,ɪ,BR,i,BR452
740,7.912253749964293e-06,eɪ,BR,i,BR452
