,probabilities,classification,language,vowel,file
90,0.29716328,i,BR,i,BR132
91,0.6975567,ɪ,BR,i,BR132
93,0.0001901802,eɪ,BR,i,BR132
92,0.0021250409,ɛ,BR,i,BR132
94,8.40886e-05,æ,BR,i,BR132
95,1.7781527e-05,ɑ,BR,i,BR132
96,0.0022371733,ʌ,BR,i,BR132
97,2.3955423e-05,oʊ,BR,i,BR132
99,0.00016403566,u,BR,i,BR132
98,0.00043775144,ʊ,BR,i,BR132
450,0.0007983363,i,BR,i,BR329
451,0.010470546,ɪ,BR,i,BR329
453,0.0027035407,eɪ,BR,i,BR329
452,0.9687155,ɛ,BR,i,BR329
454,0.014552449,æ,BR,i,BR329
455,0.0003121468,ɑ,BR,i,BR329
456,0.0013304495,ʌ,BR,i,BR329
457,0.00082390447,oʊ,BR,i,BR329
459,0.000105772415,u,BR,i,BR329
458,0.0001874009,ʊ,BR,i,BR329
580,0.9989329,i,BR,i,BR373
581,0.0003789824,ɪ,BR,i,BR373
583,0.00041494975,eɪ,BR,i,BR373
582,1.85159e-05,ɛ,BR,i,BR373
584,8.865039e-05,æ,BR,i,BR373
585,3.0702275e-05,ɑ,BR,i,BR373
586,9.391423e-06,ʌ,BR,i,BR373
587,5.925266e-06,oʊ,BR,i,BR373
589,0.00010832873,u,BR,i,BR373
588,1.15844805e-05,ʊ,BR,i,BR373
590,0.009460405,i,BR,i,BR374
591,0.9811117,ɪ,BR,i,BR374
593,0.0021185817,eɪ,BR,i,BR374
592,0.0037369968,ɛ,BR,i,BR374
594,0.0002287946,æ,BR,i,BR374
595,7.448984e-05,ɑ,BR,i,BR374
596,0.00045898714,ʌ,BR,i,BR374
597,0.00012669989,oʊ,BR,i,BR374
599,0.0018508511,u,BR,i,BR374
598,0.0008326161,ʊ,BR,i,BR374
600,0.00065856724,i,BR,i,BR375
601,0.99664426,ɪ,BR,i,BR375
603,0.00013779486,eɪ,BR,i,BR375
602,0.0017439058,ɛ,BR,i,BR375
604,7.361686e-05,æ,BR,i,BR375
605,1.44986725e-05,ɑ,BR,i,BR375
606,0.00023187835,ʌ,BR,i,BR375
607,2.6717644e-05,oʊ,BR,i,BR375
609,0.00018629673,u,BR,i,BR375
608,0.00028245212,ʊ,BR,i,BR375
740,0.9989022,i,BR,i,BR452
741,0.0007166625,ɪ,BR,i,BR452
743,0.00013463224,eɪ,BR,i,BR452
742,2.8580129e-05,ɛ,BR,i,BR452
744,7.6367774e-05,æ,BR,i,BR452
745,1.5727672e-05,ɑ,BR,i,BR452
746,3.4394354e-05,ʌ,BR,i,BR452
747,2.222979e-06,oʊ,BR,i,BR452
749,8.130548e-05,u,BR,i,BR452
748,7.849221e-06,ʊ,BR,i,BR452
750,0.2833234,i,BR,i,BR454
751,0.7136892,ɪ,BR,i,BR454
753,0.000496313,eɪ,BR,i,BR454
752,0.0013038251,ɛ,BR,i,BR454
754,0.00013293828,æ,BR,i,BR454
755,3.235105e-05,ɑ,BR,i,BR454
756,0.00046664148,ʌ,BR,i,BR454
757,1.41391665e-05,oʊ,BR,i,BR454
759,0.00037706835,u,BR,i,BR454
758,0.00016401666,ʊ,BR,i,BR454
780,0.29990885,i,BR,i,BR46
781,0.6850332,ɪ,BR,i,BR46
783,0.00025842182,eɪ,BR,i,BR46
782,0.0016212584,ɛ,BR,i,BR46
784,0.00011518958,æ,BR,i,BR46
785,5.0684794e-05,ɑ,BR,i,BR46
786,0.010283948,ʌ,BR,i,BR46
787,3.544421e-05,oʊ,BR,i,BR46
789,0.00024839293,u,BR,i,BR46
788,0.0024445907,ʊ,BR,i,BR46
820,0.30724177,i,BR,i,BR47
821,0.6758871,ɪ,BR,i,BR47
823,0.00021444562,eɪ,BR,i,BR47
822,0.00052860816,ɛ,BR,i,BR47
824,6.825706e-05,æ,BR,i,BR47
825,3.7857677e-05,ɑ,BR,i,BR47
826,0.011049427,ʌ,BR,i,BR47
827,3.0265785e-05,oʊ,BR,i,BR47
829,0.000847709,u,BR,i,BR47
828,0.0040944885,ʊ,BR,i,BR47
880,0.99836475,i,BR,i,BR496
881,0.00092410675,ɪ,BR,i,BR496
883,0.0003542259,eɪ,BR,i,BR496
882,2.7316633e-05,ɛ,BR,i,BR496
884,7.457906e-05,æ,BR,i,BR496
885,1.8236828e-05,ɑ,BR,i,BR496
886,1.983883e-05,ʌ,BR,i,BR496
887,4.2979173e-06,oʊ,BR,i,BR496
889,0.00019242476,u,BR,i,BR496
888,2.015555e-05,ʊ,BR,i,BR496
1350,0.004269628,i,BR,i,BR741
1351,0.107610315,ɪ,BR,i,BR741
1353,0.00013439536,eɪ,BR,i,BR741
1352,0.00017950159,ɛ,BR,i,BR741
1354,3.9086222e-05,æ,BR,i,BR741
1355,0.00013516864,ɑ,BR,i,BR741
1356,0.0053274394,ʌ,BR,i,BR741
1357,9.004447e-05,oʊ,BR,i,BR741
1359,0.86667806,u,BR,i,BR741
1358,0.015536361,ʊ,BR,i,BR741
1360,0.9993851,i,BR,i,BR742
1361,0.00023454717,ɪ,BR,i,BR742
1363,0.000106206986,eɪ,BR,i,BR742
1362,1.7287093e-05,ɛ,BR,i,BR742
1364,0.00011763219,æ,BR,i,BR742
1365,2.2743576e-05,ɑ,BR,i,BR742
1366,6.5780814e-06,ʌ,BR,i,BR742
1367,4.5982715e-06,oʊ,BR,i,BR742
1369,9.589147e-05,u,BR,i,BR742
1368,9.427269e-06,ʊ,BR,i,BR742
1410,0.99929404,i,BR,i,BR757
1411,0.00024536872,ɪ,BR,i,BR757
1413,0.00013669753,eɪ,BR,i,BR757
1412,1.1525887e-05,ɛ,BR,i,BR757
1414,0.00010502736,æ,BR,i,BR757
1415,3.117895e-05,ɑ,BR,i,BR757
1416,9.91776e-06,ʌ,BR,i,BR757
1417,3.8138478e-06,oʊ,BR,i,BR757
1419,0.0001473459,u,BR,i,BR757
1418,1.4840237e-05,ʊ,BR,i,BR757
1460,0.99846774,i,BR,i,BR796
1461,0.0007746545,ɪ,BR,i,BR796
1463,0.00037858635,eɪ,BR,i,BR796
1462,4.457722e-05,ɛ,BR,i,BR796
1464,0.00019380607,æ,BR,i,BR796
1465,2.6884414e-05,ɑ,BR,i,BR796
1466,1.27856265e-05,ʌ,BR,i,BR796
1467,3.4124457e-06,oʊ,BR,i,BR796
1469,8.527438e-05,u,BR,i,BR796
1468,1.2251245e-05,ʊ,BR,i,BR796
1890,0.99895513,i,BR,i,BR99
1891,0.0005532151,ɪ,BR,i,BR99
1893,0.000238022,eɪ,BR,i,BR99
1892,1.6299253e-05,ɛ,BR,i,BR99
1894,7.658188e-05,æ,BR,i,BR99
1895,2.6701253e-05,ɑ,BR,i,BR99
1896,1.082654e-05,ʌ,BR,i,BR99
1897,1.881428e-06,oʊ,BR,i,BR99
1899,0.000111913294,u,BR,i,BR99
1898,9.301215e-06,ʊ,BR,i,BR99
1900,0.999305,i,BR,i,BR992
1901,0.0002531758,ɪ,BR,i,BR992
1903,0.00014514723,eɪ,BR,i,BR992
1902,1.3523889e-05,ɛ,BR,i,BR992
1904,0.00010338442,æ,BR,i,BR992
1905,2.6368016e-05,ɑ,BR,i,BR992
1906,6.249397e-06,ʌ,BR,i,BR992
1907,3.2452133e-06,oʊ,BR,i,BR992
1909,0.00013185189,u,BR,i,BR992
1908,1.2129026e-05,ʊ,BR,i,BR992
40,0.9989518,i,BR,ĩ,BR1025
41,0.00031666728,ɪ,BR,ĩ,BR1025
43,0.00021252251,eɪ,BR,ĩ,BR1025
42,1.9908735e-05,ɛ,BR,ĩ,BR1025
44,0.00013033733,æ,BR,ĩ,BR1025
45,3.9231214e-05,ɑ,BR,ĩ,BR1025
46,0.00019410132,ʌ,BR,ĩ,BR1025
47,4.996983e-06,oʊ,BR,ĩ,BR1025
49,0.00010985891,u,BR,ĩ,BR1025
48,2.0631172e-05,ʊ,BR,ĩ,BR1025
50,0.9980356,i,BR,ĩ,BR1029
51,0.0012769873,ɪ,BR,ĩ,BR1029
53,0.00013260792,eɪ,BR,ĩ,BR1029
52,4.1712927e-05,ɛ,BR,ĩ,BR1029
54,8.0624915e-05,æ,BR,ĩ,BR1029
55,2.0436246e-05,ɑ,BR,ĩ,BR1029
56,0.00035083908,ʌ,BR,ĩ,BR1029
57,2.6015096e-06,oʊ,BR,ĩ,BR1029
59,4.9193357e-05,u,BR,ĩ,BR1029
58,9.313379e-06,ʊ,BR,ĩ,BR1029
130,0.98886555,i,BR,ĩ,BR154
131,0.010599017,ɪ,BR,ĩ,BR154
133,0.00020824962,eɪ,BR,ĩ,BR154
132,4.955276e-05,ɛ,BR,ĩ,BR154
134,4.124273e-05,æ,BR,ĩ,BR154
135,2.923209e-05,ɑ,BR,ĩ,BR154
136,5.716732e-05,ʌ,BR,ĩ,BR154
