,probabilities,classification,prev_phone,next_phone,consonant,file,training
515,0.11163569986820221,p,i,u,p,f12ipu1,no
518,0.061460427939891815,t,i,u,p,f12ipu1,no
519,0.02512158639729023,tʃ,i,u,p,f12ipu1,no
511,0.16288350522518158,k,i,u,p,f12ipu1,no
506,0.04467350244522095,b,i,u,p,f12ipu1,no
507,0.189316526055336,d,i,u,p,f12ipu1,no
508,0.02654961310327053,dʒ,i,u,p,f12ipu1,no
525,0.00966554507613182,ɡ,i,u,p,f12ipu1,no
509,0.024583283811807632,f,i,u,p,f12ipu1,no
528,0.007457221392542124,θ,i,u,p,f12ipu1,no
517,0.02542298287153244,s,i,u,p,f12ipu1,no
526,0.00655348552390933,ʃ,i,u,p,f12ipu1,no
520,0.02800000086426735,v,i,u,p,f12ipu1,no
523,0.009445653297007084,ð,i,u,p,f12ipu1,no
522,0.04202163591980934,z,i,u,p,f12ipu1,no
527,0.0004844346549361944,ʒ,i,u,p,f12ipu1,no
513,0.013098448514938354,m,i,u,p,f12ipu1,no
514,0.023863648995757103,n,i,u,p,f12ipu1,no
524,0.017626801505684853,ŋ,i,u,p,f12ipu1,no
516,0.006037900224328041,r,i,u,p,f12ipu1,no
512,0.011073478497564793,l,i,u,p,f12ipu1,no
510,0.05782496929168701,j,i,u,p,f12ipu1,no
521,0.09519967436790466,w,i,u,p,f12ipu1,no
538,0.10418133437633514,p,i,u,p,f12ipu2,no
541,0.021641992032527924,t,i,u,p,f12ipu2,no
542,0.015747912228107452,tʃ,i,u,p,f12ipu2,no
534,0.15133903920650482,k,i,u,p,f12ipu2,no
529,0.04081451892852783,b,i,u,p,f12ipu2,no
530,0.27349865436553955,d,i,u,p,f12ipu2,no
531,0.021051961928606033,dʒ,i,u,p,f12ipu2,no
548,0.023019416257739067,ɡ,i,u,p,f12ipu2,no
532,0.019048286601901054,f,i,u,p,f12ipu2,no
551,0.0034944829531013966,θ,i,u,p,f12ipu2,no
540,0.013020443730056286,s,i,u,p,f12ipu2,no
549,0.002104328013956547,ʃ,i,u,p,f12ipu2,no
543,0.044596411287784576,v,i,u,p,f12ipu2,no
546,0.004349471069872379,ð,i,u,p,f12ipu2,no
545,0.04492119699716568,z,i,u,p,f12ipu2,no
550,0.0003033218963537365,ʒ,i,u,p,f12ipu2,no
536,0.012774662114679813,m,i,u,p,f12ipu2,no
537,0.02321145124733448,n,i,u,p,f12ipu2,no
547,0.025022149085998535,ŋ,i,u,p,f12ipu2,no
539,0.00430798064917326,r,i,u,p,f12ipu2,no
535,0.010414322838187218,l,i,u,p,f12ipu2,no
533,0.032864563167095184,j,i,u,p,f12ipu2,no
544,0.1082720160484314,w,i,u,p,f12ipu2,no
1642,0.08620105683803558,p,i,u,p,f1ipu1,no
1645,0.03737702965736389,t,i,u,p,f1ipu1,no
1646,0.01402996201068163,tʃ,i,u,p,f1ipu1,no
1638,0.1283469796180725,k,i,u,p,f1ipu1,no
1633,0.03678753599524498,b,i,u,p,f1ipu1,no
1634,0.22452901303768158,d,i,u,p,f1ipu1,no
1635,0.01945660263299942,dʒ,i,u,p,f1ipu1,no
1652,0.04227862507104874,ɡ,i,u,p,f1ipu1,no
1636,0.017496120184659958,f,i,u,p,f1ipu1,no
1655,0.004405016079545021,θ,i,u,p,f1ipu1,no
1644,0.008080623112618923,s,i,u,p,f1ipu1,no
1653,0.0026049595326185226,ʃ,i,u,p,f1ipu1,no
1647,0.05329865589737892,v,i,u,p,f1ipu1,no
1650,0.004713399801403284,ð,i,u,p,f1ipu1,no
1649,0.03462759777903557,z,i,u,p,f1ipu1,no
1654,0.00018705904949456453,ʒ,i,u,p,f1ipu1,no
1640,0.016581285744905472,m,i,u,p,f1ipu1,no
1641,0.10825007408857346,n,i,u,p,f1ipu1,no
1651,0.04121721163392067,ŋ,i,u,p,f1ipu1,no
1643,0.003926494158804417,r,i,u,p,f1ipu1,no
1639,0.022014349699020386,l,i,u,p,f1ipu1,no
1637,0.029449831694364548,j,i,u,p,f1ipu1,no
1648,0.06414037942886353,w,i,u,p,f1ipu1,no
1665,0.08214947581291199,p,i,u,p,f1ipu2,no
1668,0.06690531224012375,t,i,u,p,f1ipu2,no
1669,0.020551398396492004,tʃ,i,u,p,f1ipu2,no
1661,0.0760253518819809,k,i,u,p,f1ipu2,no
1656,0.029670389369130135,b,i,u,p,f1ipu2,no
1657,0.2795013189315796,d,i,u,p,f1ipu2,no
1658,0.023140722885727882,dʒ,i,u,p,f1ipu2,no
1675,0.0037128967233002186,ɡ,i,u,p,f1ipu2,no
1659,0.019761860370635986,f,i,u,p,f1ipu2,no
1678,0.004345218650996685,θ,i,u,p,f1ipu2,no
1667,0.017171265557408333,s,i,u,p,f1ipu2,no
1676,0.004994883667677641,ʃ,i,u,p,f1ipu2,no
1670,0.061829954385757446,v,i,u,p,f1ipu2,no
1673,0.004495277535170317,ð,i,u,p,f1ipu2,no
1672,0.0659528598189354,z,i,u,p,f1ipu2,no
1677,0.0013199452077969909,ʒ,i,u,p,f1ipu2,no
1663,0.023727361112833023,m,i,u,p,f1ipu2,no
1664,0.06794582307338715,n,i,u,p,f1ipu2,no
1674,0.023005029186606407,ŋ,i,u,p,f1ipu2,no
1666,0.002981723751872778,r,i,u,p,f1ipu2,no
1662,0.009677623398602009,l,i,u,p,f1ipu2,no
1660,0.018884727731347084,j,i,u,p,f1ipu2,no
1671,0.0922495424747467,w,i,u,p,f1ipu2,no
2355,0.09149133414030075,p,a,i,p,f21api2,no
2358,0.14269143342971802,t,a,i,p,f21api2,no
2359,0.02288736216723919,tʃ,a,i,p,f21api2,no
2351,0.17866165935993195,k,a,i,p,f21api2,no
2346,0.01827426254749298,b,a,i,p,f21api2,no
2347,0.0471779927611351,d,a,i,p,f21api2,no
2348,0.04689349606633186,dʒ,a,i,p,f21api2,no
2365,0.002178855938836932,ɡ,a,i,p,f21api2,no
2349,0.0440840907394886,f,a,i,p,f21api2,no
2368,0.025728821754455566,θ,a,i,p,f21api2,no
2357,0.05442436784505844,s,a,i,p,f21api2,no
2366,0.008093776181340218,ʃ,a,i,p,f21api2,no
2360,0.02549934759736061,v,a,i,p,f21api2,no
2363,0.009243359789252281,ð,a,i,p,f21api2,no
2362,0.02823249250650406,z,a,i,p,f21api2,no
2367,0.00021989036758895963,ʒ,a,i,p,f21api2,no
2353,0.06113302335143089,m,a,i,p,f21api2,no
2354,0.08372622728347778,n,a,i,p,f21api2,no
2364,0.04598825052380562,ŋ,a,i,p,f21api2,no
2356,0.0018297603819519281,r,a,i,p,f21api2,no
2352,0.007780735846608877,l,a,i,p,f21api2,no
2350,0.050945598632097244,j,a,i,p,f21api2,no
2361,0.002813805127516389,w,a,i,p,f21api2,no
3160,0.01779952459037304,p,u,a,p,f21upa1,no
3163,0.005119241774082184,t,u,a,p,f21upa1,no
3164,0.00011485803406685591,tʃ,u,a,p,f21upa1,no
3156,0.008629284799098969,k,u,a,p,f21upa1,no
3151,0.015614872798323631,b,u,a,p,f21upa1,no
3152,0.06504549086093903,d,u,a,p,f21upa1,no
3153,0.0009427169570699334,dʒ,u,a,p,f21upa1,no
3170,0.00979063380509615,ɡ,u,a,p,f21upa1,no
3154,0.014926129952073097,f,u,a,p,f21upa1,no
3173,0.011491854675114155,θ,u,a,p,f21upa1,no
3162,0.0020218659192323685,s,u,a,p,f21upa1,no
3171,0.00012890987272839993,ʃ,u,a,p,f21upa1,no
3165,0.021351007744669914,v,u,a,p,f21upa1,no
3168,0.001426881062798202,ð,u,a,p,f21upa1,no
3167,0.025529516860842705,z,u,a,p,f21upa1,no
3172,3.2585187000222504e-05,ʒ,u,a,p,f21upa1,no
3158,0.0926409363746643,m,u,a,p,f21upa1,no
3159,0.07591308653354645,n,u,a,p,f21upa1,no
3169,0.009540613740682602,ŋ,u,a,p,f21upa1,no
3161,0.18007723987102509,r,u,a,p,f21upa1,no
3157,0.25957733392715454,l,u,a,p,f21upa1,no
3155,0.001086994307115674,j,u,a,p,f21upa1,no
3166,0.1811983585357666,w,u,a,p,f21upa1,no
