,probabilities,classification,language,vowel,file
91,0.9269293546676636,i,BR,i,BR132
97,0.0606938861310482,ɪ,BR,i,BR132
90,0.0008849900332279503,eɪ,BR,i,BR132
96,0.0007537473575212061,ɛ,BR,i,BR132
94,7.502286462113261e-05,æ,BR,i,BR132
95,7.669855403946713e-05,ɑ,BR,i,BR132
99,0.0001598797389306128,ʌ,BR,i,BR132
92,9.431491889699828e-07,oʊ,BR,i,BR132
93,0.010378067381680012,u,BR,i,BR132
98,4.742977034766227e-05,ʊ,BR,i,BR132
451,0.06011969968676567,i,BR,i,BR329
457,0.18964669108390808,ɪ,BR,i,BR329
450,0.03300739452242851,eɪ,BR,i,BR329
456,0.6619250178337097,ɛ,BR,i,BR329
454,0.04324110969901085,æ,BR,i,BR329
455,0.00022839217854198068,ɑ,BR,i,BR329
459,0.009447067975997925,ʌ,BR,i,BR329
452,0.0004485091776587069,oʊ,BR,i,BR329
453,0.0014481982216238976,u,BR,i,BR329
458,0.00048792557208798826,ʊ,BR,i,BR329
581,0.9456486701965332,i,BR,i,BR373
587,0.03197760879993439,ɪ,BR,i,BR373
580,0.0014243131736293435,eɪ,BR,i,BR373
586,0.0006450596265494823,ɛ,BR,i,BR373
584,1.1431914572312962e-05,æ,BR,i,BR373
585,6.852956721559167e-05,ɑ,BR,i,BR373
589,0.00037389909266494215,ʌ,BR,i,BR373
582,1.8933002138510346e-05,oʊ,BR,i,BR373
583,0.01974508911371231,u,BR,i,BR373
588,8.64861867739819e-05,ʊ,BR,i,BR373
591,0.563266932964325,i,BR,i,BR374
597,0.3644965887069702,ɪ,BR,i,BR374
590,0.008125788532197475,eɪ,BR,i,BR374
596,0.015631262212991714,ɛ,BR,i,BR374
594,0.00024429973564110696,æ,BR,i,BR374
595,2.0152834622422233e-05,ɑ,BR,i,BR374
599,0.0011832291493192315,ʌ,BR,i,BR374
592,0.00011201364395674318,oʊ,BR,i,BR374
593,0.04667540639638901,u,BR,i,BR374
598,0.000244332681177184,ʊ,BR,i,BR374
601,0.19209769368171692,i,BR,i,BR375
607,0.7181116342544556,ɪ,BR,i,BR375
600,0.006659700069576502,eɪ,BR,i,BR375
606,0.0675685927271843,ɛ,BR,i,BR375
604,0.002402343088760972,æ,BR,i,BR375
605,1.2952889846928883e-05,ɑ,BR,i,BR375
609,0.0009841563878580928,ʌ,BR,i,BR375
602,9.578104072716087e-05,oʊ,BR,i,BR375
603,0.011888145469129086,u,BR,i,BR375
608,0.00017909737653099,ʊ,BR,i,BR375
741,0.9669322371482849,i,BR,i,BR452
747,0.02649175003170967,ɪ,BR,i,BR452
740,0.002026052912697196,eɪ,BR,i,BR452
746,6.631711585214362e-05,ɛ,BR,i,BR452
744,1.2149120266258251e-05,æ,BR,i,BR452
745,0.00047142512630671263,ɑ,BR,i,BR452
749,0.0009475777042098343,ʌ,BR,i,BR452
742,7.162596375565045e-06,oʊ,BR,i,BR452
743,0.0030280628707259893,u,BR,i,BR452
748,1.7280841348110698e-05,ʊ,BR,i,BR452
751,0.646862804889679,i,BR,i,BR454
757,0.0862489640712738,ɪ,BR,i,BR454
750,0.00032567413290962577,eɪ,BR,i,BR454
756,0.00015169712423812598,ɛ,BR,i,BR454
754,2.454441346344538e-05,æ,BR,i,BR454
755,3.028868741239421e-05,ɑ,BR,i,BR454
759,0.0007440255139954388,ʌ,BR,i,BR454
752,9.678362403064966e-06,oʊ,BR,i,BR454
753,0.2650759220123291,u,BR,i,BR454
758,0.0005263472557999194,ʊ,BR,i,BR454
781,0.9026960134506226,i,BR,i,BR46
787,0.08052843809127808,ɪ,BR,i,BR46
780,0.005880899261683226,eɪ,BR,i,BR46
786,0.001195636112242937,ɛ,BR,i,BR46
784,0.000160164141561836,æ,BR,i,BR46
785,7.808219379512593e-05,ɑ,BR,i,BR46
789,0.00037247093860059977,ʌ,BR,i,BR46
782,2.293468696734635e-06,oʊ,BR,i,BR46
783,0.00901243556290865,u,BR,i,BR46
788,7.36489164410159e-05,ʊ,BR,i,BR46
821,0.9387515783309937,i,BR,i,BR47
827,0.05324077233672142,ɪ,BR,i,BR47
820,0.000659771088976413,eɪ,BR,i,BR47
826,0.000306017289403826,ɛ,BR,i,BR47
824,5.6504650274291635e-05,æ,BR,i,BR47
825,2.0553306967485696e-05,ɑ,BR,i,BR47
829,0.0001645427691983059,ʌ,BR,i,BR47
822,8.278394716398907e-07,oʊ,BR,i,BR47
823,0.006782796233892441,u,BR,i,BR47
828,1.6617626897641458e-05,ʊ,BR,i,BR47
881,0.8403918147087097,i,BR,i,BR496
887,0.08248784393072128,ɪ,BR,i,BR496
880,0.0023314356803894043,eɪ,BR,i,BR496
886,0.0001623849238967523,ɛ,BR,i,BR496
884,1.3555280929722358e-05,æ,BR,i,BR496
885,6.636713078478351e-05,ɑ,BR,i,BR496
889,0.0009383476572111249,ʌ,BR,i,BR496
882,7.41007079341216e-06,oʊ,BR,i,BR496
883,0.07343493402004242,u,BR,i,BR496
888,0.00016594860062468797,ʊ,BR,i,BR496
1351,0.8485563397407532,i,BR,i,BR741
1357,0.07772082090377808,ɪ,BR,i,BR741
1350,0.002058361889794469,eɪ,BR,i,BR741
1356,0.0002930678310804069,ɛ,BR,i,BR741
1354,8.948652975959703e-05,æ,BR,i,BR741
1355,5.954031439614482e-05,ɑ,BR,i,BR741
1359,0.0005139830172993243,ʌ,BR,i,BR741
1352,1.937778688443359e-05,oʊ,BR,i,BR741
1353,0.07047804445028305,u,BR,i,BR741
1358,0.0002109410270350054,ʊ,BR,i,BR741
1361,0.9894223809242249,i,BR,i,BR742
1367,0.006510757841169834,ɪ,BR,i,BR742
1360,0.0002571020449977368,eɪ,BR,i,BR742
1366,9.08822039491497e-06,ɛ,BR,i,BR742
1364,6.977213615755318e-07,æ,BR,i,BR742
1365,1.2669876241488964e-06,ɑ,BR,i,BR742
1369,9.358896932099015e-06,ʌ,BR,i,BR742
1362,1.6916384026899323e-07,oʊ,BR,i,BR742
1363,0.003785549197345972,u,BR,i,BR742
1368,3.7067736684548436e-06,ʊ,BR,i,BR742
1411,0.908000111579895,i,BR,i,BR757
1417,0.07538977265357971,ɪ,BR,i,BR757
1410,0.0012107002548873425,eɪ,BR,i,BR757
1416,0.0011007498251274228,ɛ,BR,i,BR757
1414,6.069049777579494e-05,æ,BR,i,BR757
1415,0.00016629157471470535,ɑ,BR,i,BR757
1419,0.0008784810197539628,ʌ,BR,i,BR757
1412,7.976074812177103e-06,oʊ,BR,i,BR757
1413,0.013022772036492825,u,BR,i,BR757
1418,0.00016237080853898078,ʊ,BR,i,BR757
1461,0.9530437588691711,i,BR,i,BR796
1467,0.028095660731196404,ɪ,BR,i,BR796
1460,0.002080235630273819,eɪ,BR,i,BR796
1466,0.00038331528776325285,ɛ,BR,i,BR796
1464,1.351069295196794e-05,æ,BR,i,BR796
1465,1.5215619896480348e-05,ɑ,BR,i,BR796
1469,0.00012124999921070412,ʌ,BR,i,BR796
1462,3.6416629427549196e-06,oʊ,BR,i,BR796
1463,0.016220588237047195,u,BR,i,BR796
1468,2.2826174244983122e-05,ʊ,BR,i,BR796
1891,0.9835597276687622,i,BR,i,BR99
1897,0.012757556512951851,ɪ,BR,i,BR99
1890,0.0003577721072360873,eɪ,BR,i,BR99
1896,7.301600271603093e-05,ɛ,BR,i,BR99
1894,2.5465542421443388e-05,æ,BR,i,BR99
1895,1.191770479636034e-05,ɑ,BR,i,BR99
1899,1.3164802112441976e-05,ʌ,BR,i,BR99
1892,2.6373996320216975e-07,oʊ,BR,i,BR99
1893,0.003196112113073468,u,BR,i,BR99
1898,5.001867975806817e-06,ʊ,BR,i,BR99
1901,0.8197820782661438,i,BR,i,BR992
1907,0.047213949263095856,ɪ,BR,i,BR992
1900,0.0006600020569749177,eɪ,BR,i,BR992
1906,0.0004869535332545638,ɛ,BR,i,BR992
1904,6.129113171482459e-05,æ,BR,i,BR992
1905,0.00013798779400531203,ɑ,BR,i,BR992
1909,0.0005895274225622416,ʌ,BR,i,BR992
1902,1.9006871298188344e-05,oʊ,BR,i,BR992
1903,0.13063789904117584,u,BR,i,BR992
1908,0.00041131634498015046,ʊ,BR,i,BR992
41,0.8568940758705139,i,BR,ĩ,BR1025
47,0.12293054908514023,ɪ,BR,ĩ,BR1025
40,0.003580985125154257,eɪ,BR,ĩ,BR1025
46,0.0014512003399431705,ɛ,BR,ĩ,BR1025
44,0.00034770663478411734,æ,BR,ĩ,BR1025
45,5.368256097426638e-05,ɑ,BR,ĩ,BR1025
49,0.00038441651850007474,ʌ,BR,ĩ,BR1025
42,4.2108007619390264e-05,oʊ,BR,ĩ,BR1025
43,0.014309406280517578,u,BR,ĩ,BR1025
48,5.781113941338845e-06,ʊ,BR,ĩ,BR1025
51,0.6546505093574524,i,BR,ĩ,BR1029
57,0.11768732964992523,ɪ,BR,ĩ,BR1029
50,0.001205655513331294,eɪ,BR,ĩ,BR1029
56,0.0010539116337895393,ɛ,BR,ĩ,BR1029
54,4.4847252866020426e-05,æ,BR,ĩ,BR1029
55,1.2483359569159802e-05,ɑ,BR,ĩ,BR1029
59,0.0012760853860527277,ʌ,BR,ĩ,BR1029
52,7.835528231225908e-05,oʊ,BR,ĩ,BR1029
53,0.22395099699497223,u,BR,ĩ,BR1029
58,3.9824648411013186e-05,ʊ,BR,ĩ,BR1029
131,0.721830427646637,i,BR,ĩ,BR154
137,0.12311013787984848,ɪ,BR,ĩ,BR154
130,0.007652782369405031,eɪ,BR,ĩ,BR154
136,0.0035947896540164948,ɛ,BR,ĩ,BR154
134,0.003119053551927209,æ,BR,ĩ,BR154
135,0.00012946969945915043,ɑ,BR,ĩ,BR154
139,0.0013975949259474874,ʌ,BR,ĩ,BR154
132,6.894627586007118e-05,oʊ,BR,ĩ,BR154
133,0.13900230824947357,u,BR,ĩ,BR154
138,9.444477473152801e-05,ʊ,BR,ĩ,BR154
141,0.7402465343475342,i,BR,ĩ,BR158
147,0.1714584231376648,ɪ,BR,ĩ,BR158
140,0.011087211780250072,eɪ,BR,ĩ,BR158
146,0.00716877868399024,ɛ,BR,ĩ,BR158
144,0.010824372060596943,æ,BR,ĩ,BR158
145,0.0008068322204053402,ɑ,BR,ĩ,BR158
149,0.0019931274000555277,ʌ,BR,ĩ,BR158
142,0.0001818308373913169,oʊ,BR,ĩ,BR158
143,0.0560561828315258,u,BR,ĩ,BR158
148,0.00017668279178906232,ʊ,BR,ĩ,BR158
151,0.5889892578125,i,BR,ĩ,BR159
157,0.2729407250881195,ɪ,BR,ĩ,BR159
150,0.012540547177195549,eɪ,BR,ĩ,BR159
156,0.006966035347431898,ɛ,BR,ĩ,BR159
154,0.00521447928622365,æ,BR,ĩ,BR159
