,probabilities,classification,language,vowel,file
91,0.9939243197441101,i,BR,i,BR132
97,0.005778203718364239,ɪ,BR,i,BR132
90,0.00028811595984734595,eɪ,BR,i,BR132
96,1.1630249900917988e-06,ɛ,BR,i,BR132
94,6.228395363905292e-07,æ,BR,i,BR132
95,5.403073259913072e-07,ɑ,BR,i,BR132
99,2.7391614310090517e-08,ʌ,BR,i,BR132
92,2.1944607908608305e-07,oʊ,BR,i,BR132
93,3.6291489777795505e-06,u,BR,i,BR132
98,3.0761702873860486e-06,ʊ,BR,i,BR132
451,0.0009369227336719632,i,BR,i,BR329
457,0.9726539254188538,ɪ,BR,i,BR329
450,0.001395538216456771,eɪ,BR,i,BR329
456,0.0249131191521883,ɛ,BR,i,BR329
454,9.235611651092768e-05,æ,BR,i,BR329
455,6.029862475998016e-08,ɑ,BR,i,BR329
459,3.5045564228397552e-09,ʌ,BR,i,BR329
452,2.1594398731394904e-06,oʊ,BR,i,BR329
453,1.4289614682638785e-06,u,BR,i,BR329
458,4.476050889934413e-06,ʊ,BR,i,BR329
581,0.12559473514556885,i,BR,i,BR373
587,0.8562954664230347,ɪ,BR,i,BR373
580,0.004468163009732962,eɪ,BR,i,BR373
586,0.0004374019044917077,ɛ,BR,i,BR373
584,7.70263886806788e-06,æ,BR,i,BR373
585,1.9837660147459246e-05,ɑ,BR,i,BR373
589,1.8879422896134201e-06,ʌ,BR,i,BR373
582,2.1665975964424433e-06,oʊ,BR,i,BR373
583,3.754120371013414e-06,u,BR,i,BR373
588,0.01316890586167574,ʊ,BR,i,BR373
591,0.007695288863033056,i,BR,i,BR374
597,0.9921938180923462,ɪ,BR,i,BR374
590,0.00010946382099064067,eɪ,BR,i,BR374
596,9.788028165758078e-09,ɛ,BR,i,BR374
594,3.983589066253179e-12,æ,BR,i,BR374
595,1.6338369893120763e-11,ɑ,BR,i,BR374
599,3.177955945274369e-13,ʌ,BR,i,BR374
592,7.61967502982408e-11,oʊ,BR,i,BR374
