,probabilities,classification,language,vowel,file
91,0.9187164902687073,i,BR,i,BR132
97,0.08067048341035843,ɪ,BR,i,BR132
90,0.00027076638070866466,eɪ,BR,i,BR132
96,3.00605552183697e-06,ɛ,BR,i,BR132
94,1.7733290391674927e-08,æ,BR,i,BR132
95,1.90571597613598e-07,ɑ,BR,i,BR132
99,9.674232569523156e-05,ʌ,BR,i,BR132
92,2.1475474909493641e-07,oʊ,BR,i,BR132
93,3.155817466904409e-05,u,BR,i,BR132
98,0.00021075786207802594,ʊ,BR,i,BR132
451,7.056034064589767e-06,i,BR,i,BR329
457,0.9842665791511536,ɪ,BR,i,BR329
450,4.8998157581081614e-05,eɪ,BR,i,BR329
456,0.015657206997275352,ɛ,BR,i,BR329
454,2.0335412500571692e-06,æ,BR,i,BR329
455,1.492758250343229e-09,ɑ,BR,i,BR329
459,1.6053724039011286e-07,ʌ,BR,i,BR329
452,1.5926787000353215e-07,oʊ,BR,i,BR329
453,1.737852107908111e-05,u,BR,i,BR329
458,4.858625857195875e-07,ʊ,BR,i,BR329
581,0.25734418630599976,i,BR,i,BR373
587,0.7325267195701599,ɪ,BR,i,BR373
580,0.00030857764068059623,eɪ,BR,i,BR373
586,0.0020680432207882404,ɛ,BR,i,BR373
584,1.3848347180100973e-07,æ,BR,i,BR373
585,4.012955741927726e-06,ɑ,BR,i,BR373
589,0.0005309994448907673,ʌ,BR,i,BR373
582,4.0884160057430563e-07,oʊ,BR,i,BR373
583,4.498553607845679e-05,u,BR,i,BR373
588,0.007171877659857273,ʊ,BR,i,BR373
591,0.004072338808327913,i,BR,i,BR374
597,0.9956657290458679,ɪ,BR,i,BR374
590,0.000256177328992635,eɪ,BR,i,BR374
596,4.5493147808883805e-06,ɛ,BR,i,BR374
594,9.45463568546856e-11,æ,BR,i,BR374
595,1.4495104005973758e-09,ɑ,BR,i,BR374
599,4.5431511885851705e-09,ʌ,BR,i,BR374
592,4.654356344779842e-10,oʊ,BR,i,BR374
593,8.547207812625857e-07,u,BR,i,BR374
598,3.5573125956034346e-07,ʊ,BR,i,BR374
601,0.012566502206027508,i,BR,i,BR375
607,0.9850372672080994,ɪ,BR,i,BR375
600,0.0020070739556103945,eɪ,BR,i,BR375
606,0.0003451897937338799,ɛ,BR,i,BR375
604,1.5062086333728075e-07,æ,BR,i,BR375
605,7.388204270597498e-09,ɑ,BR,i,BR375
609,1.917101144499611e-05,ʌ,BR,i,BR375
602,1.6002550395910475e-08,oʊ,BR,i,BR375
603,4.2254005165887065e-06,u,BR,i,BR375
608,2.045852852461394e-05,ʊ,BR,i,BR375
741,0.6516573429107666,i,BR,i,BR452
747,0.01524464599788189,ɪ,BR,i,BR452
740,0.0009438001434318721,eɪ,BR,i,BR452
746,7.330176595132798e-05,ɛ,BR,i,BR452
744,1.5864125657572004e-07,æ,BR,i,BR452
745,3.0449378755292855e-05,ɑ,BR,i,BR452
749,0.0009217422921210527,ʌ,BR,i,BR452
742,0.000275483907898888,oʊ,BR,i,BR452
743,0.3300183117389679,u,BR,i,BR452
748,0.0008348478586412966,ʊ,BR,i,BR452
751,0.11009761691093445,i,BR,i,BR454
757,0.12991301715373993,ɪ,BR,i,BR454
750,1.3781263987766579e-06,eɪ,BR,i,BR454
756,9.865293577604461e-06,ɛ,BR,i,BR454
754,2.0169531822489262e-08,æ,BR,i,BR454
755,2.833838408378142e-08,ɑ,BR,i,BR454
759,8.10495694167912e-05,ʌ,BR,i,BR454
752,8.453387272311375e-05,oʊ,BR,i,BR454
