,probabilities,classification,language,vowel,file
117,0.009006318,i,BR,i,BR132
118,0.9909265,y,BR,i,BR132
119,3.1371237e-05,e,BR,i,BR132
120,6.592446e-06,ɛ,BR,i,BR132
129,1.544958e-06,ɛ̃,BR,i,BR132
121,1.769466e-06,ø,BR,i,BR132
122,1.886527e-07,œ,BR,i,BR132
123,3.1914135e-07,a,BR,i,BR132
124,4.1777726e-06,ɑ̃,BR,i,BR132
125,6.242957e-07,o,BR,i,BR132
126,1.3435167e-07,ɔ,BR,i,BR132
127,3.086142e-06,ɔ̃,BR,i,BR132
128,1.7329072e-05,u,BR,i,BR132
585,6.88535e-06,i,BR,i,BR329
586,0.99978024,y,BR,i,BR329
587,4.8822792e-05,e,BR,i,BR329
588,1.997395e-05,ɛ,BR,i,BR329
597,2.7125184e-06,ɛ̃,BR,i,BR329
589,8.338333e-06,ø,BR,i,BR329
590,2.8305753e-06,œ,BR,i,BR329
591,5.11596e-05,a,BR,i,BR329
592,1.007423e-05,ɑ̃,BR,i,BR329
593,1.8192654e-06,o,BR,i,BR329
594,9.224373e-07,ɔ,BR,i,BR329
595,1.9638495e-05,ɔ̃,BR,i,BR329
596,4.633748e-05,u,BR,i,BR329
754,0.00078759174,i,BR,i,BR373
755,0.99727184,y,BR,i,BR373
756,0.00061078067,e,BR,i,BR373
757,7.9549325e-05,ɛ,BR,i,BR373
766,0.0004800807,ɛ̃,BR,i,BR373
758,0.00032772645,ø,BR,i,BR373
759,4.3032986e-05,œ,BR,i,BR373
760,1.5757687e-05,a,BR,i,BR373
761,0.00014912199,ɑ̃,BR,i,BR373
762,2.3699888e-05,o,BR,i,BR373
763,2.3999833e-06,ɔ,BR,i,BR373
764,3.493862e-05,ɔ̃,BR,i,BR373
765,0.00017347619,u,BR,i,BR373
767,0.09071047,i,BR,i,BR374
768,0.7860859,y,BR,i,BR374
769,0.001953752,e,BR,i,BR374
770,0.0004962372,ɛ,BR,i,BR374
779,0.00046269922,ɛ̃,BR,i,BR374
771,0.00078556605,ø,BR,i,BR374
772,0.002417721,œ,BR,i,BR374
773,0.0014076213,a,BR,i,BR374
774,0.0014269983,ɑ̃,BR,i,BR374
775,0.0003835209,o,BR,i,BR374
776,0.00014497848,ɔ,BR,i,BR374
777,0.0010332691,ɔ̃,BR,i,BR374
778,0.11269136,u,BR,i,BR374
780,0.003177407,i,BR,i,BR375
781,0.99630284,y,BR,i,BR375
782,5.516976e-05,e,BR,i,BR375
783,0.000101519174,ɛ,BR,i,BR375
792,1.6484279e-05,ɛ̃,BR,i,BR375
784,1.2552831e-05,ø,BR,i,BR375
785,1.577604e-05,œ,BR,i,BR375
786,1.0460792e-05,a,BR,i,BR375
787,4.6426412e-05,ɑ̃,BR,i,BR375
788,8.054909e-06,o,BR,i,BR375
789,1.1264997e-05,ɔ,BR,i,BR375
790,7.0180926e-05,ɔ̃,BR,i,BR375
791,0.00017164437,u,BR,i,BR375
962,0.046762478,i,BR,i,BR452
963,0.95308024,y,BR,i,BR452
964,2.0337775e-05,e,BR,i,BR452
965,4.7291072e-05,ɛ,BR,i,BR452
974,3.6911463e-06,ɛ̃,BR,i,BR452
966,1.0625453e-06,ø,BR,i,BR452
967,2.6015673e-06,œ,BR,i,BR452
968,2.6889052e-06,a,BR,i,BR452
969,1.34946495e-05,ɑ̃,BR,i,BR452
970,6.1666424e-07,o,BR,i,BR452
971,4.750386e-06,ɔ,BR,i,BR452
972,3.3534394e-05,ɔ̃,BR,i,BR452
973,2.7259108e-05,u,BR,i,BR452
975,0.0002994558,i,BR,i,BR454
976,0.9982133,y,BR,i,BR454
977,0.0009616532,e,BR,i,BR454
978,0.00012857835,ɛ,BR,i,BR454
987,3.3197466e-05,ɛ̃,BR,i,BR454
979,9.069007e-05,ø,BR,i,BR454
980,7.780867e-06,œ,BR,i,BR454
981,7.70899e-05,a,BR,i,BR454
982,7.549971e-05,ɑ̃,BR,i,BR454
983,1.6492719e-05,o,BR,i,BR454
984,2.6562896e-06,ɔ,BR,i,BR454
985,3.620084e-05,ɔ̃,BR,i,BR454
986,5.7521345e-05,u,BR,i,BR454
1014,0.04711129,i,BR,i,BR46
1015,0.9524556,y,BR,i,BR46
1016,0.0001545348,e,BR,i,BR46
1017,3.3170538e-05,ɛ,BR,i,BR46
1026,1.1109381e-05,ɛ̃,BR,i,BR46
1018,6.4557455e-05,ø,BR,i,BR46
1019,9.723248e-06,œ,BR,i,BR46
1020,7.4943073e-06,a,BR,i,BR46
1021,5.8509984e-05,ɑ̃,BR,i,BR46
1022,6.068149e-06,o,BR,i,BR46
1023,2.2962618e-06,ɔ,BR,i,BR46
1024,4.990153e-06,ɔ̃,BR,i,BR46
1025,8.064519e-05,u,BR,i,BR46
1066,0.99998426,i,BR,i,BR47
1067,1.5696254e-05,y,BR,i,BR47
1068,2.9417465e-12,e,BR,i,BR47
1069,6.9311466e-11,ɛ,BR,i,BR47
1078,5.912263e-11,ɛ̃,BR,i,BR47
1070,1.7580509e-13,ø,BR,i,BR47
1071,6.530933e-12,œ,BR,i,BR47
1072,6.706654e-12,a,BR,i,BR47
1073,8.9783334e-11,ɑ̃,BR,i,BR47
1074,1.047533e-11,o,BR,i,BR47
1075,3.6607155e-11,ɔ,BR,i,BR47
1076,1.0027338e-09,ɔ̃,BR,i,BR47
1077,2.9619858e-09,u,BR,i,BR47
1144,0.048110068,i,BR,i,BR496
1145,0.8125786,y,BR,i,BR496
1146,0.0230047,e,BR,i,BR496
1147,0.001019212,ɛ,BR,i,BR496
1156,0.009437077,ɛ̃,BR,i,BR496
1148,0.060502123,ø,BR,i,BR496
1149,0.0041361116,œ,BR,i,BR496
1150,0.0003581485,a,BR,i,BR496
1151,0.017762553,ɑ̃,BR,i,BR496
1152,0.002021509,o,BR,i,BR496
1153,0.0006460145,ɔ,BR,i,BR496
1154,0.010243224,ɔ̃,BR,i,BR496
1155,0.010180585,u,BR,i,BR496
1755,0.09731736,i,BR,i,BR741
1756,0.90240073,y,BR,i,BR741
1757,0.00011010797,e,BR,i,BR741
1758,6.104373e-06,ɛ,BR,i,BR741
1767,1.9631929e-05,ɛ̃,BR,i,BR741
1759,1.7177238e-06,ø,BR,i,BR741
1760,2.8682305e-06,œ,BR,i,BR741
1761,3.83942e-06,a,BR,i,BR741
1762,1.1841414e-05,ɑ̃,BR,i,BR741
1763,1.961283e-06,o,BR,i,BR741
1764,3.330355e-06,ɔ,BR,i,BR741
1765,4.4790213e-06,ɔ̃,BR,i,BR741
1766,0.000115981755,u,BR,i,BR741
1768,1.0,i,BR,i,BR742
1769,2.96366e-09,y,BR,i,BR742
1770,3.1878542e-14,e,BR,i,BR742
1771,1.3405813e-13,ɛ,BR,i,BR742
1780,2.623538e-14,ɛ̃,BR,i,BR742
1772,3.340253e-16,ø,BR,i,BR742
1773,9.3825314e-15,œ,BR,i,BR742
1774,3.0756627e-14,a,BR,i,BR742
1775,3.663156e-14,ɑ̃,BR,i,BR742
1776,3.9155203e-15,o,BR,i,BR742
