,probabilities,classification,language,vowel,file
119,0.2916845977306366,i,BR,i,BR132
122,0.3503725230693817,y,BR,i,BR132
118,0.0022706228774040937,e,BR,i,BR132
128,0.002328554866835475,ɛ,BR,i,BR132
129,0.13100314140319824,ɛ̃,BR,i,BR132
123,0.074542336165905,ø,BR,i,BR132
124,0.00015277428610716015,œ,BR,i,BR132
117,0.00907608401030302,a,BR,i,BR132
125,0.005988213233649731,ɑ̃,BR,i,BR132
120,0.12567532062530518,o,BR,i,BR132
126,9.145025614998303e-06,ɔ,BR,i,BR132
127,0.003481585066765547,ɔ̃,BR,i,BR132
121,0.0034151177387684584,u,BR,i,BR132
587,0.0020296478178352118,i,BR,i,BR329
590,0.01899116113781929,y,BR,i,BR329
586,0.01152218971401453,e,BR,i,BR329
596,0.15907490253448486,ɛ,BR,i,BR329
597,0.6774712800979614,ɛ̃,BR,i,BR329
591,0.042135439813137054,ø,BR,i,BR329
592,1.784061510079482e-06,œ,BR,i,BR329
585,0.021120626479387283,a,BR,i,BR329
593,0.0010107724228873849,ɑ̃,BR,i,BR329
588,2.6519479433773085e-05,o,BR,i,BR329
594,2.6762365450849757e-05,ɔ,BR,i,BR329
595,0.016865188255906105,ɔ̃,BR,i,BR329
589,0.049723684787750244,u,BR,i,BR329
756,0.002519001951441169,i,BR,i,BR373
759,0.013020472601056099,y,BR,i,BR373
755,0.10613830387592316,e,BR,i,BR373
765,0.02803964540362358,ɛ,BR,i,BR373
766,0.5392213463783264,ɛ̃,BR,i,BR373
760,0.07717505097389221,ø,BR,i,BR373
761,0.0013956902548670769,œ,BR,i,BR373
754,0.013773228973150253,a,BR,i,BR373
762,2.4359113012906164e-05,ɑ̃,BR,i,BR373
757,0.1620820164680481,o,BR,i,BR373
763,0.00013459098408930004,ɔ,BR,i,BR373
764,0.004558931104838848,ɔ̃,BR,i,BR373
758,0.05191740766167641,u,BR,i,BR373
769,0.08714352548122406,i,BR,i,BR374
772,0.6130191683769226,y,BR,i,BR374
768,0.003300836542621255,e,BR,i,BR374
778,0.0013602232793346047,ɛ,BR,i,BR374
779,0.03258107975125313,ɛ̃,BR,i,BR374
773,0.020096750929951668,ø,BR,i,BR374
774,0.0003799371770583093,œ,BR,i,BR374
767,0.008836353197693825,a,BR,i,BR374
775,3.3575910492800176e-05,ɑ̃,BR,i,BR374
770,0.0004650676855817437,o,BR,i,BR374
776,0.00028723038849420846,ɔ,BR,i,BR374
777,0.00947675108909607,ɔ̃,BR,i,BR374
771,0.22301965951919556,u,BR,i,BR374
782,0.4790046811103821,i,BR,i,BR375
785,0.07512752711772919,y,BR,i,BR375
781,0.003766043111681938,e,BR,i,BR375
791,0.026676883921027184,ɛ,BR,i,BR375
792,0.007768401876091957,ɛ̃,BR,i,BR375
786,0.4000284969806671,ø,BR,i,BR375
787,7.11663524270989e-05,œ,BR,i,BR375
780,0.005249368026852608,a,BR,i,BR375
788,0.00013148774451110512,ɑ̃,BR,i,BR375
783,0.00010009080870077014,o,BR,i,BR375
789,2.2226426153793e-05,ɔ,BR,i,BR375
790,0.0005746844108216465,ɔ̃,BR,i,BR375
784,0.0014789276756346226,u,BR,i,BR375
964,0.4094928205013275,i,BR,i,BR452
967,0.07824637740850449,y,BR,i,BR452
963,0.003996450453996658,e,BR,i,BR452
973,0.0012776822550222278,ɛ,BR,i,BR452
974,0.009199250489473343,ɛ̃,BR,i,BR452
968,0.017520789057016373,ø,BR,i,BR452
969,0.00019680768309626728,œ,BR,i,BR452
962,0.04643069580197334,a,BR,i,BR452
970,0.0040676165372133255,ɑ̃,BR,i,BR452
965,0.0169406458735466,o,BR,i,BR452
971,6.375990778906271e-06,ɔ,BR,i,BR452
972,0.00691964803263545,ɔ̃,BR,i,BR452
966,0.4057047963142395,u,BR,i,BR452
977,0.002055895747616887,i,BR,i,BR454
980,0.9692360162734985,y,BR,i,BR454
976,0.0034212456084787846,e,BR,i,BR454
986,0.00012713395699393004,ɛ,BR,i,BR454
987,0.003168561728671193,ɛ̃,BR,i,BR454
981,0.006754436530172825,ø,BR,i,BR454
982,8.058004823396914e-06,œ,BR,i,BR454
975,0.0029530483298003674,a,BR,i,BR454
983,0.0001909526326926425,ɑ̃,BR,i,BR454
978,0.009113564155995846,o,BR,i,BR454
984,6.612016250073793e-07,ɔ,BR,i,BR454
985,0.0005723050562664866,ɔ̃,BR,i,BR454
979,0.0023980378173291683,u,BR,i,BR454
1016,0.40246298909187317,i,BR,i,BR46
1019,0.004006593953818083,y,BR,i,BR46
1015,0.35749921202659607,e,BR,i,BR46
1025,0.020170850679278374,ɛ,BR,i,BR46
1026,0.010161328129470348,ɛ̃,BR,i,BR46
1020,0.023250708356499672,ø,BR,i,BR46
1021,0.0006424139719456434,œ,BR,i,BR46
1014,0.013463614508509636,a,BR,i,BR46
1022,0.0005639538867399096,ɑ̃,BR,i,BR46
1017,0.008610494434833527,o,BR,i,BR46
1023,3.888332503265701e-05,ɔ,BR,i,BR46
1024,0.0025979015044867992,ɔ̃,BR,i,BR46
1018,0.1565312296152115,u,BR,i,BR46
1068,0.9846478700637817,i,BR,i,BR47
1071,0.0039789555594325066,y,BR,i,BR47
1067,0.0014106108574196696,e,BR,i,BR47
1077,0.00040369207272306085,ɛ,BR,i,BR47
1078,0.0001999701780732721,ɛ̃,BR,i,BR47
1072,0.0011718483874574304,ø,BR,i,BR47
1073,0.0002947964530903846,œ,BR,i,BR47
1066,0.0009777545928955078,a,BR,i,BR47
1074,0.0007051087450236082,ɑ̃,BR,i,BR47
1069,0.004230515565723181,o,BR,i,BR47
1075,2.6711963073466904e-05,ɔ,BR,i,BR47
1076,0.0005172129021957517,ɔ̃,BR,i,BR47
1070,0.0014352394500747323,u,BR,i,BR47
1146,0.17480780184268951,i,BR,i,BR496
1149,0.041705939918756485,y,BR,i,BR496
1145,0.3360833525657654,e,BR,i,BR496
1155,0.008081761188805103,ɛ,BR,i,BR496
1156,0.019309354946017265,ɛ̃,BR,i,BR496
1150,0.054645881056785583,ø,BR,i,BR496
1151,0.0939394161105156,œ,BR,i,BR496
1144,0.20428915321826935,a,BR,i,BR496
1152,0.0037855252157896757,ɑ̃,BR,i,BR496
1147,0.002076617442071438,o,BR,i,BR496
1153,0.0003377953835297376,ɔ,BR,i,BR496
1154,0.010615937411785126,ɔ̃,BR,i,BR496
1148,0.050321467220783234,u,BR,i,BR496
1757,0.41707319021224976,i,BR,i,BR741
1760,0.15720628201961517,y,BR,i,BR741
1756,0.057805147022008896,e,BR,i,BR741
1766,0.05697288736701012,ɛ,BR,i,BR741
1767,0.16900190711021423,ɛ̃,BR,i,BR741
1761,0.0017421972006559372,ø,BR,i,BR741
1762,4.238338442519307e-05,œ,BR,i,BR741
1755,0.06278293579816818,a,BR,i,BR741
1763,0.0010177212534472346,ɑ̃,BR,i,BR741
1758,0.004583639558404684,o,BR,i,BR741
1764,0.0010954831959679723,ɔ,BR,i,BR741
1765,0.027667490765452385,ɔ̃,BR,i,BR741
1759,0.04300883039832115,u,BR,i,BR741
1770,0.9822745323181152,i,BR,i,BR742
1773,0.00025681249098852277,y,BR,i,BR742
1769,0.00013349366781767458,e,BR,i,BR742
1779,0.00034478280576877296,ɛ,BR,i,BR742
1780,0.00012364433496259153,ɛ̃,BR,i,BR742
1774,0.00039913810906000435,ø,BR,i,BR742
1775,5.253082690614974e-06,œ,BR,i,BR742
1768,0.003999602049589157,a,BR,i,BR742
1776,0.00028304141596890986,ɑ̃,BR,i,BR742
1771,0.01152966357767582,o,BR,i,BR742
