,probabilities,classification,language,vowel,file
119,0.009982964023947716,i,BR,i,BR132
122,0.008066448383033276,y,BR,i,BR132
118,0.9731071591377258,e,BR,i,BR132
128,5.9386951761553064e-05,ɛ,BR,i,BR132
129,0.005120215006172657,ɛ̃,BR,i,BR132
123,0.00015977356815710664,ø,BR,i,BR132
124,0.0006308648153208196,œ,BR,i,BR132
117,7.1055487751436885e-06,a,BR,i,BR132
125,0.00018880028801504523,ɑ̃,BR,i,BR132
120,0.00041482641245238483,o,BR,i,BR132
126,8.412043825956061e-05,ɔ,BR,i,BR132
127,0.0021527891512960196,ɔ̃,BR,i,BR132
121,2.5804694814723916e-05,u,BR,i,BR132
587,0.0331420861184597,i,BR,i,BR329
590,0.00014924330753274262,y,BR,i,BR329
586,0.04514232277870178,e,BR,i,BR329
596,0.8988785743713379,ɛ,BR,i,BR329
597,9.339394637208898e-06,ɛ̃,BR,i,BR329
591,0.0005149154458194971,ø,BR,i,BR329
592,0.009261167608201504,œ,BR,i,BR329
585,0.0005903675337322056,a,BR,i,BR329
593,0.0020783226937055588,ɑ̃,BR,i,BR329
588,8.592770086579549e-07,o,BR,i,BR329
594,2.3256050553754903e-05,ɔ,BR,i,BR329
595,0.01020694337785244,ɔ̃,BR,i,BR329
589,2.577441591711249e-06,u,BR,i,BR329
756,1.1457129403424915e-05,i,BR,i,BR373
759,0.012965362519025803,y,BR,i,BR373
755,0.9040119647979736,e,BR,i,BR373
765,0.059475045651197433,ɛ,BR,i,BR373
766,0.0006386450841091573,ɛ̃,BR,i,BR373
760,2.9974497010698542e-05,ø,BR,i,BR373
761,0.000980042852461338,œ,BR,i,BR373
754,0.000594022567383945,a,BR,i,BR373
762,0.0007064971723593771,ɑ̃,BR,i,BR373
757,0.0006068085203878582,o,BR,i,BR373
763,0.019713429734110832,ɔ,BR,i,BR373
764,0.0002579183492343873,ɔ̃,BR,i,BR373
758,8.982543477031868e-06,u,BR,i,BR373
769,0.00012294230691622943,i,BR,i,BR374
772,0.0005476215737871826,y,BR,i,BR374
768,0.022627200931310654,e,BR,i,BR374
778,0.973139226436615,ɛ,BR,i,BR374
779,5.782871994597372e-07,ɛ̃,BR,i,BR374
773,0.0005511147901415825,ø,BR,i,BR374
774,0.0004654112854041159,œ,BR,i,BR374
767,0.0006113463896326721,a,BR,i,BR374
775,0.0011345413513481617,ɑ̃,BR,i,BR374
770,1.4614016436098609e-05,o,BR,i,BR374
776,0.0007562959799543023,ɔ,BR,i,BR374
777,1.8632614228408784e-05,ɔ̃,BR,i,BR374
771,1.0462261343491264e-05,u,BR,i,BR374
782,0.00036298323539085686,i,BR,i,BR375
785,0.15599331259727478,y,BR,i,BR375
781,0.515986442565918,e,BR,i,BR375
791,0.22838929295539856,ɛ,BR,i,BR375
792,5.003398655389901e-06,ɛ̃,BR,i,BR375
786,0.07232842594385147,ø,BR,i,BR375
787,0.006119192112237215,œ,BR,i,BR375
780,3.9368051147903316e-06,a,BR,i,BR375
788,0.00011673777044052258,ɑ̃,BR,i,BR375
783,0.0009392689098604023,o,BR,i,BR375
