,probabilities,classification,language,vowel,file
119,0.33694225549697876,i,BR,i,BR132
122,0.013376775197684765,y,BR,i,BR132
118,0.48039358854293823,e,BR,i,BR132
128,0.022997355088591576,ɛ,BR,i,BR132
129,0.002218805020675063,ɛ̃,BR,i,BR132
123,0.09086181223392487,ø,BR,i,BR132
124,0.02500361017882824,œ,BR,i,BR132
117,0.005665971897542477,a,BR,i,BR132
125,0.0024084385950118303,ɑ̃,BR,i,BR132
120,0.008841892704367638,o,BR,i,BR132
126,0.008195440284907818,ɔ,BR,i,BR132
127,0.0023376825265586376,ɔ̃,BR,i,BR132
121,0.0007564656552858651,u,BR,i,BR132
587,0.0027386853471398354,i,BR,i,BR329
590,0.025372592732310295,y,BR,i,BR329
586,0.1447802633047104,e,BR,i,BR329
596,0.6641415953636169,ɛ,BR,i,BR329
597,0.002139872405678034,ɛ̃,BR,i,BR329
591,0.005521031096577644,ø,BR,i,BR329
592,0.016755271703004837,œ,BR,i,BR329
585,0.02974991872906685,a,BR,i,BR329
593,0.016405634582042694,ɑ̃,BR,i,BR329
588,0.04390239343047142,o,BR,i,BR329
594,0.004859290085732937,ɔ,BR,i,BR329
595,0.02347244881093502,ɔ̃,BR,i,BR329
589,0.020160997286438942,u,BR,i,BR329
756,0.008175443857908249,i,BR,i,BR373
759,0.04049355909228325,y,BR,i,BR373
755,0.7581881284713745,e,BR,i,BR373
765,0.07211386412382126,ɛ,BR,i,BR373
766,0.005555024370551109,ɛ̃,BR,i,BR373
760,0.009407001547515392,ø,BR,i,BR373
761,0.02370692789554596,œ,BR,i,BR373
754,0.027551194652915,a,BR,i,BR373
762,0.0010333028621971607,ɑ̃,BR,i,BR373
757,0.010052807629108429,o,BR,i,BR373
763,0.03236962482333183,ɔ,BR,i,BR373
764,0.0006029323558323085,ɔ̃,BR,i,BR373
758,0.01075028721243143,u,BR,i,BR373
769,0.004874769598245621,i,BR,i,BR374
772,0.04377884790301323,y,BR,i,BR374
768,0.13907766342163086,e,BR,i,BR374
778,0.2658558189868927,ɛ,BR,i,BR374
779,0.0020754551514983177,ɛ̃,BR,i,BR374
773,0.006124993320554495,ø,BR,i,BR374
774,0.003806767053902149,œ,BR,i,BR374
767,0.01961800642311573,a,BR,i,BR374
775,0.0035217218101024628,ɑ̃,BR,i,BR374
770,0.13486428558826447,o,BR,i,BR374
776,0.010522816330194473,ɔ,BR,i,BR374
777,0.0027603020425885916,ɔ̃,BR,i,BR374
771,0.36311855912208557,u,BR,i,BR374
782,0.0035681547597050667,i,BR,i,BR375
