,probabilities,classification,language,vowel,file
0,1.0,i,BR,i,BR132
1,0.0,y,BR,i,BR132
2,0.0,e,BR,i,BR132
3,0.0,ɛ,BR,i,BR132
4,0.0,ɛ̃,BR,i,BR132
5,0.0,ø,BR,i,BR132
6,0.0,œ,BR,i,BR132
7,0.0,a,BR,i,BR132
8,0.0,ɑ̃,BR,i,BR132
9,0.0,o,BR,i,BR132
10,0.0,ɔ,BR,i,BR132
11,0.0,ɔ̃,BR,i,BR132
12,0.0,u,BR,i,BR132
13,1.0,i,BR,i,BR329
14,0.0,y,BR,i,BR329
15,0.0,e,BR,i,BR329
16,0.0,ɛ,BR,i,BR329
17,0.0,ɛ̃,BR,i,BR329
18,0.0,ø,BR,i,BR329
19,0.0,œ,BR,i,BR329
20,0.0,a,BR,i,BR329
21,0.0,ɑ̃,BR,i,BR329
22,0.0,o,BR,i,BR329
23,0.0,ɔ,BR,i,BR329
24,0.0,ɔ̃,BR,i,BR329
25,0.0,u,BR,i,BR329
26,1.0,i,BR,i,BR373
27,0.0,y,BR,i,BR373
28,0.0,e,BR,i,BR373
29,0.0,ɛ,BR,i,BR373
30,0.0,ɛ̃,BR,i,BR373
31,0.0,ø,BR,i,BR373
32,0.0,œ,BR,i,BR373
33,0.0,a,BR,i,BR373
34,0.0,ɑ̃,BR,i,BR373
35,0.0,o,BR,i,BR373
36,0.0,ɔ,BR,i,BR373
37,0.0,ɔ̃,BR,i,BR373
38,0.0,u,BR,i,BR373
39,0.8,i,BR,i,BR374
40,0.0,y,BR,i,BR374
41,0.0,e,BR,i,BR374
42,0.2,ɛ,BR,i,BR374
43,0.0,ɛ̃,BR,i,BR374
44,0.0,ø,BR,i,BR374
45,0.0,œ,BR,i,BR374
46,0.0,a,BR,i,BR374
47,0.0,ɑ̃,BR,i,BR374
48,0.0,o,BR,i,BR374
49,0.0,ɔ,BR,i,BR374
50,0.0,ɔ̃,BR,i,BR374
51,0.0,u,BR,i,BR374
52,1.0,i,BR,i,BR375
53,0.0,y,BR,i,BR375
54,0.0,e,BR,i,BR375
55,0.0,ɛ,BR,i,BR375
56,0.0,ɛ̃,BR,i,BR375
57,0.0,ø,BR,i,BR375
58,0.0,œ,BR,i,BR375
59,0.0,a,BR,i,BR375
60,0.0,ɑ̃,BR,i,BR375
61,0.0,o,BR,i,BR375
62,0.0,ɔ,BR,i,BR375
63,0.0,ɔ̃,BR,i,BR375
64,0.0,u,BR,i,BR375
65,1.0,i,BR,i,BR452
66,0.0,y,BR,i,BR452
67,0.0,e,BR,i,BR452
68,0.0,ɛ,BR,i,BR452
69,0.0,ɛ̃,BR,i,BR452
70,0.0,ø,BR,i,BR452
71,0.0,œ,BR,i,BR452
72,0.0,a,BR,i,BR452
73,0.0,ɑ̃,BR,i,BR452
74,0.0,o,BR,i,BR452
75,0.0,ɔ,BR,i,BR452
76,0.0,ɔ̃,BR,i,BR452
77,0.0,u,BR,i,BR452
78,0.8,i,BR,i,BR454
79,0.2,y,BR,i,BR454
80,0.0,e,BR,i,BR454
81,0.0,ɛ,BR,i,BR454
82,0.0,ɛ̃,BR,i,BR454
83,0.0,ø,BR,i,BR454
84,0.0,œ,BR,i,BR454
85,0.0,a,BR,i,BR454
86,0.0,ɑ̃,BR,i,BR454
87,0.0,o,BR,i,BR454
88,0.0,ɔ,BR,i,BR454
89,0.0,ɔ̃,BR,i,BR454
90,0.0,u,BR,i,BR454
91,1.0,i,BR,i,BR46
92,0.0,y,BR,i,BR46
93,0.0,e,BR,i,BR46
94,0.0,ɛ,BR,i,BR46
95,0.0,ɛ̃,BR,i,BR46
96,0.0,ø,BR,i,BR46
97,0.0,œ,BR,i,BR46
98,0.0,a,BR,i,BR46
99,0.0,ɑ̃,BR,i,BR46
100,0.0,o,BR,i,BR46
101,0.0,ɔ,BR,i,BR46
102,0.0,ɔ̃,BR,i,BR46
103,0.0,u,BR,i,BR46
104,1.0,i,BR,i,BR47
105,0.0,y,BR,i,BR47
106,0.0,e,BR,i,BR47
107,0.0,ɛ,BR,i,BR47
108,0.0,ɛ̃,BR,i,BR47
109,0.0,ø,BR,i,BR47
110,0.0,œ,BR,i,BR47
111,0.0,a,BR,i,BR47
112,0.0,ɑ̃,BR,i,BR47
113,0.0,o,BR,i,BR47
114,0.0,ɔ,BR,i,BR47
115,0.0,ɔ̃,BR,i,BR47
116,0.0,u,BR,i,BR47
117,0.4,i,BR,i,BR496
118,0.4,y,BR,i,BR496
119,0.0,e,BR,i,BR496
120,0.0,ɛ,BR,i,BR496
121,0.0,ɛ̃,BR,i,BR496
122,0.0,ø,BR,i,BR496
123,0.0,œ,BR,i,BR496
124,0.0,a,BR,i,BR496
125,0.0,ɑ̃,BR,i,BR496
126,0.0,o,BR,i,BR496
127,0.0,ɔ,BR,i,BR496
128,0.0,ɔ̃,BR,i,BR496
129,0.2,u,BR,i,BR496
130,1.0,i,BR,i,BR741
131,0.0,y,BR,i,BR741
132,0.0,e,BR,i,BR741
133,0.0,ɛ,BR,i,BR741
134,0.0,ɛ̃,BR,i,BR741
135,0.0,ø,BR,i,BR741
136,0.0,œ,BR,i,BR741
137,0.0,a,BR,i,BR741
