,language,vowel,file,classification,probabilities
1025,BR,i,BR132,i,0.8
6887,BR,i,BR132,ɪ,0.0
48,BR,i,BR132,eɪ,0.0
5910,BR,i,BR132,ɛ,0.2
3956,BR,i,BR132,æ,0.0
4933,BR,i,BR132,ɑ,0.0
8841,BR,i,BR132,ʌ,0.0
2002,BR,i,BR132,oʊ,0.0
2979,BR,i,BR132,u,0.0
7864,BR,i,BR132,ʊ,0.0
1026,BR,i,BR329,i,0.8
6888,BR,i,BR329,ɪ,0.2
49,BR,i,BR329,eɪ,0.0
5911,BR,i,BR329,ɛ,0.0
3957,BR,i,BR329,æ,0.0
4934,BR,i,BR329,ɑ,0.0
8842,BR,i,BR329,ʌ,0.0
2003,BR,i,BR329,oʊ,0.0
2980,BR,i,BR329,u,0.0
7865,BR,i,BR329,ʊ,0.0
1027,BR,i,BR373,i,1.0
6889,BR,i,BR373,ɪ,0.0
50,BR,i,BR373,eɪ,0.0
5912,BR,i,BR373,ɛ,0.0
3958,BR,i,BR373,æ,0.0
4935,BR,i,BR373,ɑ,0.0
8843,BR,i,BR373,ʌ,0.0
2004,BR,i,BR373,oʊ,0.0
2981,BR,i,BR373,u,0.0
7866,BR,i,BR373,ʊ,0.0
1028,BR,i,BR374,i,0.16666666666666666
6890,BR,i,BR374,ɪ,0.5
51,BR,i,BR374,eɪ,0.0
5913,BR,i,BR374,ɛ,0.0
3959,BR,i,BR374,æ,0.0
4936,BR,i,BR374,ɑ,0.0
8844,BR,i,BR374,ʌ,0.0
2005,BR,i,BR374,oʊ,0.0
2982,BR,i,BR374,u,0.0
7867,BR,i,BR374,ʊ,0.3333333333333333
1029,BR,i,BR375,i,0.2
6891,BR,i,BR375,ɪ,0.8
52,BR,i,BR375,eɪ,0.0
5914,BR,i,BR375,ɛ,0.0
3960,BR,i,BR375,æ,0.0
4937,BR,i,BR375,ɑ,0.0
8845,BR,i,BR375,ʌ,0.0
2006,BR,i,BR375,oʊ,0.0
2983,BR,i,BR375,u,0.0
7868,BR,i,BR375,ʊ,0.0
1030,BR,i,BR452,i,0.6666666666666666
6892,BR,i,BR452,ɪ,0.16666666666666666
53,BR,i,BR452,eɪ,0.0
5915,BR,i,BR452,ɛ,0.16666666666666666
