,probabilities,classification,language,vowel,file
8251,0.6187992095947266,i,BR,i,BR132
8257,0.10168015211820602,ɪ,BR,i,BR132
8250,0.27918848395347595,eɪ,BR,i,BR132
8256,2.3859744032961316e-05,ɛ,BR,i,BR132
8254,1.3735494803768233e-06,æ,BR,i,BR132
8255,8.921628591451736e-08,ɑ,BR,i,BR132
8259,7.156534138630377e-07,ʌ,BR,i,BR132
8252,7.22694385331124e-05,oʊ,BR,i,BR132
8253,0.00022702776186633855,u,BR,i,BR132
8258,6.822137493145419e-06,ʊ,BR,i,BR132
7411,0.007554577197879553,i,BR,i,BR329
7417,0.004120660480111837,ɪ,BR,i,BR329
7410,0.3003840148448944,eɪ,BR,i,BR329
7416,0.00014347296382766217,ɛ,BR,i,BR329
7414,0.21194349229335785,æ,BR,i,BR329
7415,0.0005795643664896488,ɑ,BR,i,BR329
7419,1.9151011656504124e-05,ʌ,BR,i,BR329
7412,4.2783980461535975e-05,oʊ,BR,i,BR329
7413,0.4746675193309784,u,BR,i,BR329
7418,0.0005448219599202275,ʊ,BR,i,BR329
8511,0.06082741543650627,i,BR,i,BR373
8517,0.0015944797778502107,ɪ,BR,i,BR373
8510,0.005432549864053726,eɪ,BR,i,BR373
8516,2.0641411538235843e-05,ɛ,BR,i,BR373
8514,0.0003327227314002812,æ,BR,i,BR373
8515,0.0013549013528972864,ɑ,BR,i,BR373
8519,3.494779230095446e-05,ʌ,BR,i,BR373
8512,0.4086565673351288,oʊ,BR,i,BR373
8513,0.08241862058639526,u,BR,i,BR373
8518,0.43932709097862244,ʊ,BR,i,BR373
7631,0.011515166610479355,i,BR,i,BR374
7637,0.46775856614112854,ɪ,BR,i,BR374
7630,0.23690681159496307,eɪ,BR,i,BR374
7636,0.00039252868737094104,ɛ,BR,i,BR374
7634,0.003663776908069849,æ,BR,i,BR374
7635,0.013111895881593227,ɑ,BR,i,BR374
7639,0.0005130328354425728,ʌ,BR,i,BR374
7632,0.2545047998428345,oʊ,BR,i,BR374
7633,0.007295061368495226,u,BR,i,BR374
7638,0.004338404163718224,ʊ,BR,i,BR374
7761,0.01196790486574173,i,BR,i,BR375
7767,0.8530043959617615,ɪ,BR,i,BR375
7760,0.0902784988284111,eɪ,BR,i,BR375
7766,0.00011566027387743816,ɛ,BR,i,BR375
7764,0.0017525102011859417,æ,BR,i,BR375
7765,6.414727249648422e-05,ɑ,BR,i,BR375
