,probabilities,classification,language,vowel,file
8251,0.7206542491912842,i,BR,i,BR132
8257,0.07289905846118927,ɪ,BR,i,BR132
8250,0.20628982782363892,eɪ,BR,i,BR132
8256,9.939124538504984e-06,ɛ,BR,i,BR132
8254,6.553306661771785e-07,æ,BR,i,BR132
8255,2.3034377960584607e-08,ɑ,BR,i,BR132
8259,2.511122545456601e-07,ʌ,BR,i,BR132
8252,2.0029008737765253e-05,oʊ,BR,i,BR132
8253,0.00012233688903506845,u,BR,i,BR132
8258,3.627817477536155e-06,ʊ,BR,i,BR132
7411,0.009356698021292686,i,BR,i,BR329
7417,0.004055854864418507,ɪ,BR,i,BR329
7410,0.33433565497398376,eɪ,BR,i,BR329
7416,0.00011582981096580625,ɛ,BR,i,BR329
7414,0.3555159568786621,æ,BR,i,BR329
7415,0.0002763863012660295,ɑ,BR,i,BR329
7419,1.034416891343426e-05,ʌ,BR,i,BR329
7412,3.714347622008063e-05,oʊ,BR,i,BR329
7413,0.2956158518791199,u,BR,i,BR329
7418,0.0006801810231991112,ʊ,BR,i,BR329
8511,0.023496195673942566,i,BR,i,BR373
8517,0.0007783829350955784,ɪ,BR,i,BR373
8510,0.0025413907133042812,eɪ,BR,i,BR373
8516,6.413451956177596e-06,ɛ,BR,i,BR373
8514,0.00014213235408533365,æ,BR,i,BR373
8515,0.0004270019999239594,ɑ,BR,i,BR373
8519,1.1134057785966434e-05,ʌ,BR,i,BR373
8512,0.3682774603366852,oʊ,BR,i,BR373
8513,0.05304913967847824,u,BR,i,BR373
8518,0.5512707829475403,ʊ,BR,i,BR373
7631,0.0045442236587405205,i,BR,i,BR374
7637,0.5350315570831299,ɪ,BR,i,BR374
7630,0.20245541632175446,eɪ,BR,i,BR374
7636,0.0003467734786681831,ɛ,BR,i,BR374
7634,0.001947965007275343,æ,BR,i,BR374
7635,0.0085150096565485,ɑ,BR,i,BR374
7639,0.00015241149230860174,ʌ,BR,i,BR374
7632,0.2379198521375656,oʊ,BR,i,BR374
7633,0.006606133654713631,u,BR,i,BR374
7638,0.002480688039213419,ʊ,BR,i,BR374
7761,0.008170976303517818,i,BR,i,BR375
7767,0.8838846683502197,ɪ,BR,i,BR375
7760,0.07534785568714142,eɪ,BR,i,BR375
7766,8.978756522992626e-05,ɛ,BR,i,BR375
7764,0.0016861970070749521,æ,BR,i,BR375
7765,2.7573862098506652e-05,ɑ,BR,i,BR375
7769,3.536401209203177e-06,ʌ,BR,i,BR375
7762,0.00011682195327011868,oʊ,BR,i,BR375
7763,0.030626654624938965,u,BR,i,BR375
7768,4.5952732762089e-05,ʊ,BR,i,BR375
7491,0.8087019324302673,i,BR,i,BR452
7497,0.007104851771146059,ɪ,BR,i,BR452
7490,0.13757893443107605,eɪ,BR,i,BR452
7496,6.1801320043741725e-06,ɛ,BR,i,BR452
7494,0.00023979491379577667,æ,BR,i,BR452
7495,1.0547628742640924e-10,ɑ,BR,i,BR452
7499,1.3707802963836002e-06,ʌ,BR,i,BR452
7492,5.987465101497946e-06,oʊ,BR,i,BR452
7493,0.04320286959409714,u,BR,i,BR452
7498,0.003158223582431674,ʊ,BR,i,BR452
7171,0.8311060667037964,i,BR,i,BR454
7177,0.0026739321183413267,ɪ,BR,i,BR454
7170,0.05958852171897888,eɪ,BR,i,BR454
7176,0.006657026242464781,ɛ,BR,i,BR454
7174,0.06897556781768799,æ,BR,i,BR454
7175,0.00043070706306025386,ɑ,BR,i,BR454
7179,0.030197562649846077,ʌ,BR,i,BR454
7172,8.2522155935294e-06,oʊ,BR,i,BR454
7173,1.1527681635925546e-05,u,BR,i,BR454
7178,0.00035089615266770124,ʊ,BR,i,BR454
7791,0.280955046415329,i,BR,i,BR46
7797,0.34232109785079956,ɪ,BR,i,BR46
7790,0.3767220377922058,eɪ,BR,i,BR46
7796,5.724548941543617e-07,ɛ,BR,i,BR46
7794,1.2112411695852643e-06,æ,BR,i,BR46
7795,6.743873515180354e-11,ɑ,BR,i,BR46
7799,5.033962482969834e-11,ʌ,BR,i,BR46
7792,2.224548989460118e-09,oʊ,BR,i,BR46
7793,1.004878811272647e-07,u,BR,i,BR46
7798,2.046975255964867e-09,ʊ,BR,i,BR46
7901,0.9395720362663269,i,BR,i,BR47
7907,0.04430901259183884,ɪ,BR,i,BR47
7900,0.016020556911826134,eɪ,BR,i,BR47
7906,1.8020760705894645e-07,ɛ,BR,i,BR47
7904,3.2734050137150916e-07,æ,BR,i,BR47
7905,2.464083159736674e-09,ɑ,BR,i,BR47
7909,8.42676595169678e-09,ʌ,BR,i,BR47
7902,2.2653996438748436e-06,oʊ,BR,i,BR47
7903,9.138276072917506e-05,u,BR,i,BR47
7908,4.228079433232779e-06,ʊ,BR,i,BR47
7301,0.7992039918899536,i,BR,i,BR496
7307,6.182015204103664e-05,ɪ,BR,i,BR496
7300,0.2007320672273636,eɪ,BR,i,BR496
7306,1.4332406372830064e-09,ɛ,BR,i,BR496
7304,2.0774932636413723e-06,æ,BR,i,BR496
7305,4.661458285343256e-12,ɑ,BR,i,BR496
7309,3.905674117454794e-10,ʌ,BR,i,BR496
7302,3.793747260782965e-11,oʊ,BR,i,BR496
7303,2.9375279986254554e-09,u,BR,i,BR496
7308,4.2028958091577806e-10,ʊ,BR,i,BR496
7571,0.988021731376648,i,BR,i,BR741
7577,0.0017906131688505411,ɪ,BR,i,BR741
7570,0.00978353712707758,eɪ,BR,i,BR741
7576,4.996228653908474e-06,ɛ,BR,i,BR741
7574,6.701009738208086e-07,æ,BR,i,BR741
7575,3.158010486004059e-06,ɑ,BR,i,BR741
7579,2.88979663309874e-07,ʌ,BR,i,BR741
7572,0.00011083820572821423,oʊ,BR,i,BR741
7573,0.0002815148327499628,u,BR,i,BR741
7578,2.706697614485165e-06,ʊ,BR,i,BR741
8321,0.9697504639625549,i,BR,i,BR742
8327,0.0002293030556757003,ɪ,BR,i,BR742
8320,0.0011026718420907855,eɪ,BR,i,BR742
8326,1.6964340829872526e-06,ɛ,BR,i,BR742
8324,3.7076360968057998e-06,æ,BR,i,BR742
8325,8.214410627260804e-05,ɑ,BR,i,BR742
8329,2.2104707113612676e-06,ʌ,BR,i,BR742
8322,0.02680724859237671,oʊ,BR,i,BR742
8323,0.0018319969531148672,u,BR,i,BR742
8328,0.00018854023073799908,ʊ,BR,i,BR742
7811,0.9609571099281311,i,BR,i,BR757
7817,0.004947479348629713,ɪ,BR,i,BR757
7810,0.007682946976274252,eɪ,BR,i,BR757
7816,0.00043399978312663734,ɛ,BR,i,BR757
7814,2.7976699129794724e-05,æ,BR,i,BR757
7815,0.0014520835829898715,ɑ,BR,i,BR757
7819,0.006767173297703266,ʌ,BR,i,BR757
7812,0.014422956854104996,oʊ,BR,i,BR757
7813,0.00017296383157372475,u,BR,i,BR757
7818,0.003135157749056816,ʊ,BR,i,BR757
6731,0.7952621579170227,i,BR,i,BR796
6737,0.19118258357048035,ɪ,BR,i,BR796
6730,0.005099238827824593,eɪ,BR,i,BR796
6736,0.00015844267909415066,ɛ,BR,i,BR796
6734,5.384274572861614e-06,æ,BR,i,BR796
6735,0.00015215443272609264,ɑ,BR,i,BR796
6739,0.0006257279310375452,ʌ,BR,i,BR796
6732,0.0007933376473374665,oʊ,BR,i,BR796
6733,0.006376200821250677,u,BR,i,BR796
6738,0.00034480213071219623,ʊ,BR,i,BR796
7651,0.5698989629745483,i,BR,i,BR99
7657,0.39203038811683655,ɪ,BR,i,BR99
7650,0.038047559559345245,eɪ,BR,i,BR99
7656,1.0922520232270472e-05,ɛ,BR,i,BR99
7654,3.841331363219069e-06,æ,BR,i,BR99
7655,3.9884315583549323e-07,ɑ,BR,i,BR99
7659,6.769859339783579e-09,ʌ,BR,i,BR99
7652,2.815544803524972e-06,oʊ,BR,i,BR99
7653,4.942622581438627e-06,u,BR,i,BR99
7658,7.762521647691756e-08,ʊ,BR,i,BR99
7331,0.33610799908638,i,BR,i,BR992
7337,0.4500698447227478,ɪ,BR,i,BR992
7330,0.19968843460083008,eɪ,BR,i,BR992
7336,0.010247660800814629,ɛ,BR,i,BR992
7334,0.003810435300692916,æ,BR,i,BR992
7335,3.217034463887103e-05,ɑ,BR,i,BR992
7339,7.72251769376453e-06,ʌ,BR,i,BR992
7332,1.7937794837052934e-05,oʊ,BR,i,BR992
7333,1.6908548786886968e-05,u,BR,i,BR992
7338,7.496210514545965e-07,ʊ,BR,i,BR992
7821,0.11222121119499207,i,BR,ĩ,BR1025
7827,0.5476816892623901,ɪ,BR,ĩ,BR1025
7820,0.33808010816574097,eɪ,BR,ĩ,BR1025
7826,0.0014388415729627013,ɛ,BR,ĩ,BR1025
7824,0.0005631257081404328,æ,BR,ĩ,BR1025
7825,1.2490973233525438e-07,ɑ,BR,ĩ,BR1025
7829,5.803603997378559e-08,ʌ,BR,ĩ,BR1025
7822,5.336528943189478e-07,oʊ,BR,ĩ,BR1025
7823,1.4296097106125671e-05,u,BR,ĩ,BR1025
7828,4.0897212727486476e-08,ʊ,BR,ĩ,BR1025
7031,0.7241373658180237,i,BR,ĩ,BR1029
7037,0.010737345553934574,ɪ,BR,ĩ,BR1029
7030,0.25241708755493164,eɪ,BR,ĩ,BR1029
7036,0.0007557192002423108,ɛ,BR,ĩ,BR1029
7034,0.011446213349699974,æ,BR,ĩ,BR1029
7035,1.4282809388532769e-06,ɑ,BR,ĩ,BR1029
7039,2.813024593706359e-06,ʌ,BR,ĩ,BR1029
7032,6.573009886778891e-05,oʊ,BR,ĩ,BR1029
7033,0.0004206951125524938,u,BR,ĩ,BR1029
7038,1.5665033060940914e-05,ʊ,BR,ĩ,BR1029
7801,0.9796172976493835,i,BR,ĩ,BR154
7807,0.0044189938344061375,ɪ,BR,ĩ,BR154
7800,0.015519468113780022,eɪ,BR,ĩ,BR154
7806,2.3809012418496422e-05,ɛ,BR,ĩ,BR154
7804,6.590453722310485e-06,æ,BR,ĩ,BR154
7805,3.2876803857107006e-07,ɑ,BR,ĩ,BR154
7809,1.4950445574868354e-06,ʌ,BR,ĩ,BR154
7802,0.00028108034166507423,oʊ,BR,ĩ,BR154
7803,1.3111270163790323e-05,u,BR,ĩ,BR154
7808,0.00011779870692407712,ʊ,BR,ĩ,BR154
7521,0.8540728688240051,i,BR,ĩ,BR158
7527,0.02323354221880436,ɪ,BR,ĩ,BR158
7520,0.11160600930452347,eɪ,BR,ĩ,BR158
7526,0.00014940364053472877,ɛ,BR,ĩ,BR158
7524,4.187707418168429e-06,æ,BR,ĩ,BR158
7525,1.7062853885363438e-06,ɑ,BR,ĩ,BR158
7529,5.180274456506595e-06,ʌ,BR,ĩ,BR158
7522,0.007050295360386372,oʊ,BR,ĩ,BR158
7523,0.0037372326478362083,u,BR,ĩ,BR158
7528,0.00013961002696305513,ʊ,BR,ĩ,BR158
8541,0.11133228987455368,i,BR,ĩ,BR159
8547,0.6884482502937317,ɪ,BR,ĩ,BR159
8540,0.19405855238437653,eɪ,BR,ĩ,BR159
8546,0.005603747442364693,ɛ,BR,ĩ,BR159
8544,2.8722746719722636e-05,æ,BR,ĩ,BR159
8545,6.911155878697173e-07,ɑ,BR,ĩ,BR159
8549,1.2693105418293271e-05,ʌ,BR,ĩ,BR159
8542,0.0001057632252923213,oʊ,BR,ĩ,BR159
8543,0.00029670490766875446,u,BR,ĩ,BR159
8548,0.00011249025556026027,ʊ,BR,ĩ,BR159
7001,0.02518773078918457,i,BR,ĩ,BR264
7007,0.0009950086241587996,ɪ,BR,ĩ,BR264
7000,0.00029272201936692,eɪ,BR,ĩ,BR264
7006,1.1722605677277897e-06,ɛ,BR,ĩ,BR264
7004,0.00010348607611376792,æ,BR,ĩ,BR264
7005,0.00011873306357301772,ɑ,BR,ĩ,BR264
7009,3.1148461857810616e-05,ʌ,BR,ĩ,BR264
7002,0.0008613775717094541,oʊ,BR,ĩ,BR264
7003,0.9689583778381348,u,BR,ĩ,BR264
7008,0.0034502153284847736,ʊ,BR,ĩ,BR264
6851,5.554893868975341e-05,i,BR,ĩ,BR411
6857,0.02119571529328823,ɪ,BR,ĩ,BR411
6850,0.00853901356458664,eɪ,BR,ĩ,BR411
6856,0.004191477317363024,ɛ,BR,ĩ,BR411
6854,0.004433607682585716,æ,BR,ĩ,BR411
6855,0.00020902803225908428,ɑ,BR,ĩ,BR411
6859,2.782506817311514e-05,ʌ,BR,ĩ,BR411
6852,0.023220907896757126,oʊ,BR,ĩ,BR411
6853,0.830418050289154,u,BR,ĩ,BR411
6858,0.10770878940820694,ʊ,BR,ĩ,BR411
7641,0.0021146575454622507,i,BR,ĩ,BR417
7647,0.0009355241199955344,ɪ,BR,ĩ,BR417
7640,6.842525181127712e-05,eɪ,BR,ĩ,BR417
7646,1.8523005564929917e-05,ɛ,BR,ĩ,BR417
7644,2.5889392418321222e-05,æ,BR,ĩ,BR417
7645,4.5436518121277913e-05,ɑ,BR,ĩ,BR417
7649,0.002341205719858408,ʌ,BR,ĩ,BR417
7642,0.0007164373528212309,oʊ,BR,ĩ,BR417
7643,0.8344807028770447,u,BR,ĩ,BR417
7648,0.15925332903862,ʊ,BR,ĩ,BR417
8121,0.9628651142120361,i,BR,ĩ,BR504
8127,0.0211356021463871,ɪ,BR,ĩ,BR504
8120,0.012390131130814552,eɪ,BR,ĩ,BR504
8126,2.2803644242230803e-05,ɛ,BR,ĩ,BR504
8124,3.18905440508388e-05,æ,BR,ĩ,BR504
8125,4.774443027599773e-07,ɑ,BR,ĩ,BR504
8129,2.8506879061751533e-06,ʌ,BR,ĩ,BR504
8122,1.129546603806375e-06,oʊ,BR,ĩ,BR504
8123,0.003539741039276123,u,BR,ĩ,BR504
8128,1.0218212082691025e-05,ʊ,BR,ĩ,BR504
7361,0.7939012050628662,i,BR,ĩ,BR510
7367,0.019784005358815193,ɪ,BR,ĩ,BR510
7360,0.18120402097702026,eɪ,BR,ĩ,BR510
7366,0.00012363758287392557,ɛ,BR,ĩ,BR510
7364,0.004805931821465492,æ,BR,ĩ,BR510
7365,9.516511454421561e-06,ɑ,BR,ĩ,BR510
7369,2.627338517413591e-06,ʌ,BR,ĩ,BR510
7362,4.101006197743118e-06,oʊ,BR,ĩ,BR510
7363,0.0001403239875799045,u,BR,ĩ,BR510
7368,2.458638118696399e-05,ʊ,BR,ĩ,BR510
7061,0.9670386910438538,i,BR,ĩ,BR559
