,probabilities,classification,language,vowel,file
8251,0.5737069717608392,i,BR,i,BR132
8257,0.07619261030849885,ɪ,BR,i,BR132
8250,0.34989719837903976,eɪ,BR,i,BR132
8256,1.2593491808291879e-05,ɛ,BR,i,BR132
8254,7.365411975349486e-07,æ,BR,i,BR132
8255,4.9908652758877836e-08,ɑ,BR,i,BR132
8259,4.235691675518621e-07,ʌ,BR,i,BR132
8252,4.8059075195292994e-05,oʊ,BR,i,BR132
8253,0.00013766252306527394,u,BR,i,BR132
8258,3.6726008124821076e-06,ʊ,BR,i,BR132
7411,0.010591024969471619,i,BR,i,BR329
7417,0.0025277411667048,ɪ,BR,i,BR329
7410,0.4680341135710478,eɪ,BR,i,BR329
7416,0.0001278190160083459,ɛ,BR,i,BR329
7414,0.20193553550452634,æ,BR,i,BR329
7415,0.00023214197272451996,ɑ,BR,i,BR329
7419,1.1156201756619166e-05,ʌ,BR,i,BR329
7412,0.0022802640362897366,oʊ,BR,i,BR329
7413,0.3136531502474099,u,BR,i,BR329
7418,0.0006070501930139471,ʊ,BR,i,BR329
8511,0.031078185934518388,i,BR,i,BR373
8517,0.038364525347189024,ɪ,BR,i,BR373
8510,0.016400772413180675,eɪ,BR,i,BR373
8516,0.00014278966786385243,ɛ,BR,i,BR373
8514,0.0014570867600383686,æ,BR,i,BR373
8515,0.0009048059823907994,ɑ,BR,i,BR373
8519,5.382214186859656e-05,ʌ,BR,i,BR373
8512,0.3486414595507085,oʊ,BR,i,BR373
8513,0.18009363263845443,u,BR,i,BR373
8518,0.38286292759544266,ʊ,BR,i,BR373
7631,0.009144086853763157,i,BR,i,BR374
7637,0.43098023891811865,ɪ,BR,i,BR374
7630,0.2561692275106907,eɪ,BR,i,BR374
7636,0.00020014406641271354,ɛ,BR,i,BR374
7634,0.001851607149289284,æ,BR,i,BR374
7635,0.006130977614811206,ɑ,BR,i,BR374
7639,0.00026046872022989214,ʌ,BR,i,BR374
7632,0.27019256569910793,oʊ,BR,i,BR374
7633,0.02302337591536343,u,BR,i,BR374
7638,0.0020473233895359046,ʊ,BR,i,BR374
7761,0.008896517146422412,i,BR,i,BR375
7767,0.6231108125648461,ɪ,BR,i,BR375
7760,0.22342857341282069,eɪ,BR,i,BR375
7766,0.0001588857711718461,ɛ,BR,i,BR375
7764,0.0012890754399182748,æ,BR,i,BR375
7765,2.928308250416123e-05,ɑ,BR,i,BR375
7769,5.029629620338649e-06,ʌ,BR,i,BR375
7762,0.012678460437746253,oʊ,BR,i,BR375
7763,0.13035989486961624,u,BR,i,BR375
7768,4.3488121480095285e-05,ʊ,BR,i,BR375
7491,0.6509123846888543,i,BR,i,BR452
7497,0.008237138157710433,ɪ,BR,i,BR452
7490,0.30984417980071155,eɪ,BR,i,BR452
7496,8.076674777601767e-06,ɛ,BR,i,BR452
7494,0.00022614389874817258,æ,BR,i,BR452
7495,4.4857062288179536e-10,ɑ,BR,i,BR452
7499,1.31833137767259e-06,ʌ,BR,i,BR452
7492,5.724991533891111e-06,oʊ,BR,i,BR452
7493,0.028078492294298485,u,BR,i,BR452
7498,0.002686552903787742,ʊ,BR,i,BR452
7171,0.885272991657257,i,BR,i,BR454
7177,0.0029005235626092586,ɪ,BR,i,BR454
7170,0.04778867613515558,eɪ,BR,i,BR454
7176,0.004365767977414681,ɛ,BR,i,BR454
7174,0.039231726905801824,æ,BR,i,BR454
7175,0.00037650957727746137,ɑ,BR,i,BR454
7179,0.019681932647330997,ʌ,BR,i,BR454
7172,1.0197208218016628e-05,oʊ,BR,i,BR454
7173,9.202771371086271e-06,u,BR,i,BR454
7178,0.0003624883468091866,ʊ,BR,i,BR454
7791,0.28390956446528437,i,BR,i,BR46
7797,0.320003197947517,ɪ,BR,i,BR46
7790,0.396085556037724,eɪ,BR,i,BR46
7796,5.116619407274925e-07,ɛ,BR,i,BR46
7794,1.034839884796971e-06,æ,BR,i,BR46
7795,1.1117693853487183e-10,ɑ,BR,i,BR46
7799,9.908487665461461e-11,ʌ,BR,i,BR46
7792,2.840429988643697e-09,oʊ,BR,i,BR46
7793,1.3013722188759402e-07,u,BR,i,BR46
7798,1.7251290340691837e-09,ʊ,BR,i,BR46
7901,0.756971450895071,i,BR,i,BR47
7907,0.04721423357259482,ɪ,BR,i,BR47
7900,0.19569466123357415,eɪ,BR,i,BR47
7906,2.68739784152483e-07,ɛ,BR,i,BR47
7904,4.558783683537924e-07,æ,BR,i,BR47
7905,6.108562168832663e-09,ɑ,BR,i,BR47
7909,1.5537916015571225e-08,ʌ,BR,i,BR47
7902,4.1126832482825675e-06,oʊ,BR,i,BR47
7903,0.00011060545834680191,u,BR,i,BR47
7908,4.180412761311051e-06,ʊ,BR,i,BR47
7301,0.7228345662355423,i,BR,i,BR496
7307,0.00017389301632209087,ɪ,BR,i,BR496
7300,0.2769882945518475,eɪ,BR,i,BR496
7306,2.6207663789548435e-09,ɛ,BR,i,BR496
7304,3.219978195747434e-06,æ,BR,i,BR496
7305,1.48732726721128e-11,ɑ,BR,i,BR496
7309,1.0806077501005998e-09,ʌ,BR,i,BR496
7302,1.381477480864132e-10,oʊ,BR,i,BR496
7303,5.210483986980985e-09,u,BR,i,BR496
7308,7.364923959907763e-10,ʊ,BR,i,BR496
7571,0.8983188018202781,i,BR,i,BR741
7577,0.09448591293069057,ɪ,BR,i,BR741
7570,0.006838614569278434,eɪ,BR,i,BR741
7576,4.79304733623509e-06,ɛ,BR,i,BR741
7574,8.371148582334765e-07,æ,BR,i,BR741
7575,2.9963293056236305e-06,ɑ,BR,i,BR741
7579,3.029927764019568e-07,ʌ,BR,i,BR741
7572,0.00010285858452543407,oʊ,BR,i,BR741
7573,0.00024149565363398295,u,BR,i,BR741
7578,3.3704662866007594e-06,ʊ,BR,i,BR741
8321,0.9385741353034973,i,BR,i,BR742
8327,0.006669810854828029,ɪ,BR,i,BR742
8320,0.03158682877228784,eɪ,BR,i,BR742
8326,1.6243000907655013e-06,ɛ,BR,i,BR742
8324,4.046234853320411e-06,æ,BR,i,BR742
8325,0.00011336470576366224,ɑ,BR,i,BR742
8329,4.7713230518147545e-06,ʌ,BR,i,BR742
8322,0.021339255855272653,oʊ,BR,i,BR742
8323,0.0015710314812992898,u,BR,i,BR742
