,probabilities,classification,language,vowel,file
8251,0.7962069511413574,i,BR,i,BR132
8257,0.07433810830116272,ɪ,BR,i,BR132
8250,0.11002223938703537,eɪ,BR,i,BR132
8256,0.0016791322268545628,ɛ,BR,i,BR132
8254,0.00034985493402928114,æ,BR,i,BR132
8255,1.4974814803281333e-05,ɑ,BR,i,BR132
8259,7.829334208508953e-05,ʌ,BR,i,BR132
8252,0.0009084586636163294,oʊ,BR,i,BR132
8253,0.013435626402497292,u,BR,i,BR132
8258,0.002966293366625905,ʊ,BR,i,BR132
7411,0.019003933295607567,i,BR,i,BR329
7417,0.007310235872864723,ɪ,BR,i,BR329
7410,0.566628634929657,eɪ,BR,i,BR329
7416,0.000687422405462712,ɛ,BR,i,BR329
7414,0.17209859192371368,æ,BR,i,BR329
7415,0.00013103261881042272,ɑ,BR,i,BR329
7419,0.00011516463564475998,ʌ,BR,i,BR329
7412,7.447467214660719e-05,oʊ,BR,i,BR329
7413,0.19423437118530273,u,BR,i,BR329
7418,0.03971605747938156,ʊ,BR,i,BR329
8511,0.05952199548482895,i,BR,i,BR373
8517,0.028079548850655556,ɪ,BR,i,BR373
8510,0.020136520266532898,eɪ,BR,i,BR373
8516,0.0018284897087141871,ɛ,BR,i,BR373
8514,0.002221387345343828,æ,BR,i,BR373
8515,0.011832116171717644,ɑ,BR,i,BR373
8519,0.0034618484787642956,ʌ,BR,i,BR373
8512,0.3170087933540344,oʊ,BR,i,BR373
8513,0.1630438268184662,u,BR,i,BR373
8518,0.39286550879478455,ʊ,BR,i,BR373
7631,0.03683732822537422,i,BR,i,BR374
7637,0.23583871126174927,ɪ,BR,i,BR374
7630,0.3949448764324188,eɪ,BR,i,BR374
7636,0.01776367798447609,ɛ,BR,i,BR374
7634,0.011204194277524948,æ,BR,i,BR374
7635,0.010401842184364796,ɑ,BR,i,BR374
7639,0.008846397511661053,ʌ,BR,i,BR374
7632,0.2593596577644348,oʊ,BR,i,BR374
7633,0.0024381892289966345,u,BR,i,BR374
7638,0.022364983335137367,ʊ,BR,i,BR374
7761,0.07560620456933975,i,BR,i,BR375
7767,0.4701586365699768,ɪ,BR,i,BR375
7760,0.3531978726387024,eɪ,BR,i,BR375
7766,0.004661244340240955,ɛ,BR,i,BR375
7764,0.009025239385664463,æ,BR,i,BR375
7765,0.00015399536641780287,ɑ,BR,i,BR375
7769,0.000379231438273564,ʌ,BR,i,BR375
7762,0.0007810881361365318,oʊ,BR,i,BR375
7763,0.07812914252281189,u,BR,i,BR375
7768,0.007907401770353317,ʊ,BR,i,BR375
7491,0.9129012823104858,i,BR,i,BR452
7497,0.011704719625413418,ɪ,BR,i,BR452
7490,0.026842113584280014,eɪ,BR,i,BR452
7496,0.0009556084405630827,ɛ,BR,i,BR452
7494,0.0005213870899751782,æ,BR,i,BR452
7495,2.426247931452963e-07,ɑ,BR,i,BR452
7499,0.00025326295872218907,ʌ,BR,i,BR452
7492,0.00013539237261284143,oʊ,BR,i,BR452
7493,0.017329538241028786,u,BR,i,BR452
7498,0.029356500133872032,ʊ,BR,i,BR452
7171,0.6768872141838074,i,BR,i,BR454
7177,0.004907546099275351,ɪ,BR,i,BR454
7170,0.11438098549842834,eɪ,BR,i,BR454
7176,0.03803405910730362,ɛ,BR,i,BR454
7174,0.12708519399166107,æ,BR,i,BR454
7175,0.011746847070753574,ɑ,BR,i,BR454
7179,0.022981954738497734,ʌ,BR,i,BR454
7172,0.0005852902540937066,oʊ,BR,i,BR454
7173,0.0007448688265867531,u,BR,i,BR454
7178,0.0026461035013198853,ʊ,BR,i,BR454
7791,0.6599745750427246,i,BR,i,BR46
7797,0.13293719291687012,ɪ,BR,i,BR46
7790,0.20610657334327698,eɪ,BR,i,BR46
7796,0.00046267674770206213,ɛ,BR,i,BR46
7794,0.0005101645947434008,æ,BR,i,BR46
7795,4.1075015388969405e-08,ɑ,BR,i,BR46
7799,6.300238197809449e-08,ʌ,BR,i,BR46
7792,3.694203485338221e-07,oʊ,BR,i,BR46
7793,5.742694156651851e-06,u,BR,i,BR46
7798,2.628467655085842e-06,ʊ,BR,i,BR46
7901,0.7421473264694214,i,BR,i,BR47
7907,0.21302831172943115,ɪ,BR,i,BR47
7900,0.03639616817235947,eɪ,BR,i,BR47
7906,0.00036796298809349537,ɛ,BR,i,BR47
7904,0.0003544045612215996,æ,BR,i,BR47
7905,5.489308477990562e-06,ɑ,BR,i,BR47
7909,1.7229582226718776e-05,ʌ,BR,i,BR47
7902,0.00025246833683922887,oʊ,BR,i,BR47
7903,0.0032381254713982344,u,BR,i,BR47
7908,0.004192472435534,ʊ,BR,i,BR47
7301,0.7793779969215393,i,BR,i,BR496
7307,0.00015549497038591653,ɪ,BR,i,BR496
7300,0.22017881274223328,eɪ,BR,i,BR496
7306,6.715995368722361e-06,ɛ,BR,i,BR496
7304,0.0002788861747831106,æ,BR,i,BR496
7305,9.248736176914463e-08,ɑ,BR,i,BR496
7309,5.705613261852704e-07,ʌ,BR,i,BR496
7302,5.12937674557179e-07,oʊ,BR,i,BR496
7303,2.322960028777743e-07,u,BR,i,BR496
7308,6.941124865988968e-07,ʊ,BR,i,BR496
7571,0.9621248841285706,i,BR,i,BR741
7577,0.011173468083143234,ɪ,BR,i,BR741
7570,0.017212169244885445,eɪ,BR,i,BR741
7576,0.0003603602235671133,ɛ,BR,i,BR741
7574,0.00043137455941177905,æ,BR,i,BR741
7575,3.267124338890426e-05,ɑ,BR,i,BR741
7579,2.862121255020611e-05,ʌ,BR,i,BR741
7572,0.0003242313105147332,oʊ,BR,i,BR741
7573,0.007856685668230057,u,BR,i,BR741
7578,0.0004554987244773656,ʊ,BR,i,BR741
8321,0.8321350812911987,i,BR,i,BR742
8327,0.015487322583794594,ɪ,BR,i,BR742
8320,0.015862097963690758,eɪ,BR,i,BR742
8326,0.00023506379511673003,ɛ,BR,i,BR742
8324,0.001607543439604342,æ,BR,i,BR742
8325,0.0020423291716724634,ɑ,BR,i,BR742
8329,0.002234178362414241,ʌ,BR,i,BR742
8322,0.0954006165266037,oʊ,BR,i,BR742
8323,0.029991598799824715,u,BR,i,BR742
8328,0.005004219710826874,ʊ,BR,i,BR742
7811,0.5648137927055359,i,BR,i,BR757
7817,0.08972660452127457,ɪ,BR,i,BR757
7810,0.0431334525346756,eɪ,BR,i,BR757
7816,0.03453589230775833,ɛ,BR,i,BR757
7814,0.0049577755853533745,æ,BR,i,BR757
7815,0.04876791313290596,ɑ,BR,i,BR757
7819,0.06621970981359482,ʌ,BR,i,BR757
7812,0.11088714003562927,oʊ,BR,i,BR757
7813,0.013101140968501568,u,BR,i,BR757
7818,0.023856481537222862,ʊ,BR,i,BR757
6731,0.5380316972732544,i,BR,i,BR796
6737,0.28740522265434265,ɪ,BR,i,BR796
6730,0.016690082848072052,eɪ,BR,i,BR796
6736,0.012475972063839436,ɛ,BR,i,BR796
6734,0.0008944568689912558,æ,BR,i,BR796
6735,0.005512694362550974,ɑ,BR,i,BR796
6739,0.014752327464520931,ʌ,BR,i,BR796
6732,0.013538193888962269,oʊ,BR,i,BR796
6733,0.07784787565469742,u,BR,i,BR796
6738,0.032851442694664,ʊ,BR,i,BR796
7651,0.6571565866470337,i,BR,i,BR99
7657,0.260698527097702,ɪ,BR,i,BR99
7650,0.07674594223499298,eɪ,BR,i,BR99
7656,0.0024474002420902252,ɛ,BR,i,BR99
7654,0.0020529513712972403,æ,BR,i,BR99
7655,4.9325317377224565e-05,ɑ,BR,i,BR99
7659,5.357688678486738e-06,ʌ,BR,i,BR99
7652,0.00022747452021576464,oʊ,BR,i,BR99
7653,0.000446058256784454,u,BR,i,BR99
7658,0.00017037411453202367,ʊ,BR,i,BR99
7331,0.5553343296051025,i,BR,i,BR992
7337,0.20112237334251404,ɪ,BR,i,BR992
7330,0.1461426019668579,eɪ,BR,i,BR992
7336,0.06936383247375488,ɛ,BR,i,BR992
7334,0.020837219431996346,æ,BR,i,BR992
7335,0.000551839591935277,ɑ,BR,i,BR992
7339,8.17726831883192e-05,ʌ,BR,i,BR992
7332,0.0010187564184889197,oʊ,BR,i,BR992
7333,0.003486775793135166,u,BR,i,BR992
7338,0.0020604601595550776,ʊ,BR,i,BR992
7821,0.19867494702339172,i,BR,ĩ,BR1025
7827,0.6782142519950867,ɪ,BR,ĩ,BR1025
7820,0.09233689308166504,eɪ,BR,ĩ,BR1025
7826,0.02696850337088108,ɛ,BR,ĩ,BR1025
7824,0.0030399176757782698,æ,BR,ĩ,BR1025
7825,4.046381218358874e-05,ɑ,BR,ĩ,BR1025
7829,1.2332342521403916e-05,ʌ,BR,ĩ,BR1025
7822,0.00011923900456167758,oʊ,BR,ĩ,BR1025
7823,0.00049728830344975,u,BR,ĩ,BR1025
7828,9.616494935471565e-05,ʊ,BR,ĩ,BR1025
7031,0.906527042388916,i,BR,ĩ,BR1029
7037,0.022217974066734314,ɪ,BR,ĩ,BR1029
7030,0.053588513284921646,eɪ,BR,ĩ,BR1029
7036,0.004052038304507732,ɛ,BR,ĩ,BR1029
7034,0.009819717146456242,æ,BR,ĩ,BR1029
7035,5.5735504247422796e-06,ɑ,BR,ĩ,BR1029
7039,3.46600245393347e-05,ʌ,BR,ĩ,BR1029
7032,0.0002102215657941997,oʊ,BR,ĩ,BR1029
7033,0.002647427609190345,u,BR,ĩ,BR1029
7038,0.0008968593319877982,ʊ,BR,ĩ,BR1029
7801,0.8501840829849243,i,BR,ĩ,BR154
7807,0.04486434906721115,ɪ,BR,ĩ,BR154
7800,0.05193280801177025,eɪ,BR,ĩ,BR154
7806,0.0059725260362029076,ɛ,BR,ĩ,BR154
7804,0.0036589244846254587,æ,BR,ĩ,BR154
7805,8.134824020089582e-05,ɑ,BR,ĩ,BR154
7809,0.00047996221110224724,ʌ,BR,ĩ,BR154
7802,0.008915741927921772,oʊ,BR,ĩ,BR154
7803,0.0015098678413778543,u,BR,ĩ,BR154
7808,0.032400354743003845,ʊ,BR,ĩ,BR154
7521,0.6522176265716553,i,BR,ĩ,BR158
7527,0.03558789938688278,ɪ,BR,ĩ,BR158
7520,0.06685969978570938,eɪ,BR,ĩ,BR158
7526,0.00653795013204217,ɛ,BR,ĩ,BR158
7524,0.0008684734930284321,æ,BR,ĩ,BR158
7525,0.00025059428298845887,ɑ,BR,ĩ,BR158
7529,0.0004426463274285197,ʌ,BR,ĩ,BR158
7522,0.05700485780835152,oʊ,BR,ĩ,BR158
7523,0.1025209128856659,u,BR,ĩ,BR158
7528,0.0777093842625618,ʊ,BR,ĩ,BR158
8541,0.3338242173194885,i,BR,ĩ,BR159
8547,0.35078051686286926,ɪ,BR,ĩ,BR159
8540,0.1639878898859024,eɪ,BR,ĩ,BR159
8546,0.10330300778150558,ɛ,BR,ĩ,BR159
8544,0.005343372467905283,æ,BR,ĩ,BR159
8545,0.00015171553241088986,ɑ,BR,ĩ,BR159
8549,0.0008840906084515154,ʌ,BR,ĩ,BR159
8542,0.003761319676414132,oʊ,BR,ĩ,BR159
8543,0.008809424936771393,u,BR,ĩ,BR159
8548,0.029154369607567787,ʊ,BR,ĩ,BR159
7001,0.02796713076531887,i,BR,ĩ,BR264
7007,0.014760398305952549,ɪ,BR,ĩ,BR264
7000,0.004187078680843115,eɪ,BR,ĩ,BR264
7006,0.00013181082613300532,ɛ,BR,ĩ,BR264
7004,0.0007841800688765943,æ,BR,ĩ,BR264
7005,0.0010259932605549693,ɑ,BR,ĩ,BR264
7009,0.0023258253931999207,ʌ,BR,ĩ,BR264
7002,0.0024550037924200296,oʊ,BR,ĩ,BR264
7003,0.9139339923858643,u,BR,ĩ,BR264
7008,0.032428618520498276,ʊ,BR,ĩ,BR264
6851,0.004176568705588579,i,BR,ĩ,BR411
6857,0.35404694080352783,ɪ,BR,ĩ,BR411
6850,0.06222532317042351,eɪ,BR,ĩ,BR411
6856,0.06745391339063644,ɛ,BR,ĩ,BR411
6854,0.028363635763525963,æ,BR,ĩ,BR411
6855,0.005716864950954914,ɑ,BR,ĩ,BR411
6859,0.002127968706190586,ʌ,BR,ĩ,BR411
6852,0.03961338847875595,oʊ,BR,ĩ,BR411
6853,0.2624325454235077,u,BR,ĩ,BR411
6858,0.17384277284145355,ʊ,BR,ĩ,BR411
7641,0.002747182035818696,i,BR,ĩ,BR417
7647,0.023099571466445923,ɪ,BR,ĩ,BR417
7640,0.0004807678051292896,eɪ,BR,ĩ,BR417
7646,0.0005901076947338879,ɛ,BR,ĩ,BR417
7644,9.404590673511848e-05,æ,BR,ĩ,BR417
7645,0.0003524998319335282,ɑ,BR,ĩ,BR417
7649,0.010177732445299625,ʌ,BR,ĩ,BR417
7642,0.0005870513850823045,oʊ,BR,ĩ,BR417
7643,0.8517279624938965,u,BR,ĩ,BR417
7648,0.11014308035373688,ʊ,BR,ĩ,BR417
8121,0.72980135679245,i,BR,ĩ,BR504
8127,0.1092478483915329,ɪ,BR,ĩ,BR504
8120,0.048652876168489456,eɪ,BR,ĩ,BR504
8126,0.00603721896186471,ɛ,BR,ĩ,BR504
8124,0.0019389146473258734,æ,BR,ĩ,BR504
8125,0.0009746453142724931,ɑ,BR,ĩ,BR504
8129,0.0005102677387185395,ʌ,BR,ĩ,BR504
8122,0.00031976657919585705,oʊ,BR,ĩ,BR504
8123,0.0999305471777916,u,BR,ĩ,BR504
8128,0.0025865547358989716,ʊ,BR,ĩ,BR504
7361,0.6406188607215881,i,BR,ĩ,BR510
7367,0.03398493677377701,ɪ,BR,ĩ,BR510
7360,0.28949594497680664,eɪ,BR,ĩ,BR510
7366,0.004879989195615053,ɛ,BR,ĩ,BR510
7364,0.027474908158183098,æ,BR,ĩ,BR510
7365,0.0007143947877921164,ɑ,BR,ĩ,BR510
7369,0.00017837731866165996,ʌ,BR,ĩ,BR510
7362,0.00035917077912017703,oʊ,BR,ĩ,BR510
7363,0.0014597807312384248,u,BR,ĩ,BR510
7368,0.0008336130413226783,ʊ,BR,ĩ,BR510
7061,0.8292188048362732,i,BR,ĩ,BR559
7067,0.009104415774345398,ɪ,BR,ĩ,BR559
7060,0.03640357404947281,eɪ,BR,ĩ,BR559
7066,0.015314185991883278,ɛ,BR,ĩ,BR559
7064,0.06656919419765472,æ,BR,ĩ,BR559
7065,0.017731018364429474,ɑ,BR,ĩ,BR559
