,probabilities,classification,language,vowel,file
8251,0.6089150972664357,i,BR,i,BR132
8257,0.10607246365398168,ɪ,BR,i,BR132
8250,0.22848141025751828,eɪ,BR,i,BR132
8256,0.0010902279776928482,ɛ,BR,i,BR132
8254,0.0002711040855274405,æ,BR,i,BR132
8255,2.65492117193844e-05,ɑ,BR,i,BR132
8259,8.668006852374788e-05,ʌ,BR,i,BR132
8252,0.04413276005980151,oʊ,BR,i,BR132
8253,0.008306792980147294,u,BR,i,BR132
8258,0.002616876237971155,ʊ,BR,i,BR132
7411,0.02461996686179191,i,BR,i,BR329
7417,0.004645890486426651,ɪ,BR,i,BR329
7410,0.6133972734212876,eɪ,BR,i,BR329
7416,0.0014573446533177048,ɛ,BR,i,BR329
7414,0.12467577214410994,æ,BR,i,BR329
7415,0.00020360319904284553,ɑ,BR,i,BR329
7419,0.0005397788190748543,ʌ,BR,i,BR329
7412,0.00016889512371562888,oʊ,BR,i,BR329
7413,0.2046005422691451,u,BR,i,BR329
7418,0.02569094389800739,ʊ,BR,i,BR329
8511,0.05757641430245712,i,BR,i,BR373
8517,0.05228501781821251,ɪ,BR,i,BR373
8510,0.11885580942034721,eɪ,BR,i,BR373
8516,0.011170026462059468,ɛ,BR,i,BR373
8514,0.034787585434969515,æ,BR,i,BR373
8515,0.06672402233816684,ɑ,BR,i,BR373
8519,0.018733168488688536,ʌ,BR,i,BR373
8512,0.16677265875041486,oʊ,BR,i,BR373
8513,0.21385325416922568,u,BR,i,BR373
8518,0.2592420654837042,ʊ,BR,i,BR373
7631,0.032978962305060124,i,BR,i,BR374
7637,0.2209078401327133,ɪ,BR,i,BR374
7630,0.47303502857685087,eɪ,BR,i,BR374
7636,0.018067999408231117,ɛ,BR,i,BR374
7634,0.011018842640623916,æ,BR,i,BR374
7635,0.014432938728714362,ɑ,BR,i,BR374
7639,0.015493556927322061,ʌ,BR,i,BR374
7632,0.18790947927627713,oʊ,BR,i,BR374
7633,0.002835276909172535,u,BR,i,BR374
7638,0.023320019838865846,ʊ,BR,i,BR374
7761,0.07989668055961374,i,BR,i,BR375
7767,0.3449941620230675,ɪ,BR,i,BR375
7760,0.47871707528829577,eɪ,BR,i,BR375
7766,0.005970831413287669,ɛ,BR,i,BR375
7764,0.00894947552587837,æ,BR,i,BR375
7765,0.005701264146591711,ɑ,BR,i,BR375
7769,0.000996118027387638,ʌ,BR,i,BR375
7762,0.003132148823351599,oʊ,BR,i,BR375
7763,0.0647015248900061,u,BR,i,BR375
7768,0.006940733045121305,ʊ,BR,i,BR375
7491,0.7260186612606049,i,BR,i,BR452
7497,0.04033429780974984,ɪ,BR,i,BR452
7490,0.18953459169715642,eɪ,BR,i,BR452
7496,0.0006197675440489548,ɛ,BR,i,BR452
7494,0.00033443737606830837,æ,BR,i,BR452
7495,6.050019174530519e-07,ɑ,BR,i,BR452
7499,0.00027432004962975044,ʌ,BR,i,BR452
7492,0.0002290956522504217,oʊ,BR,i,BR452
7493,0.0202004874299746,u,BR,i,BR452
7498,0.022453757555922493,ʊ,BR,i,BR452
7171,0.7462797224521637,i,BR,i,BR454
7177,0.027008717833086848,ɪ,BR,i,BR454
7170,0.10219705104827881,eɪ,BR,i,BR454
7176,0.02609337237663567,ɛ,BR,i,BR454
7174,0.06768190278380644,æ,BR,i,BR454
7175,0.008080500098412813,ɑ,BR,i,BR454
7179,0.01877634944685269,ʌ,BR,i,BR454
7172,0.0005300492352489528,oʊ,BR,i,BR454
7173,0.0016343440816854126,u,BR,i,BR454
7178,0.0017179850612592418,ʊ,BR,i,BR454
7791,0.5347461938858032,i,BR,i,BR46
7797,0.13380382834002374,ɪ,BR,i,BR46
7790,0.3301992952357978,eɪ,BR,i,BR46
7796,0.0007728671727818437,ɛ,BR,i,BR46
7794,0.00038489493354063595,æ,BR,i,BR46
7795,2.434156478159366e-07,ɑ,BR,i,BR46
7799,1.167942098589947e-06,ʌ,BR,i,BR46
7792,3.036898346806538e-05,oʊ,BR,i,BR46
7793,4.2259202018612996e-05,u,BR,i,BR46
7798,1.888806082206429e-05,ʊ,BR,i,BR46
7901,0.7033414304256439,i,BR,i,BR47
7907,0.2050303460098803,ɪ,BR,i,BR47
7900,0.08069825216662138,eɪ,BR,i,BR47
7906,0.0008184316800907254,ɛ,BR,i,BR47
7904,0.0002334446671056867,æ,BR,i,BR47
7905,6.668061206482889e-06,ɑ,BR,i,BR47
7909,2.7982658394876125e-05,ʌ,BR,i,BR47
7902,0.0004117567948924261,oʊ,BR,i,BR47
7903,0.004764381312998012,u,BR,i,BR47
7908,0.004667287968186429,ʊ,BR,i,BR47
7301,0.7901023685932159,i,BR,i,BR496
7307,0.0006193062101374381,ɪ,BR,i,BR496
7300,0.20903860859689302,eɪ,BR,i,BR496
7306,5.783860814290165e-06,ɛ,BR,i,BR496
7304,0.0002221489551718081,æ,BR,i,BR496
7305,1.1868951696209634e-07,ɑ,BR,i,BR496
7309,1.7596549136023043e-06,ʌ,BR,i,BR496
7302,1.3871672002917224e-06,oʊ,BR,i,BR496
7303,6.223216277589927e-06,u,BR,i,BR496
