,probabilities,classification,language,vowel,file
8251,0.12270814925432205,i,BR,i,BR132
8257,0.19310463964939117,ɪ,BR,i,BR132
8250,0.5458729863166809,eɪ,BR,i,BR132
8256,4.9132238927995786e-05,ɛ,BR,i,BR132
8254,1.4305280274129473e-05,æ,BR,i,BR132
8255,5.149161734152585e-05,ɑ,BR,i,BR132
8259,1.951268859556876e-05,ʌ,BR,i,BR132
8252,0.13800346851348877,oʊ,BR,i,BR132
8253,9.81632765615359e-05,u,BR,i,BR132
8258,7.81171111157164e-05,ʊ,BR,i,BR132
7411,0.025170860812067986,i,BR,i,BR329
7417,0.0009783320128917694,ɪ,BR,i,BR329
7410,0.9661977291107178,eɪ,BR,i,BR329
7416,0.000512875325512141,ɛ,BR,i,BR329
7414,0.002684810431674123,æ,BR,i,BR329
7415,4.289888602215797e-05,ɑ,BR,i,BR329
7419,0.00011468891898402944,ʌ,BR,i,BR329
7412,0.0001437945174984634,oʊ,BR,i,BR329
7413,0.001960169756785035,u,BR,i,BR329
7418,0.0021939382422715425,ʊ,BR,i,BR329
8511,0.002857548650354147,i,BR,i,BR373
8517,0.14196252822875977,ɪ,BR,i,BR373
8510,0.24850763380527496,eɪ,BR,i,BR373
8516,0.044584520161151886,ɛ,BR,i,BR373
8514,0.0774577334523201,æ,BR,i,BR373
8515,0.14732195436954498,ɑ,BR,i,BR373
8519,0.03869789093732834,ʌ,BR,i,BR373
8512,0.07310035079717636,oʊ,BR,i,BR373
8513,0.10512229800224304,u,BR,i,BR373
8518,0.12038759142160416,ʊ,BR,i,BR373
7631,0.00022357275884132832,i,BR,i,BR374
7637,0.10244394093751907,ɪ,BR,i,BR374
7630,0.8880720734596252,eɪ,BR,i,BR374
7636,0.0002854901540558785,ɛ,BR,i,BR374
7634,0.004114264622330666,æ,BR,i,BR374
7635,0.00012283299292903394,ɑ,BR,i,BR374
7639,4.183448982075788e-05,ʌ,BR,i,BR374
7632,0.003174629295244813,oʊ,BR,i,BR374
7633,0.0011741543421521783,u,BR,i,BR374
7638,0.0003471369273029268,ʊ,BR,i,BR374
7761,0.0011664347257465124,i,BR,i,BR375
7767,0.03310639038681984,ɪ,BR,i,BR375
7760,0.9644628167152405,eɪ,BR,i,BR375
7766,0.00020739305182360113,ɛ,BR,i,BR375
7764,0.0008317471365444362,æ,BR,i,BR375
7765,2.9020460715400986e-05,ɑ,BR,i,BR375
7769,1.1685467597999377e-06,ʌ,BR,i,BR375
7762,0.00013025655061937869,oʊ,BR,i,BR375
7763,2.4373812266276218e-05,u,BR,i,BR375
7768,4.0624199755256996e-05,ʊ,BR,i,BR375
7491,0.38785165548324585,i,BR,i,BR452
7497,0.10931265354156494,ɪ,BR,i,BR452
7490,0.4991796910762787,eɪ,BR,i,BR452
7496,0.0002410331362625584,ɛ,BR,i,BR452
7494,7.304246537387371e-05,æ,BR,i,BR452
7495,1.3796362736684387e-06,ɑ,BR,i,BR452
7499,2.2802731109550223e-05,ʌ,BR,i,BR452
7492,0.00012985152716282755,oʊ,BR,i,BR452
7493,0.002836932661011815,u,BR,i,BR452
7498,0.0003509202797431499,ʊ,BR,i,BR452
7171,0.9104835391044617,i,BR,i,BR454
7177,0.025406628847122192,ɪ,BR,i,BR454
7170,0.056247297674417496,eɪ,BR,i,BR454
7176,0.0031984972301870584,ɛ,BR,i,BR454
7174,0.003293737070634961,æ,BR,i,BR454
7175,4.2514348024269566e-05,ɑ,BR,i,BR454
7179,0.0010569087462499738,ʌ,BR,i,BR454
7172,1.3740469739786931e-06,oʊ,BR,i,BR454
7173,0.00015917076962068677,u,BR,i,BR454
7178,0.00011033052578568459,ʊ,BR,i,BR454
7791,0.19828949868679047,i,BR,i,BR46
7797,0.14032793045043945,ɪ,BR,i,BR46
7790,0.6610885858535767,eɪ,BR,i,BR46
7796,0.0001550239248899743,ɛ,BR,i,BR46
7794,3.7769594200653955e-05,æ,BR,i,BR46
7795,8.876129982127168e-07,ɑ,BR,i,BR46
7799,3.043623792109429e-06,ʌ,BR,i,BR46
7792,8.092923235381022e-05,oʊ,BR,i,BR46
7793,8.52929224492982e-06,u,BR,i,BR46
7798,7.781554813846014e-06,ʊ,BR,i,BR46
7901,0.5997032523155212,i,BR,i,BR47
7907,0.14782753586769104,ɪ,BR,i,BR47
7900,0.25020352005958557,eɪ,BR,i,BR47
7906,0.00023042201064527035,ɛ,BR,i,BR47
7904,1.0421935257909354e-05,æ,BR,i,BR47
7905,1.2842122032452608e-06,ɑ,BR,i,BR47
7909,1.2040467481710948e-05,ʌ,BR,i,BR47
7902,0.0007620467222295702,oʊ,BR,i,BR47
7903,0.0008012748439796269,u,BR,i,BR47
7908,0.00044824526412412524,ʊ,BR,i,BR47
7301,0.7495778799057007,i,BR,i,BR496
7307,0.0017860231455415487,ɪ,BR,i,BR496
7300,0.2486153393983841,eɪ,BR,i,BR496
7306,1.0887970347539522e-06,ɛ,BR,i,BR496
7304,5.534027991416224e-07,æ,BR,i,BR496
7305,4.1856157428910024e-10,ɑ,BR,i,BR496
7309,4.577678396344709e-07,ʌ,BR,i,BR496
7302,3.3602518101361056e-08,oʊ,BR,i,BR496
7303,1.7340957128908485e-05,u,BR,i,BR496
7308,1.2779098597093252e-06,ʊ,BR,i,BR496
7571,0.3428286910057068,i,BR,i,BR741
7577,0.6491271257400513,ɪ,BR,i,BR741
7570,0.005746210925281048,eɪ,BR,i,BR741
7576,0.00030485240858979523,ɛ,BR,i,BR741
7574,9.697543646325357e-06,æ,BR,i,BR741
7575,7.929295975372952e-08,ɑ,BR,i,BR741
7579,1.6451607507406152e-06,ʌ,BR,i,BR741
7572,5.704078830603976e-06,oʊ,BR,i,BR741
7573,0.0018581306794658303,u,BR,i,BR741
7578,0.0001179367391159758,ʊ,BR,i,BR741
8321,0.7728309035301208,i,BR,i,BR742
8327,0.05010206252336502,ɪ,BR,i,BR742
8320,0.17622147500514984,eɪ,BR,i,BR742
8326,5.283528662403114e-05,ɛ,BR,i,BR742
8324,1.6395963029935956e-05,æ,BR,i,BR742
8325,1.0271761539115687e-06,ɑ,BR,i,BR742
8329,6.5071462813648395e-06,ʌ,BR,i,BR742
8322,0.00032353532151319087,oʊ,BR,i,BR742
8323,0.0002809159050229937,u,BR,i,BR742
8328,0.00016431990661658347,ʊ,BR,i,BR742
7811,0.6671096086502075,i,BR,i,BR757
7817,0.055664390325546265,ɪ,BR,i,BR757
7810,0.010661778040230274,eɪ,BR,i,BR757
7816,0.00037270388565957546,ɛ,BR,i,BR757
7814,4.263242954039015e-05,æ,BR,i,BR757
7815,0.0002695195435080677,ɑ,BR,i,BR757
7819,0.0015253049787133932,ʌ,BR,i,BR757
7812,0.04863029718399048,oʊ,BR,i,BR757
7813,0.2097914218902588,u,BR,i,BR757
7818,0.005932379513978958,ʊ,BR,i,BR757
6731,0.9368634819984436,i,BR,i,BR796
6737,0.02827766351401806,ɪ,BR,i,BR796
6730,0.02320270612835884,eɪ,BR,i,BR796
6736,5.0656377425184473e-05,ɛ,BR,i,BR796
6734,1.778592741175089e-05,æ,BR,i,BR796
6735,3.90048990084324e-06,ɑ,BR,i,BR796
6739,0.0002709663240239024,ʌ,BR,i,BR796
6732,0.000488667341414839,oʊ,BR,i,BR796
6733,0.009552771225571632,u,BR,i,BR796
6738,0.0012715394841507077,ʊ,BR,i,BR796
7651,0.3039150834083557,i,BR,i,BR99
7657,0.13666249811649323,ɪ,BR,i,BR99
7650,0.5292813777923584,eɪ,BR,i,BR99
7656,5.5954289564397186e-05,ɛ,BR,i,BR99
7654,0.00015735569468233734,æ,BR,i,BR99
7655,6.929447408765554e-05,ɑ,BR,i,BR99
7659,1.1155747415614314e-05,ʌ,BR,i,BR99
7652,0.029607880860567093,oʊ,BR,i,BR99
7653,0.00013090534775983542,u,BR,i,BR99
7658,0.00010837798618013039,ʊ,BR,i,BR99
7331,0.4372257888317108,i,BR,i,BR992
7337,0.4020105004310608,ɪ,BR,i,BR992
7330,0.15098445117473602,eɪ,BR,i,BR992
7336,0.004368350375443697,ɛ,BR,i,BR992
7334,0.004795379471033812,æ,BR,i,BR992
7335,0.00034301046980544925,ɑ,BR,i,BR992
7339,1.785736094461754e-05,ʌ,BR,i,BR992
7332,9.882404265226796e-05,oʊ,BR,i,BR992
7333,9.823947766562924e-05,u,BR,i,BR992
7338,5.750173659180291e-05,ʊ,BR,i,BR992
7821,0.017802992835640907,i,BR,ĩ,BR1025
7827,0.021087391301989555,ɪ,BR,ĩ,BR1025
7820,0.9603532552719116,eɪ,BR,ĩ,BR1025
7826,4.0543594082009804e-07,ɛ,BR,ĩ,BR1025
7824,1.071032056643162e-05,æ,BR,ĩ,BR1025
7825,1.8718432329478674e-05,ɑ,BR,ĩ,BR1025
7829,3.049342112149134e-08,ʌ,BR,ĩ,BR1025
7822,0.0007203768473118544,oʊ,BR,ĩ,BR1025
7823,1.3373971796681872e-06,u,BR,ĩ,BR1025
7828,4.633009211829631e-06,ʊ,BR,ĩ,BR1025
7031,0.22790847718715668,i,BR,ĩ,BR1029
7037,0.05396595224738121,ɪ,BR,ĩ,BR1029
7030,0.4589047431945801,eɪ,BR,ĩ,BR1029
7036,1.1263546184636652e-05,ɛ,BR,ĩ,BR1029
7034,0.009433089755475521,æ,BR,ĩ,BR1029
7035,0.008428351022303104,ɑ,BR,ĩ,BR1029
7039,0.0007232557400129735,ʌ,BR,ĩ,BR1029
7032,0.053261734545230865,oʊ,BR,ĩ,BR1029
7033,0.18376563489437103,u,BR,ĩ,BR1029
7038,0.0035974769853055477,ʊ,BR,ĩ,BR1029
7801,0.05138561502099037,i,BR,ĩ,BR154
7807,0.0017470981692895293,ɪ,BR,ĩ,BR154
7800,0.8880407810211182,eɪ,BR,ĩ,BR154
7806,5.619120929623023e-05,ɛ,BR,ĩ,BR154
7804,0.0004151016182731837,æ,BR,ĩ,BR154
7805,0.003476927522569895,ɑ,BR,ĩ,BR154
7809,0.00014992513752076775,ʌ,BR,ĩ,BR154
7802,0.054127082228660583,oʊ,BR,ĩ,BR154
7803,0.00041566372965462506,u,BR,ĩ,BR154
7808,0.00018565953359939158,ʊ,BR,ĩ,BR154
7521,0.010609284974634647,i,BR,ĩ,BR158
7527,0.02811509184539318,ɪ,BR,ĩ,BR158
7520,0.9542171359062195,eɪ,BR,ĩ,BR158
7526,5.902444536332041e-05,ɛ,BR,ĩ,BR158
7524,0.00038218707777559757,æ,BR,ĩ,BR158
7525,0.001340641756542027,ɑ,BR,ĩ,BR158
7529,2.7506042897584848e-05,ʌ,BR,ĩ,BR158
7522,0.004893317352980375,oʊ,BR,ĩ,BR158
7523,9.450312791159377e-05,u,BR,ĩ,BR158
7528,0.0002612185780890286,ʊ,BR,ĩ,BR158
8541,0.07700635492801666,i,BR,ĩ,BR159
8547,0.0517481230199337,ɪ,BR,ĩ,BR159
8540,0.8571499586105347,eɪ,BR,ĩ,BR159
8546,0.00047966267447918653,ɛ,BR,ĩ,BR159
8544,0.0009711192105896771,æ,BR,ĩ,BR159
8545,0.0008246475481428206,ɑ,BR,ĩ,BR159
8549,0.0001169741663034074,ʌ,BR,ĩ,BR159
8542,0.010756360366940498,oʊ,BR,ĩ,BR159
8543,0.0002090343477902934,u,BR,ĩ,BR159
8548,0.0007375393761321902,ʊ,BR,ĩ,BR159
7001,0.03579634800553322,i,BR,ĩ,BR264
7007,0.0005430059391073883,ɪ,BR,ĩ,BR264
7000,0.1297643780708313,eɪ,BR,ĩ,BR264
7006,0.0005075026419945061,ɛ,BR,ĩ,BR264
7004,0.024136561900377274,æ,BR,ĩ,BR264
7005,0.04518536850810051,ɑ,BR,ĩ,BR264
7009,0.060905709862709045,ʌ,BR,ĩ,BR264
7002,0.00398620031774044,oʊ,BR,ĩ,BR264
7003,0.6883416771888733,u,BR,ĩ,BR264
7008,0.01083330623805523,ʊ,BR,ĩ,BR264
6851,0.0017942957347258925,i,BR,ĩ,BR411
6857,0.1900912970304489,ɪ,BR,ĩ,BR411
6850,0.7616232633590698,eɪ,BR,ĩ,BR411
6856,0.0002323214866919443,ɛ,BR,ĩ,BR411
6854,0.000331160263158381,æ,BR,ĩ,BR411
6855,0.0008076002704910934,ɑ,BR,ĩ,BR411
6859,0.002512651961296797,ʌ,BR,ĩ,BR411
6852,0.01856350153684616,oʊ,BR,ĩ,BR411
6853,0.004915439989417791,u,BR,ĩ,BR411
6858,0.01912832446396351,ʊ,BR,ĩ,BR411
7641,0.06887192279100418,i,BR,ĩ,BR417
7647,0.0003293178742751479,ɪ,BR,ĩ,BR417
7640,0.4883100986480713,eɪ,BR,ĩ,BR417
7646,2.6070238163811155e-05,ɛ,BR,ĩ,BR417
7644,0.0032177807297557592,æ,BR,ĩ,BR417
7645,0.0045528048649430275,ɑ,BR,ĩ,BR417
7649,0.08274653553962708,ʌ,BR,ĩ,BR417
7642,0.007442034315317869,oʊ,BR,ĩ,BR417
7643,0.2840350568294525,u,BR,ĩ,BR417
7648,0.06046835705637932,ʊ,BR,ĩ,BR417
8121,0.9526417851448059,i,BR,ĩ,BR504
8127,0.017934415489435196,ɪ,BR,ĩ,BR504
8120,0.02916279248893261,eɪ,BR,ĩ,BR504
8126,0.00014133588410913944,ɛ,BR,ĩ,BR504
8124,2.5005383577081375e-05,æ,BR,ĩ,BR504
8125,1.861237024058937e-06,ɑ,BR,ĩ,BR504
8129,3.798578518399154e-06,ʌ,BR,ĩ,BR504
8122,1.2128216440032702e-05,oʊ,BR,ĩ,BR504
8123,5.87167487537954e-05,u,BR,ĩ,BR504
8128,1.821769001253415e-05,ʊ,BR,ĩ,BR504
7361,0.6183426976203918,i,BR,ĩ,BR510
7367,0.343461811542511,ɪ,BR,ĩ,BR510
7360,0.023701174184679985,eɪ,BR,ĩ,BR510
7366,5.224057167652063e-05,ɛ,BR,ĩ,BR510
7364,7.113999163266271e-05,æ,BR,ĩ,BR510
7365,8.538793281331891e-07,ɑ,BR,ĩ,BR510
7369,6.657928679487668e-06,ʌ,BR,ĩ,BR510
7362,7.287239714059979e-05,oʊ,BR,ĩ,BR510
7363,0.014010490849614143,u,BR,ĩ,BR510
7368,0.0002799339417833835,ʊ,BR,ĩ,BR510
7061,0.27350184321403503,i,BR,ĩ,BR559
7067,0.6801030039787292,ɪ,BR,ĩ,BR559
7060,0.005464274901896715,eɪ,BR,ĩ,BR559
7066,0.02145453728735447,ɛ,BR,ĩ,BR559
7064,0.005788990296423435,æ,BR,ĩ,BR559
7065,8.063346467679366e-05,ɑ,BR,ĩ,BR559
7069,0.0009266227134503424,ʌ,BR,ĩ,BR559
7062,2.6535490178503096e-06,oʊ,BR,ĩ,BR559
