,probabilities,classification,language,vowel,file
10727,0.005047769285738468,i,BR,i,BR132
10730,0.3850595951080322,y,BR,i,BR132
10726,0.24931001663208008,e,BR,i,BR132
10736,0.3605775833129883,ɛ,BR,i,BR132
10737,9.761152118797217e-14,ɛ̃,BR,i,BR132
10731,2.3980855985428207e-06,ø,BR,i,BR132
10732,9.414473822744185e-08,œ,BR,i,BR132
10725,1.7812978869713447e-09,a,BR,i,BR132
10733,1.2231482493518797e-10,ɑ̃,BR,i,BR132
10728,2.525671106923255e-06,o,BR,i,BR132
10734,1.0760112800767274e-08,ɔ,BR,i,BR132
10735,3.03064027207256e-08,ɔ̃,BR,i,BR132
10729,1.823996775840442e-08,u,BR,i,BR132
9635,8.321934728883207e-06,i,BR,i,BR329
9638,0.041055455803871155,y,BR,i,BR329
9634,5.9720889112213627e-05,e,BR,i,BR329
9644,0.9546521902084351,ɛ,BR,i,BR329
9645,3.7095658626640216e-05,ɛ̃,BR,i,BR329
9639,0.002463032491505146,ø,BR,i,BR329
9640,0.00011087790335295722,œ,BR,i,BR329
9633,0.00013929742272011936,a,BR,i,BR329
9641,0.0007400508038699627,ɑ̃,BR,i,BR329
9636,4.44965598944691e-06,o,BR,i,BR329
9642,0.0004981572274118662,ɔ,BR,i,BR329
9643,1.4635009392804932e-05,ɔ̃,BR,i,BR329
9637,0.00021670902788173407,u,BR,i,BR329
11065,0.0003622861113399267,i,BR,i,BR373
11068,0.15723799169063568,y,BR,i,BR373
11064,0.0006863544695079327,e,BR,i,BR373
11074,0.06115613877773285,ɛ,BR,i,BR373
11075,8.220409313253185e-07,ɛ̃,BR,i,BR373
11069,0.7766757011413574,ø,BR,i,BR373
11070,7.879263648646884e-06,œ,BR,i,BR373
11063,5.324417884366994e-07,a,BR,i,BR373
11071,1.7086942705191177e-07,ɑ̃,BR,i,BR373
11066,0.00023787020472809672,o,BR,i,BR373
11072,1.4889127442074823e-06,ɔ,BR,i,BR373
11073,7.6285931527309e-07,ɔ̃,BR,i,BR373
11067,0.003632049774751067,u,BR,i,BR373
9921,1.8863569266613922e-06,i,BR,i,BR374
9924,0.005011450499296188,y,BR,i,BR374
9920,4.0778271426233914e-08,e,BR,i,BR374
9930,0.9949461817741394,ɛ,BR,i,BR374
9931,5.548031936086772e-07,ɛ̃,BR,i,BR374
9925,6.493393129858305e-07,ø,BR,i,BR374
9926,2.238474650084754e-08,œ,BR,i,BR374
9919,1.682209040154703e-05,a,BR,i,BR374
9927,9.88302144833142e-06,ɑ̃,BR,i,BR374
9922,6.550893886014819e-06,o,BR,i,BR374
9928,2.813187165884301e-06,ɔ,BR,i,BR374
9929,2.5895292310451623e-06,ɔ̃,BR,i,BR374
9923,5.540534289139032e-07,u,BR,i,BR374
10090,1.9866761569176106e-09,i,BR,i,BR375
10093,0.04402666911482811,y,BR,i,BR375
10089,2.0594903617165983e-05,e,BR,i,BR375
10099,0.9557178616523743,ɛ,BR,i,BR375
10100,2.4698496758901456e-07,ɛ̃,BR,i,BR375
10094,0.00022499726037494838,ø,BR,i,BR375
10095,1.1830860557893175e-06,œ,BR,i,BR375
10088,1.537228854431305e-06,a,BR,i,BR375
10096,1.1320182125018619e-07,ɑ̃,BR,i,BR375
10091,2.4361909822800953e-07,o,BR,i,BR375
10097,5.736838375014486e-06,ɔ,BR,i,BR375
10098,4.6101783368612814e-07,ɔ̃,BR,i,BR375
10092,4.1704936393216485e-07,u,BR,i,BR375
9739,0.09722386300563812,i,BR,i,BR452
9742,0.34095606207847595,y,BR,i,BR452
9738,0.5565912127494812,e,BR,i,BR452
9748,0.00024439592380076647,ɛ,BR,i,BR452
9749,1.3099371365399293e-08,ɛ̃,BR,i,BR452
9743,0.0005332350847311318,ø,BR,i,BR452
9744,0.004433583002537489,œ,BR,i,BR452
9737,3.003865458595101e-06,a,BR,i,BR452
9745,5.072318742804782e-08,ɑ̃,BR,i,BR452
9740,1.3773963019048097e-06,o,BR,i,BR452
9746,1.851674824138172e-06,ɔ,BR,i,BR452
9747,6.137836976449762e-07,ɔ̃,BR,i,BR452
9741,1.0743856364570092e-05,u,BR,i,BR452
9323,0.3262479901313782,i,BR,i,BR454
9326,1.1281324077572208e-05,y,BR,i,BR454
9322,0.6735703349113464,e,BR,i,BR454
9332,4.016086307956357e-08,ɛ,BR,i,BR454
9333,2.691491066207207e-14,ɛ̃,BR,i,BR454
9327,1.9644117855932564e-05,ø,BR,i,BR454
9328,0.00015062048623804003,œ,BR,i,BR454
9321,9.820132554350103e-12,a,BR,i,BR454
9329,1.7369845145553953e-11,ɑ̃,BR,i,BR454
9324,1.5346043880093418e-10,o,BR,i,BR454
9330,3.24133964113571e-08,ɔ,BR,i,BR454
9331,6.44803817544809e-13,ɔ̃,BR,i,BR454
9325,1.694532708595986e-10,u,BR,i,BR454
10129,0.003547931555658579,i,BR,i,BR46
10132,0.5945102572441101,y,BR,i,BR46
10128,0.16631120443344116,e,BR,i,BR46
10138,0.23562754690647125,ɛ,BR,i,BR46
10139,3.7276241121597664e-12,ɛ̃,BR,i,BR46
10133,1.4641324241893017e-06,ø,BR,i,BR46
10134,1.2644670732697705e-06,œ,BR,i,BR46
10127,1.4420752592059216e-08,a,BR,i,BR46
10135,1.6820364545644395e-10,ɑ̃,BR,i,BR46
10130,8.513361393625019e-08,o,BR,i,BR46
10136,3.799872638765578e-10,ɔ,BR,i,BR46
10137,5.6517443169923354e-08,ɔ̃,BR,i,BR46
10131,1.0042256803899363e-07,u,BR,i,BR46
10272,0.13019171357154846,i,BR,i,BR47
10275,0.1205955445766449,y,BR,i,BR47
10271,0.575219988822937,e,BR,i,BR47
10281,0.1739789992570877,ɛ,BR,i,BR47
10282,5.831511488973984e-14,ɛ̃,BR,i,BR47
10276,1.3907390439271694e-06,ø,BR,i,BR47
10277,9.974458592409974e-09,œ,BR,i,BR47
10270,1.274147010121851e-09,a,BR,i,BR47
10278,1.0266510974688003e-09,ɑ̃,BR,i,BR47
10273,1.1979623195657041e-05,o,BR,i,BR47
10279,1.2791783632337683e-08,ɔ,BR,i,BR47
10280,8.351774027914871e-08,ɔ̃,BR,i,BR47
10274,3.7642371353285853e-07,u,BR,i,BR47
9492,0.0596800222992897,i,BR,i,BR496
9495,0.1288568675518036,y,BR,i,BR496
9491,0.8114373683929443,e,BR,i,BR496
9501,2.244328243250493e-05,ɛ,BR,i,BR496
9502,9.23373993911257e-15,ɛ̃,BR,i,BR496
9496,1.0917545267830064e-07,ø,BR,i,BR496
9497,3.1753481835039565e-06,œ,BR,i,BR496
9490,1.2188354492348452e-10,a,BR,i,BR496
9498,4.18316509903649e-12,ɑ̃,BR,i,BR496
9493,2.273262245111596e-09,o,BR,i,BR496
9499,1.2264522730731642e-09,ɔ,BR,i,BR496
9500,3.0264577736277554e-12,ɔ̃,BR,i,BR496
9494,1.7249091044391207e-10,u,BR,i,BR496
9843,0.9977442026138306,i,BR,i,BR741
9846,5.619637022391544e-07,y,BR,i,BR741
9842,0.00212650909088552,e,BR,i,BR741
9852,0.0001285962644033134,ɛ,BR,i,BR741
9853,3.130909228166341e-14,ɛ̃,BR,i,BR741
9847,4.394282981934339e-08,ø,BR,i,BR741
9848,1.5486918414353568e-07,œ,BR,i,BR741
9841,1.6572608840803582e-09,a,BR,i,BR741
9849,1.8428552954474764e-12,ɑ̃,BR,i,BR741
9844,4.789675323024767e-09,o,BR,i,BR741
9850,8.316923816309441e-10,ɔ,BR,i,BR741
9851,5.975300809701878e-10,ɔ̃,BR,i,BR741
9845,2.1418997686595276e-09,u,BR,i,BR741
10818,0.9990724325180054,i,BR,i,BR742
10821,7.532778454333311e-06,y,BR,i,BR742
10817,0.00038411145214922726,e,BR,i,BR742
10827,0.0005089810001663864,ɛ,BR,i,BR742
10828,6.204921731978175e-08,ɛ̃,BR,i,BR742
10822,1.2576339258885127e-07,ø,BR,i,BR742
10823,1.905850149341859e-05,œ,BR,i,BR742
10816,2.8446240776247578e-06,a,BR,i,BR742
10824,2.453813294778229e-07,ɑ̃,BR,i,BR742
10819,1.6633761390494328e-07,o,BR,i,BR742
10825,4.457627653664531e-07,ɔ,BR,i,BR742
10826,3.7940203583275434e-06,ɔ̃,BR,i,BR742
10820,6.4162385626787e-08,u,BR,i,BR742
10155,0.20671477913856506,i,BR,i,BR757
10158,5.5108553169702645e-06,y,BR,i,BR757
10154,0.7919926047325134,e,BR,i,BR757
10164,0.00011250301758991554,ɛ,BR,i,BR757
10165,1.754864520364663e-08,ɛ̃,BR,i,BR757
10159,0.00036267496761865914,ø,BR,i,BR757
10160,0.00012120934843551368,œ,BR,i,BR757
10153,2.8072224722563988e-06,a,BR,i,BR757
10161,1.5283802667909185e-07,ɑ̃,BR,i,BR757
10156,4.914555393042974e-05,o,BR,i,BR757
10162,0.0006349970935843885,ɔ,BR,i,BR757
10163,1.917984945976059e-06,ɔ̃,BR,i,BR757
10157,1.7086117622966412e-06,u,BR,i,BR757
8751,0.36669889092445374,i,BR,i,BR796
8754,0.0003549154498614371,y,BR,i,BR796
8750,0.6264705061912537,e,BR,i,BR796
8760,0.0009070393280126154,ɛ,BR,i,BR796
8761,2.2645554764721965e-08,ɛ̃,BR,i,BR796
8755,1.088199610421725e-06,ø,BR,i,BR796
8756,0.0003532417758833617,œ,BR,i,BR796
8749,3.0790317850915017e-06,a,BR,i,BR796
8757,5.1550509851949755e-06,ɑ̃,BR,i,BR796
8752,0.0007601978722959757,o,BR,i,BR796
8758,5.5546257499372587e-05,ɔ,BR,i,BR796
8759,0.004250845406204462,ɔ̃,BR,i,BR796
8753,0.00013939499331172556,u,BR,i,BR796
9947,0.003507814137265086,i,BR,i,BR99
9950,0.8483687043190002,y,BR,i,BR99
9946,0.006187052931636572,e,BR,i,BR99
9956,0.14193560183048248,ɛ,BR,i,BR99
9957,2.881296004737799e-13,ɛ̃,BR,i,BR99
9951,6.011911182213225e-07,ø,BR,i,BR99
9952,1.8098232246188672e-08,œ,BR,i,BR99
9945,5.397682745211796e-09,a,BR,i,BR99
9953,4.065494052518659e-10,ɑ̃,BR,i,BR99
9948,1.2676575522618805e-07,o,BR,i,BR99
9954,4.907543260657121e-10,ɔ,BR,i,BR99
9955,6.235345573202267e-09,ɔ̃,BR,i,BR99
9949,1.1208144634622386e-08,u,BR,i,BR99
9531,4.239742338540964e-06,i,BR,i,BR992
9534,0.9997099041938782,y,BR,i,BR992
9530,0.00020801532082259655,e,BR,i,BR992
9540,7.743561582174152e-05,ɛ,BR,i,BR992
9541,1.3283542018086014e-12,ɛ̃,BR,i,BR992
9535,5.932592195279085e-09,ø,BR,i,BR992
9536,3.9208268276524905e-07,œ,BR,i,BR992
9529,1.0472720607390684e-10,a,BR,i,BR992
9537,6.4682705399514775e-15,ɑ̃,BR,i,BR992
9532,2.6806161457226807e-13,o,BR,i,BR992
9538,3.698001005078295e-15,ɔ,BR,i,BR992
9539,4.150986221418407e-10,ɔ̃,BR,i,BR992
9533,3.4556567676813366e-12,u,BR,i,BR992
10168,4.4733477011504874e-07,i,BR,ĩ,BR1025
10171,0.9922201037406921,y,BR,ĩ,BR1025
10167,1.373105305901845e-06,e,BR,ĩ,BR1025
10177,0.007777766324579716,ɛ,BR,ĩ,BR1025
10178,6.0642220411910586e-12,ɛ̃,BR,ĩ,BR1025
10172,2.466610249385326e-09,ø,BR,ĩ,BR1025
10173,4.378862605847189e-09,œ,BR,ĩ,BR1025
10166,6.052597711914132e-08,a,BR,ĩ,BR1025
10174,9.122585499510283e-14,ɑ̃,BR,ĩ,BR1025
10169,5.771904909579462e-08,o,BR,ĩ,BR1025
10175,1.029791909975793e-14,ɔ,BR,ĩ,BR1025
10176,2.352529691052041e-07,ɔ̃,BR,ĩ,BR1025
10170,2.283046945938949e-10,u,BR,ĩ,BR1025
9141,0.001463447231799364,i,BR,ĩ,BR1029
9144,0.5026962757110596,y,BR,ĩ,BR1029
9140,0.0009226893307641149,e,BR,ĩ,BR1029
9150,0.21194761991500854,ɛ,BR,ĩ,BR1029
9151,0.0008761945064179599,ɛ̃,BR,ĩ,BR1029
9145,7.504265522584319e-05,ø,BR,ĩ,BR1029
9146,0.004248063545674086,œ,BR,ĩ,BR1029
9139,0.0012122387997806072,a,BR,ĩ,BR1029
9147,2.7524299639480887e-06,ɑ̃,BR,ĩ,BR1029
9142,0.0011668108636513352,o,BR,ĩ,BR1029
9148,2.6880894665737287e-07,ɔ,BR,ĩ,BR1029
9149,0.27535712718963623,ɔ̃,BR,ĩ,BR1029
9143,3.1531963031738997e-05,u,BR,ĩ,BR1029
10142,0.0016318416455760598,i,BR,ĩ,BR154
10145,0.015255522914230824,y,BR,ĩ,BR154
10141,0.0001582794648129493,e,BR,ĩ,BR154
10151,0.9827675223350525,ɛ,BR,ĩ,BR154
10152,9.853075993992988e-11,ɛ̃,BR,ĩ,BR154
10146,2.534567329348647e-06,ø,BR,ĩ,BR154
10147,1.747856792633229e-08,œ,BR,ĩ,BR154
10140,7.104750693542883e-06,a,BR,ĩ,BR154
10148,1.50888354255585e-06,ɑ̃,BR,ĩ,BR154
10143,0.00015203148359432817,o,BR,ĩ,BR154
10149,5.33516811174195e-07,ɔ,BR,ĩ,BR154
10150,1.193788557429798e-05,ɔ̃,BR,ĩ,BR154
10144,1.113446614908753e-05,u,BR,ĩ,BR154
9778,2.5353232558700256e-05,i,BR,ĩ,BR158
9781,0.0055575319565832615,y,BR,ĩ,BR158
9777,0.0012048231437802315,e,BR,ĩ,BR158
9787,0.9927746057510376,ɛ,BR,ĩ,BR158
9788,6.229397553347837e-10,ɛ̃,BR,ĩ,BR158
9782,2.2856971554574557e-05,ø,BR,ĩ,BR158
9783,9.009213641775204e-08,œ,BR,ĩ,BR158
9776,8.163929123838898e-06,a,BR,ĩ,BR158
9784,4.889814135822235e-06,ɑ̃,BR,ĩ,BR158
9779,0.00012252489977981895,o,BR,ĩ,BR158
9785,8.740615271563001e-07,ɔ,BR,ĩ,BR158
9786,0.00018431128410156816,ɔ̃,BR,ĩ,BR158
9780,9.393315849592909e-05,u,BR,ĩ,BR158
11104,2.2507270841742866e-05,i,BR,ĩ,BR159
