,probabilities,classification,language,vowel,file
10727,0.14658567113801838,i,BR,i,BR132
10730,0.35265968440799045,y,BR,i,BR132
10726,0.22209284817799926,e,BR,i,BR132
10736,0.26381799187996363,ɛ,BR,i,BR132
10737,0.000636058440493958,ɛ̃,BR,i,BR132
10731,0.007765676866370132,ø,BR,i,BR132
10732,0.0010034987236883937,œ,BR,i,BR132
10725,7.334304439872354e-05,a,BR,i,BR132
10733,0.00013481511653036879,ɑ̃,BR,i,BR132
10728,0.00466558071000236,o,BR,i,BR132
10734,0.0002687555375226664,ɔ,BR,i,BR132
10735,0.00022131304396531145,ɔ̃,BR,i,BR132
10729,7.477942830986741e-05,u,BR,i,BR132
9635,0.08686771101822836,i,BR,i,BR329
9638,0.13015001377778077,y,BR,i,BR329
9634,8.610441670041137e-05,e,BR,i,BR329
9644,0.6517644285399001,ɛ,BR,i,BR329
9645,0.005440021932557571,ɛ̃,BR,i,BR329
9639,0.010572014762076837,ø,BR,i,BR329
9640,0.0004391097644884212,œ,BR,i,BR329
9633,0.0033348839512882477,a,BR,i,BR329
9641,0.10275506954494631,ɑ̃,BR,i,BR329
9636,8.296562081113734e-05,o,BR,i,BR329
9642,0.0051899273501476275,ɔ,BR,i,BR329
9643,4.772997208419838e-05,ɔ̃,BR,i,BR329
9637,0.0032700065490530506,u,BR,i,BR329
11065,0.018223942854092456,i,BR,i,BR373
11068,0.14534532222896815,y,BR,i,BR373
11064,0.0004037731720018201,e,BR,i,BR373
11074,0.019792498802416958,ɛ,BR,i,BR373
11075,4.071509110588067e-05,ɛ̃,BR,i,BR373
11069,0.718985692539718,ø,BR,i,BR373
11070,0.00028702781378910915,œ,BR,i,BR373
11063,0.0006356987817781601,a,BR,i,BR373
11071,0.009733648012260865,ɑ̃,BR,i,BR373
11066,0.07964426964172162,o,BR,i,BR373
11072,0.0014325238072842694,ɔ,BR,i,BR373
11073,0.00013323265656168816,ɔ̃,BR,i,BR373
11067,0.005341688261250965,u,BR,i,BR373
9921,0.03891242970662145,i,BR,i,BR374
9924,0.018969094909016347,y,BR,i,BR374
9920,1.869376993735017e-05,e,BR,i,BR374
9930,0.8087707033933839,ɛ,BR,i,BR374
9931,0.003395170993884733,ɛ̃,BR,i,BR374
9925,0.005601401607521389,ø,BR,i,BR374
9926,4.1714559271799344e-05,œ,BR,i,BR374
9919,0.03154050913645286,a,BR,i,BR374
9927,0.007517365279954902,ɑ̃,BR,i,BR374
9922,0.06728638163992855,o,BR,i,BR374
9928,0.0173529875191889,ɔ,BR,i,BR374
9929,1.893561189945103e-05,ɔ̃,BR,i,BR374
9923,0.0005746473410512653,u,BR,i,BR374
10090,0.00299449254448857,i,BR,i,BR375
10093,0.11643214113410068,y,BR,i,BR375
10089,2.897208971717191e-05,e,BR,i,BR375
10099,0.7800275319728825,ɛ,BR,i,BR375
10100,3.8020425247697885e-06,ɛ̃,BR,i,BR375
10094,0.09383884028593066,ø,BR,i,BR375
10095,3.304381496604947e-05,œ,BR,i,BR375
10088,0.0016141507297675161,a,BR,i,BR375
10096,0.00365597889582574,ɑ̃,BR,i,BR375
10091,0.0008149776228648875,o,BR,i,BR375
10097,0.00034734560681499717,ɔ,BR,i,BR375
10098,3.4602361552060756e-05,ɔ̃,BR,i,BR375
