,probabilities,classification,language,vowel,file
10727,0.011659792624413967,i,BR,i,BR132
10730,0.350159615278244,y,BR,i,BR132
10726,0.3757671117782593,e,BR,i,BR132
10736,0.2624077796936035,ɛ,BR,i,BR132
10737,1.0561237079103822e-13,ɛ̃,BR,i,BR132
10731,3.1290055630961433e-06,ø,BR,i,BR132
10732,1.7911743555032444e-07,œ,BR,i,BR132
10725,1.2451183417638845e-09,a,BR,i,BR132
10733,4.252069182864027e-11,ɑ̃,BR,i,BR132
10728,2.3297832285607e-06,o,BR,i,BR132
10734,8.152135855254983e-09,ɔ,BR,i,BR132
10735,2.09313153476387e-08,ɔ̃,BR,i,BR132
10729,7.954851000135932e-09,u,BR,i,BR132
9635,9.063650395546574e-06,i,BR,i,BR329
9638,0.04760723188519478,y,BR,i,BR329
9634,8.661881292937323e-05,e,BR,i,BR329
9644,0.9370811581611633,ɛ,BR,i,BR329
9645,0.00010259640112053603,ɛ̃,BR,i,BR329
9639,0.009213062934577465,ø,BR,i,BR329
9640,0.00017968009342439473,œ,BR,i,BR329
9633,0.00027842511190101504,a,BR,i,BR329
9641,0.0017532542115077376,ɑ̃,BR,i,BR329
9636,1.0872316124732606e-05,o,BR,i,BR329
9642,0.0024625989608466625,ɔ,BR,i,BR329
9643,3.267776992288418e-05,ɔ̃,BR,i,BR329
9637,0.001182827167212963,u,BR,i,BR329
11065,0.0002675066061783582,i,BR,i,BR373
11068,0.08766166865825653,y,BR,i,BR373
11064,0.000407584710046649,e,BR,i,BR373
11074,0.023840082809329033,ɛ,BR,i,BR373
11075,6.857478069832723e-07,ɛ̃,BR,i,BR373
11069,0.8819792866706848,ø,BR,i,BR373
11070,5.702754606318194e-06,œ,BR,i,BR373
11063,5.140414032211993e-07,a,BR,i,BR373
11071,9.135154499517739e-08,ɑ̃,BR,i,BR373
11066,0.00023234175750985742,o,BR,i,BR373
11072,2.1282603483996354e-06,ɔ,BR,i,BR373
11073,5.243779810371052e-07,ɔ̃,BR,i,BR373
11067,0.005601850803941488,u,BR,i,BR373
9921,1.4133362356005819e-06,i,BR,i,BR374
9924,0.006295023951679468,y,BR,i,BR374
9920,6.176572497906818e-08,e,BR,i,BR374
9930,0.9936129450798035,ɛ,BR,i,BR374
9931,1.0836610044862027e-06,ɛ̃,BR,i,BR374
9925,2.1897444639762398e-06,ø,BR,i,BR374
9926,4.259155517161162e-08,œ,BR,i,BR374
9919,4.920438732369803e-05,a,BR,i,BR374
9927,7.840199032216333e-06,ɑ̃,BR,i,BR374
9922,1.6421972759417258e-05,o,BR,i,BR374
9928,8.79623712535249e-06,ɔ,BR,i,BR374
9929,2.9581137823697645e-06,ɔ̃,BR,i,BR374
9923,2.0947020402672933e-06,u,BR,i,BR374
10090,1.3894700945371596e-09,i,BR,i,BR375
10093,0.05477883666753769,y,BR,i,BR375
10089,2.414649134152569e-05,e,BR,i,BR375
10099,0.944682240486145,ɛ,BR,i,BR375
10100,4.0971397652356245e-07,ɛ̃,BR,i,BR375
10094,0.000488421181216836,ø,BR,i,BR375
10095,1.377677563141333e-06,œ,BR,i,BR375
10088,3.332331516503473e-06,a,BR,i,BR375
10096,1.0517950244093299e-07,ɑ̃,BR,i,BR375
10091,5.081138283458131e-07,o,BR,i,BR375
10097,1.8808104869094677e-05,ɔ,BR,i,BR375
10098,6.359017561408109e-07,ɔ̃,BR,i,BR375
10092,1.2028665423713392e-06,u,BR,i,BR375
9739,0.07514871656894684,i,BR,i,BR452
9742,0.4135470390319824,y,BR,i,BR452
9738,0.5080451965332031,e,BR,i,BR452
9748,0.00023491712636314332,ɛ,BR,i,BR452
9749,5.413385295582884e-09,ɛ̃,BR,i,BR452
9743,0.0003535939904395491,ø,BR,i,BR452
9744,0.002662297571077943,œ,BR,i,BR452
9737,9.553530162520474e-07,a,BR,i,BR452
9745,2.5532530756322558e-08,ɑ̃,BR,i,BR452
9740,6.730446671099344e-07,o,BR,i,BR452
9746,1.604271233190957e-06,ɔ,BR,i,BR452
9747,3.8062867702137737e-07,ɔ̃,BR,i,BR452
9741,4.61153013020521e-06,u,BR,i,BR452
